HPitb1ch04-0001	chiave	DELLE CHIAVI BUM!
HPitb1ch04-0206	oscuro	Il mistero è perché Tu-Sai-Chi non aveva mai cercato di tirarli dalla sua parte prima... Forse sapeva che erano troppo vicini a Silente e non volevano avere niente a che fare con il Lato Oscuro.
HPitb1ch04-0207	villaggio	Tutto quel che si sa è che dieci anni fa, il giorno di Halloween, spuntò nel villaggio dove abitavate voi.
HPitb1ch04-0208	sirena	Lui entrò in casa e... e...» D’un tratto Hagrid tirò fuori un fazzoletto a pallini tutto sporco e si soffiò il naso con il fragore di una sirena da nebbia.
HPitb1ch04-0209	nebbia	Lui entrò in casa e... e...» D’un tratto Hagrid tirò fuori un fazzoletto a pallini tutto sporco e si soffiò il naso con il fragore di una sirena da nebbia.
HPitb1ch04-0210	piazza	Chissà, voleva fare piazza pulita, o forse a quel tempo ammazzava solo per il gusto di farlo.
HPitb1ch04-0211	pulito	Chissà, voleva fare piazza pulita, o forse a quel tempo ammazzava solo per il gusto di farlo.
HPitb1ch04-0212	gusto	Chissà, voleva fare piazza pulita, o forse a quel tempo ammazzava solo per il gusto di farlo.
HPitb1ch04-0213	maledizione	Quello è il segno che ti rimane quando vieni colpito da una maledizione potente:
HPitb1ch04-0214	potente	Quello è il segno che ti rimane quando vieni colpito da una maledizione potente:
HPitb1ch04-0215	risparmiare	non ha risparmiato tua mamma e tuo papà, e neanche la casa, ma su di te non ha funzionato, e questo è il motivo per cui sei famoso, Harry.
HPitb1ch04-0216	franco	Nessuno di quelli che lui aveva deciso di uccidere l’ha fatta franca, nessuno, solo tu.
HPitb1ch04-0217	doloroso	In quel momento Harry ricordò qualcosa di molto doloroso.
HPitb1ch04-0218	racconto	Mentre il racconto di Hagrid si avviava alla conclusione, rivide il bagliore accecante di luce verde più chiaramente di quanto non fosse mai accaduto prima;
HPitb1ch04-0219	conclusione	Mentre il racconto di Hagrid si avviava alla conclusione, rivide il bagliore accecante di luce verde più chiaramente di quanto non fosse mai accaduto prima;
HPitb1ch04-0220	rivedere	Mentre il racconto di Hagrid si avviava alla conclusione, rivide il bagliore accecante di luce verde più chiaramente di quanto non fosse mai accaduto prima;
HPitb1ch04-0221	chiaramente	Mentre il racconto di Hagrid si avviava alla conclusione, rivide il bagliore accecante di luce verde più chiaramente di quanto non fosse mai accaduto prima;
HPitb1ch04-0222	crudele	una risata lunga, fredda, crudele.
HPitb1ch04-0223	tristezza	Hagrid lo guardava pieno di tristezza.
HPitb1ch04-0224	macerie	«Ti ho raccolto tra le macerie della casa con le mie mani, su ordine di Silente.
HPitb1ch04-0225	balla	«Tutte balle!» esclamò zio Vernon.
HPitb1ch04-0226	presenza	aveva quasi dimenticato la presenza dei Dursley.
HPitb1ch04-0227	recuperare	Zio Vernon aveva tutta l’aria di aver recuperato il coraggio.
HPitb1ch04-0228	coraggio	Zio Vernon aveva tutta l’aria di aver recuperato il coraggio.
HPitb1ch04-0229	odio	Fissava Hagrid con odio e teneva i pugni serrati.
HPitb1ch04-0230	serrato	Fissava Hagrid con odio e teneva i pugni serrati.
HPitb1ch04-0231	guarire	«Ammetto che in te ci sia qualcosa di strano, probabilmente nulla che non sarebbe guarito con una bella sculacciata... Ma quanto a tutte queste storie sui tuoi genitori... è vero, erano strampalati, inutile negarlo, e a mio parere il mondo sta molto meglio senza di loro.
HPitb1ch04-0232	sculacciata	«Ammetto che in te ci sia qualcosa di strano, probabilmente nulla che non sarebbe guarito con una bella sculacciata... Ma quanto a tutte queste storie sui tuoi genitori... è vero, erano strampalati, inutile negarlo, e a mio parere il mondo sta molto meglio senza di loro.
HPitb1ch04-0233	capitare	Quel che gli è capitato se lo sono cercato, a forza di frequentare tutti quei maghi... È accaduto proprio quel che avevo previsto;
HPitb1ch04-0234	ombrello	Ma in quel preciso istante, Hagrid balzò in piedi ed estrasse da sotto il pastrano un ombrello rosa malconcio.
HPitb1ch04-0235	malconcio	Ma in quel preciso istante, Hagrid balzò in piedi ed estrasse da sotto il pastrano un ombrello rosa malconcio.
HPitb1ch04-0236	puntare	Puntandolo contro zio Vernon come una spada, disse:
HPitb1ch04-0237	spada	Puntandolo contro zio Vernon come una spada, disse:
HPitb1ch04-0238	infilzare	un’altra parola e...» All’idea di finire infilzato sul puntale di un ombrello da un gigante barbuto, il coraggio di zio Vernon venne meno un’altra volta.
HPitb1ch04-0239	puntale	un’altra parola e...» All’idea di finire infilzato sul puntale di un ombrello da un gigante barbuto, il coraggio di zio Vernon venne meno un’altra volta.
HPitb1ch04-0240	barbuto	un’altra parola e...» All’idea di finire infilzato sul puntale di un ombrello da un gigante barbuto, il coraggio di zio Vernon venne meno un’altra volta.
HPitb1ch04-0241	appiattirsi	Si appiattì contro la parete e rimase in silenzio.
HPitb1ch04-0242	affannoso	«Così va meglio» fece Hagrid col respiro affannoso, e si sedette di nuovo sul divano, che questa volta cedette definitivamente fino a toccare terra.
HPitb1ch04-0243	definitivamente	«Così va meglio» fece Hagrid col respiro affannoso, e si sedette di nuovo sul divano, che questa volta cedette definitivamente fino a toccare terra.
HPitb1ch04-0244	umano	Non so se dentro aveva ancora qualcosa di abbastanza umano che poteva morire.
HPitb1ch04-0245	trance	Alcuni sembrava che uscivano da una trance.
HPitb1ch04-0246	debole	«I più di noi credono che è ancora là fuori da qualche parte, ma che ha perso i suoi poteri, che è troppo debole per andare avanti.
HPitb1ch04-0247	brillare	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
HPitb1ch04-0248	rispetto	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
HPitb1ch04-0249	canto	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
HPitb1ch04-0250	anziché	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
HPitb1ch04-0251	compiacere	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
HPitb1ch04-0252	errore	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
HPitb1ch04-0253	tormentare	Aveva passato una vita a farsi picchiare da Dudley e tormentare da zia Petunia e da zio Vernon;
HPitb1ch04-0254	rospo	se fosse stato veramente un mago, perché non si erano trasformati in rospi verrucosi ogni volta che avevano cercato di rinchiuderlo nel ripostiglio?
HPitb1ch04-0255	verrucoso	se fosse stato veramente un mago, perché non si erano trasformati in rospi verrucosi ogni volta che avevano cercato di rinchiuderlo nel ripostiglio?
HPitb1ch04-0256	rinchiudere	se fosse stato veramente un mago, perché non si erano trasformati in rospi verrucosi ogni volta che avevano cercato di rinchiuderlo nel ripostiglio?
HPitb1ch04-0257	sconfiggere	Se una volta aveva sconfitto il più grande stregone del mondo, come mai Dudley lo aveva sempre preso a calci come un pallone?
HPitb1ch04-0258	tranquillamente	«Hagrid» disse tranquillamente, «credo che ti sia sbagliato.
HPitb1ch04-0259	impossibile	Secondo me è impossibile che io sia un mago».
HPitb1ch04-0260	spaventarsi	non ti capita mai di far succedere qualcosa, quando ti spaventano o ti fanno arrabbiare?
HPitb1ch04-0261	arrabbiare	non ti capita mai di far succedere qualcosa, quando ti spaventano o ti fanno arrabbiare?
HPitb1ch04-0262	furia	Ora che ci pensava... le cose strane che mandavano gli zii su tutte le furie erano sempre accadute quando lui, Harry, era turbato o arrabbiato... Quando era inseguito dalla ghenga di Dudley, chissà come, si ritrovava sempre fuori tiro... Quando il pensiero di andare a scuola con quel ridicolo taglio di capelli l’aveva spaventato era riuscito a farseli ricrescere... E poi, l’ultima volta che Dudley lo aveva picchiato non si era forse preso la rivincita, senza neanche rendersene conto?
HPitb1ch04-0263	inseguire	Ora che ci pensava... le cose strane che mandavano gli zii su tutte le furie erano sempre accadute quando lui, Harry, era turbato o arrabbiato... Quando era inseguito dalla ghenga di Dudley, chissà come, si ritrovava sempre fuori tiro... Quando il pensiero di andare a scuola con quel ridicolo taglio di capelli l’aveva spaventato era riuscito a farseli ricrescere... E poi, l’ultima volta che Dudley lo aveva picchiato non si era forse preso la rivincita, senza neanche rendersene conto?
HPitb1ch04-0264	ridicolo	Ora che ci pensava... le cose strane che mandavano gli zii su tutte le furie erano sempre accadute quando lui, Harry, era turbato o arrabbiato... Quando era inseguito dalla ghenga di Dudley, chissà come, si ritrovava sempre fuori tiro... Quando il pensiero di andare a scuola con quel ridicolo taglio di capelli l’aveva spaventato era riuscito a farseli ricrescere... E poi, l’ultima volta che Dudley lo aveva picchiato non si era forse preso la rivincita, senza neanche rendersene conto?
HPitb1ch04-0265	rivincita	Ora che ci pensava... le cose strane che mandavano gli zii su tutte le furie erano sempre accadute quando lui, Harry, era turbato o arrabbiato... Quando era inseguito dalla ghenga di Dudley, chissà come, si ritrovava sempre fuori tiro... Quando il pensiero di andare a scuola con quel ridicolo taglio di capelli l’aveva spaventato era riuscito a farseli ricrescere... E poi, l’ultima volta che Dudley lo aveva picchiato non si era forse preso la rivincita, senza neanche rendersene conto?
HPitb1ch04-0266	aizzare	Non gli aveva aizzato contro un boa constrictor?
HPitb1ch04-0267	accorgersi	Harry tornò a guardare Hagrid con un sorriso e si accorse che il gigante lo ricambiava apertamente.
HPitb1ch04-0268	apertamente	Harry tornò a guardare Hagrid con un sorriso e si accorse che il gigante lo ricambiava apertamente.
HPitb1ch04-0269	intenzionato	Ma zio Vernon non era intenzionato a cedere senza dar battaglia.
HPitb1ch04-0270	battaglia	Ma zio Vernon non era intenzionato a cedere senza dar battaglia.
HPitb1ch04-0271	ringraziare	«Andrà a Stonewall e dovrà anche ringraziarci.
HPitb1ch04-0272	incantesimo	Ho letto tutte quelle lettere in cui chiedono un mucchio di stupidaggini... libri di incantesimi, bacchette magiche...» «Se lui vuole andarsene, neanche un grosso Babbano come te riuscirà a fermarlo» ringhiò Hagrid.
HPitb1ch04-0273	bacchetta	Ho letto tutte quelle lettere in cui chiedono un mucchio di stupidaggini... libri di incantesimi, bacchette magiche...» «Se lui vuole andarsene, neanche un grosso Babbano come te riuscirà a fermarlo» ringhiò Hagrid.
HPitb1ch04-0274	impedire	«Impedire al figlio di Lily e James Potter di andare a Hogwarts!
HPitb1ch04-0275	iscrivere	È iscritto da quando è nato.
HPitb1ch04-0276	sette	Sette anni laggiù e non si riconoscerà più neanche lui.
HPitb1ch04-0277	laggiù	Sette anni laggiù e non si riconoscerà più neanche lui.
HPitb1ch04-0278	pagare	Starà insieme a giovani come lui, una volta tanto, sotto il più grande preside che Hogwarts ha mai avuto, Albus Silen...» «IO NON INTENDO PAGARE PERCHÉ UN VECCHIO PAZZO STRAVAGANTE GLI INSEGNI QUALCHE TRUCCHETTO!
HPitb1ch04-0279	insegnare	Starà insieme a giovani come lui, una volta tanto, sotto il più grande preside che Hogwarts ha mai avuto, Albus Silen...» «IO NON INTENDO PAGARE PERCHÉ UN VECCHIO PAZZO STRAVAGANTE GLI INSEGNI QUALCHE TRUCCHETTO!
HPitb1ch04-0280	trucco	Starà insieme a giovani come lui, una volta tanto, sotto il più grande preside che Hogwarts ha mai avuto, Albus Silen...» «IO NON INTENDO PAGARE PERCHÉ UN VECCHIO PAZZO STRAVAGANTE GLI INSEGNI QUALCHE TRUCCHETTO!
HPitb1ch04-0281	limite	Ma aveva superato il limite.
HPitb1ch04-0282	roteare	Hagrid afferrò l’ombrello e lo fece roteare sopra la testa.
HPitb1ch04-0283	insultare	«MAI...» tuonò, «INSULTARE – ALBUS – SILENTE – DAVANTI – A – ME!»
HPitb1ch04-0284	sferzare	Sferzando l’aria con l’ombrello, lo puntò contro Dudley:
HPitb1ch04-0285	violetto	ci fu un bagliore di luce violetta, uno scoppio come di petardo e un acuto squittio.
HPitb1ch04-0286	petardo	ci fu un bagliore di luce violetta, uno scoppio come di petardo e un acuto squittio.
HPitb1ch04-0287	acuto	ci fu un bagliore di luce violetta, uno scoppio come di petardo e un acuto squittio.
HPitb1ch04-0288	saltellare	Un attimo dopo, Dudley saltellava sul posto con le mani serrate sul grosso deretano, ululando di dolore.
HPitb1ch04-0289	deretano	Un attimo dopo, Dudley saltellava sul posto con le mani serrate sul grosso deretano, ululando di dolore.
HPitb1ch04-0290	volgere	Quando volse loro le spalle, Harry vide un codino arricciato da maiale che gli spuntava da un buco nei pantaloni.
HPitb1ch04-0291	codino	Quando volse loro le spalle, Harry vide un codino arricciato da maiale che gli spuntava da un buco nei pantaloni.
HPitb1ch04-0292	ruggito	Zio Vernon emise un ruggito.
HPitb1ch04-0293	spinto	Spinti zia Petunia e Dudley nella stanza accanto, gettò un ultimo sguardo terrorizzato a Hagrid e si sbatté la porta alle spalle.
HPitb1ch04-0294	terrorizzare	Spinti zia Petunia e Dudley nella stanza accanto, gettò un ultimo sguardo terrorizzato a Hagrid e si sbatté la porta alle spalle.
HPitb1ch04-0295	accarezzare	Hagrid guardò l’ombrello e si accarezzò la barba.
HPitb1ch04-0296	dolente	«Non dovevo dar di matto» disse con aria dolente.
HPitb1ch04-0297	tralice	Gettò uno sguardo in tralice a Harry da sotto le sopracciglia cespugliose.
HPitb1ch04-0298	sopracciglio	Gettò uno sguardo in tralice a Harry da sotto le sopracciglia cespugliose.
HPitb1ch04-0299	cespuglioso	Gettò uno sguardo in tralice a Harry da sotto le sopracciglia cespugliose.
HPitb1ch04-0300	missione	Mi è stato permesso di farne qualcuna, ma solo per seguire te e per portarti le lettere e roba del genere... e questa era una delle ragioni per cui desideravo tanto questa missione».
HPitb1ch04-0301	espellere	«Oh, be’, sai... anch’io una volta andavo a scuola a Hogwarts, ma... ehm... per dirla tutta, sono stato espulso.
HPitb1ch04-0302	terzo	Al terzo anno.
HPitb1ch04-0303	spezzare	Mi hanno spezzato la bacchetta a metà, eccetera eccetera.
HPitb1ch04-0304	eccetera	Mi hanno spezzato la bacchetta a metà, eccetera eccetera.
HPitb1ch04-0305	guardacaccia	Ma Silente mi ha permesso di rimanere come guardacaccia.
HPitb1ch04-0306	schiacciare	«Puoi schiacciare un pisolino qui sotto» disse.
HPitb1ch04-0307	pisolino	«Puoi schiacciare un pisolino qui sotto» disse.
HPitb1ch04-0308	ghiro	Credo che in una delle tasche sono rimasti un paio di ghiri».
