HPitb1ch01-0001	capitolo	CAPITOLO
HPitb1ch01-0170	tentare	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0171	bacio	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0172	mancare	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0173	momento	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0174	preda	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0175	furioso	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0176	capriccio	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0177	stare	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0178	scagliare	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0179	cereale	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0180	contro	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0181	muro	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
HPitb1ch01-0182	monello	«Piccolo monello!» commentò ridendo il signor Dursley mentre usciva di casa.
HPitb1ch01-0183	commentare	«Piccolo monello!» commentò ridendo il signor Dursley mentre usciva di casa.
HPitb1ch01-0184	ridere	«Piccolo monello!» commentò ridendo il signor Dursley mentre usciva di casa.
HPitb1ch01-0185	uscire	«Piccolo monello!» commentò ridendo il signor Dursley mentre usciva di casa.
HPitb1ch01-0186	casa	«Piccolo monello!» commentò ridendo il signor Dursley mentre usciva di casa.
HPitb1ch01-0187	salire	Salì in macchina e percorse in retromarcia il vialetto del numero 4.
HPitb1ch01-0188	macchina	Salì in macchina e percorse in retromarcia il vialetto del numero 4.
HPitb1ch01-0189	percorrere	Salì in macchina e percorse in retromarcia il vialetto del numero 4.
HPitb1ch01-0190	retromarcia	Salì in macchina e percorse in retromarcia il vialetto del numero 4.
HPitb1ch01-0191	viale	Salì in macchina e percorse in retromarcia il vialetto del numero 4.
HPitb1ch01-0192	angolo	Fu all’angolo della strada che notò le prime avvisaglie di qualcosa di strano:
HPitb1ch01-0193	strada	Fu all’angolo della strada che notò le prime avvisaglie di qualcosa di strano:
HPitb1ch01-0194	primo	Fu all’angolo della strada che notò le prime avvisaglie di qualcosa di strano:
HPitb1ch01-0195	avvisaglia	Fu all’angolo della strada che notò le prime avvisaglie di qualcosa di strano:
HPitb1ch01-0196	qualcosa	Fu all’angolo della strada che notò le prime avvisaglie di qualcosa di strano:
HPitb1ch01-0197	gatto	un gatto che leggeva una mappa.
HPitb1ch01-0198	leggere	un gatto che leggeva una mappa.
HPitb1ch01-0199	mappa	un gatto che leggeva una mappa.
HPitb1ch01-0200	attimo	Per un attimo, il signor Dursley non si rese conto di quel che aveva visto;
HPitb1ch01-0201	rendere	Per un attimo, il signor Dursley non si rese conto di quel che aveva visto;
HPitb1ch01-0202	conto	Per un attimo, il signor Dursley non si rese conto di quel che aveva visto;
HPitb1ch01-0203	poi	poi girò di scatto la testa e guardò di nuovo.
HPitb1ch01-0204	girare	poi girò di scatto la testa e guardò di nuovo.
HPitb1ch01-0205	scatto	poi girò di scatto la testa e guardò di nuovo.
HPitb1ch01-0206	testa	poi girò di scatto la testa e guardò di nuovo.
HPitb1ch01-0207	guardare	poi girò di scatto la testa e guardò di nuovo.
HPitb1ch01-0208	nuovo	poi girò di scatto la testa e guardò di nuovo.
HPitb1ch01-0209	effetto	In effetti c’era un gatto soriano all’angolo di Privet Drive, ma di mappe nemmeno l’ombra.
HPitb1ch01-0210	soriano	In effetti c’era un gatto soriano all’angolo di Privet Drive, ma di mappe nemmeno l’ombra.
HPitb1ch01-0211	nemmeno	In effetti c’era un gatto soriano all’angolo di Privet Drive, ma di mappe nemmeno l’ombra.
HPitb1ch01-0212	ombra	In effetti c’era un gatto soriano all’angolo di Privet Drive, ma di mappe nemmeno l’ombra.
HPitb1ch01-0213	diavolo	Ma che diavolo aveva per la testa?
HPitb1ch01-0214	luce	La luce doveva avergli giocato qualche brutto tiro.
HPitb1ch01-0215	dovere	La luce doveva avergli giocato qualche brutto tiro.
HPitb1ch01-0216	giocare	La luce doveva avergli giocato qualche brutto tiro.
HPitb1ch01-0217	qualche	La luce doveva avergli giocato qualche brutto tiro.
HPitb1ch01-0218	brutto	La luce doveva avergli giocato qualche brutto tiro.
HPitb1ch01-0219	tiro	La luce doveva avergli giocato qualche brutto tiro.
HPitb1ch01-0220	stropicciare	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
HPitb1ch01-0221	occhio	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
HPitb1ch01-0222	fissare	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
HPitb1ch01-0223	gli	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
HPitb1ch01-0224	ricambiare	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
HPitb1ch01-0225	occhiata	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
HPitb1ch01-0226	auto	Mentre l’auto girava l’angolo e percorreva un tratto di strada, il signor Dursley tenne d’occhio il gatto nello specchietto retrovisore.
HPitb1ch01-0227	tratto	Mentre l’auto girava l’angolo e percorreva un tratto di strada, il signor Dursley tenne d’occhio il gatto nello specchietto retrovisore.
HPitb1ch01-0228	specchietto	Mentre l’auto girava l’angolo e percorreva un tratto di strada, il signor Dursley tenne d’occhio il gatto nello specchietto retrovisore.
HPitb1ch01-0229	retrovisore	Mentre l’auto girava l’angolo e percorreva un tratto di strada, il signor Dursley tenne d’occhio il gatto nello specchietto retrovisore.
HPitb1ch01-0230	felino	In quel momento il felino stava leggendo il cartello stradale che indicava Privet Drive.
HPitb1ch01-0231	cartello	In quel momento il felino stava leggendo il cartello stradale che indicava Privet Drive.
HPitb1ch01-0232	stradale	In quel momento il felino stava leggendo il cartello stradale che indicava Privet Drive.
HPitb1ch01-0233	indicare	In quel momento il felino stava leggendo il cartello stradale che indicava Privet Drive.
HPitb1ch01-0234	no	No, lo stava guardando;
HPitb1ch01-0235	neanche	i gatti non sanno leggere le mappe e neanche i cartelli stradali.
HPitb1ch01-0236	riscuotersi	Il signor Dursley si riscosse da quei pensieri e allontanò il gatto dalla mente.
HPitb1ch01-0237	allontanare	Il signor Dursley si riscosse da quei pensieri e allontanò il gatto dalla mente.
HPitb1ch01-0238	mente	Il signor Dursley si riscosse da quei pensieri e allontanò il gatto dalla mente.
HPitb1ch01-0239	dirigere	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
HPitb1ch01-0240	città	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
HPitb1ch01-0241	pensare	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
HPitb1ch01-0242	ordine	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
HPitb1ch01-0243	sperare	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
HPitb1ch01-0244	ricevere	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
HPitb1ch01-0245	giorno	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
HPitb1ch01-0246	giungere	Ma una volta giunto alla periferia della città, avvenne qualcos’altro che gli fece dimenticare i trapani.
HPitb1ch01-0247	periferia	Ma una volta giunto alla periferia della città, avvenne qualcos’altro che gli fece dimenticare i trapani.
HPitb1ch01-0248	avvenire	Ma una volta giunto alla periferia della città, avvenne qualcos’altro che gli fece dimenticare i trapani.
HPitb1ch01-0249	dimenticare	Ma una volta giunto alla periferia della città, avvenne qualcos’altro che gli fece dimenticare i trapani.
HPitb1ch01-0250	bloccare	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
HPitb1ch01-0251	solito	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
HPitb1ch01-0252	ingorgo	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
HPitb1ch01-0253	mattino	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
HPitb1ch01-0254	meno	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
HPitb1ch01-0255	giro	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
HPitb1ch01-0256	sacco	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
HPitb1ch01-0257	vestire	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
HPitb1ch01-0258	modo	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
HPitb1ch01-0259	gente	Gente con indosso dei mantelli.
HPitb1ch01-0260	indosso	Gente con indosso dei mantelli.
HPitb1ch01-0261	mantello	Gente con indosso dei mantelli.
HPitb1ch01-0262	stravagante	Il signor Dursley non sopportava le persone che si vestivano in modo stravagante:
HPitb1ch01-0263	bastare	bastava vedere come si conciavano certi giovani!
HPitb1ch01-0264	come	bastava vedere come si conciavano certi giovani!
HPitb1ch01-0265	conciarsi	bastava vedere come si conciavano certi giovani!
HPitb1ch01-0266	certo	bastava vedere come si conciavano certi giovani!
HPitb1ch01-0267	giovane	bastava vedere come si conciavano certi giovani!
HPitb1ch01-0268	immaginare	Immaginò che si trattasse di qualche stupidissima nuova moda.
HPitb1ch01-0269	trattare	Immaginò che si trattasse di qualche stupidissima nuova moda.
HPitb1ch01-0270	stupido	Immaginò che si trattasse di qualche stupidissima nuova moda.
HPitb1ch01-0271	moda	Immaginò che si trattasse di qualche stupidissima nuova moda.
HPitb1ch01-0272	tamburellare	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
HPitb1ch01-0273	dito	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
HPitb1ch01-0274	volante	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
HPitb1ch01-0275	sguardo	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
HPitb1ch01-0276	cadere	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
HPitb1ch01-0277	capannello	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
HPitb1ch01-0278	strampalato	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
HPitb1ch01-0279	lui	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
HPitb1ch01-0280	bisbigliare	Si stavano bisbigliando qualcosa tutti eccitati.
HPitb1ch01-0281	eccitato	Si stavano bisbigliando qualcosa tutti eccitati.
HPitb1ch01-0282	sentire	Il signor Dursley sentì montare la rabbia nel constatare che un paio di loro erano tutt’altro che giovani.
HPitb1ch01-0283	montare	Il signor Dursley sentì montare la rabbia nel constatare che un paio di loro erano tutt’altro che giovani.
HPitb1ch01-0284	rabbia	Il signor Dursley sentì montare la rabbia nel constatare che un paio di loro erano tutt’altro che giovani.
HPitb1ch01-0285	constatare	Il signor Dursley sentì montare la rabbia nel constatare che un paio di loro erano tutt’altro che giovani.
HPitb1ch01-0286	roba	Ma che roba!
HPitb1ch01-0287	anziano	Quello lì doveva essere più anziano di lui e portava un mantello verde smeraldo!
HPitb1ch01-0288	portare	Quello lì doveva essere più anziano di lui e portava un mantello verde smeraldo!
HPitb1ch01-0289	verde	Quello lì doveva essere più anziano di lui e portava un mantello verde smeraldo!
HPitb1ch01-0290	smeraldo	Quello lì doveva essere più anziano di lui e portava un mantello verde smeraldo!
HPitb1ch01-0291	tosto	Che faccia tosta!
HPitb1ch01-0292	pero_2	Poi però pensò che potesse trattarsi di qualche sciocca trovata.
HPitb1ch01-0293	sciocco	Poi però pensò che potesse trattarsi di qualche sciocca trovata.
HPitb1ch01-0294	trovata	Poi però pensò che potesse trattarsi di qualche sciocca trovata.
HPitb1ch01-0295	colletta	Era gente che faceva una colletta per qualche motivo.
HPitb1ch01-0296	motivo	Era gente che faceva una colletta per qualche motivo.
HPitb1ch01-0297	si_2	Sì, doveva essere proprio così.
HPitb1ch01-0298	traffico	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
HPitb1ch01-0299	riprendere	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
HPitb1ch01-0300	scorrere	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
HPitb1ch01-0301	alcuno	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
HPitb1ch01-0302	minuto	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
HPitb1ch01-0303	tardi	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
HPitb1ch01-0304	parcheggio	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
HPitb1ch01-0305	ufficio	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
HPitb1ch01-0306	nono	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
HPitb1ch01-0307	piano	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
HPitb1ch01-0308	sedere	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
HPitb1ch01-0309	sempre	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
HPitb1ch01-0310	schiena	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
HPitb1ch01-0311	rivolgere	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
HPitb1ch01-0312	ancora	Se così non fosse stato, quella mattina avrebbe avuto ancor più difficoltà a concentrarsi sui suoi trapani.
HPitb1ch01-0313	difficoltà	Se così non fosse stato, quella mattina avrebbe avuto ancor più difficoltà a concentrarsi sui suoi trapani.
HPitb1ch01-0314	concentrarsi	Se così non fosse stato, quella mattina avrebbe avuto ancor più difficoltà a concentrarsi sui suoi trapani.
HPitb1ch01-0315	volare	Lui non vide i gufi volare a sciami in pieno giorno, ma la gente per strada sì.
HPitb1ch01-0316	sciame	Lui non vide i gufi volare a sciami in pieno giorno, ma la gente per strada sì.
HPitb1ch01-0317	pieno	Lui non vide i gufi volare a sciami in pieno giorno, ma la gente per strada sì.
HPitb1ch01-0318	li	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
HPitb1ch01-0319	additare	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
HPitb1ch01-0320	bocca	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
HPitb1ch01-0321	aperto	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
HPitb1ch01-0322	velocità	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
HPitb1ch01-0323	dopo	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
HPitb1ch01-0324	sopra	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
HPitb1ch01-0325	maggiore	La maggior parte di quelle persone non aveva mai visto un gufo neanche di notte.
HPitb1ch01-0326	notte	La maggior parte di quelle persone non aveva mai visto un gufo neanche di notte.
HPitb1ch01-0327	ciononostante	Ciononostante, il signor Dursley ebbe il privilegio di una mattinata perfettamente normale, del tutto immune dai gufi.
HPitb1ch01-0328	privilegio	Ciononostante, il signor Dursley ebbe il privilegio di una mattinata perfettamente normale, del tutto immune dai gufi.
HPitb1ch01-0329	mattinata	Ciononostante, il signor Dursley ebbe il privilegio di una mattinata perfettamente normale, del tutto immune dai gufi.
HPitb1ch01-0330	immune	Ciononostante, il signor Dursley ebbe il privilegio di una mattinata perfettamente normale, del tutto immune dai gufi.
HPitb1ch01-0331	ganghero	Uscì dai gangheri con cinque persone diverse.
HPitb1ch01-0332	cinque	Uscì dai gangheri con cinque persone diverse.
HPitb1ch01-0333	molto	Fece molte telefonate importanti e qualche altro urlaccio.
HPitb1ch01-0334	telefonata	Fece molte telefonate importanti e qualche altro urlaccio.
HPitb1ch01-0335	importante	Fece molte telefonate importanti e qualche altro urlaccio.
HPitb1ch01-0336	urlo	Fece molte telefonate importanti e qualche altro urlaccio.
HPitb1ch01-0337	fino	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
HPitb1ch01-0338	ora	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
HPitb1ch01-0339	pranzo	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
HPitb1ch01-0340	umore	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
HPitb1ch01-0341	mantenersi	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
HPitb1ch01-0342	ottimo	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
HPitb1ch01-0343	punto	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
HPitb1ch01-0344	decidere	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
HPitb1ch01-0345	sgranchire	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
HPitb1ch01-0346	gamba	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
HPitb1ch01-0347	attraversare	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
HPitb1ch01-0348	andare	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
HPitb1ch01-0349	comprare	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
HPitb1ch01-0350	ciambella	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
HPitb1ch01-0351	fornaio	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
HPitb1ch01-0352	fronte	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
HPitb1ch01-0353	completamente	Aveva completamente dimenticato le persone con il mantello fino a che non ne superò un gruppetto proprio accanto al fornaio.
HPitb1ch01-0354	ne	Aveva completamente dimenticato le persone con il mantello fino a che non ne superò un gruppetto proprio accanto al fornaio.
HPitb1ch01-0355	superare	Aveva completamente dimenticato le persone con il mantello fino a che non ne superò un gruppetto proprio accanto al fornaio.
HPitb1ch01-0356	gruppetto	Aveva completamente dimenticato le persone con il mantello fino a che non ne superò un gruppetto proprio accanto al fornaio.
HPitb1ch01-0357	accanto	Aveva completamente dimenticato le persone con il mantello fino a che non ne superò un gruppetto proprio accanto al fornaio.
HPitb1ch01-0358	scoccare	Mentre passava, scoccò loro un’occhiata furente.
HPitb1ch01-0359	furente	Mentre passava, scoccò loro un’occhiata furente.
HPitb1ch01-0360	mettere	Non sapeva perché, ma lo mettevano a disagio.
HPitb1ch01-0361	disagio	Non sapeva perché, ma lo mettevano a disagio.
HPitb1ch01-0362	cassetta	Anche queste bisbigliavano tutte eccitate, ma di cassette per raccogliere le offerte non ne vide neanche una.
HPitb1ch01-0363	raccogliere	Anche queste bisbigliavano tutte eccitate, ma di cassette per raccogliere le offerte non ne vide neanche una.
HPitb1ch01-0364	offerta	Anche queste bisbigliavano tutte eccitate, ma di cassette per raccogliere le offerte non ne vide neanche una.
HPitb1ch01-0365	ritorno	Fu passando loro accanto di ritorno dal fornaio, con un’enorme ciambella in un sacchetto, che colse qualcosa di quello che stavano dicendo.
HPitb1ch01-0366	enorme	Fu passando loro accanto di ritorno dal fornaio, con un’enorme ciambella in un sacchetto, che colse qualcosa di quello che stavano dicendo.
HPitb1ch01-0367	sacchetto	Fu passando loro accanto di ritorno dal fornaio, con un’enorme ciambella in un sacchetto, che colse qualcosa di quello che stavano dicendo.
HPitb1ch01-0368	cogliere	Fu passando loro accanto di ritorno dal fornaio, con un’enorme ciambella in un sacchetto, che colse qualcosa di quello che stavano dicendo.
HPitb1ch01-0369	già	«I Potter, proprio così, è quel che ho sentito...» «...già, il figlio, Harry...» Il signor Dursley si fermò di colpo.
HPitb1ch01-0370	fermarsi	«I Potter, proprio così, è quel che ho sentito...» «...già, il figlio, Harry...» Il signor Dursley si fermò di colpo.
HPitb1ch01-0371	colpo	«I Potter, proprio così, è quel che ho sentito...» «...già, il figlio, Harry...» Il signor Dursley si fermò di colpo.
HPitb1ch01-0372	invadere	Fu invaso dalla paura.
HPitb1ch01-0373	paura	Fu invaso dalla paura.
HPitb1ch01-0374	voltarsi	Si voltò a guardare il capannello come se volesse dire qualcosa, ma poi ci ripensò.
HPitb1ch01-0375	ci	Si voltò a guardare il capannello come se volesse dire qualcosa, ma poi ci ripensò.
HPitb1ch01-0376	ripensare	Si voltò a guardare il capannello come se volesse dire qualcosa, ma poi ci ripensò.
HPitb1ch01-0377	precipitosamente	Attraversò la strada precipitosamente e raggiunse in tutta fretta il suo ufficio;
HPitb1ch01-0378	raggiungere	Attraversò la strada precipitosamente e raggiunse in tutta fretta il suo ufficio;
HPitb1ch01-0379	fretta	Attraversò la strada precipitosamente e raggiunse in tutta fretta il suo ufficio;
HPitb1ch01-0380	intimare	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
HPitb1ch01-0381	segretario	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
HPitb1ch01-0382	disturbare	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
HPitb1ch01-0383	afferrare	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
HPitb1ch01-0384	telefono	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
HPitb1ch01-0385	finire	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
HPitb1ch01-0386	cambiare	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
HPitb1ch01-0387	idea	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
HPitb1ch01-0388	giù	Mise giù il ricevitore, si lisciò i baffi, pensando... no, era stato uno stupido.
HPitb1ch01-0389	ricevitore	Mise giù il ricevitore, si lisciò i baffi, pensando... no, era stato uno stupido.
HPitb1ch01-0390	lisciare	Mise giù il ricevitore, si lisciò i baffi, pensando... no, era stato uno stupido.
HPitb1ch01-0391	insolito	Potter non era poi un nome così insolito.
HPitb1ch01-0392	miriade	Era certo che esistessero miriadi di persone che si chiamavano Potter e avevano un figlio di nome Harry.
HPitb1ch01-0393	chiamarsi	Era certo che esistessero miriadi di persone che si chiamavano Potter e avevano un figlio di nome Harry.
HPitb1ch01-0394	sicuro	E poi, ora che ci pensava, non era neanche tanto sicuro che suo nipote si chiamasse proprio Harry.
HPitb1ch01-0395	nipote	E poi, ora che ci pensava, non era neanche tanto sicuro che suo nipote si chiamasse proprio Harry.
HPitb1ch01-0396	resto	Del resto, non lo aveva neanche mai visto.
HPitb1ch01-0397	impensierire	Non c’era ragione di impensierire la signora Dursley;
HPitb1ch01-0398	la	se la prendeva tanto ogni volta che le si parlava della sorella!
HPitb1ch01-0399	ogni	se la prendeva tanto ogni volta che le si parlava della sorella!
HPitb1ch01-0400	parlare	se la prendeva tanto ogni volta che le si parlava della sorella!
HPitb1ch01-0401	dare	E non poteva darle torto:
