benché           	benché          	Benché si rendesse conto che era giorno fatto, tenne gli occhi ben chiusi.
esposte          	esporre         	i negozi, le cose esposte all’esterno, la gente che faceva compere.
esterno          	esterno         	i negozi, le cose esposte all’esterno, la gente che faceva compere.
compere          	compera         	i negozi, le cose esposte all’esterno, la gente che faceva compere.
bottega          	bottega         	Mentre passavano, una donna grassottella, appena uscita dalla bottega di uno speziale, scuoteva la testa commentando:
speziale         	speziale        	Mentre passavano, una donna grassottella, appena uscita dalla bottega di uno speziale, scuoteva la testa commentando:
fegato           	fegato          	«Fegato di drago sedici falci l’oncia:
falci            	falco           	«Fegato di drago sedici falci l’oncia:
oncia            	oncia           	«Fegato di drago sedici falci l’oncia:
emporio          	emporio         	‘Emporio del Gufo di Eeylop:
allocchi         	allocco         	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
barbagianni      	barbagianni     	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
granai           	granaio         	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
civette          	civetta         	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
nevi             	neve            	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
chiurlare        	chiurlare       	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
sommesso         	sommesso        	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
duemila          	duemila         	«Guarda» Harry sentì dire uno di loro, «la Nimbus Duemila, la più veloce di tutte».
abiti            	abito           	Alcuni negozi vendevano abiti, altri telescopi e bizzarri strumenti d’argento che Harry non aveva mai visto prima;
strumenti        	strumento       	Alcuni negozi vendevano abiti, altri telescopi e bizzarri strumenti d’argento che Harry non aveva mai visto prima;
stipate          	stipato         	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
barili           	barile          	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
milze            	milza           	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
pipistrello      	pipistrello     	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
pupille          	pupilla         	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
anguilla         	anguilla        	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
traballanti      	traballante     	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
boccette         	boccetta        	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
globi            	globo           	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
lunari           	lunare          	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
bianco           	bianco          	Erano giunti a un edificio bianco come la neve che svettava sopra le piccole botteghe.
svettava         	svettare        	Erano giunti a un edificio bianco come la neve che svettava sopra le piccole botteghe.
ritto            	ritto           	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
portale          	portale         	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
brunito          	brunire         	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
scarlatta        	scarlatto       	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
tranquillo       	tranquillo      	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
scalini          	scalino         	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
candida          	candido         	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
colorito         	colorito        	Aveva un viso dal colorito scuro e dall’aria intelligente, una barba a punta e, come Harry poté notare, dita e piedi molto lunghi.
scuro            	scuro           	Aveva un viso dal colorito scuro e dall’aria intelligente, una barba a punta e, come Harry poté notare, dita e piedi molto lunghi.
intelligente     	intelligente    	Aveva un viso dal colorito scuro e dall’aria intelligente, una barba a punta e, come Harry poté notare, dita e piedi molto lunghi.
inchinò          	inchinarsi      	Si inchinò al loro passaggio.
passaggio        	passaggio       	Si inchinò al loro passaggio.
incise           	incidere        	Ora si trovavano di fronte una seconda porta, questa volta d’argento, su cui erano incise le seguenti parole:
straniero        	straniero       	Entra, straniero, ma ti ricordo cosa spetta a chi è ingordo.
ingordo          	ingordo         	Entra, straniero, ma ti ricordo cosa spetta a chi è ingordo.
meritare         	meritare        	Chi prende senza meritare molto cara la dovrà pagare.
sotterranei      	sotterraneo     	Quindi se cerchi nei sotterranei qui da noi tesori che non furono mai tuoi, sta’ attento, ladro, sei avvisato:
attento          	attento         	Quindi se cerchi nei sotterranei qui da noi tesori che non furono mai tuoi, sta’ attento, ladro, sei avvisato:
ladro            	ladro           	Quindi se cerchi nei sotterranei qui da noi tesori che non furono mai tuoi, sta’ attento, ladro, sei avvisato:
avvisato         	avvisare        	Quindi se cerchi nei sotterranei qui da noi tesori che non furono mai tuoi, sta’ attento, ladro, sei avvisato:
riservato        	riservare       	ben altro che un tesoro ti è riservato.
rapinare         	rapinare        	«Come ho detto, bisogna davvero essere matti a cercare di rapinare questa banca» disse Hagrid.
introdusse       	introdurre      	Quando attraversarono la porta d’argento, una coppia di goblin si inchinò davanti a loro e li introdusse in un grande salone marmoreo.
salone           	salone          	Quando attraversarono la porta d’argento, una coppia di goblin si inchinò davanti a loro e li introdusse in un grande salone marmoreo.
marmoreo         	marmoreo        	Quando attraversarono la porta d’argento, una coppia di goblin si inchinò davanti a loro e li introdusse in un grande salone marmoreo.
scranni          	scranno         	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
scribacchiavano  	scribacchiare   	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
mastri           	mastro          	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
pesavano         	pesare          	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
preziose         	prezioso        	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
lente            	lente           	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
numerose         	numeroso        	Le porte erano troppo numerose per poterle contare, e altri goblin erano occupati ad aprirle e richiuderle per fare entrare e uscire le persone.
libero           	libero          	«’Giorno» disse Hagrid a un goblin che in quel momento era libero.
cassaforte       	cassaforte      	«Siamo venuti a prendere un po’ di soldi dalla cassaforte del signor Harry Potter».
svuotare         	svuotare        	» «Ce l’ho qui, da qualche parte» fece Hagrid, cominciando a svuotare le tasche sul banco e sparpagliando sul libro contabile del goblin una manciata di biscotti ammuffiti per cani.
sparpagliando    	sparpagliare    	» «Ce l’ho qui, da qualche parte» fece Hagrid, cominciando a svuotare le tasche sul banco e sparpagliando sul libro contabile del goblin una manciata di biscotti ammuffiti per cani.
contabile        	contabile       	» «Ce l’ho qui, da qualche parte» fece Hagrid, cominciando a svuotare le tasche sul banco e sparpagliando sul libro contabile del goblin una manciata di biscotti ammuffiti per cani.
biscotti         	biscotto        	» «Ce l’ho qui, da qualche parte» fece Hagrid, cominciando a svuotare le tasche sul banco e sparpagliando sul libro contabile del goblin una manciata di biscotti ammuffiti per cani.
storse           	storcere        	Il goblin storse il naso.
rubini           	rubino          	Harry, intanto, osservava un altro goblin alla loro destra pesare un mucchio di rubini rossi come tizzoni accesi.
tizzoni          	tizzone         	Harry, intanto, osservava un altro goblin alla loro destra pesare un mucchio di rubini rossi come tizzoni accesi.
ostentando       	ostentare       	«E qui ho anche una lettera del professor Silente» disse Hagrid col petto in fuori, ostentando un’aria d’importanza.
importanza       	importanza      	«E qui ho anche una lettera del professor Silente» disse Hagrid col petto in fuori, ostentando un’aria d’importanza.
restituendola    	restituire      	«Molto bene» disse restituendola a Hagrid, «qualcuno vi accompagnerà in entrambe le camere blindate.
permesso         	permesso        	Non ho il permesso di dirtelo».
marmo            	marmo           	Harry, che si era aspettato di vedere altro marmo, restò sorpreso.
sorpreso         	sorprendere     	Harry, che si era aspettato di vedere altro marmo, restò sorpreso.
torce            	torcia          	Si trovarono in uno stretto passaggio di pietra, illuminato da torce.
ripido           	ripido          	Scendeva ripido e scosceso e per terra correvano i binari di una piccola ferrovia.
scosceso         	scosceso        	Scendeva ripido e scosceso e per terra correvano i binari di una piccola ferrovia.
binari           	binario         	Scendeva ripido e scosceso e per terra correvano i binari di una piccola ferrovia.
ferrovia         	ferrovia        	Scendeva ripido e scosceso e per terra correvano i binari di una piccola ferrovia.
carrello         	carrello        	Griphook fischiò e un piccolo carrello arrivò sferragliando verso di loro.
sferragliando    	sferragliare    	Griphook fischiò e un piccolo carrello arrivò sferragliando verso di loro.
principio        	principio       	Da principio percorsero un dedalo di passaggi tortuosi.
dedalo           	dedalo          	Da principio percorsero un dedalo di passaggi tortuosi.
tortuosi         	tortuoso        	Da principio percorsero un dedalo di passaggi tortuosi.
sinistra         	sinistra        	sinistra, destra, destra, sinistra, bivio di mezzo, destra, sinistra, ma era impossibile.
bivio            	bivio           	sinistra, destra, destra, sinistra, bivio di mezzo, destra, sinistra, ma era impossibile.
manovrava        	manovrare       	Il carrello sferragliante sembrava conoscere da solo la strada, perché Griphook non manovrava.
fiammata         	fiammata        	A un certo punto, credette di scorgere una fiammata in fondo a un passaggio e si girò per vedere se era un drago, ma troppo tardi:
fondo            	fondo           	A un certo punto, credette di scorgere una fiammata in fondo a un passaggio e si girò per vedere se era un drago, ma troppo tardi:
lago             	lago            	scesero ancora più giù, superando un lago sotterraneo dove, dal soffitto e dal pavimento, spuntavano enormi stalattiti e stalagmiti.
stalattiti       	stalattite      	scesero ancora più giù, superando un lago sotterraneo dove, dal soffitto e dal pavimento, spuntavano enormi stalattiti e stalagmiti.
stalagmiti       	stalagmite      	scesero ancora più giù, superando un lago sotterraneo dove, dal soffitto e dal pavimento, spuntavano enormi stalattiti e stalagmiti.
differenza       	differenza      	«Non mi ricordo mai... che differenza c’è fra stalagmiti e stalattiti?
sovrastare       	sovrastare      	» gridò Harry a Hagrid, cercando di sovrastare con la voce il frastuono del carrello.
frastuono        	frastuono       	» gridò Harry a Hagrid, cercando di sovrastare con la voce il frastuono del carrello.
corridoio        	corridoio       	Infatti aveva un colorito verde, e quando scese, dopo che il carrello si fu finalmente fermato accanto a una porticina sul muro di un corridoio, dovette appoggiarsi alla parete per farsi passare la tremarella alle gambe.
appoggiarsi      	appoggiarsi     	Infatti aveva un colorito verde, e quando scese, dopo che il carrello si fu finalmente fermato accanto a una porticina sul muro di un corridoio, dovette appoggiarsi alla parete per farsi passare la tremarella alle gambe.
tremarella       	tremarella      	Infatti aveva un colorito verde, e quando scese, dopo che il carrello si fu finalmente fermato accanto a una porticina sul muro di un corridoio, dovette appoggiarsi alla parete per farsi passare la tremarella alle gambe.
fuoruscì         	fuoruscire      	Ne fuoruscì una nube di fumo verde e, quando si fu dissipata, Harry rimase senza fiato.
nube             	nube            	Ne fuoruscì una nube di fumo verde e, quando si fu dissipata, Harry rimase senza fiato.
dissipata        	dissiparsi      	Ne fuoruscì una nube di fumo verde e, quando si fu dissipata, Harry rimase senza fiato.
montagne         	montagna        	Dentro, c’erano montagne di monete d’oro.
cumuli           	cumulo          	Cumuli d’argento.
mantenerlo       	mantenere       	Quante volte si erano lamentati di quel che gli costava mantenerlo?
sepolta          	sepolto         	E pensare che sepolta nelle viscere di Londra c’era da sempre una piccola fortuna che gli apparteneva.
viscere          	viscere         	E pensare che sepolta nelle viscere di Londra c’era da sempre una piccola fortuna che gli apparteneva.
aiutò            	aiutare         	Hagrid aiutò Harry a raccogliere un po’ di quel bendidio in una borsa.
bendidio         	bendidio        	Hagrid aiutò Harry a raccogliere un po’ di quel bendidio in una borsa.
borsa            	borsa           	Hagrid aiutò Harry a raccogliere un po’ di quel bendidio in una borsa.
galeoni          	galeone         	«Quelli d’oro sono galeoni» spiegò.
diciassette      	diciassette     	«Diciassette falci d’argento fanno un galeone e ventinove zellini fanno una falce:
falci            	falce           	«Diciassette falci d’argento fanno un galeone e ventinove zellini fanno una falce:
trimestri        	trimestre       	Bene, questo dovrebbe bastare per un paio di trimestri.
favore           	favore          	«E ora, alla camera blindata settecentotredici, per favore, non è che... si può andare più piano?
stavolta         	stavolta        	Stavolta scesero ancora più giù, guadagnando velocità.
guadagnando      	guadagnare      	Stavolta scesero ancora più giù, guadagnando velocità.
oltrepassarono   	oltrepassare    	Oltrepassarono sferragliando un burrone sotterraneo e Harry si sporse fuori per cercare di vedere quel che c’era nel fondo, immerso nell’oscurità, ma Hagrid, con un ruggito, lo tirò dentro afferrandolo per la collottola.
burrone          	burrone         	Oltrepassarono sferragliando un burrone sotterraneo e Harry si sporse fuori per cercare di vedere quel che c’era nel fondo, immerso nell’oscurità, ma Hagrid, con un ruggito, lo tirò dentro afferrandolo per la collottola.
sporse           	sporgere        	Oltrepassarono sferragliando un burrone sotterraneo e Harry si sporse fuori per cercare di vedere quel che c’era nel fondo, immerso nell’oscurità, ma Hagrid, con un ruggito, lo tirò dentro afferrandolo per la collottola.
immerso          	immergere       	Oltrepassarono sferragliando un burrone sotterraneo e Harry si sporse fuori per cercare di vedere quel che c’era nel fondo, immerso nell’oscurità, ma Hagrid, con un ruggito, lo tirò dentro afferrandolo per la collottola.
oscurità         	oscurità        	Oltrepassarono sferragliando un burrone sotterraneo e Harry si sporse fuori per cercare di vedere quel che c’era nel fondo, immerso nell’oscurità, ma Hagrid, con un ruggito, lo tirò dentro afferrandolo per la collottola.
dandosi          	darsi           	«State indietro» disse Griphook, dandosi un’aria d’importanza.
chiunque         	chiunque        	«Chiunque non fosse un goblin della Gringott e provasse a farlo, verrebbe risucchiato attraverso la porta rimanendo imprigionato dentro» disse Griphook.
risucchiato      	risucchiare     	«Chiunque non fosse un goblin della Gringott e provasse a farlo, verrebbe risucchiato attraverso la porta rimanendo imprigionato dentro» disse Griphook.
imprigionato     	imprigionare    	«Chiunque non fosse un goblin della Gringott e provasse a farlo, verrebbe risucchiato attraverso la porta rimanendo imprigionato dentro» disse Griphook.
sicurezza        	sicurezza       	Dentro quella camera blindata di massima sicurezza doveva esserci qualcosa di veramente straordinario, Harry ne era certo;
straordinario    	straordinario   	Dentro quella camera blindata di massima sicurezza doveva esserci qualcosa di veramente straordinario, Harry ne era certo;
curiosità        	curiosità       	così, si sporse in avanti pieno di curiosità, aspettandosi di vedere come minimo gioielli favolosi, ma in un primo momento pensò che fosse vuota.
gioielli         	gioiello        	così, si sporse in avanti pieno di curiosità, aspettandosi di vedere come minimo gioielli favolosi, ma in un primo momento pensò che fosse vuota.
favolosi         	favoloso        	così, si sporse in avanti pieno di curiosità, aspettandosi di vedere come minimo gioielli favolosi, ma in un primo momento pensò che fosse vuota.
carta            	carta           	Poi notò, sul pavimento, un pacchettino tutto sporco, avvolto in una carta marrone.
accuratamente    	accuratamente   	Hagrid lo raccolse e lo ripose accuratamente nel suo pastrano.
voglia           	voglia          	Harry bruciava dalla voglia di sapere che cosa fosse, ma sentiva che era meglio non chiedere.
dannato          	dannato         	«Andiamo, dai, di nuovo su quel dannato carrello, e non mi parlare finché non siamo arrivati:
accecati         	accecare        	Una volta usciti dalla Gringott, dopo la pazza corsa di ritorno, rimasero un poco a sbattere le palpebre, accecati dalla luce del sole.
zeppa            	zeppa           	Anche se ora aveva una borsa piena zeppa di soldi, Harry non sapeva da dove iniziare a fare i suoi acquisti.
acquisti         	acquisto        	Anche se ora aveva una borsa piena zeppa di soldi, Harry non sapeva da dove iniziare a fare i suoi acquisti.
sterlina         	sterlina        	Non aveva bisogno di sapere quanti galeoni entravano in una sterlina per capire che disponeva di più denaro di quanto non ne avesse mai avuto in vita sua:
disponeva        	disporre        	Non aveva bisogno di sapere quanti galeoni entravano in una sterlina per capire che disponeva di più denaro di quanto non ne avesse mai avuto in vita sua:
accennando       	accennare       	«Potremmo andare per la tua uniforme» disse Hagrid accennando con la testa al negozio di ‘Madame Malkin:
occasioni        	occasione       	abiti per tutte le occasioni’.
nervosismo       	nervosismo      	Aveva ancora l’aria un po’ sbattuta e quindi Harry entrò da solo nel negozio di Madame Malkin, con un certo nervosismo.
tarchiata        	tarchiato       	Madame Malkin era una strega tarchiata, sorridente e tutta vestita di color malva.
malva            	malva           	Madame Malkin era una strega tarchiata, sorridente e tutta vestita di color malva.
occorrente       	occorrente      	«Ho qui tutto l’occorrente... Di là c’è un altro giovanotto che sta provando l’uniforme».
affilato         	affilato        	Nel retro del negozio, un ragazzino dal viso pallido e affilato stava ritto su uno sgabello, mentre un’altra strega gli appuntava con gli spilli l’orlo di una lunga tunica nera.
sgabello         	sgabello        	Nel retro del negozio, un ragazzino dal viso pallido e affilato stava ritto su uno sgabello, mentre un’altra strega gli appuntava con gli spilli l’orlo di una lunga tunica nera.
appuntava        	appuntare       	Nel retro del negozio, un ragazzino dal viso pallido e affilato stava ritto su uno sgabello, mentre un’altra strega gli appuntava con gli spilli l’orlo di una lunga tunica nera.
orlo             	orlo            	Nel retro del negozio, un ragazzino dal viso pallido e affilato stava ritto su uno sgabello, mentre un’altra strega gli appuntava con gli spilli l’orlo di una lunga tunica nera.
veste            	veste           	Madame Malkin fece salire Harry su un altro sgabello vicino al primo, infilò anche a lui una lunga veste dalla testa e cominciò ad appuntarla per farla della giusta lunghezza.
lunghezza        	lunghezza       	Madame Malkin fece salire Harry su un altro sgabello vicino al primo, infilò anche a lui una lunga veste dalla testa e cominciò ad appuntarla per farla della giusta lunghezza.
ciao             	ciao            	«Ciao» disse il ragazzo.
annoiata         	annoiato        	Aveva una voce annoiata e strascicata.
strascicata      	strascicare     	Aveva una voce annoiata e strascicata.
giochi           	gioco           	«Non giochi a Quidditch?
delitto          	delitto         	Papà dice che sarebbe un delitto se non mi scegliessero per far parte della squadra della mia Casa, e devo dire che non posso che essere d’accordo.
squadra          	squadra         	Papà dice che sarebbe un delitto se non mi scegliessero per far parte della squadra della mia Casa, e devo dire che non posso che essere d’accordo.
rammaricandosi   	rammaricarsi    	» «Mmm...» rispose Harry, rammaricandosi di non riuscire a dire niente di più interessante.
interessante     	interessante    	» «Mmm...» rispose Harry, rammaricandosi di non riuscire a dire niente di più interessante.
principale       	principale      	disse d’un tratto il ragazzo indicando con un cenno del capo la vetrina principale.
nominare         	nominare        	«Oh» disse il ragazzo, «l’ho sentito nominare.
inserviente      	inserviente     	Un inserviente, vero?» «È il guardacaccia!» ribatté Harry.
simpatico        	simpatico       	Ogni attimo che passava, quel ragazzino gli stava sempre meno simpatico.
capanna          	capanna         	«Sì, proprio così, ho sentito dire che è una specie di selvaggio... vive in una capanna nel comprensorio della scuola.
comprensorio     	comprensorio    	«Sì, proprio così, ho sentito dire che è una specie di selvaggio... vive in una capanna nel comprensorio della scuola.
ubriaca          	ubriacarsi      	Ogni tanto si ubriaca, cerca di fare delle magie e finisce con l’appiccare il fuoco al suo letto».
appiccare        	appiccare       	Ogni tanto si ubriaca, cerca di fare delle magie e finisce con l’appiccare il fuoco al suo letto».
sogghigno        	sogghigno       	» disse il ragazzo con un lieve sogghigno.
approfondire     	approfondire    	Non si sentiva molto in vena di approfondire l’argomento con quel ragazzo.
rincrescimento   	rincrescimento  	«Oh, scusa» disse l’altro, senza mostrare il minimo rincrescimento.
maniera          	maniera         	Loro non sono come noi, non sono cresciuti alla nostra maniera.
frequenza        	frequenza       	Secondo me, dovrebbero limitare la frequenza alle più antiche famiglie di maghi.
antiche          	antico          	Secondo me, dovrebbero limitare la frequenza alle più antiche famiglie di maghi.
cognome          	cognome         	A proposito, come fai di cognome?»
spiacente        	spiacente       	E Harry, tutt’altro che spiacente d’avere una scusa per interrompere la conversazione con il ragazzo, saltò giù dallo sgabello.
congedò          	congedarsi      	«Bene, penso che ci rivedremo a Hogwarts» si congedò il ragazzo, sempre con la stessa parlata lenta e strascicata.
parlata          	parlata         	«Bene, penso che ci rivedremo a Hogwarts» si congedò il ragazzo, sempre con la stessa parlata lenta e strascicata.
gustò            	gustare         	Harry gustò in silenzio il gelato che Hagrid gli aveva comprato (cioccolato e lamponi con granella di noccioline).
lamponi          	lampone         	Harry gustò in silenzio il gelato che Hagrid gli aveva comprato (cioccolato e lamponi con granella di noccioline).
noccioline       	nocciolina      	Harry gustò in silenzio il gelato che Hagrid gli aveva comprato (cioccolato e lamponi con granella di noccioline).
mentì            	mentire         	«Niente» mentì Harry.
acquistare       	acquistare      	Si fermarono per acquistare pergamena e penne d’oca.
pregò            	pregare         	» «Non farmi sentire ancora più a disagio» lo pregò Harry.
stirpe           	stirpe          	alcuni dei migliori erano gli unici che avevano poteri magici in una lunga stirpe di Babbani... Prendi tua madre!
razza            	razza           	Guarda che razza di sorella aveva!
palle            	palla           	Si gioca in aria, a cavallo di scope e con quattro palle... È difficile spiegare le regole».
branco           	branco          	Tutti dicono che quelli di Tassofrasso sono un branco di schiappe, ma...» «Scommetto che io finisco a Tassofrasso» disse Harry tristemente.
schiappe         	schiappa        	Tutti dicono che quelli di Tassofrasso sono un branco di schiappe, ma...» «Scommetto che io finisco a Tassofrasso» disse Harry tristemente.
ghirigoro        	ghirigoro       	Comprarono i libri di testo per Harry in un negozio chiamato ‘Il Ghirigoro di Flourish & Blott’ dove gli scaffali erano stipati fino al soffitto di libri grossi come lastroni di pietra e rilegati in pelle;
stipati          	stipare         	Comprarono i libri di testo per Harry in un negozio chiamato ‘Il Ghirigoro di Flourish & Blott’ dove gli scaffali erano stipati fino al soffitto di libri grossi come lastroni di pietra e rilegati in pelle;
lastroni         	lastrone        	Comprarono i libri di testo per Harry in un negozio chiamato ‘Il Ghirigoro di Flourish & Blott’ dove gli scaffali erano stipati fino al soffitto di libri grossi come lastroni di pietra e rilegati in pelle;
rilegati         	rilegare        	Comprarono i libri di testo per Harry in un negozio chiamato ‘Il Ghirigoro di Flourish & Blott’ dove gli scaffali erano stipati fino al soffitto di libri grossi come lastroni di pietra e rilegati in pelle;
foderati         	foderare        	libri delle dimensioni di un francobollo, foderati in seta;
seta             	seta            	libri delle dimensioni di un francobollo, foderati in seta;
simboli          	simbolo         	libri pieni di simboli strani e alcuni con le pagine bianche.
pazzie           	pazzia          	Anche Dudley, che non leggeva mai niente, avrebbe fatto pazzie per metterci le mani sopra.
stregate         	stregare        	Hagrid dovette quasi trascinare via Harry da Maledizioni e Contromaledizioni (Stregate gli amici e confondete i nemici con le vendette all’ultimo grido:
confondete       	confondere      	Hagrid dovette quasi trascinare via Harry da Maledizioni e Contromaledizioni (Stregate gli amici e confondete i nemici con le vendette all’ultimo grido:
nemici           	nemico          	Hagrid dovette quasi trascinare via Harry da Maledizioni e Contromaledizioni (Stregate gli amici e confondete i nemici con le vendette all’ultimo grido:
vendette         	vendetta        	Hagrid dovette quasi trascinare via Harry da Maledizioni e Contromaledizioni (Stregate gli amici e confondete i nemici con le vendette all’ultimo grido:
circostanze      	circostanza     	«Non dico che non è una buona idea, ma nel mondo dei Babbani non devi usare la magia tranne che in circostanze speciali» disse Hagrid.
livello          	livello         	devi studiare un mucchio per arrivare a quel livello».
massiccio        	massiccio       	Hagrid non permise a Harry di comprare un calderone d’oro massiccio («Nella lista c’è scritto ‘peltro’»), ma acquistarono una bella bilancia per pesare gli ingredienti delle pozioni, e un telescopio pieghevole in ottone.
lista            	lista           	Hagrid non permise a Harry di comprare un calderone d’oro massiccio («Nella lista c’è scritto ‘peltro’»), ma acquistarono una bella bilancia per pesare gli ingredienti delle pozioni, e un telescopio pieghevole in ottone.
ingredienti      	ingrediente     	Hagrid non permise a Harry di comprare un calderone d’oro massiccio («Nella lista c’è scritto ‘peltro’»), ma acquistarono una bella bilancia per pesare gli ingredienti delle pozioni, e un telescopio pieghevole in ottone.
ripagare         	ripagare        	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
pessimo          	pessimo         	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
regnava          	regnare         	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
misto            	misto           	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
marce            	marcio          	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
putridi          	putrido         	Poi andarono dallo speziale, luogo talmente interessante da ripagare del pessimo odore che vi regnava, un misto di uova marce e cavoli putridi.
