HPitb1ch07-0001	parlante	CAPITOLO 7 IL CAPPELLO PARLANTE La porta si aprì all’istante.
HPitb1ch07-0185	budino	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
HPitb1ch07-0186	discorso	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
HPitb1ch07-0187	virare	Montagne di gelato di tutti i gusti immaginabili, torte alle mele, crostate alla melassa, bignè al cioccolato e ciambelle alla marmellata, zuppa inglese, fragole, gelatina, budini di riso... Mentre Harry si serviva una fetta di crostata alla melassa, il discorso virò sulle famiglie.
HPitb1ch07-0188	sposato	Mamma non gli ha detto di essere una strega fino a dopo sposati.
HPitb1ch07-0189	allevare	«E tu, Neville?» «Be’, io sono stato allevato da mia nonna, che è una strega» prese a raccontare Neville, «ma in famiglia per molto tempo hanno pensato che io fossi soltanto un Babbano.
HPitb1ch07-0190	prozio	Il mio prozio Algie ha cercato per anni di cogliermi alla sprovvista e di strapparmi qualche magia – una volta mi ha buttato in acqua dal molo di Blackpool e per poco non affogavo – ma non è successo niente fino a che non ho avuto otto anni.
HPitb1ch07-0191	molo	Il mio prozio Algie ha cercato per anni di cogliermi alla sprovvista e di strapparmi qualche magia – una volta mi ha buttato in acqua dal molo di Blackpool e per poco non affogavo – ma non è successo niente fino a che non ho avuto otto anni.
HPitb1ch07-0192	affogare	Il mio prozio Algie ha cercato per anni di cogliermi alla sprovvista e di strapparmi qualche magia – una volta mi ha buttato in acqua dal molo di Blackpool e per poco non affogavo – ma non è successo niente fino a che non ho avuto otto anni.
HPitb1ch07-0193	caviglia	Zio Algie era venuto a prendere il tè e mi teneva appeso per le caviglie fuori da una finestra del secondo piano, quando zia Enid gli offrì una meringa e lui, senza farlo apposta, mi lasciò andare.
HPitb1ch07-0194	offrire	Zio Algie era venuto a prendere il tè e mi teneva appeso per le caviglie fuori da una finestra del secondo piano, quando zia Enid gli offrì una meringa e lui, senza farlo apposta, mi lasciò andare.
HPitb1ch07-0195	meringa	Zio Algie era venuto a prendere il tè e mi teneva appeso per le caviglie fuori da una finestra del secondo piano, quando zia Enid gli offrì una meringa e lui, senza farlo apposta, mi lasciò andare.
HPitb1ch07-0196	contentezza	Tutti erano felici, mia nonna piangeva per la contentezza.
HPitb1ch07-0197	mutare	Dall’altro lato di Harry, Percy Weasley e Hermione stavano parlando delle lezioni («Spero proprio che comincino subito, c’è tanto da imparare, a me interessa in modo particolare la Trasfigurazione, sai, mutare un oggetto in qualcos’altro, naturalmente è ritenuta una pratica molto difficile...»;
HPitb1ch07-0198	pratica	Dall’altro lato di Harry, Percy Weasley e Hermione stavano parlando delle lezioni («Spero proprio che comincino subito, c’è tanto da imparare, a me interessa in modo particolare la Trasfigurazione, sai, mutare un oggetto in qualcos’altro, naturalmente è ritenuta una pratica molto difficile...»;
HPitb1ch07-0199	fiammifero	«Comincerete dalle cose più semplici, che so, trasformare fiammiferi in aghi e cose del genere...») Harry, che cominciava a sentirsi accaldato e insonnolito, alzò di nuovo lo sguardo verso il tavolo degli insegnanti.
HPitb1ch07-0200	ago	«Comincerete dalle cose più semplici, che so, trasformare fiammiferi in aghi e cose del genere...») Harry, che cominciava a sentirsi accaldato e insonnolito, alzò di nuovo lo sguardo verso il tavolo degli insegnanti.
HPitb1ch07-0201	accaldato	«Comincerete dalle cose più semplici, che so, trasformare fiammiferi in aghi e cose del genere...») Harry, che cominciava a sentirsi accaldato e insonnolito, alzò di nuovo lo sguardo verso il tavolo degli insegnanti.
HPitb1ch07-0202	insonnolito	«Comincerete dalle cose più semplici, che so, trasformare fiammiferi in aghi e cose del genere...») Harry, che cominciava a sentirsi accaldato e insonnolito, alzò di nuovo lo sguardo verso il tavolo degli insegnanti.
HPitb1ch07-0203	intento	Hagrid era tutto intento a bere dal suo calice.
HPitb1ch07-0204	conversare	La professoressa McGonagall conversava con il professor Silente.
HPitb1ch07-0205	assurdo	Il professor Quirrell, con il suo assurdo turbante, parlava con un altro insegnante dai capelli neri e untuosi, il naso adunco e la carnagione giallastra.
HPitb1ch07-0206	untuoso	Il professor Quirrell, con il suo assurdo turbante, parlava con un altro insegnante dai capelli neri e untuosi, il naso adunco e la carnagione giallastra.
HPitb1ch07-0207	carnagione	Il professor Quirrell, con il suo assurdo turbante, parlava con un altro insegnante dai capelli neri e untuosi, il naso adunco e la carnagione giallastra.
HPitb1ch07-0208	corte	tutti sanno che fa la corte alla materia di Quirrell.
HPitb1ch07-0209	sazio	«Ehm... solo poche parole ancora, adesso che siamo tutti sazi di cibo e di bevande.
HPitb1ch07-0210	bevanda	«Ehm... solo poche parole ancora, adesso che siamo tutti sazi di cibo e di bevande.
HPitb1ch07-0211	annuncio	Ho da darvi alcuni annunci di inizio anno.
HPitb1ch07-0212	accesso	«Gli studenti del primo anno devono ricordare che l’accesso alla foresta qui intorno è proibito a tutti gli alunni.
HPitb1ch07-0213	alunno	«Gli studenti del primo anno devono ricordare che l’accesso alla foresta qui intorno è proibito a tutti gli alunni.
HPitb1ch07-0214	vietato	«Inoltre, il signor Filch, il custode, mi ha chiesto di ricordare a voi tutti che è vietato usare la magia nei corridoi tra una lezione e l’altra.
HPitb1ch07-0215	selezione	«Le selezioni di Quidditch si terranno durante la seconda settimana dell’anno scolastico.
HPitb1ch07-0216	contattare	Chiunque sia interessato a giocare per la squadra della sua Casa è pregato di contattare Madame Hooch.
HPitb1ch07-0217	aggrottare	«Certamente» disse Percy aggrottando la fronte in direzione di Silente.
HPitb1ch07-0218	bestia	«È strano, perché in genere lui dice sempre la ragione per cui non abbiamo il permesso di andare da qualche parte... la foresta è piena di bestie pericolose, questo lo sanno tutti.
HPitb1ch07-0219	intonare	«E ora, prima di andare a letto, intoniamo l’inno della scuola!
HPitb1ch07-0220	inno	«E ora, prima di andare a letto, intoniamo l’inno della scuola!
HPitb1ch07-0221	mosca	Silente diede un colpetto alla sua bacchetta, come se stesse cercando di scacciarne una mosca dalla punta:
HPitb1ch07-0222	fluire	ne fluì un lungo nastro d’oro che si sollevò alto in aria, sopra i tavoli, e cominciò a contorcersi a mo’ di serpente, formando delle parole.
HPitb1ch07-0223	formare	ne fluì un lungo nastro d’oro che si sollevò alto in aria, sopra i tavoli, e cominciò a contorcersi a mo’ di serpente, formando delle parole.
HPitb1ch07-0224	calvo	«Hogwarts Hogwarts, Hoggy Warty Hogwarts, per favore insegnaci qualcosa, a noi, anziani, calvi e tutti storti, a noi, ragazzi dai calzoni corti, le nostre teste devono riempirsi di cose interessanti da non dirsi, per ora sono vuote e piene d’aria, di mosche morte e roba secondaria, insegna a noi che cosa va imparato, ripeti ciò che abbiam dimenticato, fa’ del tuo meglio e noi faremo il resto, finché il cervello non ci andrà in dissesto».
HPitb1ch07-0225	calzone	«Hogwarts Hogwarts, Hoggy Warty Hogwarts, per favore insegnaci qualcosa, a noi, anziani, calvi e tutti storti, a noi, ragazzi dai calzoni corti, le nostre teste devono riempirsi di cose interessanti da non dirsi, per ora sono vuote e piene d’aria, di mosche morte e roba secondaria, insegna a noi che cosa va imparato, ripeti ciò che abbiam dimenticato, fa’ del tuo meglio e noi faremo il resto, finché il cervello non ci andrà in dissesto».
HPitb1ch07-0226	secondario	«Hogwarts Hogwarts, Hoggy Warty Hogwarts, per favore insegnaci qualcosa, a noi, anziani, calvi e tutti storti, a noi, ragazzi dai calzoni corti, le nostre teste devono riempirsi di cose interessanti da non dirsi, per ora sono vuote e piene d’aria, di mosche morte e roba secondaria, insegna a noi che cosa va imparato, ripeti ciò che abbiam dimenticato, fa’ del tuo meglio e noi faremo il resto, finché il cervello non ci andrà in dissesto».
HPitb1ch07-0227	cio_2	«Hogwarts Hogwarts, Hoggy Warty Hogwarts, per favore insegnaci qualcosa, a noi, anziani, calvi e tutti storti, a noi, ragazzi dai calzoni corti, le nostre teste devono riempirsi di cose interessanti da non dirsi, per ora sono vuote e piene d’aria, di mosche morte e roba secondaria, insegna a noi che cosa va imparato, ripeti ciò che abbiam dimenticato, fa’ del tuo meglio e noi faremo il resto, finché il cervello non ci andrà in dissesto».
HPitb1ch07-0228	dissesto	«Hogwarts Hogwarts, Hoggy Warty Hogwarts, per favore insegnaci qualcosa, a noi, anziani, calvi e tutti storti, a noi, ragazzi dai calzoni corti, le nostre teste devono riempirsi di cose interessanti da non dirsi, per ora sono vuote e piene d’aria, di mosche morte e roba secondaria, insegna a noi che cosa va imparato, ripeti ciò che abbiam dimenticato, fa’ del tuo meglio e noi faremo il resto, finché il cervello non ci andrà in dissesto».
HPitb1ch07-0229	canzone	Ognuno terminò la canzone in tempi diversi.
HPitb1ch07-0230	funebre	Alla fine, erano rimasti solo i gemelli Weasley a cantare a un ritmo lento da marcia funebre.
HPitb1ch07-0231	applaudire	Silente diresse le ultime battute con la bacchetta magica e, alla fine, fu uno di quelli che applaudirono più fragorosamente.
HPitb1ch07-0232	fragorosamente	Silente diresse le ultime battute con la bacchetta magica e, alla fine, fu uno di quelli che applaudirono più fragorosamente.
HPitb1ch07-0233	ressa	Aprendosi un varco tra la ressa che si attardava ancora in chiacchiere, i Grifondoro del primo anno seguirono Percy, uscirono dalla Sala Grande e salirono al piano di sopra passando per la scala di marmo.
HPitb1ch07-0234	chiacchiera	Aprendosi un varco tra la ressa che si attardava ancora in chiacchiere, i Grifondoro del primo anno seguirono Percy, uscirono dalla Sala Grande e salirono al piano di sopra passando per la scala di marmo.
HPitb1ch07-0235	ritratto	Aveva troppo sonno per stupirsi del fatto che i ritratti lungo i corridoi bisbigliassero e si facessero segno, al loro passaggio, o che un paio di volte Percy li avesse condotti attraverso porte nascoste dietro pannelli scorrevoli e arazzi appesi alle pareti.
HPitb1ch07-0236	pannello	Aveva troppo sonno per stupirsi del fatto che i ritratti lungo i corridoi bisbigliassero e si facessero segno, al loro passaggio, o che un paio di volte Percy li avesse condotti attraverso porte nascoste dietro pannelli scorrevoli e arazzi appesi alle pareti.
HPitb1ch07-0237	arazzo	Aveva troppo sonno per stupirsi del fatto che i ritratti lungo i corridoi bisbigliassero e si facessero segno, al loro passaggio, o che un paio di volte Percy li avesse condotti attraverso porte nascoste dietro pannelli scorrevoli e arazzi appesi alle pareti.
HPitb1ch07-0238	passeggio	Un fascio di bastoni da passeggio fluttuava a mezz’aria davanti a loro e, quando Percy fece per avvicinarsi, quelli cominciarono a menargli colpi all’impazzata.
HPitb1ch07-0239	fluttuare	Un fascio di bastoni da passeggio fluttuava a mezz’aria davanti a loro e, quando Percy fece per avvicinarsi, quelli cominciarono a menargli colpi all’impazzata.
HPitb1ch07-0240	menargli	Un fascio di bastoni da passeggio fluttuava a mezz’aria davanti a loro e, quando Percy fece per avvicinarsi, quelli cominciarono a menargli colpi all’impazzata.
HPitb1ch07-0241	impazzata	Un fascio di bastoni da passeggio fluttuava a mezz’aria davanti a loro e, quando Percy fece per avvicinarsi, quelli cominciarono a menargli colpi all’impazzata.
HPitb1ch07-0242	volgare	«Peeves... fatti vedere!» Rispose un suono potente e volgare, come quando si fa uscire di colpo l’aria da un palloncino.
HPitb1ch07-0243	omino	«Vuoi che vada dal Barone Sanguinario?» Ci fu uno schiocco e un omino dai neri occhi maligni e una gran bocca apparve galleggiando nell’aria a gambe incrociate, e afferrò i bastoni.
HPitb1ch07-0244	galleggiare	«Vuoi che vada dal Barone Sanguinario?» Ci fu uno schiocco e un omino dai neri occhi maligni e una gran bocca apparve galleggiando nell’aria a gambe incrociate, e afferrò i bastoni.
HPitb1ch07-0245	incrociato	«Vuoi che vada dal Barone Sanguinario?» Ci fu uno schiocco e un omino dai neri occhi maligni e una gran bocca apparve galleggiando nell’aria a gambe incrociate, e afferrò i bastoni.
HPitb1ch07-0246	malefico	«Oooooooh!» esclamò con una risata malefica.
HPitb1ch07-0247	pivello	«Pivellini del primo anno.
HPitb1ch07-0248	capofitto	Si gettò a capofitto su di loro.
HPitb1ch07-0249	linguaccia	Peeves svanì con una linguaccia, lasciando cadere i bastoni sulla testa di Neville.
HPitb1ch07-0250	sbatacchiare	Lo udirono allontanarsi di corsa, sbatacchiando le armature al suo passaggio.
HPitb1ch07-0251	armatura	Lo udirono allontanarsi di corsa, sbatacchiando le armature al suo passaggio.
HPitb1ch07-0252	guardarsi	«Dovete guardarvi da Peeves» disse Percy mentre riprendevano a camminare.
HPitb1ch07-0253	retta	Peeves non dà retta neanche a noi prefetti.
HPitb1ch07-0254	circolare	«Caput Draconis» disse Percy, e il ritratto si staccò dal muro scoprendo un’apertura circolare.
HPitb1ch07-0255	aiutarsi	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
HPitb1ch07-0256	spinta	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
HPitb1ch07-0257	sbucare	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
HPitb1ch07-0258	accogliente	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
HPitb1ch07-0259	pianta	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
HPitb1ch07-0260	soffice	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
HPitb1ch07-0261	chiocciola	In cima a una scala a chiocciola – era chiaro che si trovavano in una delle torri – finalmente videro i loro letti:
HPitb1ch07-0262	baldacchino	cinque letti a baldacchino circondati da tende di velluto rosso scuro.
HPitb1ch07-0263	tenda	cinque letti a baldacchino circondati da tende di velluto rosso scuro.
HPitb1ch07-0264	velluto	cinque letti a baldacchino circondati da tende di velluto rosso scuro.
HPitb1ch07-0265	pigiama	Troppo stanchi per parlare, indossarono il pigiama e si infilarono sotto le coperte.
HPitb1ch07-0266	mangiata	«Che bella mangiata, eh?
HPitb1ch07-0267	tendaggio	» bofonchiò Ron a Harry da dietro i tendaggi.
HPitb1ch07-0268	rosicchiare	Mi sta rosicchiando le lenzuola».
HPitb1ch07-0269	beffa	e c’era anche Malfoy che si faceva beffe di lui, mentre era alle prese col turbante, e poi Malfoy si tramutava nell’insegnante dal naso adunco, Piton, che rideva in modo stridulo e glaciale.
HPitb1ch07-0270	tramutarsi	e c’era anche Malfoy che si faceva beffe di lui, mentre era alle prese col turbante, e poi Malfoy si tramutava nell’insegnante dal naso adunco, Piton, che rideva in modo stridulo e glaciale.
