HPitb1ch12-0001	specchio	LO SPECCHIO DELLE EMARB Natale si stava avvicinando.
HPitb1ch12-0174	sciolto	La mattina dopo, la neve non si era ancora sciolta.
HPitb1ch12-0175	ronda	Filch, Piton e Mrs Norris fanno la ronda.
HPitb1ch12-0176	consigliare	Camminava così in fretta da fare più rumore di quanto consigliasse la prudenza, ma non incontrò nessuno.
HPitb1ch12-0177	prudenza	Camminava così in fretta da fare più rumore di quanto consigliasse la prudenza, ma non incontrò nessuno.
HPitb1ch12-0178	budello	» Harry sentì le budella congelarglisi dentro la pancia.
HPitb1ch12-0179	congelarsi	» Harry sentì le budella congelarglisi dentro la pancia.
HPitb1ch12-0180	miope	«È strano quanto essere invisibile possa renderti miope!» osservò Silente, e Harry si sentì sollevato nel vedere che sorrideva.
HPitb1ch12-0181	bramare	«Ci mostra né più né meno quello che bramiamo più profondamente e più disperatamente nel nostro cuore.
HPitb1ch12-0182	smarrirsi	Ci sono uomini che si sono smarriti a forza di guardarcisi, rapiti da quel che avevano visto;
HPitb1ch12-0183	rapire	Ci sono uomini che si sono smarriti a forza di guardarcisi, rapiti da quel che avevano visto;
HPitb1ch12-0184	senno	e uomini che hanno perso il senno perché non sapevano se quello che mostrava fosse reale o anche solo possibile.
HPitb1ch12-0185	dimora	«Domani, lo Specchio delle Emarb verrà portato in una nuova dimora, Harry, e io ti chiedo di non cercarlo mai più.
HPitb1ch12-0186	rifugiarsi	non serve a niente rifugiarsi nei sogni e dimenticarsi di vivere.
