HPitb1ch05-0001	benché	Benché si rendesse conto che era giorno fatto, tenne gli occhi ben chiusi.
HPitb1ch05-0191	esperienza	Tutto bene finché ha studiato sui libri, ma poi si è preso un anno per andare a fare un po’ di esperienza sul campo... Dicono che nella Foresta Nera ha incontrato i vampiri e che c’è anche stata una brutta storia con una fattucchiera... Da allora non è più lui.
HPitb1ch05-0192	incontrare	Tutto bene finché ha studiato sui libri, ma poi si è preso un anno per andare a fare un po’ di esperienza sul campo... Dicono che nella Foresta Nera ha incontrato i vampiri e che c’è anche stata una brutta storia con una fattucchiera... Da allora non è più lui.
HPitb1ch05-0193	fattucchiera	Tutto bene finché ha studiato sui libri, ma poi si è preso un anno per andare a fare un po’ di esperienza sul campo... Dicono che nella Foresta Nera ha incontrato i vampiri e che c’è anche stata una brutta storia con una fattucchiera... Da allora non è più lui.
HPitb1ch05-0194	materia	Ha paura degli studenti, ha paura della materia che insegna... Ma vediamo un po’, dov’è finito il mio ombrello?» Vampiri?
HPitb1ch05-0195	verticale	«Tre verticali... due orizzontali...» bofonchiava.
HPitb1ch05-0196	orizzontale	«Tre verticali... due orizzontali...» bofonchiava.
HPitb1ch05-0197	vibrare	Il mattone che aveva colpito vibrò... si contorse... al centro, apparve un piccolo buco... si fece sempre più grande... e un attimo dopo si trovarono di fronte un arco abbastanza largo da far passare Hagrid.
HPitb1ch05-0198	contorcersi	Il mattone che aveva colpito vibrò... si contorse... al centro, apparve un piccolo buco... si fece sempre più grande... e un attimo dopo si trovarono di fronte un arco abbastanza largo da far passare Hagrid.
HPitb1ch05-0199	arco	Il mattone che aveva colpito vibrò... si contorse... al centro, apparve un piccolo buco... si fece sempre più grande... e un attimo dopo si trovarono di fronte un arco abbastanza largo da far passare Hagrid.
HPitb1ch05-0200	selciato	L’arco dava su una strada selciata tutta curve, di cui non si vedeva la fine.
HPitb1ch05-0201	curvo	L’arco dava su una strada selciata tutta curve, di cui non si vedeva la fine.
HPitb1ch05-0202	benvenuto	«Benvenuto a Diagon Alley!» disse Hagrid.
HPitb1ch05-0203	ridiventare	Harry gettò una rapida occhiata alle sue spalle e vide l’arco rimpicciolirsi, ridiventando un muro compatto.
HPitb1ch05-0204	compatto	Harry gettò una rapida occhiata alle sue spalle e vide l’arco rimpicciolirsi, ridiventando un muro compatto.
HPitb1ch05-0205	splendente	Il sole splendente illuminava una pila di calderoni fuori dal negozio più vicino.
HPitb1ch05-0206	appendere	Un’insegna appesa sopra diceva:
HPitb1ch05-0207	pieghevole	Pieghevoli’.
HPitb1ch05-0208	esporre	i negozi, le cose esposte all’esterno, la gente che faceva compere.
HPitb1ch05-0209	esterno	i negozi, le cose esposte all’esterno, la gente che faceva compere.
HPitb1ch05-0210	compera	i negozi, le cose esposte all’esterno, la gente che faceva compere.
HPitb1ch05-0211	bottega	Mentre passavano, una donna grassottella, appena uscita dalla bottega di uno speziale, scuoteva la testa commentando:
HPitb1ch05-0212	speziale	Mentre passavano, una donna grassottella, appena uscita dalla bottega di uno speziale, scuoteva la testa commentando:
HPitb1ch05-0213	fegato	«Fegato di drago sedici falci l’oncia:
HPitb1ch05-0214	falco	«Fegato di drago sedici falci l’oncia:
HPitb1ch05-0215	oncia	«Fegato di drago sedici falci l’oncia:
HPitb1ch05-0216	emporio	‘Emporio del Gufo di Eeylop:
HPitb1ch05-0217	allocco	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
HPitb1ch05-0218	barbagianni	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
HPitb1ch05-0219	granaio	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
HPitb1ch05-0220	civetta	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
HPitb1ch05-0221	neve	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
HPitb1ch05-0222	chiurlare	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
HPitb1ch05-0223	sommesso	allocchi, barbagianni, gufi dei granai, gufi bruni e civette delle nevi’ proveniva un chiurlare debole e sommesso.
HPitb1ch05-0224	duemila	«Guarda» Harry sentì dire uno di loro, «la Nimbus Duemila, la più veloce di tutte».
HPitb1ch05-0225	abito	Alcuni negozi vendevano abiti, altri telescopi e bizzarri strumenti d’argento che Harry non aveva mai visto prima;
HPitb1ch05-0226	strumento	Alcuni negozi vendevano abiti, altri telescopi e bizzarri strumenti d’argento che Harry non aveva mai visto prima;
HPitb1ch05-0227	stipato	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
HPitb1ch05-0228	barile	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
HPitb1ch05-0229	milza	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
HPitb1ch05-0230	pipistrello	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
HPitb1ch05-0231	pupilla	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
HPitb1ch05-0232	anguilla	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
HPitb1ch05-0233	traballante	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
HPitb1ch05-0234	boccetta	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
HPitb1ch05-0235	globo	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
HPitb1ch05-0236	lunare	c’erano vetrine stipate di barili, contenenti milze di pipistrello e pupille d’anguilla, pile traballanti di libri di incantesimi, penne d’oca e rotoli di pergamena, boccette di pozioni, globi lunari... «Ecco la Gringott» disse Hagrid a un certo punto.
HPitb1ch05-0237	bianco	Erano giunti a un edificio bianco come la neve che svettava sopra le piccole botteghe.
HPitb1ch05-0238	svettare	Erano giunti a un edificio bianco come la neve che svettava sopra le piccole botteghe.
HPitb1ch05-0239	ritto	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
HPitb1ch05-0240	portale	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
HPitb1ch05-0241	brunire	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
HPitb1ch05-0242	scarlatto	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
HPitb1ch05-0243	tranquillo	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
HPitb1ch05-0244	scalino	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
HPitb1ch05-0245	candido	Ritto in piedi, dietro un portale di bronzo brunito, con indosso un’uniforme scarlatta e oro, c’era... «Proprio così, quello è un goblin» disse Hagrid tutto tranquillo, mentre salivano gli scalini di candida pietra diretti verso di lui.
HPitb1ch05-0246	colorito	Aveva un viso dal colorito scuro e dall’aria intelligente, una barba a punta e, come Harry poté notare, dita e piedi molto lunghi.
HPitb1ch05-0247	scuro	Aveva un viso dal colorito scuro e dall’aria intelligente, una barba a punta e, come Harry poté notare, dita e piedi molto lunghi.
HPitb1ch05-0248	intelligente	Aveva un viso dal colorito scuro e dall’aria intelligente, una barba a punta e, come Harry poté notare, dita e piedi molto lunghi.
HPitb1ch05-0249	inchinarsi	Si inchinò al loro passaggio.
HPitb1ch05-0250	passaggio	Si inchinò al loro passaggio.
HPitb1ch05-0251	incidere	Ora si trovavano di fronte una seconda porta, questa volta d’argento, su cui erano incise le seguenti parole:
HPitb1ch05-0252	straniero	Entra, straniero, ma ti ricordo cosa spetta a chi è ingordo.
HPitb1ch05-0253	ingordo	Entra, straniero, ma ti ricordo cosa spetta a chi è ingordo.
HPitb1ch05-0254	meritare	Chi prende senza meritare molto cara la dovrà pagare.
HPitb1ch05-0255	sotterraneo	Quindi se cerchi nei sotterranei qui da noi tesori che non furono mai tuoi, sta’ attento, ladro, sei avvisato:
HPitb1ch05-0256	attento	Quindi se cerchi nei sotterranei qui da noi tesori che non furono mai tuoi, sta’ attento, ladro, sei avvisato:
HPitb1ch05-0257	ladro	Quindi se cerchi nei sotterranei qui da noi tesori che non furono mai tuoi, sta’ attento, ladro, sei avvisato:
HPitb1ch05-0258	avvisare	Quindi se cerchi nei sotterranei qui da noi tesori che non furono mai tuoi, sta’ attento, ladro, sei avvisato:
HPitb1ch05-0259	riservare	ben altro che un tesoro ti è riservato.
HPitb1ch05-0260	rapinare	«Come ho detto, bisogna davvero essere matti a cercare di rapinare questa banca» disse Hagrid.
HPitb1ch05-0261	introdurre	Quando attraversarono la porta d’argento, una coppia di goblin si inchinò davanti a loro e li introdusse in un grande salone marmoreo.
HPitb1ch05-0262	salone	Quando attraversarono la porta d’argento, una coppia di goblin si inchinò davanti a loro e li introdusse in un grande salone marmoreo.
HPitb1ch05-0263	marmoreo	Quando attraversarono la porta d’argento, una coppia di goblin si inchinò davanti a loro e li introdusse in un grande salone marmoreo.
HPitb1ch05-0264	scranno	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
HPitb1ch05-0265	scribacchiare	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
HPitb1ch05-0266	mastro	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
HPitb1ch05-0267	pesare	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
HPitb1ch05-0268	prezioso	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
HPitb1ch05-0269	lente	Un centinaio di altri goblin seduti su alti scranni dietro un lungo bancone scribacchiavano su grandi libri mastri, pesavano le monete su bilance d’ottone, ed esaminavano pietre preziose con la lente.
HPitb1ch05-0270	numeroso	Le porte erano troppo numerose per poterle contare, e altri goblin erano occupati ad aprirle e richiuderle per fare entrare e uscire le persone.
HPitb1ch05-0271	libero	«’Giorno» disse Hagrid a un goblin che in quel momento era libero.
HPitb1ch05-0272	cassaforte	«Siamo venuti a prendere un po’ di soldi dalla cassaforte del signor Harry Potter».
HPitb1ch05-0273	svuotare	» «Ce l’ho qui, da qualche parte» fece Hagrid, cominciando a svuotare le tasche sul banco e sparpagliando sul libro contabile del goblin una manciata di biscotti ammuffiti per cani.
HPitb1ch05-0274	sparpagliare	» «Ce l’ho qui, da qualche parte» fece Hagrid, cominciando a svuotare le tasche sul banco e sparpagliando sul libro contabile del goblin una manciata di biscotti ammuffiti per cani.
HPitb1ch05-0275	contabile	» «Ce l’ho qui, da qualche parte» fece Hagrid, cominciando a svuotare le tasche sul banco e sparpagliando sul libro contabile del goblin una manciata di biscotti ammuffiti per cani.
HPitb1ch05-0276	biscotto	» «Ce l’ho qui, da qualche parte» fece Hagrid, cominciando a svuotare le tasche sul banco e sparpagliando sul libro contabile del goblin una manciata di biscotti ammuffiti per cani.
HPitb1ch05-0277	storcere	Il goblin storse il naso.
HPitb1ch05-0278	rubino	Harry, intanto, osservava un altro goblin alla loro destra pesare un mucchio di rubini rossi come tizzoni accesi.
HPitb1ch05-0279	tizzone	Harry, intanto, osservava un altro goblin alla loro destra pesare un mucchio di rubini rossi come tizzoni accesi.
HPitb1ch05-0280	ostentare	«E qui ho anche una lettera del professor Silente» disse Hagrid col petto in fuori, ostentando un’aria d’importanza.
HPitb1ch05-0281	importanza	«E qui ho anche una lettera del professor Silente» disse Hagrid col petto in fuori, ostentando un’aria d’importanza.
HPitb1ch05-0282	restituire	«Molto bene» disse restituendola a Hagrid, «qualcuno vi accompagnerà in entrambe le camere blindate.
HPitb1ch05-0283	permesso	Non ho il permesso di dirtelo».
HPitb1ch05-0284	marmo	Harry, che si era aspettato di vedere altro marmo, restò sorpreso.
HPitb1ch05-0285	sorprendere	Harry, che si era aspettato di vedere altro marmo, restò sorpreso.
HPitb1ch05-0286	torcia	Si trovarono in uno stretto passaggio di pietra, illuminato da torce.
HPitb1ch05-0287	ripido	Scendeva ripido e scosceso e per terra correvano i binari di una piccola ferrovia.
HPitb1ch05-0288	scosceso	Scendeva ripido e scosceso e per terra correvano i binari di una piccola ferrovia.
HPitb1ch05-0289	binario	Scendeva ripido e scosceso e per terra correvano i binari di una piccola ferrovia.
HPitb1ch05-0290	ferrovia	Scendeva ripido e scosceso e per terra correvano i binari di una piccola ferrovia.
HPitb1ch05-0291	carrello	Griphook fischiò e un piccolo carrello arrivò sferragliando verso di loro.
HPitb1ch05-0292	sferragliare	Griphook fischiò e un piccolo carrello arrivò sferragliando verso di loro.
HPitb1ch05-0293	principio	Da principio percorsero un dedalo di passaggi tortuosi.
HPitb1ch05-0294	dedalo	Da principio percorsero un dedalo di passaggi tortuosi.
HPitb1ch05-0295	tortuoso	Da principio percorsero un dedalo di passaggi tortuosi.
HPitb1ch05-0296	sinistra	sinistra, destra, destra, sinistra, bivio di mezzo, destra, sinistra, ma era impossibile.
HPitb1ch05-0297	bivio	sinistra, destra, destra, sinistra, bivio di mezzo, destra, sinistra, ma era impossibile.
HPitb1ch05-0298	manovrare	Il carrello sferragliante sembrava conoscere da solo la strada, perché Griphook non manovrava.
HPitb1ch05-0299	fiammata	A un certo punto, credette di scorgere una fiammata in fondo a un passaggio e si girò per vedere se era un drago, ma troppo tardi:
HPitb1ch05-0300	fondo	A un certo punto, credette di scorgere una fiammata in fondo a un passaggio e si girò per vedere se era un drago, ma troppo tardi:
HPitb1ch05-0301	lago	scesero ancora più giù, superando un lago sotterraneo dove, dal soffitto e dal pavimento, spuntavano enormi stalattiti e stalagmiti.
HPitb1ch05-0302	stalattite	scesero ancora più giù, superando un lago sotterraneo dove, dal soffitto e dal pavimento, spuntavano enormi stalattiti e stalagmiti.
HPitb1ch05-0303	stalagmite	scesero ancora più giù, superando un lago sotterraneo dove, dal soffitto e dal pavimento, spuntavano enormi stalattiti e stalagmiti.
HPitb1ch05-0304	differenza	«Non mi ricordo mai... che differenza c’è fra stalagmiti e stalattiti?
HPitb1ch05-0305	sovrastare	» gridò Harry a Hagrid, cercando di sovrastare con la voce il frastuono del carrello.
HPitb1ch05-0306	frastuono	» gridò Harry a Hagrid, cercando di sovrastare con la voce il frastuono del carrello.
HPitb1ch05-0307	corridoio	Infatti aveva un colorito verde, e quando scese, dopo che il carrello si fu finalmente fermato accanto a una porticina sul muro di un corridoio, dovette appoggiarsi alla parete per farsi passare la tremarella alle gambe.
HPitb1ch05-0308	appoggiarsi	Infatti aveva un colorito verde, e quando scese, dopo che il carrello si fu finalmente fermato accanto a una porticina sul muro di un corridoio, dovette appoggiarsi alla parete per farsi passare la tremarella alle gambe.
HPitb1ch05-0309	tremarella	Infatti aveva un colorito verde, e quando scese, dopo che il carrello si fu finalmente fermato accanto a una porticina sul muro di un corridoio, dovette appoggiarsi alla parete per farsi passare la tremarella alle gambe.
HPitb1ch05-0310	fuoruscire	Ne fuoruscì una nube di fumo verde e, quando si fu dissipata, Harry rimase senza fiato.
HPitb1ch05-0311	nube	Ne fuoruscì una nube di fumo verde e, quando si fu dissipata, Harry rimase senza fiato.
HPitb1ch05-0312	dissiparsi	Ne fuoruscì una nube di fumo verde e, quando si fu dissipata, Harry rimase senza fiato.
HPitb1ch05-0313	montagna	Dentro, c’erano montagne di monete d’oro.
HPitb1ch05-0314	cumulo	Cumuli d’argento.
HPitb1ch05-0315	mantenere	Quante volte si erano lamentati di quel che gli costava mantenerlo?
HPitb1ch05-0316	sepolto	E pensare che sepolta nelle viscere di Londra c’era da sempre una piccola fortuna che gli apparteneva.
HPitb1ch05-0317	viscere	E pensare che sepolta nelle viscere di Londra c’era da sempre una piccola fortuna che gli apparteneva.
HPitb1ch05-0318	aiutare	Hagrid aiutò Harry a raccogliere un po’ di quel bendidio in una borsa.
HPitb1ch05-0319	bendidio	Hagrid aiutò Harry a raccogliere un po’ di quel bendidio in una borsa.
HPitb1ch05-0320	borsa	Hagrid aiutò Harry a raccogliere un po’ di quel bendidio in una borsa.
HPitb1ch05-0321	galeone	«Quelli d’oro sono galeoni» spiegò.
HPitb1ch05-0322	diciassette	«Diciassette falci d’argento fanno un galeone e ventinove zellini fanno una falce:
HPitb1ch05-0323	falce	«Diciassette falci d’argento fanno un galeone e ventinove zellini fanno una falce:
HPitb1ch05-0324	trimestre	Bene, questo dovrebbe bastare per un paio di trimestri.
HPitb1ch05-0325	favore	«E ora, alla camera blindata settecentotredici, per favore, non è che... si può andare più piano?
HPitb1ch05-0326	stavolta	Stavolta scesero ancora più giù, guadagnando velocità.
HPitb1ch05-0327	guadagnare	Stavolta scesero ancora più giù, guadagnando velocità.
HPitb1ch05-0328	oltrepassare	Oltrepassarono sferragliando un burrone sotterraneo e Harry si sporse fuori per cercare di vedere quel che c’era nel fondo, immerso nell’oscurità, ma Hagrid, con un ruggito, lo tirò dentro afferrandolo per la collottola.
HPitb1ch05-0329	burrone	Oltrepassarono sferragliando un burrone sotterraneo e Harry si sporse fuori per cercare di vedere quel che c’era nel fondo, immerso nell’oscurità, ma Hagrid, con un ruggito, lo tirò dentro afferrandolo per la collottola.
HPitb1ch05-0330	sporgere	Oltrepassarono sferragliando un burrone sotterraneo e Harry si sporse fuori per cercare di vedere quel che c’era nel fondo, immerso nell’oscurità, ma Hagrid, con un ruggito, lo tirò dentro afferrandolo per la collottola.
HPitb1ch05-0331	immergere	Oltrepassarono sferragliando un burrone sotterraneo e Harry si sporse fuori per cercare di vedere quel che c’era nel fondo, immerso nell’oscurità, ma Hagrid, con un ruggito, lo tirò dentro afferrandolo per la collottola.
HPitb1ch05-0332	oscurità	Oltrepassarono sferragliando un burrone sotterraneo e Harry si sporse fuori per cercare di vedere quel che c’era nel fondo, immerso nell’oscurità, ma Hagrid, con un ruggito, lo tirò dentro afferrandolo per la collottola.
HPitb1ch05-0333	darsi	«State indietro» disse Griphook, dandosi un’aria d’importanza.
HPitb1ch05-0334	chiunque	«Chiunque non fosse un goblin della Gringott e provasse a farlo, verrebbe risucchiato attraverso la porta rimanendo imprigionato dentro» disse Griphook.
HPitb1ch05-0335	risucchiare	«Chiunque non fosse un goblin della Gringott e provasse a farlo, verrebbe risucchiato attraverso la porta rimanendo imprigionato dentro» disse Griphook.
HPitb1ch05-0336	imprigionare	«Chiunque non fosse un goblin della Gringott e provasse a farlo, verrebbe risucchiato attraverso la porta rimanendo imprigionato dentro» disse Griphook.
HPitb1ch05-0337	sicurezza	Dentro quella camera blindata di massima sicurezza doveva esserci qualcosa di veramente straordinario, Harry ne era certo;
HPitb1ch05-0338	straordinario	Dentro quella camera blindata di massima sicurezza doveva esserci qualcosa di veramente straordinario, Harry ne era certo;
HPitb1ch05-0339	curiosità	così, si sporse in avanti pieno di curiosità, aspettandosi di vedere come minimo gioielli favolosi, ma in un primo momento pensò che fosse vuota.
HPitb1ch05-0340	gioiello	così, si sporse in avanti pieno di curiosità, aspettandosi di vedere come minimo gioielli favolosi, ma in un primo momento pensò che fosse vuota.
HPitb1ch05-0341	favoloso	così, si sporse in avanti pieno di curiosità, aspettandosi di vedere come minimo gioielli favolosi, ma in un primo momento pensò che fosse vuota.
HPitb1ch05-0342	carta	Poi notò, sul pavimento, un pacchettino tutto sporco, avvolto in una carta marrone.
HPitb1ch05-0343	accuratamente	Hagrid lo raccolse e lo ripose accuratamente nel suo pastrano.
HPitb1ch05-0344	voglia	Harry bruciava dalla voglia di sapere che cosa fosse, ma sentiva che era meglio non chiedere.
HPitb1ch05-0345	dannato	«Andiamo, dai, di nuovo su quel dannato carrello, e non mi parlare finché non siamo arrivati:
HPitb1ch05-0346	accecare	Una volta usciti dalla Gringott, dopo la pazza corsa di ritorno, rimasero un poco a sbattere le palpebre, accecati dalla luce del sole.
HPitb1ch05-0347	zeppa	Anche se ora aveva una borsa piena zeppa di soldi, Harry non sapeva da dove iniziare a fare i suoi acquisti.
HPitb1ch05-0348	acquisto	Anche se ora aveva una borsa piena zeppa di soldi, Harry non sapeva da dove iniziare a fare i suoi acquisti.
HPitb1ch05-0349	sterlina	Non aveva bisogno di sapere quanti galeoni entravano in una sterlina per capire che disponeva di più denaro di quanto non ne avesse mai avuto in vita sua:
HPitb1ch05-0350	disporre	Non aveva bisogno di sapere quanti galeoni entravano in una sterlina per capire che disponeva di più denaro di quanto non ne avesse mai avuto in vita sua:
HPitb1ch05-0351	accennare	«Potremmo andare per la tua uniforme» disse Hagrid accennando con la testa al negozio di ‘Madame Malkin:
HPitb1ch05-0352	occasione	abiti per tutte le occasioni’.
HPitb1ch05-0353	nervosismo	Aveva ancora l’aria un po’ sbattuta e quindi Harry entrò da solo nel negozio di Madame Malkin, con un certo nervosismo.
HPitb1ch05-0354	tarchiato	Madame Malkin era una strega tarchiata, sorridente e tutta vestita di color malva.
HPitb1ch05-0355	malva	Madame Malkin era una strega tarchiata, sorridente e tutta vestita di color malva.
HPitb1ch05-0356	occorrente	«Ho qui tutto l’occorrente... Di là c’è un altro giovanotto che sta provando l’uniforme».
HPitb1ch05-0357	affilato	Nel retro del negozio, un ragazzino dal viso pallido e affilato stava ritto su uno sgabello, mentre un’altra strega gli appuntava con gli spilli l’orlo di una lunga tunica nera.
HPitb1ch05-0358	sgabello	Nel retro del negozio, un ragazzino dal viso pallido e affilato stava ritto su uno sgabello, mentre un’altra strega gli appuntava con gli spilli l’orlo di una lunga tunica nera.
HPitb1ch05-0359	appuntare	Nel retro del negozio, un ragazzino dal viso pallido e affilato stava ritto su uno sgabello, mentre un’altra strega gli appuntava con gli spilli l’orlo di una lunga tunica nera.
HPitb1ch05-0360	orlo	Nel retro del negozio, un ragazzino dal viso pallido e affilato stava ritto su uno sgabello, mentre un’altra strega gli appuntava con gli spilli l’orlo di una lunga tunica nera.
HPitb1ch05-0361	veste	Madame Malkin fece salire Harry su un altro sgabello vicino al primo, infilò anche a lui una lunga veste dalla testa e cominciò ad appuntarla per farla della giusta lunghezza.
HPitb1ch05-0362	lunghezza	Madame Malkin fece salire Harry su un altro sgabello vicino al primo, infilò anche a lui una lunga veste dalla testa e cominciò ad appuntarla per farla della giusta lunghezza.
HPitb1ch05-0363	ciao	«Ciao» disse il ragazzo.
HPitb1ch05-0364	annoiato	Aveva una voce annoiata e strascicata.
HPitb1ch05-0365	strascicare	Aveva una voce annoiata e strascicata.
HPitb1ch05-0366	gioco	«Non giochi a Quidditch?
HPitb1ch05-0367	delitto	Papà dice che sarebbe un delitto se non mi scegliessero per far parte della squadra della mia Casa, e devo dire che non posso che essere d’accordo.
HPitb1ch05-0368	squadra	Papà dice che sarebbe un delitto se non mi scegliessero per far parte della squadra della mia Casa, e devo dire che non posso che essere d’accordo.
HPitb1ch05-0369	rammaricarsi	» «Mmm...» rispose Harry, rammaricandosi di non riuscire a dire niente di più interessante.
HPitb1ch05-0370	interessante	» «Mmm...» rispose Harry, rammaricandosi di non riuscire a dire niente di più interessante.
HPitb1ch05-0371	principale	disse d’un tratto il ragazzo indicando con un cenno del capo la vetrina principale.
HPitb1ch05-0372	nominare	«Oh» disse il ragazzo, «l’ho sentito nominare.
HPitb1ch05-0373	inserviente	Un inserviente, vero?» «È il guardacaccia!» ribatté Harry.
HPitb1ch05-0374	simpatico	Ogni attimo che passava, quel ragazzino gli stava sempre meno simpatico.
HPitb1ch05-0375	capanna	«Sì, proprio così, ho sentito dire che è una specie di selvaggio... vive in una capanna nel comprensorio della scuola.
HPitb1ch05-0376	comprensorio	«Sì, proprio così, ho sentito dire che è una specie di selvaggio... vive in una capanna nel comprensorio della scuola.
HPitb1ch05-0377	ubriacarsi	Ogni tanto si ubriaca, cerca di fare delle magie e finisce con l’appiccare il fuoco al suo letto».
HPitb1ch05-0378	appiccare	Ogni tanto si ubriaca, cerca di fare delle magie e finisce con l’appiccare il fuoco al suo letto».
HPitb1ch05-0379	sogghigno	» disse il ragazzo con un lieve sogghigno.
HPitb1ch05-0380	approfondire	Non si sentiva molto in vena di approfondire l’argomento con quel ragazzo.
HPitb1ch05-0381	rincrescimento	«Oh, scusa» disse l’altro, senza mostrare il minimo rincrescimento.
HPitb1ch05-0382	maniera	Loro non sono come noi, non sono cresciuti alla nostra maniera.
HPitb1ch05-0383	frequenza	Secondo me, dovrebbero limitare la frequenza alle più antiche famiglie di maghi.
HPitb1ch05-0384	antico	Secondo me, dovrebbero limitare la frequenza alle più antiche famiglie di maghi.
HPitb1ch05-0385	cognome	A proposito, come fai di cognome?»
HPitb1ch05-0386	spiacente	E Harry, tutt’altro che spiacente d’avere una scusa per interrompere la conversazione con il ragazzo, saltò giù dallo sgabello.
HPitb1ch05-0387	congedarsi	«Bene, penso che ci rivedremo a Hogwarts» si congedò il ragazzo, sempre con la stessa parlata lenta e strascicata.
HPitb1ch05-0388	parlata	«Bene, penso che ci rivedremo a Hogwarts» si congedò il ragazzo, sempre con la stessa parlata lenta e strascicata.
HPitb1ch05-0389	gustare	Harry gustò in silenzio il gelato che Hagrid gli aveva comprato (cioccolato e lamponi con granella di noccioline).
HPitb1ch05-0390	lampone	Harry gustò in silenzio il gelato che Hagrid gli aveva comprato (cioccolato e lamponi con granella di noccioline).
