capitolo          	capitolo          	CAPITOLO
scagliando        	scagliare         	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
cereali           	cereale           	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
contro            	contro            	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
muro              	muro              	Alle otto e mezzo il signor Dursley prese la sua valigetta ventiquattrore, sfiorò con le labbra la guancia della moglie e tentò di dare un bacio a Dudley, ma lo mancò perché, in quel momento, in preda a un furioso capriccio, il bambino stava scagliando i suoi cereali contro il muro.
monello           	monello           	«Piccolo monello!» commentò ridendo il signor Dursley mentre usciva di casa.
commentò          	commentare        	«Piccolo monello!» commentò ridendo il signor Dursley mentre usciva di casa.
ridendo           	ridere            	«Piccolo monello!» commentò ridendo il signor Dursley mentre usciva di casa.
usciva            	uscire            	«Piccolo monello!» commentò ridendo il signor Dursley mentre usciva di casa.
casa              	casa              	«Piccolo monello!» commentò ridendo il signor Dursley mentre usciva di casa.
salì              	salire            	Salì in macchina e percorse in retromarcia il vialetto del numero 4.
macchina          	macchina          	Salì in macchina e percorse in retromarcia il vialetto del numero 4.
percorse          	percorrere        	Salì in macchina e percorse in retromarcia il vialetto del numero 4.
retromarcia       	retromarcia       	Salì in macchina e percorse in retromarcia il vialetto del numero 4.
vialetto          	viale             	Salì in macchina e percorse in retromarcia il vialetto del numero 4.
angolo            	angolo            	Fu all’angolo della strada che notò le prime avvisaglie di qualcosa di strano:
strada            	strada            	Fu all’angolo della strada che notò le prime avvisaglie di qualcosa di strano:
prime             	primo             	Fu all’angolo della strada che notò le prime avvisaglie di qualcosa di strano:
avvisaglie        	avvisaglia        	Fu all’angolo della strada che notò le prime avvisaglie di qualcosa di strano:
qualcosa          	qualcosa          	Fu all’angolo della strada che notò le prime avvisaglie di qualcosa di strano:
gatto             	gatto             	un gatto che leggeva una mappa.
leggeva           	leggere           	un gatto che leggeva una mappa.
mappa             	mappa             	un gatto che leggeva una mappa.
attimo            	attimo            	Per un attimo, il signor Dursley non si rese conto di quel che aveva visto;
rese              	rendere           	Per un attimo, il signor Dursley non si rese conto di quel che aveva visto;
conto             	conto             	Per un attimo, il signor Dursley non si rese conto di quel che aveva visto;
poi               	poi               	poi girò di scatto la testa e guardò di nuovo.
girò              	girare            	poi girò di scatto la testa e guardò di nuovo.
scatto            	scatto            	poi girò di scatto la testa e guardò di nuovo.
testa             	testa             	poi girò di scatto la testa e guardò di nuovo.
guardò            	guardare          	poi girò di scatto la testa e guardò di nuovo.
nuovo             	nuovo             	poi girò di scatto la testa e guardò di nuovo.
effetti           	effetto           	In effetti c’era un gatto soriano all’angolo di Privet Drive, ma di mappe nemmeno l’ombra.
soriano           	soriano           	In effetti c’era un gatto soriano all’angolo di Privet Drive, ma di mappe nemmeno l’ombra.
nemmeno           	nemmeno           	In effetti c’era un gatto soriano all’angolo di Privet Drive, ma di mappe nemmeno l’ombra.
ombra             	ombra             	In effetti c’era un gatto soriano all’angolo di Privet Drive, ma di mappe nemmeno l’ombra.
diavolo           	diavolo           	Ma che diavolo aveva per la testa?
luce              	luce              	La luce doveva avergli giocato qualche brutto tiro.
doveva            	dovere            	La luce doveva avergli giocato qualche brutto tiro.
giocato           	giocare           	La luce doveva avergli giocato qualche brutto tiro.
qualche           	qualche           	La luce doveva avergli giocato qualche brutto tiro.
brutto            	brutto            	La luce doveva avergli giocato qualche brutto tiro.
tiro              	tiro              	La luce doveva avergli giocato qualche brutto tiro.
stropicciò        	stropicciare      	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
occhi             	occhio            	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
fissò             	fissare           	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
gli               	gli               	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
ricambiò          	ricambiare        	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
occhiata          	occhiata          	Si stropicciò gli occhi e fissò il gatto, che gli ricambiò l’occhiata.
auto              	auto              	Mentre l’auto girava l’angolo e percorreva un tratto di strada, il signor Dursley tenne d’occhio il gatto nello specchietto retrovisore.
tratto            	tratto            	Mentre l’auto girava l’angolo e percorreva un tratto di strada, il signor Dursley tenne d’occhio il gatto nello specchietto retrovisore.
specchietto       	specchietto       	Mentre l’auto girava l’angolo e percorreva un tratto di strada, il signor Dursley tenne d’occhio il gatto nello specchietto retrovisore.
retrovisore       	retrovisore       	Mentre l’auto girava l’angolo e percorreva un tratto di strada, il signor Dursley tenne d’occhio il gatto nello specchietto retrovisore.
felino            	felino            	In quel momento il felino stava leggendo il cartello stradale che indicava Privet Drive.
cartello          	cartello          	In quel momento il felino stava leggendo il cartello stradale che indicava Privet Drive.
stradale          	stradale          	In quel momento il felino stava leggendo il cartello stradale che indicava Privet Drive.
indicava          	indicare          	In quel momento il felino stava leggendo il cartello stradale che indicava Privet Drive.
no                	no                	No, lo stava guardando;
neanche           	neanche           	i gatti non sanno leggere le mappe e neanche i cartelli stradali.
riscosse          	riscuotersi       	Il signor Dursley si riscosse da quei pensieri e allontanò il gatto dalla mente.
allontanò         	allontanare       	Il signor Dursley si riscosse da quei pensieri e allontanò il gatto dalla mente.
mente             	mente             	Il signor Dursley si riscosse da quei pensieri e allontanò il gatto dalla mente.
dirigeva          	dirigere          	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
città             	città             	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
pensò             	pensare           	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
ordine            	ordine            	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
sperava           	sperare           	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
ricevere          	ricevere          	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
giorno            	giorno            	Mentre si dirigeva in città, non pensò ad altro che al grosso ordine di trapani che sperava di ricevere quel giorno.
giunto            	giungere          	Ma una volta giunto alla periferia della città, avvenne qualcos’altro che gli fece dimenticare i trapani.
periferia         	periferia         	Ma una volta giunto alla periferia della città, avvenne qualcos’altro che gli fece dimenticare i trapani.
avvenne           	avvenire          	Ma una volta giunto alla periferia della città, avvenne qualcos’altro che gli fece dimenticare i trapani.
dimenticare       	dimenticare       	Ma una volta giunto alla periferia della città, avvenne qualcos’altro che gli fece dimenticare i trapani.
bloccato          	bloccare          	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
solito            	solito            	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
ingorgo           	ingorgo           	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
mattino           	mattino           	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
meno              	meno              	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
giro              	giro              	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
sacco             	sacco             	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
vestite           	vestire           	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
modo              	modo              	Bloccato nel solito ingorgo del mattino, non poté fare a meno di notare che in giro c’erano un sacco di persone vestite in modo strano.
gente             	gente             	Gente con indosso dei mantelli.
indosso           	indosso           	Gente con indosso dei mantelli.
mantelli          	mantello          	Gente con indosso dei mantelli.
stravagante       	stravagante       	Il signor Dursley non sopportava le persone che si vestivano in modo stravagante:
bastava           	bastare           	bastava vedere come si conciavano certi giovani!
come              	come              	bastava vedere come si conciavano certi giovani!
conciavano        	conciarsi         	bastava vedere come si conciavano certi giovani!
certi             	certo             	bastava vedere come si conciavano certi giovani!
giovani           	giovane           	bastava vedere come si conciavano certi giovani!
immaginò          	immaginare        	Immaginò che si trattasse di qualche stupidissima nuova moda.
trattasse         	trattare          	Immaginò che si trattasse di qualche stupidissima nuova moda.
stupidissima      	stupido           	Immaginò che si trattasse di qualche stupidissima nuova moda.
moda              	moda              	Immaginò che si trattasse di qualche stupidissima nuova moda.
tamburellava      	tamburellare      	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
dita              	dito              	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
volante           	volante           	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
sguardo           	sguardo           	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
cadde             	cadere            	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
capannello        	capannello        	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
strampalati       	strampalato       	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
lui               	lui               	Mentre tamburellava con le dita sul volante, lo sguardo gli cadde su un capannello di quegli strampalati, vicinissimo a lui.
bisbigliando      	bisbigliare       	Si stavano bisbigliando qualcosa tutti eccitati.
eccitati          	eccitato          	Si stavano bisbigliando qualcosa tutti eccitati.
sentì             	sentire           	Il signor Dursley sentì montare la rabbia nel constatare che un paio di loro erano tutt’altro che giovani.
montare           	montare           	Il signor Dursley sentì montare la rabbia nel constatare che un paio di loro erano tutt’altro che giovani.
rabbia            	rabbia            	Il signor Dursley sentì montare la rabbia nel constatare che un paio di loro erano tutt’altro che giovani.
constatare        	constatare        	Il signor Dursley sentì montare la rabbia nel constatare che un paio di loro erano tutt’altro che giovani.
roba              	roba              	Ma che roba!
anziano           	anziano           	Quello lì doveva essere più anziano di lui e portava un mantello verde smeraldo!
!portava          	portare           	Quello lì doveva essere più anziano di lui e portava un mantello verde smeraldo!
verde             	verde             	Quello lì doveva essere più anziano di lui e portava un mantello verde smeraldo!
smeraldo          	smeraldo          	Quello lì doveva essere più anziano di lui e portava un mantello verde smeraldo!
tosta             	tosto             	Che faccia tosta!
però              	però|pero_2       	Poi però pensò che potesse trattarsi di qualche sciocca trovata.
sciocca           	sciocco           	Poi però pensò che potesse trattarsi di qualche sciocca trovata.
trovata           	trovata           	Poi però pensò che potesse trattarsi di qualche sciocca trovata.
colletta          	colletta          	Era gente che faceva una colletta per qualche motivo.
motivo            	motivo            	Era gente che faceva una colletta per qualche motivo.
sì                	sì|si_2           	Sì, doveva essere proprio così.
traffico          	traffico          	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
riprese           	riprendere        	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
scorrere          	scorrere          	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
alcuni            	alcuno            	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
minuti            	minuto            	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
tardi             	tardi             	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
parcheggio        	parcheggio        	Poi, il traffico riprese a scorrere e alcuni minuti più tardi il signor Dursley giunse al parcheggio della Grunnings con la mente di nuovo tutta presa dai trapani.
ufficio           	ufficio           	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
nono              	nono              	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
piano             	piano             	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
!sedeva           	sedere            	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
sempre            	sempre            	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
schiena           	schiena           	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
rivolta           	rivolgere         	Nel suo ufficio, al nono piano, il signor Dursley sedeva sempre con la schiena rivolta alla finestra.
ancor             	ancora            	Se così non fosse stato, quella mattina avrebbe avuto ancor più difficoltà a concentrarsi sui suoi trapani.
difficoltà        	difficoltà        	Se così non fosse stato, quella mattina avrebbe avuto ancor più difficoltà a concentrarsi sui suoi trapani.
concentrarsi      	concentrarsi      	Se così non fosse stato, quella mattina avrebbe avuto ancor più difficoltà a concentrarsi sui suoi trapani.
volare            	volare            	Lui non vide i gufi volare a sciami in pieno giorno, ma la gente per strada sì.
sciami            	sciame            	Lui non vide i gufi volare a sciami in pieno giorno, ma la gente per strada sì.
pieno             	pieno             	Lui non vide i gufi volare a sciami in pieno giorno, ma la gente per strada sì.
li                	li                	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
additavano        	additare          	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
bocca             	bocca             	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
aperta            	aperto            	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
velocità          	velocità          	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
dopo              	dopo              	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
sopra             	sopra             	E li additavano, a bocca aperta, guardandoli passare a tutta velocità, uno dopo l’altro sopra le loro teste.
maggior           	maggiore          	La maggior parte di quelle persone non aveva mai visto un gufo neanche di notte.
notte             	notte             	La maggior parte di quelle persone non aveva mai visto un gufo neanche di notte.
ciononostante     	ciononostante     	Ciononostante, il signor Dursley ebbe il privilegio di una mattinata perfettamente normale, del tutto immune dai gufi.
privilegio        	privilegio        	Ciononostante, il signor Dursley ebbe il privilegio di una mattinata perfettamente normale, del tutto immune dai gufi.
mattinata         	mattinata         	Ciononostante, il signor Dursley ebbe il privilegio di una mattinata perfettamente normale, del tutto immune dai gufi.
immune            	immune            	Ciononostante, il signor Dursley ebbe il privilegio di una mattinata perfettamente normale, del tutto immune dai gufi.
gangheri          	ganghero          	Uscì dai gangheri con cinque persone diverse.
cinque            	cinque            	Uscì dai gangheri con cinque persone diverse.
molte             	molto             	Fece molte telefonate importanti e qualche altro urlaccio.
telefonate        	telefonata        	Fece molte telefonate importanti e qualche altro urlaccio.
importanti        	importante        	Fece molte telefonate importanti e qualche altro urlaccio.
urlaccio          	urlo              	Fece molte telefonate importanti e qualche altro urlaccio.
fino              	fino              	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
ora               	ora               	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
pranzo            	pranzo            	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
umore             	umore             	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
mantenne          	mantenersi        	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
ottimo            	ottimo            	Fino all’ora di pranzo, il suo umore si mantenne ottimo.
punto             	punto             	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
decise            	decidere          	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
!sgranchirsi      	sgranchire        	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
gambe             	gamba             	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
attraversato      	attraversare      	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
andare            	andare            	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
comprarsi         	comprare          	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
ciambella         	ciambella         	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
fornaio           	fornaio           	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
fronte            	fronte            	A quel punto decise che, per sgranchirsi le gambe, avrebbe attraversato la strada per andare a comprarsi una ciambella dal fornaio di fronte.
completamente     	completamente     	Aveva completamente dimenticato le persone con il mantello fino a che non ne superò un gruppetto proprio accanto al fornaio.
ne                	ne                	Aveva completamente dimenticato le persone con il mantello fino a che non ne superò un gruppetto proprio accanto al fornaio.
superò            	superare          	Aveva completamente dimenticato le persone con il mantello fino a che non ne superò un gruppetto proprio accanto al fornaio.
gruppetto         	gruppetto         	Aveva completamente dimenticato le persone con il mantello fino a che non ne superò un gruppetto proprio accanto al fornaio.
accanto           	accanto           	Aveva completamente dimenticato le persone con il mantello fino a che non ne superò un gruppetto proprio accanto al fornaio.
scoccò            	scoccare          	Mentre passava, scoccò loro un’occhiata furente.
furente           	furente           	Mentre passava, scoccò loro un’occhiata furente.
mettevano         	mettere           	Non sapeva perché, ma lo mettevano a disagio.
disagio           	disagio           	Non sapeva perché, ma lo mettevano a disagio.
cassette          	cassetta          	Anche queste bisbigliavano tutte eccitate, ma di cassette per raccogliere le offerte non ne vide neanche una.
raccogliere       	raccogliere       	Anche queste bisbigliavano tutte eccitate, ma di cassette per raccogliere le offerte non ne vide neanche una.
offerte           	offerta           	Anche queste bisbigliavano tutte eccitate, ma di cassette per raccogliere le offerte non ne vide neanche una.
ritorno           	ritorno           	Fu passando loro accanto di ritorno dal fornaio, con un’enorme ciambella in un sacchetto, che colse qualcosa di quello che stavano dicendo.
enorme            	enorme            	Fu passando loro accanto di ritorno dal fornaio, con un’enorme ciambella in un sacchetto, che colse qualcosa di quello che stavano dicendo.
sacchetto         	sacchetto         	Fu passando loro accanto di ritorno dal fornaio, con un’enorme ciambella in un sacchetto, che colse qualcosa di quello che stavano dicendo.
colse             	cogliere          	Fu passando loro accanto di ritorno dal fornaio, con un’enorme ciambella in un sacchetto, che colse qualcosa di quello che stavano dicendo.
già               	già               	«I Potter, proprio così, è quel che ho sentito...» «...già, il figlio, Harry...» Il signor Dursley si fermò di colpo.
fermò             	fermarsi          	«I Potter, proprio così, è quel che ho sentito...» «...già, il figlio, Harry...» Il signor Dursley si fermò di colpo.
colpo             	colpo             	«I Potter, proprio così, è quel che ho sentito...» «...già, il figlio, Harry...» Il signor Dursley si fermò di colpo.
invaso            	invadere          	Fu invaso dalla paura.
paura             	paura             	Fu invaso dalla paura.
voltò             	voltarsi          	Si voltò a guardare il capannello come se volesse dire qualcosa, ma poi ci ripensò.
ci                	ci                	Si voltò a guardare il capannello come se volesse dire qualcosa, ma poi ci ripensò.
ripensò           	ripensare         	Si voltò a guardare il capannello come se volesse dire qualcosa, ma poi ci ripensò.
precipitosamente  	precipitosamente  	Attraversò la strada precipitosamente e raggiunse in tutta fretta il suo ufficio;
raggiunse         	raggiungere       	Attraversò la strada precipitosamente e raggiunse in tutta fretta il suo ufficio;
fretta            	fretta            	Attraversò la strada precipitosamente e raggiunse in tutta fretta il suo ufficio;
intimò            	intimare          	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
segretaria        	segretario        	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
disturbarlo       	disturbare        	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
afferrò           	afferrare         	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
telefono          	telefono          	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
finito            	finire            	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
cambiò            	cambiare          	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
idea              	idea              	intimò alla segretaria di non disturbarlo per nessuna ragione, afferrò il telefono, e aveva quasi finito di fare il numero di casa quando cambiò idea.
giù               	giù               	Mise giù il ricevitore, si lisciò i baffi, pensando... no, era stato uno stupido.
ricevitore        	ricevitore        	Mise giù il ricevitore, si lisciò i baffi, pensando... no, era stato uno stupido.
lisciò            	lisciare          	Mise giù il ricevitore, si lisciò i baffi, pensando... no, era stato uno stupido.
insolito          	insolito          	Potter non era poi un nome così insolito.
miriadi           	miriade           	Era certo che esistessero miriadi di persone che si chiamavano Potter e avevano un figlio di nome Harry.
chiamavano        	chiamarsi         	Era certo che esistessero miriadi di persone che si chiamavano Potter e avevano un figlio di nome Harry.
sicuro            	sicuro            	E poi, ora che ci pensava, non era neanche tanto sicuro che suo nipote si chiamasse proprio Harry.
nipote            	nipote            	E poi, ora che ci pensava, non era neanche tanto sicuro che suo nipote si chiamasse proprio Harry.
resto             	resto             	Del resto, non lo aveva neanche mai visto.
impensierire      	impensierire      	Non c’era ragione di impensierire la signora Dursley;
la                	la                	se la prendeva tanto ogni volta che le si parlava della sorella!
ogni              	ogni              	se la prendeva tanto ogni volta che le si parlava della sorella!
parlava           	parlare           	se la prendeva tanto ogni volta che le si parlava della sorella!
darle             	dare              	E non poteva darle torto:
torto             	torto             	E non poteva darle torto:
tuttavia          	tuttavia          	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
avvolta           	avvolgere         	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
pomeriggio        	pomeriggio        	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
difficile         	difficile         	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
lasciò            	lasciare          	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
talmente          	talmente          	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
assorto           	assorto           	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
appena            	appena            	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
varcata           	varcare           	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
soglia            	soglia            	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
palazzo           	palazzo           	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
sbattere          	sbattere          	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
dritto            	dritto            	Tuttavia, quella gente avvolta nei mantelli... Quel pomeriggio trovò molto più difficile concentrarsi sui suoi trapani e quando lasciò l’ufficio alle cinque in punto era ancora talmente assorto che, appena varcata la soglia del palazzo, andò a sbattere dritto dritto contro qualcuno.
scusi             	scusare           	«Scusi» bofonchiò, mentre il poveretto – un uomo anziano e mingherlino – inciampava e per poco non finiva lungo disteso.
bofonchiò         	bofonchiare       	«Scusi» bofonchiò, mentre il poveretto – un uomo anziano e mingherlino – inciampava e per poco non finiva lungo disteso.
poveretto         	povero            	«Scusi» bofonchiò, mentre il poveretto – un uomo anziano e mingherlino – inciampava e per poco non finiva lungo disteso.
mingherlino       	mingherlino       	«Scusi» bofonchiò, mentre il poveretto – un uomo anziano e mingherlino – inciampava e per poco non finiva lungo disteso.
inciampava        	inciampare        	«Scusi» bofonchiò, mentre il poveretto – un uomo anziano e mingherlino – inciampava e per poco non finiva lungo disteso.
disteso           	disteso           	«Scusi» bofonchiò, mentre il poveretto – un uomo anziano e mingherlino – inciampava e per poco non finiva lungo disteso.
indossava         	indossare         	Ci volle qualche secondo perché il signor Dursley si rendesse conto che l’uomo indossava un mantello viola.
viola             	viola             	Ci volle qualche secondo perché il signor Dursley si rendesse conto che l’uomo indossava un mantello viola.
ometto            	ometto            	L’ometto però non sembrava per niente offeso dal fatto di essere stato quasi scaraventato a terra.
sembrava          	sembrare          	L’ometto però non sembrava per niente offeso dal fatto di essere stato quasi scaraventato a terra.
