chiavi          	chiave          	DELLE CHIAVI BUM!
macerie         	macerie         	«Ti ho raccolto tra le macerie della casa con le mie mani, su ordine di Silente.
balle           	balla           	«Tutte balle!» esclamò zio Vernon.
presenza        	presenza        	aveva quasi dimenticato la presenza dei Dursley.
recuperato      	recuperare      	Zio Vernon aveva tutta l’aria di aver recuperato il coraggio.
coraggio        	coraggio        	Zio Vernon aveva tutta l’aria di aver recuperato il coraggio.
odio            	odio            	Fissava Hagrid con odio e teneva i pugni serrati.
serrati         	serrato         	Fissava Hagrid con odio e teneva i pugni serrati.
guarito         	guarire         	«Ammetto che in te ci sia qualcosa di strano, probabilmente nulla che non sarebbe guarito con una bella sculacciata... Ma quanto a tutte queste storie sui tuoi genitori... è vero, erano strampalati, inutile negarlo, e a mio parere il mondo sta molto meglio senza di loro.
sculacciata     	sculacciata     	«Ammetto che in te ci sia qualcosa di strano, probabilmente nulla che non sarebbe guarito con una bella sculacciata... Ma quanto a tutte queste storie sui tuoi genitori... è vero, erano strampalati, inutile negarlo, e a mio parere il mondo sta molto meglio senza di loro.
capitato        	capitare        	Quel che gli è capitato se lo sono cercato, a forza di frequentare tutti quei maghi... È accaduto proprio quel che avevo previsto;
ombrello        	ombrello        	Ma in quel preciso istante, Hagrid balzò in piedi ed estrasse da sotto il pastrano un ombrello rosa malconcio.
malconcio       	malconcio       	Ma in quel preciso istante, Hagrid balzò in piedi ed estrasse da sotto il pastrano un ombrello rosa malconcio.
puntandolo      	puntare         	Puntandolo contro zio Vernon come una spada, disse:
spada           	spada           	Puntandolo contro zio Vernon come una spada, disse:
infilzato       	infilzare       	un’altra parola e...» All’idea di finire infilzato sul puntale di un ombrello da un gigante barbuto, il coraggio di zio Vernon venne meno un’altra volta.
puntale         	puntale         	un’altra parola e...» All’idea di finire infilzato sul puntale di un ombrello da un gigante barbuto, il coraggio di zio Vernon venne meno un’altra volta.
barbuto         	barbuto         	un’altra parola e...» All’idea di finire infilzato sul puntale di un ombrello da un gigante barbuto, il coraggio di zio Vernon venne meno un’altra volta.
appiattì        	appiattirsi     	Si appiattì contro la parete e rimase in silenzio.
affannoso       	affannoso       	«Così va meglio» fece Hagrid col respiro affannoso, e si sedette di nuovo sul divano, che questa volta cedette definitivamente fino a toccare terra.
definitivamente 	definitivamente 	«Così va meglio» fece Hagrid col respiro affannoso, e si sedette di nuovo sul divano, che questa volta cedette definitivamente fino a toccare terra.
umano           	umano           	Non so se dentro aveva ancora qualcosa di abbastanza umano che poteva morire.
trance          	trance          	Alcuni sembrava che uscivano da una trance.
debole          	debole          	«I più di noi credono che è ancora là fuori da qualche parte, ma che ha perso i suoi poteri, che è troppo debole per andare avanti.
brillavano      	brillare        	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
rispetto        	rispetto        	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
canto           	canto           	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
anziché         	anziché         	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
compiaciuto     	compiacere      	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
errore          	errore          	Hagrid guardava Harry e nei suoi occhi brillavano calore e rispetto; Harry, dal canto suo, anziché sentirsi compiaciuto e orgoglioso, era abbastanza sicuro che ci fosse un terribile errore.
tormentare      	tormentare      	Aveva passato una vita a farsi picchiare da Dudley e tormentare da zia Petunia e da zio Vernon;
rospi           	rospo           	se fosse stato veramente un mago, perché non si erano trasformati in rospi verrucosi ogni volta che avevano cercato di rinchiuderlo nel ripostiglio?
verrucosi       	verrucoso       	se fosse stato veramente un mago, perché non si erano trasformati in rospi verrucosi ogni volta che avevano cercato di rinchiuderlo nel ripostiglio?
rinchiuderlo    	rinchiudere     	se fosse stato veramente un mago, perché non si erano trasformati in rospi verrucosi ogni volta che avevano cercato di rinchiuderlo nel ripostiglio?
sconfitto       	sconfiggere     	Se una volta aveva sconfitto il più grande stregone del mondo, come mai Dudley lo aveva sempre preso a calci come un pallone?
tranquillamente 	tranquillamente 	«Hagrid» disse tranquillamente, «credo che ti sia sbagliato.
impossibile     	impossibile     	Secondo me è impossibile che io sia un mago».
spaventano      	spaventarsi     	non ti capita mai di far succedere qualcosa, quando ti spaventano o ti fanno arrabbiare?
arrabbiare      	arrabbiare      	non ti capita mai di far succedere qualcosa, quando ti spaventano o ti fanno arrabbiare?
furie           	furia           	Ora che ci pensava... le cose strane che mandavano gli zii su tutte le furie erano sempre accadute quando lui, Harry, era turbato o arrabbiato... Quando era inseguito dalla ghenga di Dudley, chissà come, si ritrovava sempre fuori tiro... Quando il pensiero di andare a scuola con quel ridicolo taglio di capelli l’aveva spaventato era riuscito a farseli ricrescere... E poi, l’ultima volta che Dudley lo aveva picchiato non si era forse preso la rivincita, senza neanche rendersene conto?
inseguito       	inseguire       	Ora che ci pensava... le cose strane che mandavano gli zii su tutte le furie erano sempre accadute quando lui, Harry, era turbato o arrabbiato... Quando era inseguito dalla ghenga di Dudley, chissà come, si ritrovava sempre fuori tiro... Quando il pensiero di andare a scuola con quel ridicolo taglio di capelli l’aveva spaventato era riuscito a farseli ricrescere... E poi, l’ultima volta che Dudley lo aveva picchiato non si era forse preso la rivincita, senza neanche rendersene conto?
ridicolo        	ridicolo        	Ora che ci pensava... le cose strane che mandavano gli zii su tutte le furie erano sempre accadute quando lui, Harry, era turbato o arrabbiato... Quando era inseguito dalla ghenga di Dudley, chissà come, si ritrovava sempre fuori tiro... Quando il pensiero di andare a scuola con quel ridicolo taglio di capelli l’aveva spaventato era riuscito a farseli ricrescere... E poi, l’ultima volta che Dudley lo aveva picchiato non si era forse preso la rivincita, senza neanche rendersene conto?
rivincita       	rivincita       	Ora che ci pensava... le cose strane che mandavano gli zii su tutte le furie erano sempre accadute quando lui, Harry, era turbato o arrabbiato... Quando era inseguito dalla ghenga di Dudley, chissà come, si ritrovava sempre fuori tiro... Quando il pensiero di andare a scuola con quel ridicolo taglio di capelli l’aveva spaventato era riuscito a farseli ricrescere... E poi, l’ultima volta che Dudley lo aveva picchiato non si era forse preso la rivincita, senza neanche rendersene conto?
aizzato         	aizzare         	Non gli aveva aizzato contro un boa constrictor?
accorse         	accorgersi      	Harry tornò a guardare Hagrid con un sorriso e si accorse che il gigante lo ricambiava apertamente.
apertamente     	apertamente     	Harry tornò a guardare Hagrid con un sorriso e si accorse che il gigante lo ricambiava apertamente.
intenzionato    	intenzionato    	Ma zio Vernon non era intenzionato a cedere senza dar battaglia.
battaglia       	battaglia       	Ma zio Vernon non era intenzionato a cedere senza dar battaglia.
ringraziarci    	ringraziare     	«Andrà a Stonewall e dovrà anche ringraziarci.
incantesimi     	incantesimo     	Ho letto tutte quelle lettere in cui chiedono un mucchio di stupidaggini... libri di incantesimi, bacchette magiche...» «Se lui vuole andarsene, neanche un grosso Babbano come te riuscirà a fermarlo» ringhiò Hagrid.
bacchette       	bacchetta       	Ho letto tutte quelle lettere in cui chiedono un mucchio di stupidaggini... libri di incantesimi, bacchette magiche...» «Se lui vuole andarsene, neanche un grosso Babbano come te riuscirà a fermarlo» ringhiò Hagrid.
impedire        	impedire        	«Impedire al figlio di Lily e James Potter di andare a Hogwarts!
iscritto        	iscrivere       	È iscritto da quando è nato.
sette           	sette           	Sette anni laggiù e non si riconoscerà più neanche lui.
laggiù          	laggiù          	Sette anni laggiù e non si riconoscerà più neanche lui.
pagare          	pagare          	Starà insieme a giovani come lui, una volta tanto, sotto il più grande preside che Hogwarts ha mai avuto, Albus Silen...» «IO NON INTENDO PAGARE PERCHÉ UN VECCHIO PAZZO STRAVAGANTE GLI INSEGNI QUALCHE TRUCCHETTO!
insegni         	insegnare       	Starà insieme a giovani come lui, una volta tanto, sotto il più grande preside che Hogwarts ha mai avuto, Albus Silen...» «IO NON INTENDO PAGARE PERCHÉ UN VECCHIO PAZZO STRAVAGANTE GLI INSEGNI QUALCHE TRUCCHETTO!
trucchetto      	trucco          	Starà insieme a giovani come lui, una volta tanto, sotto il più grande preside che Hogwarts ha mai avuto, Albus Silen...» «IO NON INTENDO PAGARE PERCHÉ UN VECCHIO PAZZO STRAVAGANTE GLI INSEGNI QUALCHE TRUCCHETTO!
limite          	limite          	Ma aveva superato il limite.
roteare         	roteare         	Hagrid afferrò l’ombrello e lo fece roteare sopra la testa.
insultare       	insultare       	«MAI...» tuonò, «INSULTARE – ALBUS – SILENTE – DAVANTI – A – ME!»
sferzando       	sferzare        	Sferzando l’aria con l’ombrello, lo puntò contro Dudley:
violetta        	violetto        	ci fu un bagliore di luce violetta, uno scoppio come di petardo e un acuto squittio.
petardo         	petardo         	ci fu un bagliore di luce violetta, uno scoppio come di petardo e un acuto squittio.
acuto           	acuto           	ci fu un bagliore di luce violetta, uno scoppio come di petardo e un acuto squittio.
saltellava      	saltellare      	Un attimo dopo, Dudley saltellava sul posto con le mani serrate sul grosso deretano, ululando di dolore.
deretano        	deretano        	Un attimo dopo, Dudley saltellava sul posto con le mani serrate sul grosso deretano, ululando di dolore.
volse           	volgere         	Quando volse loro le spalle, Harry vide un codino arricciato da maiale che gli spuntava da un buco nei pantaloni.
codino          	codino          	Quando volse loro le spalle, Harry vide un codino arricciato da maiale che gli spuntava da un buco nei pantaloni.
ruggito         	ruggito         	Zio Vernon emise un ruggito.
spinti          	spinto          	Spinti zia Petunia e Dudley nella stanza accanto, gettò un ultimo sguardo terrorizzato a Hagrid e si sbatté la porta alle spalle.
terrorizzato    	terrorizzare    	Spinti zia Petunia e Dudley nella stanza accanto, gettò un ultimo sguardo terrorizzato a Hagrid e si sbatté la porta alle spalle.
accarezzò       	accarezzare     	Hagrid guardò l’ombrello e si accarezzò la barba.
dolente         	dolente         	«Non dovevo dar di matto» disse con aria dolente.
tralice         	tralice         	Gettò uno sguardo in tralice a Harry da sotto le sopracciglia cespugliose.
sopracciglia    	sopracciglio    	Gettò uno sguardo in tralice a Harry da sotto le sopracciglia cespugliose.
cespugliose     	cespuglioso     	Gettò uno sguardo in tralice a Harry da sotto le sopracciglia cespugliose.
missione        	missione        	Mi è stato permesso di farne qualcuna, ma solo per seguire te e per portarti le lettere e roba del genere... e questa era una delle ragioni per cui desideravo tanto questa missione».
espulso         	espellere       	«Oh, be’, sai... anch’io una volta andavo a scuola a Hogwarts, ma... ehm... per dirla tutta, sono stato espulso.
terzo           	terzo           	Al terzo anno.
spezzato        	spezzare        	Mi hanno spezzato la bacchetta a metà, eccetera eccetera.
eccetera        	eccetera        	Mi hanno spezzato la bacchetta a metà, eccetera eccetera.
guardacaccia    	guardacaccia    	Ma Silente mi ha permesso di rimanere come guardacaccia.
schiacciare     	schiacciare     	«Puoi schiacciare un pisolino qui sotto» disse.
pisolino        	pisolino        	«Puoi schiacciare un pisolino qui sotto» disse.
ghiri           	ghiro           	Credo che in una delle tasche sono rimasti un paio di ghiri».
