parlante       	parlante        	CAPITOLO 7 IL CAPPELLO PARLANTE La porta si aprì all’istante.
meringa        	meringa         	Zio Algie era venuto a prendere il tè e mi teneva appeso per le caviglie fuori da una finestra del secondo piano, quando zia Enid gli offrì una meringa e lui, senza farlo apposta, mi lasciò andare.
contentezza    	contentezza     	Tutti erano felici, mia nonna piangeva per la contentezza.
mutare         	mutare          	Dall’altro lato di Harry, Percy Weasley e Hermione stavano parlando delle lezioni («Spero proprio che comincino subito, c’è tanto da imparare, a me interessa in modo particolare la Trasfigurazione, sai, mutare un oggetto in qualcos’altro, naturalmente è ritenuta una pratica molto difficile...»;
pratica        	pratica         	Dall’altro lato di Harry, Percy Weasley e Hermione stavano parlando delle lezioni («Spero proprio che comincino subito, c’è tanto da imparare, a me interessa in modo particolare la Trasfigurazione, sai, mutare un oggetto in qualcos’altro, naturalmente è ritenuta una pratica molto difficile...»;
fiammiferi     	fiammifero      	«Comincerete dalle cose più semplici, che so, trasformare fiammiferi in aghi e cose del genere...») Harry, che cominciava a sentirsi accaldato e insonnolito, alzò di nuovo lo sguardo verso il tavolo degli insegnanti.
aghi           	ago             	«Comincerete dalle cose più semplici, che so, trasformare fiammiferi in aghi e cose del genere...») Harry, che cominciava a sentirsi accaldato e insonnolito, alzò di nuovo lo sguardo verso il tavolo degli insegnanti.
accaldato      	accaldato       	«Comincerete dalle cose più semplici, che so, trasformare fiammiferi in aghi e cose del genere...») Harry, che cominciava a sentirsi accaldato e insonnolito, alzò di nuovo lo sguardo verso il tavolo degli insegnanti.
insonnolito    	insonnolito     	«Comincerete dalle cose più semplici, che so, trasformare fiammiferi in aghi e cose del genere...») Harry, che cominciava a sentirsi accaldato e insonnolito, alzò di nuovo lo sguardo verso il tavolo degli insegnanti.
intento        	intento         	Hagrid era tutto intento a bere dal suo calice.
conversava     	conversare      	La professoressa McGonagall conversava con il professor Silente.
assurdo        	assurdo         	Il professor Quirrell, con il suo assurdo turbante, parlava con un altro insegnante dai capelli neri e untuosi, il naso adunco e la carnagione giallastra.
untuosi        	untuoso         	Il professor Quirrell, con il suo assurdo turbante, parlava con un altro insegnante dai capelli neri e untuosi, il naso adunco e la carnagione giallastra.
carnagione     	carnagione      	Il professor Quirrell, con il suo assurdo turbante, parlava con un altro insegnante dai capelli neri e untuosi, il naso adunco e la carnagione giallastra.
corte          	corte           	tutti sanno che fa la corte alla materia di Quirrell.
sazi           	sazio           	«Ehm... solo poche parole ancora, adesso che siamo tutti sazi di cibo e di bevande.
bevande        	bevanda         	«Ehm... solo poche parole ancora, adesso che siamo tutti sazi di cibo e di bevande.
annunci        	annuncio        	Ho da darvi alcuni annunci di inizio anno.
accesso        	accesso         	«Gli studenti del primo anno devono ricordare che l’accesso alla foresta qui intorno è proibito a tutti gli alunni.
alunni         	alunno          	«Gli studenti del primo anno devono ricordare che l’accesso alla foresta qui intorno è proibito a tutti gli alunni.
vietato        	vietato         	«Inoltre, il signor Filch, il custode, mi ha chiesto di ricordare a voi tutti che è vietato usare la magia nei corridoi tra una lezione e l’altra.
selezioni      	selezione       	«Le selezioni di Quidditch si terranno durante la seconda settimana dell’anno scolastico.
contattare     	contattare      	Chiunque sia interessato a giocare per la squadra della sua Casa è pregato di contattare Madame Hooch.
aggrottando    	aggrottare      	«Certamente» disse Percy aggrottando la fronte in direzione di Silente.
bestie         	bestia          	«È strano, perché in genere lui dice sempre la ragione per cui non abbiamo il permesso di andare da qualche parte... la foresta è piena di bestie pericolose, questo lo sanno tutti.
intoniamo      	intonare        	«E ora, prima di andare a letto, intoniamo l’inno della scuola!
inno           	inno            	«E ora, prima di andare a letto, intoniamo l’inno della scuola!
mosca          	mosca           	Silente diede un colpetto alla sua bacchetta, come se stesse cercando di scacciarne una mosca dalla punta:
fluì           	fluire          	ne fluì un lungo nastro d’oro che si sollevò alto in aria, sopra i tavoli, e cominciò a contorcersi a mo’ di serpente, formando delle parole.
formando       	formare         	ne fluì un lungo nastro d’oro che si sollevò alto in aria, sopra i tavoli, e cominciò a contorcersi a mo’ di serpente, formando delle parole.
calvi          	calvo           	«Hogwarts Hogwarts, Hoggy Warty Hogwarts, per favore insegnaci qualcosa, a noi, anziani, calvi e tutti storti, a noi, ragazzi dai calzoni corti, le nostre teste devono riempirsi di cose interessanti da non dirsi, per ora sono vuote e piene d’aria, di mosche morte e roba secondaria, insegna a noi che cosa va imparato, ripeti ciò che abbiam dimenticato, fa’ del tuo meglio e noi faremo il resto, finché il cervello non ci andrà in dissesto».
calzoni        	calzone         	«Hogwarts Hogwarts, Hoggy Warty Hogwarts, per favore insegnaci qualcosa, a noi, anziani, calvi e tutti storti, a noi, ragazzi dai calzoni corti, le nostre teste devono riempirsi di cose interessanti da non dirsi, per ora sono vuote e piene d’aria, di mosche morte e roba secondaria, insegna a noi che cosa va imparato, ripeti ciò che abbiam dimenticato, fa’ del tuo meglio e noi faremo il resto, finché il cervello non ci andrà in dissesto».
secondaria     	secondario      	«Hogwarts Hogwarts, Hoggy Warty Hogwarts, per favore insegnaci qualcosa, a noi, anziani, calvi e tutti storti, a noi, ragazzi dai calzoni corti, le nostre teste devono riempirsi di cose interessanti da non dirsi, per ora sono vuote e piene d’aria, di mosche morte e roba secondaria, insegna a noi che cosa va imparato, ripeti ciò che abbiam dimenticato, fa’ del tuo meglio e noi faremo il resto, finché il cervello non ci andrà in dissesto».
ciò            	ciò|cio_2       	«Hogwarts Hogwarts, Hoggy Warty Hogwarts, per favore insegnaci qualcosa, a noi, anziani, calvi e tutti storti, a noi, ragazzi dai calzoni corti, le nostre teste devono riempirsi di cose interessanti da non dirsi, per ora sono vuote e piene d’aria, di mosche morte e roba secondaria, insegna a noi che cosa va imparato, ripeti ciò che abbiam dimenticato, fa’ del tuo meglio e noi faremo il resto, finché il cervello non ci andrà in dissesto».
dissesto       	dissesto        	«Hogwarts Hogwarts, Hoggy Warty Hogwarts, per favore insegnaci qualcosa, a noi, anziani, calvi e tutti storti, a noi, ragazzi dai calzoni corti, le nostre teste devono riempirsi di cose interessanti da non dirsi, per ora sono vuote e piene d’aria, di mosche morte e roba secondaria, insegna a noi che cosa va imparato, ripeti ciò che abbiam dimenticato, fa’ del tuo meglio e noi faremo il resto, finché il cervello non ci andrà in dissesto».
canzone        	canzone         	Ognuno terminò la canzone in tempi diversi.
funebre        	funebre         	Alla fine, erano rimasti solo i gemelli Weasley a cantare a un ritmo lento da marcia funebre.
applaudirono   	applaudire      	Silente diresse le ultime battute con la bacchetta magica e, alla fine, fu uno di quelli che applaudirono più fragorosamente.
fragorosamente 	fragorosamente  	Silente diresse le ultime battute con la bacchetta magica e, alla fine, fu uno di quelli che applaudirono più fragorosamente.
ressa          	ressa           	Aprendosi un varco tra la ressa che si attardava ancora in chiacchiere, i Grifondoro del primo anno seguirono Percy, uscirono dalla Sala Grande e salirono al piano di sopra passando per la scala di marmo.
chiacchiere    	chiacchiera     	Aprendosi un varco tra la ressa che si attardava ancora in chiacchiere, i Grifondoro del primo anno seguirono Percy, uscirono dalla Sala Grande e salirono al piano di sopra passando per la scala di marmo.
ritratti       	ritratto        	Aveva troppo sonno per stupirsi del fatto che i ritratti lungo i corridoi bisbigliassero e si facessero segno, al loro passaggio, o che un paio di volte Percy li avesse condotti attraverso porte nascoste dietro pannelli scorrevoli e arazzi appesi alle pareti.
pannelli       	pannello        	Aveva troppo sonno per stupirsi del fatto che i ritratti lungo i corridoi bisbigliassero e si facessero segno, al loro passaggio, o che un paio di volte Percy li avesse condotti attraverso porte nascoste dietro pannelli scorrevoli e arazzi appesi alle pareti.
arazzi         	arazzo          	Aveva troppo sonno per stupirsi del fatto che i ritratti lungo i corridoi bisbigliassero e si facessero segno, al loro passaggio, o che un paio di volte Percy li avesse condotti attraverso porte nascoste dietro pannelli scorrevoli e arazzi appesi alle pareti.
passeggio      	passeggio       	Un fascio di bastoni da passeggio fluttuava a mezz’aria davanti a loro e, quando Percy fece per avvicinarsi, quelli cominciarono a menargli colpi all’impazzata.
fluttuava      	fluttuare       	Un fascio di bastoni da passeggio fluttuava a mezz’aria davanti a loro e, quando Percy fece per avvicinarsi, quelli cominciarono a menargli colpi all’impazzata.
menargli       	menargli        	Un fascio di bastoni da passeggio fluttuava a mezz’aria davanti a loro e, quando Percy fece per avvicinarsi, quelli cominciarono a menargli colpi all’impazzata.
impazzata      	impazzata       	Un fascio di bastoni da passeggio fluttuava a mezz’aria davanti a loro e, quando Percy fece per avvicinarsi, quelli cominciarono a menargli colpi all’impazzata.
volgare        	volgare         	«Peeves... fatti vedere!» Rispose un suono potente e volgare, come quando si fa uscire di colpo l’aria da un palloncino.
omino          	omino           	«Vuoi che vada dal Barone Sanguinario?» Ci fu uno schiocco e un omino dai neri occhi maligni e una gran bocca apparve galleggiando nell’aria a gambe incrociate, e afferrò i bastoni.
galleggiando   	galleggiare     	«Vuoi che vada dal Barone Sanguinario?» Ci fu uno schiocco e un omino dai neri occhi maligni e una gran bocca apparve galleggiando nell’aria a gambe incrociate, e afferrò i bastoni.
incrociate     	incrociato      	«Vuoi che vada dal Barone Sanguinario?» Ci fu uno schiocco e un omino dai neri occhi maligni e una gran bocca apparve galleggiando nell’aria a gambe incrociate, e afferrò i bastoni.
malefica       	malefico        	«Oooooooh!» esclamò con una risata malefica.
pivellini      	pivello         	«Pivellini del primo anno.
capofitto      	capofitto       	Si gettò a capofitto su di loro.
linguaccia     	linguaccia      	Peeves svanì con una linguaccia, lasciando cadere i bastoni sulla testa di Neville.
sbatacchiando  	sbatacchiare    	Lo udirono allontanarsi di corsa, sbatacchiando le armature al suo passaggio.
armature       	armatura        	Lo udirono allontanarsi di corsa, sbatacchiando le armature al suo passaggio.
guardarvi      	guardarsi       	«Dovete guardarvi da Peeves» disse Percy mentre riprendevano a camminare.
retta          	retta           	Peeves non dà retta neanche a noi prefetti.
circolare      	circolare       	«Caput Draconis» disse Percy, e il ritratto si staccò dal muro scoprendo un’apertura circolare.
aiutandosi     	aiutarsi        	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
spinta         	spinta          	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
sbucarono      	sbucare         	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
accogliente    	accogliente     	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
pianta         	pianta          	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
soffici        	soffice         	Passarono tutti, aiutandosi con le mani e coi piedi – Neville ebbe bisogno di una spinta – e sbucarono nella sala comune di Grifondoro, una stanza accogliente a pianta rotonda, piena di soffici poltrone.
chiocciola     	chiocciola      	In cima a una scala a chiocciola – era chiaro che si trovavano in una delle torri – finalmente videro i loro letti:
baldacchino    	baldacchino     	cinque letti a baldacchino circondati da tende di velluto rosso scuro.
tende          	tenda           	cinque letti a baldacchino circondati da tende di velluto rosso scuro.
velluto        	velluto         	cinque letti a baldacchino circondati da tende di velluto rosso scuro.
pigiama        	pigiama         	Troppo stanchi per parlare, indossarono il pigiama e si infilarono sotto le coperte.
mangiata       	mangiata        	«Che bella mangiata, eh?
tendaggi       	tendaggio       	» bofonchiò Ron a Harry da dietro i tendaggi.
rosicchiando   	rosicchiare     	Mi sta rosicchiando le lenzuola».
beffe          	beffa           	e c’era anche Malfoy che si faceva beffe di lui, mentre era alle prese col turbante, e poi Malfoy si tramutava nell’insegnante dal naso adunco, Piton, che rideva in modo stridulo e glaciale.
tramutava      	tramutarsi      	e c’era anche Malfoy che si faceva beffe di lui, mentre era alle prese col turbante, e poi Malfoy si tramutava nell’insegnante dal naso adunco, Piton, che rideva in modo stridulo e glaciale.
