schiaffeggiante  	schiaffeggiare   	IL SALICE SCHIAFFEGGIANTE
bucato           	bucato           	«‘Due Babbani, a Londra, affermano di aver visto una vecchia automobile volare sopra la torre dell’ufficio postale... a mezzogiorno, a Norfolk, la signora Hetty Bayliss, mentre stava stendendo il bucato... il signor Angus Fleet, di Peebles, ha riferito alla polizia...’ Sei o sette Babbani in tutto.
angus            	angus            	«‘Due Babbani, a Londra, affermano di aver visto una vecchia automobile volare sopra la torre dell’ufficio postale... a mezzogiorno, a Norfolk, la signora Hetty Bayliss, mentre stava stendendo il bucato... il signor Angus Fleet, di Peebles, ha riferito alla polizia...’ Sei o sette Babbani in tutto.
fleet            	fleet            	«‘Due Babbani, a Londra, affermano di aver visto una vecchia automobile volare sopra la torre dell’ufficio postale... a mezzogiorno, a Norfolk, la signora Hetty Bayliss, mentre stava stendendo il bucato... il signor Angus Fleet, di Peebles, ha riferito alla polizia...’ Sei o sette Babbani in tutto.
peebles          	peebles          	«‘Due Babbani, a Londra, affermano di aver visto una vecchia automobile volare sopra la torre dell’ufficio postale... a mezzogiorno, a Norfolk, la signora Hetty Bayliss, mentre stava stendendo il bucato... il signor Angus Fleet, di Peebles, ha riferito alla polizia...’ Sei o sette Babbani in tutto.
polizia          	polizia          	«‘Due Babbani, a Londra, affermano di aver visto una vecchia automobile volare sopra la torre dell’ufficio postale... a mezzogiorno, a Norfolk, la signora Hetty Bayliss, mentre stava stendendo il bucato... il signor Angus Fleet, di Peebles, ha riferito alla polizia...’ Sei o sette Babbani in tutto.
impazzito        	impazzito        	«Diamine... proprio suo figlio...» Harry ebbe come la sensazione di essere stato colpito allo stomaco da uno dei rami più grossi dell’albero impazzito.
ispezionavo      	ispezionavo      	Se qualcuno scopriva che il signor Weasley aveva stregato l’automobile... a questo non aveva pensato... «Mentre ispezionavo il parco ho notato che un Salice Schiaffeggiante, una pianta di valore inestimabile, sembra esser stato gravemente danneggiato» proseguì Piton.
valore           	valore           	Se qualcuno scopriva che il signor Weasley aveva stregato l’automobile... a questo non aveva pensato... «Mentre ispezionavo il parco ho notato che un Salice Schiaffeggiante, una pianta di valore inestimabile, sembra esser stato gravemente danneggiato» proseguì Piton.
inestimabile     	inestimabile     	Se qualcuno scopriva che il signor Weasley aveva stregato l’automobile... a questo non aveva pensato... «Mentre ispezionavo il parco ho notato che un Salice Schiaffeggiante, una pianta di valore inestimabile, sembra esser stato gravemente danneggiato» proseguì Piton.
danneggiato      	danneggiare      	Se qualcuno scopriva che il signor Weasley aveva stregato l’automobile... a questo non aveva pensato... «Mentre ispezionavo il parco ho notato che un Salice Schiaffeggiante, una pianta di valore inestimabile, sembra esser stato gravemente danneggiato» proseguì Piton.
impulsivamente   	impulsivamente   	«Quell’albero ha fatto più male a noi di quel che...» sbottò impulsivamente Ron.
intimò           	intimòe          	«Silenzio!» intimò di nuovo Piton.
grandissimo      	grandissimo      	«Con mio grandissimo rammarico, voi non appartenete alla mia Casa e la decisione di espellervi non compete a me.
rammarico        	rammarico        	«Con mio grandissimo rammarico, voi non appartenete alla mia Casa e la decisione di espellervi non compete a me.
appartenete      	appartenete      	«Con mio grandissimo rammarico, voi non appartenete alla mia Casa e la decisione di espellervi non compete a me.
espellervi       	espellerva       	«Con mio grandissimo rammarico, voi non appartenete alla mia Casa e la decisione di espellervi non compete a me.
compete          	competere        	«Con mio grandissimo rammarico, voi non appartenete alla mia Casa e la decisione di espellervi non compete a me.
indietreggiarono 	indietreggiarere 	Harry e Ron indietreggiarono, ma lei la puntò semplicemente sul caminetto spento, dove subito guizzò il fuoco.
guizzò           	guizzò           	Harry e Ron indietreggiarono, ma lei la puntò semplicemente sul caminetto spento, dove subito guizzò il fuoco.
sedetevi         	sedetevi         	«Sedetevi» disse, e i due ragazzi raggiunsero due sedie accanto al focolare.
spiegatevi       	spiegatevi       	«Spiegatevi» proseguì la McGonagall, con bagliori sinistri negli occhiali.
insolitamente    	insolitamente    	Silente aveva un’aria insolitamente grave.
aquilino         	aquilino         	Dall’alto del suo naso aquilino squadrò i due ragazzi e d’un tratto Harry desiderò di trovarsi ancora, insieme a Ron, sotto i fendenti del Salice Schiaffeggiante.
squadrò          	squadròre        	Dall’alto del suo naso aquilino squadrò i due ragazzi e d’un tratto Harry desiderò di trovarsi ancora, insieme a Ron, sotto i fendenti del Salice Schiaffeggiante.
ribadire         	ribadire         	«Ma intendo ribadire la gravità di quel che avete fatto.
gravità          	gravità          	«Ma intendo ribadire la gravità di quel che avete fatto.
scriverò         	scrivare         	Stasera scriverò alle vostre famiglie.
rifarete         	rifarere         	Devo inoltre avvertirvi che se rifarete una cosa simile, non avrò altra scelta che espellervi».
espellervi       	espellere vi     	Devo inoltre avvertirvi che se rifarete una cosa simile, non avrò altra scelta che espellervi».
soppresso        	sopprimere       	Fu come se avessero detto a Piton che il Natale era stato soppresso.
natura           	natura           	«Professor Silente, questi ragazzi si sono presi gioco del Decreto per la Restrizione delle Arti Magiche tra i Minorenni, hanno danneggiato gravemente un antico e prezioso albero... senza dubbio, atti di questa natura...» «Sarà la professoressa McGonagall a decidere la punizione, Severus» disse con calma Silente.
responsabilità   	responsabilità   	«Loro appartengono alla sua Casa e quindi la responsabilità è sua».
crema            	crema            	Vieni, Severus, c’è una crostata alla crema dall’aspetto delizioso che non voglio perdermi».
perdermi         	perdere mi       	Vieni, Severus, c’è una crostata alla crema dall’aspetto delizioso che non voglio perdermi».
rilassate        	rilassato        	In ogni caso, le sue labbra si erano un po’ rilassate.
rammaricati      	rammaricare      	si sarebbero solo rammaricati che il Salice Schiaffeggiante non lo avesse ridotto a una frittella.
ridotto          	ridurre          	si sarebbero solo rammaricati che il Salice Schiaffeggiante non lo avesse ridotto a una frittella.
frittella        	frittella        	si sarebbero solo rammaricati che il Salice Schiaffeggiante non lo avesse ridotto a una frittella.
caraffa          	caraffa          	Con uno schiocco apparvero un vassoio di panini, due calici d’argento e una caraffa di succo di zucca ghiacciato.
mangerete        	mangerete        	«Mangerete qui e poi ve ne andrete direttamente al vostro dormitorio» disse.
spacciato        	spacciare        	«Pensavo di essere spacciato» disse afferrando un panino.
prendendone      	prendire ne      	«Anch’io» commentò Harry prendendone uno a sua volta.
sfortunati       	sfortunare       	«Ma ti rendi conto quanto siamo stati sfortunati?
ristoratore      	ristoratore      	disse bevendo un sorso di succo di zucca ristoratore.
saggiamente      	saggiamente      	«Quanto mi sarebbe piaciuto andare al banchetto...» «Non voleva che ci facessimo pubblicità» disse saggiamente Ron.
pensino          	pensino          	«Non vuole che gli altri pensino che arrivare con un’auto volante sia una prodezza».
prodezza         	prodezza         	«Non vuole che gli altri pensino che arrivare con un’auto volante sia una prodezza».
brontoloni       	brontolone       	Oltrepassarono i ritratti brontoloni e le armature cigolanti, salirono le anguste rampe della scala di pietra e finalmente raggiunsero il passaggio dove si trovava l’ingresso segreto alla Torre di Grifondoro, dietro al quadro a olio della Signora Grassa nel suo vestito di seta rosa.
cigolanti        	cigolante        	Oltrepassarono i ritratti brontoloni e le armature cigolanti, salirono le anguste rampe della scala di pietra e finalmente raggiunsero il passaggio dove si trovava l’ingresso segreto alla Torre di Grifondoro, dietro al quadro a olio della Signora Grassa nel suo vestito di seta rosa.
anguste          	angusta          	Oltrepassarono i ritratti brontoloni e le armature cigolanti, salirono le anguste rampe della scala di pietra e finalmente raggiunsero il passaggio dove si trovava l’ingresso segreto alla Torre di Grifondoro, dietro al quadro a olio della Signora Grassa nel suo vestito di seta rosa.
olio             	olio             	Oltrepassarono i ritratti brontoloni e le armature cigolanti, salirono le anguste rampe della scala di pietra e finalmente raggiunsero il passaggio dove si trovava l’ingresso segreto alla Torre di Grifondoro, dietro al quadro a olio della Signora Grassa nel suo vestito di seta rosa.
valida           	valido           	Non conoscevano la parola d’ordine valida per il nuovo anno dal momento che non avevano ancora incontrato nessun prefetto di Grifondoro, ma l’aiuto gli giunse quasi immediatamente.
eccovi           	eccovi           	«Eccovi!
risparmiati      	risparmiati      	«Risparmiati la ramanzina» disse Ron impaziente, «e dicci la nuova parola d’ordine».
ramanzina        	ramanzina        	«Risparmiati la ramanzina» disse Ron impaziente, «e dicci la nuova parola d’ordine».
colibrì          	colibrì          	«Colibrì» disse Hermione altrettanto impaziente, «ma non è questo il punto...» Ma le sue parole vennero interrotte da un’improvvisa raffica di applausi, quando il ritratto della Signora Grassa lasciò aperto il varco.
interrotte       	interrotte       	«Colibrì» disse Hermione altrettanto impaziente, «ma non è questo il punto...» Ma le sue parole vennero interrotte da un’improvvisa raffica di applausi, quando il ritratto della Signora Grassa lasciò aperto il varco.
sbilenchi        	sbilenchio       	erano tutti pigiati nella sala comune circolare, in piedi sopra i tavoli sbilenchi e sulle molli poltrone, in attesa del loro arrivo.
seguirli         	seguire li       	Alcune braccia si tuffarono attraverso l’apertura lasciata dal quadro per tirare dentro Harry e Ron, e a Hermione non rimase che affrettarsi a seguirli.
maratona         	maratona         	qualcuno gli stava battendo sulle spalle come se avesse appena vinto una maratona.
intenzionato     	intenzionare     	Percy sovrastava alcuni ragazzi del primo anno, eccitatissimi, e sembrava assolutamente intenzionato a dar loro una bella lavata di capo.
lavata           	lavata           	Percy sovrastava alcuni ragazzi del primo anno, eccitatissimi, e sembrava assolutamente intenzionato a dar loro una bella lavata di capo.
cipiglio         	cipiglio         	«’Notte» disse Harry a Hermione che aveva messo su un cipiglio come quello di Percy.
riuscirono       	riuscirono       	Riuscirono a guadagnare il lato opposto della sala comune, sempre accompagnati da sonore pacche sulle spalle, e poi, finalmente, raggiunsero la pace della scala a chiocciola.
sonore           	sonora           	Riuscirono a guadagnare il lato opposto della sala comune, sempre accompagnati da sonore pacche sulle spalle, e poi, finalmente, raggiunsero la pace della scala a chiocciola.
alunni           	alunni           	Salirono di corsa fino in cima ed ecco la porta del loro vecchio dormitorio, che ora portava un’insegna con su scritto ‘Alunni del secondo anno’.
