HPitb1ch08-0001	maestro	MAESTRO DELLE POZIONI «Guarda lì!
HPitb1ch08-0173	ultimissime	ULTIMISSIME SULLA RAPINA ALLA GRINGOTT Proseguono le indagini sulla rapina avvenuta alla Gringott il 31 luglio scorso a opera di ignoti maghi o streghe oscuri.
HPitb1ch08-0174	indagine	ULTIMISSIME SULLA RAPINA ALLA GRINGOTT Proseguono le indagini sulla rapina avvenuta alla Gringott il 31 luglio scorso a opera di ignoti maghi o streghe oscuri.
HPitb1ch08-0175	opera	ULTIMISSIME SULLA RAPINA ALLA GRINGOTT Proseguono le indagini sulla rapina avvenuta alla Gringott il 31 luglio scorso a opera di ignoti maghi o streghe oscuri.
HPitb1ch08-0176	ripetutamente	Oggi i goblin della Gringott hanno ripetutamente affermato che nulla è stato trafugato.
HPitb1ch08-0177	trafugare	Oggi i goblin della Gringott hanno ripetutamente affermato che nulla è stato trafugato.
HPitb1ch08-0178	mira	Anzi, la camera di sicurezza presa di mira dai rapinatori era stata svuotata il giorno stesso.
HPitb1ch08-0179	rapinatore	Anzi, la camera di sicurezza presa di mira dai rapinatori era stata svuotata il giorno stesso.
HPitb1ch08-0180	portavoce	così ha dichiarato oggi pomeriggio il goblin portavoce della Gringott.
HPitb1ch08-0181	rileggere	Harry rilesse il trafiletto:
HPitb1ch08-0182	beninteso	Hagrid aveva svuotato la camera numero settecentotredici... questo, beninteso, se prelevare il lurido pacchettino che c’era dentro si poteva definire svuotarla.
HPitb1ch08-0183	prelevare	Hagrid aveva svuotato la camera numero settecentotredici... questo, beninteso, se prelevare il lurido pacchettino che c’era dentro si poteva definire svuotarla.
HPitb1ch08-0184	definire	Hagrid aveva svuotato la camera numero settecentotredici... questo, beninteso, se prelevare il lurido pacchettino che c’era dentro si poteva definire svuotarla.
HPitb1ch08-0185	stracolmo	Quando Harry e Ron fecero ritorno al castello per cena, con le tasche stracolme di biscotti che erano stati troppo beneducati per rifiutare, Harry si disse che nessuna delle lezioni frequentate fino a quel momento gli aveva dato tanto da pensare quanto quell’ora trascorsa a prendere il tè con Hagrid.
HPitb1ch08-0186	rifiutare	Quando Harry e Ron fecero ritorno al castello per cena, con le tasche stracolme di biscotti che erano stati troppo beneducati per rifiutare, Harry si disse che nessuna delle lezioni frequentate fino a quel momento gli aveva dato tanto da pensare quanto quell’ora trascorsa a prendere il tè con Hagrid.
