vitre          	UNE VITRE DISPARAÎT
court          	Un jour, la tante Pétunia, fatiguée de voir Harry sortir de chez le coiffeur avec la même tête que s’il n’y était pas allé du tout, avait pris une paire de gros ciseaux et lui avait coupé les cheveux si court qu’il en était devenu presque chauve.
chauve         	Un jour, la tante Pétunia, fatiguée de voir Harry sortir de chez le coiffeur avec la même tête que s’il n’y était pas allé du tout, avait pris une paire de gros ciseaux et lui avait coupé les cheveux si court qu’il en était devenu presque chauve.
frange         	Elle n’avait laissé qu’une frange « pour cacher cette horrible cicatrice ».
écrouler       	Dudley s’était écroulé de rire en voyant le résultat et Harry n’avait pas pu dormir de la nuit en imaginant ce qui allait se passer le lendemain à l’école, où déjà on se moquait de ses vêtements trop grands et de ses lunettes rafistolées au papier collant.
résultat       	Dudley s’était écroulé de rire en voyant le résultat et Harry n’avait pas pu dormir de la nuit en imaginant ce qui allait se passer le lendemain à l’école, où déjà on se moquait de ses vêtements trop grands et de ses lunettes rafistolées au papier collant.
lendemain      	Dudley s’était écroulé de rire en voyant le résultat et Harry n’avait pas pu dormir de la nuit en imaginant ce qui allait se passer le lendemain à l’école, où déjà on se moquait de ses vêtements trop grands et de ses lunettes rafistolées au papier collant.
école          	Dudley s’était écroulé de rire en voyant le résultat et Harry n’avait pas pu dormir de la nuit en imaginant ce qui allait se passer le lendemain à l’école, où déjà on se moquait de ses vêtements trop grands et de ses lunettes rafistolées au papier collant.
moquer         	Dudley s’était écroulé de rire en voyant le résultat et Harry n’avait pas pu dormir de la nuit en imaginant ce qui allait se passer le lendemain à l’école, où déjà on se moquait de ses vêtements trop grands et de ses lunettes rafistolées au papier collant.
repousser      	Au matin, cependant, il s’était aperçu que ses cheveux avaient repoussé tels qu’ils étaient avant que la tante Pétunia ne les coupe.
coupe          	Au matin, cependant, il s’était aperçu que ses cheveux avaient repoussé tels qu’ils étaient avant que la tante Pétunia ne les coupe.
punir          	Il avait été puni d’une semaine de placard sans sortir, malgré tous ses efforts pour essayer de leur faire admettre qu’il ne comprenait pas ce qui avait bien pu se passer.
malgré         	Il avait été puni d’une semaine de placard sans sortir, malgré tous ses efforts pour essayer de leur faire admettre qu’il ne comprenait pas ce qui avait bien pu se passer.
effort         	Il avait été puni d’une semaine de placard sans sortir, malgré tous ses efforts pour essayer de leur faire admettre qu’il ne comprenait pas ce qui avait bien pu se passer.
pull           	Une autre fois, la tante Pétunia avait voulu le forcer à mettre un vieux pull de Dudley (une horreur marron avec des pompons orange), mais plus elle essayait de lui faire passer la tête à l’intérieur du pull, plus celui-ci rapetissait.
horreur        	Une autre fois, la tante Pétunia avait voulu le forcer à mettre un vieux pull de Dudley (une horreur marron avec des pompons orange), mais plus elle essayait de lui faire passer la tête à l’intérieur du pull, plus celui-ci rapetissait.
marron         	Une autre fois, la tante Pétunia avait voulu le forcer à mettre un vieux pull de Dudley (une horreur marron avec des pompons orange), mais plus elle essayait de lui faire passer la tête à l’intérieur du pull, plus celui-ci rapetissait.
orange         	Une autre fois, la tante Pétunia avait voulu le forcer à mettre un vieux pull de Dudley (une horreur marron avec des pompons orange), mais plus elle essayait de lui faire passer la tête à l’intérieur du pull, plus celui-ci rapetissait.
rapetisser     	Une autre fois, la tante Pétunia avait voulu le forcer à mettre un vieux pull de Dudley (une horreur marron avec des pompons orange), mais plus elle essayait de lui faire passer la tête à l’intérieur du pull, plus celui-ci rapetissait.
finalement     	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
réduit         	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
gant           	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
marionnette    	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
rétrécir       	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
lavage         	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
recevoir       	À son grand soulagement, Harry, cette fois-là, n’avait reçu aucune punition.
punition       	À son grand soulagement, Harry, cette fois-là, n’avait reçu aucune punition.
ennui          	En revanche, il avait eu de sérieux ennuis à l’école, le jour où on l’avait retrouvé sur le toit de la cantine.
retrouver      	En revanche, il avait eu de sérieux ennuis à l’école, le jour où on l’avait retrouvé sur le toit de la cantine.
toit           	En revanche, il avait eu de sérieux ennuis à l’école, le jour où on l’avait retrouvé sur le toit de la cantine.
cantine        	En revanche, il avait eu de sérieux ennuis à l’école, le jour où on l’avait retrouvé sur le toit de la cantine.
cour           	La bande de Dudley l’avait poursuivi dans la cour comme à l’accoutumée lorsque, à la grande surprise de tout le monde, y compris de Harry lui-même, il s’était retrouvé assis au sommet de la cheminée.
accoutumé      	La bande de Dudley l’avait poursuivi dans la cour comme à l’accoutumée lorsque, à la grande surprise de tout le monde, y compris de Harry lui-même, il s’était retrouvé assis au sommet de la cheminée.
surprise       	La bande de Dudley l’avait poursuivi dans la cour comme à l’accoutumée lorsque, à la grande surprise de tout le monde, y compris de Harry lui-même, il s’était retrouvé assis au sommet de la cheminée.
compris        	La bande de Dudley l’avait poursuivi dans la cour comme à l’accoutumée lorsque, à la grande surprise de tout le monde, y compris de Harry lui-même, il s’était retrouvé assis au sommet de la cheminée.
directeur      	Les Dursley avaient reçu une lettre furieuse de la directrice dans laquelle elle affirmait que Harry s’amusait à escalader les bâtiments de l’école.
escalader      	Les Dursley avaient reçu une lettre furieuse de la directrice dans laquelle elle affirmait que Harry s’amusait à escalader les bâtiments de l’école.
bâtiment       	Les Dursley avaient reçu une lettre furieuse de la directrice dans laquelle elle affirmait que Harry s’amusait à escalader les bâtiments de l’école.
travers        	Pourtant, comme il l’avait expliqué à l’oncle Vernon à travers la porte verrouillée de son placard, il s’était contenté de sauter derrière les poubelles qui se trouvaient à côté de la porte de la cuisine.
verrouiller    	Pourtant, comme il l’avait expliqué à l’oncle Vernon à travers la porte verrouillée de son placard, il s’était contenté de sauter derrière les poubelles qui se trouvaient à côté de la porte de la cuisine.
vent           	Harry pensait que c’était le vent qui avait dû l’emporter jusqu’au toit au moment où il sautait.
odeur          	Cela valait même la peine de supporter Dudley et Piers du moment qu’il pouvait passer la journée dans un endroit qui ne serait ni l’école, ni le placard, ni le salon à l’odeur de chou de Mrs Figg.
plaindre       	Tandis qu’il conduisait la voiture, l’oncle Vernon se plaignait à la tante Pétunia.
municipalité   	Les gens qui travaillaient avec lui, Harry, la municipalité, Harry, son banquier et Harry constituaient quelques-uns de ses sujets préférés.
banquier       	Les gens qui travaillaient avec lui, Harry, la municipalité, Harry, son banquier et Harry constituaient quelques-uns de ses sujets préférés.
malade         	Ce matin-là, c’était aux motos qu’il en avait. – … conduisent comme des malades, ces petits voyous !
voyou          	Ce matin-là, c’était aux motos qu’il en avait. – … conduisent comme des malades, ces petits voyous !
dépasser       	Ce matin-là, c’était aux motos qu’il en avait. – … conduisent comme des malades, ces petits voyous ! dit-il alors qu’une moto les dépassait.
rêver          	– J’ai rêvé d’une moto, cette nuit, dit Harry qui se souvenait soudain de son rêve.
faillir        	L’oncle de Harry faillit percuter la voiture qui le précédait.
percuter       	L’oncle de Harry faillit percuter la voiture qui le précédait.
précéder       	L’oncle de Harry faillit percuter la voiture qui le précédait.
betterave      	Il se retourna brusquement, son visage si rouge qu’il ressemblait à une énorme betterave à moustache.
voler          	LES MOTOS NE VOLENT PAS !
ricaner        	Dudley et Piers ricanèrent.
regretter      	Mais il regretta d’en avoir trop dit.
objet          	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
rôle           	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
animer         	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
redouter       	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
tire           	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
dangereux      	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
samedi         	C’était un samedi ensoleillé et le zoo était bondé de familles en promenade.
ensoleiller    	C’était un samedi ensoleillé et le zoo était bondé de familles en promenade.
bonder         	C’était un samedi ensoleillé et le zoo était bondé de familles en promenade.
promenade      	C’était un samedi ensoleillé et le zoo était bondé de familles en promenade.
chocolat       	Les Dursley achetèrent à Dudley et à Piers de grosses glaces au chocolat.
repartir       	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
souriant       	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
vendre         	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
sucette        	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
glacé          	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
marché         	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
ailleurs       	Elle n’était d’ailleurs pas si mauvaise que ça, pensa Harry tandis qu’il la léchait devant la cage d’un gorille occupé à se gratter la tête.
lécher         	Elle n’était d’ailleurs pas si mauvaise que ça, pensa Harry tandis qu’il la léchait devant la cage d’un gorille occupé à se gratter la tête.
cage           	Elle n’était d’ailleurs pas si mauvaise que ça, pensa Harry tandis qu’il la léchait devant la cage d’un gorille occupé à se gratter la tête.
gorille        	Elle n’était d’ailleurs pas si mauvaise que ça, pensa Harry tandis qu’il la léchait devant la cage d’un gorille occupé à se gratter la tête.
gratter        	Elle n’était d’ailleurs pas si mauvaise que ça, pensa Harry tandis qu’il la léchait devant la cage d’un gorille occupé à se gratter la tête.
étrangement    	L’animal ressemblait étrangement à Dudley, sauf qu’il n’était pas blond.
éviter         	Il prenait la précaution de se tenir un peu à l’écart des Dursley pour éviter que Dudley et Piers, qui commençaient à se lasser des animaux, ne se consacrent une fois de plus à leur passe-temps favori : lui taper dessus.
lasser         	Il prenait la précaution de se tenir un peu à l’écart des Dursley pour éviter que Dudley et Piers, qui commençaient à se lasser des animaux, ne se consacrent une fois de plus à leur passe-temps favori : lui taper dessus.
consacrer      	Il prenait la précaution de se tenir un peu à l’écart des Dursley pour éviter que Dudley et Piers, qui commençaient à se lasser des animaux, ne se consacrent une fois de plus à leur passe-temps favori : lui taper dessus.
favori         	Il prenait la précaution de se tenir un peu à l’écart des Dursley pour éviter que Dudley et Piers, qui commençaient à se lasser des animaux, ne se consacrent une fois de plus à leur passe-temps favori : lui taper dessus.
déjeuner       	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
restaurant     	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
crème          	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
fruit          	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
assez          	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
goût           	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
commander      	L’oncle Vernon lui en commanda une autre et Harry
reptile        	Après déjeuner, ils allèrent voir les reptiles au vivarium.
vivarium       	Après déjeuner, ils allèrent voir les reptiles au vivarium.
frais          	L’endroit était sombre et frais, avec des cages de verre éclairées qui s’alignaient le long des murs.
éclairer       	L’endroit était sombre et frais, avec des cages de verre éclairées qui s’alignaient le long des murs.
aligner        	L’endroit était sombre et frais, avec des cages de verre éclairées qui s’alignaient le long des murs.
lézard         	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
serpent        	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
ramper         	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
onduler        	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
morceau        	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
pierre         	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
bois           	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
cobra          	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
venin          	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
mortel         	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
python         	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
broyer         	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
étreinte       	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
enrouler       	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
réduire        	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
ferraille      	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
tenter         	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
genre          	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
exploit        	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
coller         	Le nez collé contre la vitre, Dudley contemplait les anneaux luisants du reptile.
anneau         	Le nez collé contre la vitre, Dudley contemplait les anneaux luisants du reptile.
luisant        	Le nez collé contre la vitre, Dudley contemplait les anneaux luisants du reptile.
fare           	– Fais-le bouger, dit-il à son père d’une voix geignarde.
geignard       	– Fais-le bouger, dit-il à son père d’une voix geignarde.
recommencer    	– Recommence, ordonna Dudley.
ennuyer        	– On s’ennuie, ici, marmonna Dudley en s’éloignant d’un pas traînant.
traîner        	– On s’ennuie, ici, marmonna Dudley en s’éloignant d’un pas traînant.
approcher      	Harry s’approcha alors de la cage de verre et contempla le serpent.
contempler     	Harry s’approcha alors de la cage de verre et contempla le serpent.
surprendre     	Il n’aurait pas été surpris que le reptile soit lui-même mort d’ennui à force de rester seul dans cette cage sans autre compagnie que tous ces imbéciles qui passaient la journée à taper contre la vitre.
imbécile       	Il n’aurait pas été surpris que le reptile soit lui-même mort d’ennui à force de rester seul dans cette cage sans autre compagnie que tous ces imbéciles qui passaient la journée à taper contre la vitre.
pire           	C’était pire que de coucher dans un placard avec pour toute visite celle de la tante Pétunia qui tambourinait à la porte pour le réveiller.
visite         	C’était pire que de coucher dans un placard avec pour toute visite celle de la tante Pétunia qui tambourinait à la porte pour le réveiller.
celle          	C’était pire que de coucher dans un placard avec pour toute visite celle de la tante Pétunia qui tambourinait à la porte pour le réveiller.
déplacer       	Lui, au moins, pouvait se déplacer dans la maison.
niveau         	Lentement, très lentement, il leva la tête jusqu’à ce qu’elle soit au même niveau que celle de Harry.
clin           	Et il lui fit un clin d’œil.
plafond        	Le reptile fit un signe de tête en direction de l’oncle Vernon et de Dudley, puis il leva les yeux au plafond.
droit          	Il semblait dire à Harry : « J’ai droit à ça sans arrêt. »
arrêt          	Il semblait dire à Harry : « J’ai droit à ça sans arrêt. »
approuver      	Le serpent approuva d’un hochement de tête vigoureux.
hochement      	Le serpent approuva d’un hochement de tête vigoureux.
vigoureux      	Le serpent approuva d’un hochement de tête vigoureux.
apposer        	Le serpent pointa le bout de la queue vers le petit écriteau apposé à côté de la vitre.
boa            	– « Boa constrictor – Brésil », lut Harry.
brésil         	– « Boa constrictor – Brésil », lut Harry.
suite          	Le boa pointa à nouveau la queue vers l’écriteau et Harry lut la suite : « Né à la ménagerie. »
naître         	Le boa pointa à nouveau la queue vers l’écriteau et Harry lut la suite : « Né à la ménagerie. »
ménagerie      	Le boa pointa à nouveau la queue vers l’écriteau et Harry lut la suite : « Né à la ménagerie. »
assourdissant  	Tandis que le serpent confirmait d’un signe de tête, un hurlement assourdissant retentit et les fit sursauter tous les deux.
sursauter      	Tandis que le serpent confirmait d’un signe de tête, un hurlement assourdissant retentit et les fit sursauter tous les deux.
regarder       	REGARDEZ LE SERPENT !
croire         	VOUS N’ALLEZ PAS LE CROIRE !
dandiner       	Dudley revint vers la cage en se dandinant aussi vite qu’il le pouvait.
ciment         	Pris par surprise, Harry tomba sur le sol de ciment.
ensuite        	Ce qui se passa ensuite fut tellement rapide que personne ne vit comment c’était arrivé.
redresser      	Harry se redressa, le souffle coupé : la vitre qui retenait le boa prisonnier avait disparu.
souffle        	Harry se redressa, le souffle coupé : la vitre qui retenait le boa prisonnier avait disparu.
retenir        	Harry se redressa, le souffle coupé : la vitre qui retenait le boa prisonnier avait disparu.
prisonnier     	Harry se redressa, le souffle coupé : la vitre qui retenait le boa prisonnier avait disparu.
rapidement     	Le long serpent se déroula rapidement et quitta sa cage en ondulant sur le sol.
panique        	Pris de panique, les visiteurs du vivarium se précipitèrent alors vers la sortie en hurlant de terreur.
visiteur       	Pris de panique, les visiteurs du vivarium se précipitèrent alors vers la sortie en hurlant de terreur.
précipiter     	Pris de panique, les visiteurs du vivarium se précipitèrent alors vers la sortie en hurlant de terreur.
sortie         	Pris de panique, les visiteurs du vivarium se précipitèrent alors vers la sortie en hurlant de terreur.
terreur        	Pris de panique, les visiteurs du vivarium se précipitèrent alors vers la sortie en hurlant de terreur.
sifflant       	Au moment où le serpent glissa rapidement devant lui, Harry eut l’impression d’entendre une voix basse et sifflante dire : – Et maintenant, direction, le Brésil !
gardien        	Le gardien du vivarium était en état de choc.
choc           	Le gardien du vivarium était en état de choc.
directeur      	Le directeur du zoo en personne offrit une tasse de thé fort et bien sucré à la tante Pétunia et se confondit en excuses.
sucrer         	Le directeur du zoo en personne offrit une tasse de thé fort et bien sucré à la tante Pétunia et se confondit en excuses.
confondre      	Le directeur du zoo en personne offrit une tasse de thé fort et bien sucré à la tante Pétunia et se confondit en excuses.
excuse         	Le directeur du zoo en personne offrit une tasse de thé fort et bien sucré à la tante Pétunia et se confondit en excuses.
balbutier      	balbutiaient d’un air ahuri
ahuri          	balbutiaient d’un air ahuri
mâchoire       	D’après ce que Harry avait pu voir, le serpent ne leur avait fait aucun mal, il s’était contenté de claquer des mâchoires tout près de leurs mollets pour s’amuser à leur faire peur, mais quand tout le monde eut repris place dans la voiture de l’oncle Vernon, Dudley raconta que le boa avait failli lui arracher la jambe tandis que Piers affirmait qu’il avait essayé de l’étouffer en s’enroulant autour de lui.
mollet         	D’après ce que Harry avait pu voir, le serpent ne leur avait fait aucun mal, il s’était contenté de claquer des mâchoires tout près de leurs mollets pour s’amuser à leur faire peur, mais quand tout le monde eut repris place dans la voiture de l’oncle Vernon, Dudley raconta que le boa avait failli lui arracher la jambe tandis que Piers affirmait qu’il avait essayé de l’étouffer en s’enroulant autour de lui.
placer         	D’après ce que Harry avait pu voir, le serpent ne leur avait fait aucun mal, il s’était contenté de claquer des mâchoires tout près de leurs mollets pour s’amuser à leur faire peur, mais quand tout le monde eut repris place dans la voiture de l’oncle Vernon, Dudley raconta que le boa avait failli lui arracher la jambe tandis que Piers affirmait qu’il avait essayé de l’étouffer en s’enroulant autour de lui.
arracher       	D’après ce que Harry avait pu voir, le serpent ne leur avait fait aucun mal, il s’était contenté de claquer des mâchoires tout près de leurs mollets pour s’amuser à leur faire peur, mais quand tout le monde eut repris place dans la voiture de l’oncle Vernon, Dudley raconta que le boa avait failli lui arracher la jambe tandis que Piers affirmait qu’il avait essayé de l’étouffer en s’enroulant autour de lui.
étouffer       	D’après ce que Harry avait pu voir, le serpent ne leur avait fait aucun mal, il s’était contenté de claquer des mâchoires tout près de leurs mollets pour s’amuser à leur faire peur, mais quand tout le monde eut repris place dans la voiture de l’oncle Vernon, Dudley raconta que le boa avait failli lui arracher la jambe tandis que Piers affirmait qu’il avait essayé de l’étouffer en s’enroulant autour de lui.
calmer         	Mais le pire, pour Harry tout au moins, ce fut lorsque Piers, qui s’était un peu calmé, dit :
rentrer        	L’oncle Vernon attendit que Piers fût rentré chez lui pour s’en prendre à Harry.
fureur         	Sa fureur était telle qu’il pouvait à peine parler.
seulement      	Il parvint seulement à dire : – File… placard… pas bouger… rien à manger.
filer          	Il parvint seulement à dire : – File… placard… pas bouger… rien à manger.
effondrer      	Puis il s’effondra dans un fauteuil et la tante Pétunia se hâta d’aller lui chercher un grand verre de cognac.
hâter          	Puis il s’effondra dans un fauteuil et la tante Pétunia se hâta d’aller lui chercher un grand verre de cognac.
cognac         	Puis il s’effondra dans un fauteuil et la tante Pétunia se hâta d’aller lui chercher un grand verre de cognac.
allonger       	Beaucoup plus tard, Harry, allongé dans son placard, se désolait de ne pas avoir de montre.
désoler        	Beaucoup plus tard, Harry, allongé dans son placard, se désolait de ne pas avoir de montre.
risquer        	Tant qu’ils ne dormaient pas, il ne pouvait pas se risquer dans la cuisine pour aller chercher discrètement quelque chose à manger.
discrètement   	Tant qu’ils ne dormaient pas, il ne pouvait pas se risquer dans la cuisine pour aller chercher discrètement quelque chose à manger.
fouiller       	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
vision         	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
émerger        	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
aveugler       	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
brûlure        	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
douloureux     	Parfois, seul dans son placard, il fouillait dans ses souvenirs pendant des heures entières et une étrange vision émergeait de sa mémoire : il revoyait un éclair aveuglant de lumière verte et se souvenait d’une brûlure douloureuse sur le front.
origine        	C’était sans doute le choc de l’accident, pensait-il, bien qu’il n’eût aucune idée de l’origine de la lumière verte.
lointain       	Lorsqu’il était plus jeune, Harry avait souvent rêvé qu’un parent lointain et inconnu vienne le chercher et l’emmène avec lui, mais cela n’était jamais arrivé.
inconnu        	Lorsqu’il était plus jeune, Harry avait souvent rêvé qu’un parent lointain et inconnu vienne le chercher et l’emmène avec lui, mais cela n’était jamais arrivé.
simple         	Parfois, cependant, il lui semblait (ou peut-être était-ce un simple espoir) que des gens qu’il croisait au-dehors le reconnaissaient.
croiser        	Parfois, cependant, il lui semblait (ou peut-être était-ce un simple espoir) que des gens qu’il croisait au-dehors le reconnaissaient.
dehors         	Parfois, cependant, il lui semblait (ou peut-être était-ce un simple espoir) que des gens qu’il croisait au-dehors le reconnaissaient.
reconnaître    	Parfois, cependant, il lui semblait (ou peut-être était-ce un simple espoir) que des gens qu’il croisait au-dehors le reconnaissaient.
chapeau        	Un jour, un homme minuscule coiffé d’un chapeau haut de forme violet s’était incliné devant lui pendant qu’il faisait des courses avec Dudley et la tante Pétunia.
violet         	Un jour, un homme minuscule coiffé d’un chapeau haut de forme violet s’était incliné devant lui pendant qu’il faisait des courses avec Dudley et la tante Pétunia.
magasin        	Après lui avoir demandé d’un air furieux s’il connaissait cet homme, la tante Pétunia s’était dépêchée de les faire sortir du magasin sans avoir rien acheté.
bus            	Un autre jour, dans un bus, une vieille femme échevelée, tout habillée de vert, lui avait fait de grands signes de la main.
échevelé       	Un autre jour, dans un bus, une vieille femme échevelée, tout habillée de vert, lui avait fait de grands signes de la main.
pourpre        	Récemment encore, un homme chauve dans un long manteau pourpre lui avait serré la main dans la rue, puis était reparti sans dire un mot.
envie          	Tout le monde savait que la bande de Dudley détestait Harry Potter, avec ses vêtements trop grands et ses lunettes cassées, et personne n’avait envie de déplaire à la bande de Dudley.
déplaire       	Tout le monde savait que la bande de Dudley détestait Harry Potter, avec ses vêtements trop grands et ses lunettes cassées, et personne n’avait envie de déplaire à la bande de Dudley.
