clé            	LE GARDIEN DES CLÉS
football       	S’il avait été capable de vaincre le plus grand sorcier du monde, comment se faisait-il que Dudley ait pu le traiter comme un ballon de football ?
rappeller      	Rappelle-toi : il ne s’est jamais rien passé quand tu avais peur ou que tu étais en colère ?
émotion        	Toutes ces choses étranges qui rendaient furieux son oncle et sa tante s’étaient toujours produites lorsqu’il était furieux, ou sous le coup d’une émotion… Poursuivi par la bande de Dudley, il s’était soudain retrouvé hors de leur portée…
paniquer       	Paniqué à l’idée d’aller à l’école avec sa coupe de cheveux ridicule, il avait réussi à faire repousser sa tignasse…
ridicule       	Paniqué à l’idée d’aller à l’école avec sa coupe de cheveux ridicule, il avait réussi à faire repousser sa tignasse…
tignasse       	Paniqué à l’idée d’aller à l’école avec sa coupe de cheveux ridicule, il avait réussi à faire repousser sa tignasse…
venger         	Et la dernière fois que Dudley l’avait frappé, ne s’était-il pas vengé, sans même s’en rendre compte, en lâchant sur lui le boa constrictor ?
lâcher         	Et la dernière fois que Dudley l’avait frappé, ne s’était-il pas vengé, sans même s’en rendre compte, en lâchant sur lui le boa constrictor ?
rayonner       	Il lui sourit et vit que le géant rayonnait.
abandonner     	Mais l’oncle Vernon ne voulait pas abandonner la partie.
partie         	Mais l’oncle Vernon ne voulait pas abandonner la partie.
sottise        	ces lettres et j’ai vu toutes les sottises qu’on l’obligeait à acheter, des grimoires, des baguettes magiques, des…
grimoire       	ces lettres et j’ai vu toutes les sottises qu’on l’obligeait à acheter, des grimoires, des baguettes magiques, des…
baguette       	ces lettres et j’ai vu toutes les sottises qu’on l’obligeait à acheter, des grimoires, des baguettes magiques, des…
grogner        	– S’il a envie d’y aller, ce n’est pas un gros Moldu dans votre genre qui pourra s’y opposer, grogna Hagrid.
naissance      	Il y est inscrit depuis sa naissance.
étudier        	Il va étudier dans la meilleure école de sorcellerie du monde.
sorcellerie    	Il va étudier dans la meilleure école de sorcellerie du monde.
sept           	Sept ans là-bas et il sera transformé.
maître         	Pour changer, il aura des camarades qui appartiennent au même monde que lui, et il étudiera avec l’un des plus grands maîtres que le collège Poudlard ait jamais comptés, Albus Dumbled…
payer          	– JE REFUSE DE PAYER UN SOU POUR QU’UN VIEUX CINGLÉ LUI APPRENNE DES TOURS DE MAGIE !
cinglé         	– JE REFUSE DE PAYER UN SOU POUR QU’UN VIEUX CINGLÉ LUI APPRENNE DES TOURS DE MAGIE !
lui            	– JE REFUSE DE PAYER UN SOU POUR QU’UN VIEUX CINGLÉ LUI APPRENNE DES TOURS DE MAGIE !
apprendre      	– JE REFUSE DE PAYER UN SOU POUR QU’UN VIEUX CINGLÉ LUI APPRENNE DES TOURS DE MAGIE !
magie          	– JE REFUSE DE PAYER UN SOU POUR QU’UN VIEUX CINGLÉ LUI APPRENNE DES TOURS DE MAGIE !
empoigner      	Hagrid empoigna son parapluie et le fit tournoyer au-dessus de sa tête.
tournoyer      	Hagrid empoigna son parapluie et le fit tournoyer au-dessus de sa tête.
insulter       	– JAMAIS PLUS… INSULTER… ALBUS DUMBLEDORE… DEVANT… MOI… tonna-t-il.
tonner         	– JAMAIS PLUS… INSULTER… ALBUS DUMBLEDORE… DEVANT… MOI… tonna-t-il.
pointer        	Il abattit le parapluie dans un sifflement et le pointa sur Dudley.
détonation     	Il y eut un éclair violet, une détonation comme un pétard qui explose et un petit cri aigu.
pétard         	Il y eut un éclair violet, une détonation comme un pétard qui explose et un petit cri aigu.
aigu           	Il y eut un éclair violet, une détonation comme un pétard qui explose et un petit cri aigu.
danser         	Un instant plus tard, Dudley dansait sur place en hurlant de douleur, les mains plaquées sur son volumineux postérieur.
douleur        	Un instant plus tard, Dudley dansait sur place en hurlant de douleur, les mains plaquées sur son volumineux postérieur.
plaquer        	Un instant plus tard, Dudley dansait sur place en hurlant de douleur, les mains plaquées sur son volumineux postérieur.
volumineux     	Un instant plus tard, Dudley dansait sur place en hurlant de douleur, les mains plaquées sur son volumineux postérieur.
postérieur     	Un instant plus tard, Dudley dansait sur place en hurlant de douleur, les mains plaquées sur son volumineux postérieur.
rugissement    	L’oncle Vernon laissa échapper un véritable rugissement.
regret         	– Je n’aurais pas dû m’énerver comme ça, dit-il d’un ton de regret.
sourcil        	Il lança un regard oblique à Harry sous ses sourcils broussailleux.
censé          	Normalement, je ne suis pas censé faire de la magie.
magie          	Normalement, je ne suis pas censé faire de la magie.
autorisation   	On m’a simplement donné l’autorisation de m’en servir un peu pour te retrouver et t’apporter tes lettres.
renvoyer       	– Disons que… moi aussi, j’ai été élève à Poudlard, mais, euh… pour dire la vérité, on m’a renvoyé…
troisième      	J’étais en troisième année.
permettre      	Ils ont cassé ma baguette magique en deux et tout ça… Mais Dumbledore m’a permis de rester comme garde-chasse.
ôter           	Il ôta son grand manteau noir et le jeta à Harry.
remuer         	Ne t’inquiète pas s’il remue un peu.
loir           	Il doit y avoir un ou deux loirs dans une des poches.
