HPfrb1ch03-0001	nulle              	LES LETTRES DE NULLE PART
HPfrb1ch03-0174	tortue             	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
HPfrb1ch03-0175	serre              	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
HPfrb1ch03-0176	récupérer          	Il s’était égosillé, avait frappé son père avec sa canne, s’était fait vomir exprès, avait donné des coups de pied à sa mère et jeté sa tortue à travers le toit de la serre, sans parvenir à récupérer sa chambre.
HPfrb1ch03-0177	amèrement          	Harry repensait à ce qui s’était passé la veille à la même heure et il regrettait amèrement de n’avoir pas ouvert sa lettre pendant qu’il était encore dans le hall d’entrée.
HPfrb1ch03-0178	ouvrir             	Harry repensait à ce qui s’était passé la veille à la même heure et il regrettait amèrement de n’avoir pas ouvert sa lettre pendant qu’il était encore dans le hall d’entrée.
HPfrb1ch03-0179	hall               	Harry repensait à ce qui s’était passé la veille à la même heure et il regrettait amèrement de n’avoir pas ouvert sa lettre pendant qu’il était encore dans le hall d’entrée.
HPfrb1ch03-0180	aimable            	Lorsque le courrier arriva, l’oncle Vernon, qui s’était efforcé de se montrer aimable avec Harry, envoya Dudley le chercher.
HPfrb1ch03-0181	envoyer            	Lorsque le courrier arriva, l’oncle Vernon, qui s’était efforcé de se montrer aimable avec Harry, envoya Dudley le chercher.
HPfrb1ch03-0182	étranglé           	Mr H. Potter, dans la plus petite chambre du 4, Privet Drive… L’oncle Vernon poussa un cri étranglé et se précipita dans le hall d’entrée, Harry sur ses talons.
HPfrb1ch03-0183	terre              	L’oncle Vernon dut se battre avec Dudley et le faire tomber par terre pour essayer de lui arracher la lettre, ce qui était d’autant plus difficile que Harry avait attrapé l’oncle Vernon par-derrière en lui serrant le cou.
HPfrb1ch03-0184	chacun             	Après quelques instants d’un furieux combat au cours duquel chacun prit de nombreux coups de canne, l’oncle Vernon se releva, le souffle court, la main crispée sur la lettre destinée à Harry.
HPfrb1ch03-0185	crisper            	Après quelques instants d’un furieux combat au cours duquel chacun prit de nombreux coups de canne, l’oncle Vernon se releva, le souffle court, la main crispée sur la lettre destinée à Harry.
HPfrb1ch03-0186	rauque             	Je veux dire, dans ta chambre, dit-il à Harry d’une voix rauque.
HPfrb1ch03-0187	inlassablement     	Inlassablement, Harry faisait les cent pas autour de sa chambre.
HPfrb1ch03-0188	déménager          	Quelqu’un savait qu’il avait déménagé de son placard et semblait également savoir qu’il n’avait pas reçu la première lettre.
HPfrb1ch03-0189	signifier          	Cela signifiait sûrement qu’il essaierait encore.
HPfrb1ch03-0190	réveil             	Le lendemain matin, le vieux réveil rafistolé sonna à six heures.
HPfrb1ch03-0191	six                	Le lendemain matin, le vieux réveil rafistolé sonna à six heures.
HPfrb1ch03-0192	sonnerie           	Harry arrêta aussitôt la sonnerie et s’habilla en silence pour ne pas réveiller les Dursley.
HPfrb1ch03-0193	mou                	Il venait de marcher sur une grosse chose molle étalée devant la porte, une chose vivante !
HPfrb1ch03-0194	réalité            	Des lumières s’allumèrent au premier étage et il se rendit compte avec horreur que la grosse chose molle était en réalité la tête de son oncle.
HPfrb1ch03-0195	couchage           	L’oncle Vernon avait passé la nuit devant la porte, dans un sac de couchage, pour empêcher Harry de réussir ce qu’il avait tenté de faire.
HPfrb1ch03-0196	traiter            	Après l’avoir traité de tous les noms pendant près d’une demi-heure, l’oncle Vernon ordonna à Harry d’aller lui préparer une tasse de thé.
HPfrb1ch03-0197	préparer           	Après l’avoir traité de tous les noms pendant près d’une demi-heure, l’oncle Vernon ordonna à Harry d’aller lui préparer une tasse de thé.
HPfrb1ch03-0198	décourager         	Découragé, Harry s’en alla dans la cuisine en traînant des pieds, et lorsqu’il revint, le courrier était déjà entre les mains de son oncle.
HPfrb1ch03-0199	planche            	Il resta à la maison et cloua une planche devant la boîte aux lettres.
HPfrb1ch03-0200	clou               	– S’ils n’arrivent pas à nous les faire parvenir, ils finiront par laisser tomber, dit-il à la tante Pétunia, la bouche pleine de clous.
HPfrb1ch03-0201	raisonner          	– Pétunia, ces gens-là sont très différents de nous, ils ne raisonnent pas comme toi et moi, répliqua-t-il en essayant de planter un clou avec le morceau de cake que la tante Pétunia venait de lui apporter.
HPfrb1ch03-0202	planter            	– Pétunia, ces gens-là sont très différents de nous, ils ne raisonnent pas comme toi et moi, répliqua-t-il en essayant de planter un clou avec le morceau de cake que la tante Pétunia venait de lui apporter.
HPfrb1ch03-0203	cake               	– Pétunia, ces gens-là sont très différents de nous, ils ne raisonnent pas comme toi et moi, répliqua-t-il en essayant de planter un clou avec le morceau de cake que la tante Pétunia venait de lui apporter.
HPfrb1ch03-0204	apporter           	– Pétunia, ces gens-là sont très différents de nous, ils ne raisonnent pas comme toi et moi, répliqua-t-il en essayant de planter un clou avec le morceau de cake que la tante Pétunia venait de lui apporter.
HPfrb1ch03-0205	vendredi           	Le vendredi, douze lettres pour Harry arrivèrent.
HPfrb1ch03-0206	inutilisable       	Comme la boîte aux lettres était inutilisable, elles avaient été glissées tout autour de la porte et l’une d’elles avait même été introduite à travers un vasistas dans les toilettes du rez-de-chaussée.
HPfrb1ch03-0207	introduire         	Comme la boîte aux lettres était inutilisable, elles avaient été glissées tout autour de la porte et l’une d’elles avait même été introduite à travers un vasistas dans les toilettes du rez-de-chaussée.
HPfrb1ch03-0208	vasistas           	Comme la boîte aux lettres était inutilisable, elles avaient été glissées tout autour de la porte et l’une d’elles avait même été introduite à travers un vasistas dans les toilettes du rez-de-chaussée.
HPfrb1ch03-0209	marteau            	Après avoir brûlé toutes les lettres, il reprit son marteau et ses clous et boucha à l’aide de planches tous les interstices autour des portes de devant et de derrière, si bien que personne ne pouvait plus entrer ni sortir.
HPfrb1ch03-0210	boucher            	Après avoir brûlé toutes les lettres, il reprit son marteau et ses clous et boucha à l’aide de planches tous les interstices autour des portes de devant et de derrière, si bien que personne ne pouvait plus entrer ni sortir.
HPfrb1ch03-0211	aide               	Après avoir brûlé toutes les lettres, il reprit son marteau et ses clous et boucha à l’aide de planches tous les interstices autour des portes de devant et de derrière, si bien que personne ne pouvait plus entrer ni sortir.
HPfrb1ch03-0212	incontrôlable      	Le samedi, la situation devint incontrôlable.
HPfrb1ch03-0213	rouler             	Vingt-quatre lettres destinées à Harry furent introduites à l’intérieur de la maison : elles avaient été roulées et dissimulées à l’intérieur des deux douzaines d’œufs que le livreur, passablement déconcerté, leur avait passées par la fenêtre du salon.
HPfrb1ch03-0214	dissimuler         	Vingt-quatre lettres destinées à Harry furent introduites à l’intérieur de la maison : elles avaient été roulées et dissimulées à l’intérieur des deux douzaines d’œufs que le livreur, passablement déconcerté, leur avait passées par la fenêtre du salon.
HPfrb1ch03-0215	livreur            	Vingt-quatre lettres destinées à Harry furent introduites à l’intérieur de la maison : elles avaient été roulées et dissimulées à l’intérieur des deux douzaines d’œufs que le livreur, passablement déconcerté, leur avait passées par la fenêtre du salon.
HPfrb1ch03-0216	déconcerter        	Vingt-quatre lettres destinées à Harry furent introduites à l’intérieur de la maison : elles avaient été roulées et dissimulées à l’intérieur des deux douzaines d’œufs que le livreur, passablement déconcerté, leur avait passées par la fenêtre du salon.
HPfrb1ch03-0217	poste              	Pendant que l’oncle Vernon donnait des coups de téléphone furieux au bureau de poste et au crémier pour essayer de trouver un responsable auprès de qui protester, la tante Pétunia réduisit les lettres en bouillie dans son mixer.
HPfrb1ch03-0218	crémier            	Pendant que l’oncle Vernon donnait des coups de téléphone furieux au bureau de poste et au crémier pour essayer de trouver un responsable auprès de qui protester, la tante Pétunia réduisit les lettres en bouillie dans son mixer.
HPfrb1ch03-0219	auprès             	Pendant que l’oncle Vernon donnait des coups de téléphone furieux au bureau de poste et au crémier pour essayer de trouver un responsable auprès de qui protester, la tante Pétunia réduisit les lettres en bouillie dans son mixer.
HPfrb1ch03-0220	bouillie           	Pendant que l’oncle Vernon donnait des coups de téléphone furieux au bureau de poste et au crémier pour essayer de trouver un responsable auprès de qui protester, la tante Pétunia réduisit les lettres en bouillie dans son mixer.
HPfrb1ch03-0221	abasourdir         	– Mais qui peut bien avoir envie de t’écrire à ce point ? demanda Dudley abasourdi.
HPfrb1ch03-0222	dimanche           	Le dimanche matin, l’oncle Vernon avait l’air fatigué et malade lorsqu’il s’assit à la table du petit déjeuner, mais il paraissait heureux malgré tout.
HPfrb1ch03-0223	fatigué            	Le dimanche matin, l’oncle Vernon avait l’air fatigué et malade lorsqu’il s’assit à la table du petit déjeuner, mais il paraissait heureux malgré tout.
HPfrb1ch03-0224	joyeux             	– La poste ne fonctionne pas le dimanche, dit-il d’un ton joyeux en étalant consciencieusement de la marmelade sur son journal.
HPfrb1ch03-0225	consciencieusement 	– La poste ne fonctionne pas le dimanche, dit-il d’un ton joyeux en étalant consciencieusement de la marmelade sur son journal.
HPfrb1ch03-0226	marmelade          	– La poste ne fonctionne pas le dimanche, dit-il d’un ton joyeux en étalant consciencieusement de la marmelade sur son journal.
HPfrb1ch03-0227	fichu              	Aujourd’hui, pas de ces fichues lettres.
HPfrb1ch03-0228	conduit            	Au même moment, quelque chose tomba dans le conduit de la cheminée avec un sifflement sonore et il sentit un coup derrière la tête.
HPfrb1ch03-0229	sifflement         	Au même moment, quelque chose tomba dans le conduit de la cheminée avec un sifflement sonore et il sentit un coup derrière la tête.
HPfrb1ch03-0230	sonore             	Au même moment, quelque chose tomba dans le conduit de la cheminée avec un sifflement sonore et il sentit un coup derrière la tête.
HPfrb1ch03-0231	exploser           	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
HPfrb1ch03-0232	foyer              	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
HPfrb1ch03-0233	projeter           	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
HPfrb1ch03-0234	quarantaine        	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
HPfrb1ch03-0235	boulet             	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
HPfrb1ch03-0236	canon              	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
HPfrb1ch03-0237	baisser            	Les Dursley se baissèrent pour éviter les projectiles tandis que Harry essayait d’en attraper un au vol.
HPfrb1ch03-0238	projectile         	Les Dursley se baissèrent pour éviter les projectiles tandis que Harry essayait d’en attraper un au vol.
HPfrb1ch03-0239	dehors             	– Dehors ! DEHORS !
HPfrb1ch03-0240	projeter           	L’oncle Vernon saisit Harry par la taille et le projeta dans le hall d’entrée, puis, dès que Dudley et la tante Pétunia eurent pris la fuite en se protégeant le visage de leurs bras, il claqua la porte de la cuisine.
HPfrb1ch03-0241	protéger           	L’oncle Vernon saisit Harry par la taille et le projeta dans le hall d’entrée, puis, dès que Dudley et la tante Pétunia eurent pris la fuite en se protégeant le visage de leurs bras, il claqua la porte de la cuisine.
HPfrb1ch03-0242	panneau            	Derrière le panneau, on entendait les lettres qui continuaient de voler en rebondissant contre les murs et le carrelage.
HPfrb1ch03-0243	rebondir           	Derrière le panneau, on entendait les lettres qui continuaient de voler en rebondissant contre les murs et le carrelage.
HPfrb1ch03-0244	carrelage          	Derrière le panneau, on entendait les lettres qui continuaient de voler en rebondissant contre les murs et le carrelage.
HPfrb1ch03-0245	calme              	– Cette fois-ci, ça suffit, déclara l’oncle Vernon qui s’efforçait de parler d’une voix calme tout en arrachant des touffes de poils de sa moustache.
HPfrb1ch03-0246	poil               	– Cette fois-ci, ça suffit, déclara l’oncle Vernon qui s’efforçait de parler d’une voix calme tout en arrachant des touffes de poils de sa moustache.
HPfrb1ch03-0247	discussion         	Emportez simplement quelques vêtements, et pas de discussion !
HPfrb1ch03-0248	menaçant           	Il paraissait tellement menaçant, avec sa moustache dégarnie, que personne n’osa plus faire un geste.
HPfrb1ch03-0249	dégarnir           	Il paraissait tellement menaçant, avec sa moustache dégarnie, que personne n’osa plus faire un geste.
HPfrb1ch03-0250	geste              	Il paraissait tellement menaçant, avec sa moustache dégarnie, que personne n’osa plus faire un geste.
HPfrb1ch03-0251	condamner          	Dix minutes plus tard, après avoir arraché les planches qui condamnaient la porte, ils montèrent dans la voiture qui fonça vers l’autoroute.
HPfrb1ch03-0252	foncer             	Dix minutes plus tard, après avoir arraché les planches qui condamnaient la porte, ils montèrent dans la voiture qui fonça vers l’autoroute.
HPfrb1ch03-0253	autoroute          	Dix minutes plus tard, après avoir arraché les planches qui condamnaient la porte, ils montèrent dans la voiture qui fonça vers l’autoroute.
HPfrb1ch03-0254	pleurnicher        	Dudley pleurnichait à l’arrière, à cause du coup que son père lui avait donné sur la tête pour les avoir retardés en voulant à tout prix emporter sa télévision, son magnétoscope et son ordinateur dans son sac de sport.
HPfrb1ch03-0255	retarder           	Dudley pleurnichait à l’arrière, à cause du coup que son père lui avait donné sur la tête pour les avoir retardés en voulant à tout prix emporter sa télévision, son magnétoscope et son ordinateur dans son sac de sport.
HPfrb1ch03-0256	prix               	Dudley pleurnichait à l’arrière, à cause du coup que son père lui avait donné sur la tête pour les avoir retardés en voulant à tout prix emporter sa télévision, son magnétoscope et son ordinateur dans son sac de sport.
HPfrb1ch03-0257	opposer            	De temps à autre, l’oncle Vernon faisait demi-tour et repartait dans la direction opposée.
HPfrb1ch03-0258	semer              	– On va les semer, on va les semer, marmonnait-il.
HPfrb1ch03-0259	tombée             	À la tombée du jour, Dudley poussa de longs hurlements.
HPfrb1ch03-0260	faim               	Il avait faim, il avait raté cinq émissions de télévision qu’il tenait absolument à voir et il n’avait jamais passé autant de temps sans pulvériser un extraterrestre sur son ordinateur.
HPfrb1ch03-0261	rater              	Il avait faim, il avait raté cinq émissions de télévision qu’il tenait absolument à voir et il n’avait jamais passé autant de temps sans pulvériser un extraterrestre sur son ordinateur.
HPfrb1ch03-0262	pulvériser         	Il avait faim, il avait raté cinq émissions de télévision qu’il tenait absolument à voir et il n’avait jamais passé autant de temps sans pulvériser un extraterrestre sur son ordinateur.
HPfrb1ch03-0263	extraterrestre     	Il avait faim, il avait raté cinq émissions de télévision qu’il tenait absolument à voir et il n’avait jamais passé autant de temps sans pulvériser un extraterrestre sur son ordinateur.
HPfrb1ch03-0264	hôtel              	L’oncle Vernon arrêta enfin la voiture devant un hôtel sinistre, dans la banlieue d’une grande ville.
HPfrb1ch03-0265	banlieue           	L’oncle Vernon arrêta enfin la voiture devant un hôtel sinistre, dans la banlieue d’une grande ville.
HPfrb1ch03-0266	partager           	Dudley et Harry partagèrent une chambre avec des lits jumeaux et des draps humides qui sentaient le moisi.
HPfrb1ch03-0267	jumeau             	Dudley et Harry partagèrent une chambre avec des lits jumeaux et des draps humides qui sentaient le moisi.
HPfrb1ch03-0268	moisi              	Dudley et Harry partagèrent une chambre avec des lits jumeaux et des draps humides qui sentaient le moisi.
HPfrb1ch03-0269	ronfler            	Dudley passa la nuit à ronfler, tandis que Harry, assis sur le rebord de la fenêtre, regardait les phares des voitures qui passaient dans la rue.
HPfrb1ch03-0270	rebord             	Dudley passa la nuit à ronfler, tandis que Harry, assis sur le rebord de la fenêtre, regardait les phares des voitures qui passaient dans la rue.
HPfrb1ch03-0271	servir             	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
HPfrb1ch03-0272	rassir             	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
HPfrb1ch03-0273	toast              	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
HPfrb1ch03-0274	recouvrir          	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
HPfrb1ch03-0275	tomate             	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
HPfrb1ch03-0276	froid              	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
HPfrb1ch03-0277	patron             	La patronne de l’hôtel s’approcha alors de leur table.
HPfrb1ch03-0278	mander             	– ’Mande pardon, est-ce qu’il y aurait un Mr Potter parmi vous ?
HPfrb1ch03-0279	pardon             	– ’Mande pardon, est-ce qu’il y aurait un Mr Potter parmi vous ?
HPfrb1ch03-0280	parmi              	– ’Mande pardon, est-ce qu’il y aurait un Mr Potter parmi vous ?
HPfrb1ch03-0281	réception          	Parce que j’en ai une centaine comme ça à la réception.
HPfrb1ch03-0282	rail               	Hôtel du Rail Carbone-les-Mines
HPfrb1ch03-0283	hôtelier           	– Je m’en occupe, dit l’oncle Vernon en se levant immédiatement et en suivant l’hôtelière hors de la salle à manger.
HPfrb1ch03-0284	timidement         	– Et si nous rentrions à la maison ? suggéra timidement la tante Pétunia, quelques heures plus tard.
HPfrb1ch03-0285	forêt              	Il les conduisit au milieu d’une forêt, sortit de la voiture, inspecta les alentours, hocha la tête, puis remonta dans la voiture et ils repartirent.
HPfrb1ch03-0286	inspecter          	Il les conduisit au milieu d’une forêt, sortit de la voiture, inspecta les alentours, hocha la tête, puis remonta dans la voiture et ils repartirent.
HPfrb1ch03-0287	alentours          	Il les conduisit au milieu d’une forêt, sortit de la voiture, inspecta les alentours, hocha la tête, puis remonta dans la voiture et ils repartirent.
HPfrb1ch03-0288	recommencer        	Il recommença ensuite le même manège au beau milieu d’un champ labouré, à mi-chemin sur un pont suspendu, puis au sommet d’un parking à étages.
HPfrb1ch03-0289	champ              	Il recommença ensuite le même manège au beau milieu d’un champ labouré, à mi-chemin sur un pont suspendu, puis au sommet d’un parking à étages.
HPfrb1ch03-0290	labourer           	Il recommença ensuite le même manège au beau milieu d’un champ labouré, à mi-chemin sur un pont suspendu, puis au sommet d’un parking à étages.
HPfrb1ch03-0291	pont               	Il recommença ensuite le même manège au beau milieu d’un champ labouré, à mi-chemin sur un pont suspendu, puis au sommet d’un parking à étages.
HPfrb1ch03-0292	suspendre          	Il recommença ensuite le même manège au beau milieu d’un champ labouré, à mi-chemin sur un pont suspendu, puis au sommet d’un parking à étages.
HPfrb1ch03-0293	village            	Vers la fin de l’après-midi, l’oncle Vernon s’arrêta dans un village du bord de mer, enferma tout le monde dans la voiture et s’en alla.
HPfrb1ch03-0294	mer                	Vers la fin de l’après-midi, l’oncle Vernon s’arrêta dans un village du bord de mer, enferma tout le monde dans la voiture et s’en alla.
HPfrb1ch03-0295	enfermer           	Vers la fin de l’après-midi, l’oncle Vernon s’arrêta dans un village du bord de mer, enferma tout le monde dans la voiture et s’en alla.
HPfrb1ch03-0296	morne              	– Papa est devenu fou ? demanda Dudley, d’un ton morne, à la tante Pétunia.
HPfrb1ch03-0297	goutte             	De grosses gouttes martelaient le toit de la voiture.
HPfrb1ch03-0298	marteler           	De grosses gouttes martelaient le toit de la voiture.
HPfrb1ch03-0299	lundi              	– C’est lundi, dit-il à sa mère.
HPfrb1ch03-0300	confiance          	– on pouvait faire confiance à Dudley, il ne se trompait jamais dans les dates, à cause des programmes de télévision.
HPfrb1ch03-0301	tromper            	– on pouvait faire confiance à Dudley, il ne se trompait jamais dans les dates, à cause des programmes de télévision.
HPfrb1ch03-0302	programme          	– on pouvait faire confiance à Dudley, il ne se trompait jamais dans les dates, à cause des programmes de télévision.
HPfrb1ch03-0303	souvenir           	Harry se souvint tout à coup que le mardi suivant, c’est-à-dire le lendemain, serait le jour de son onzième anniversaire !
HPfrb1ch03-0304	onzième            	Harry se souvint tout à coup que le mardi suivant, c’est-à-dire le lendemain, serait le jour de son onzième anniversaire !
HPfrb1ch03-0305	réjouissant        	Oh, bien sûr, ses anniversaires n’avaient rien de bien réjouissant – l’année précédente, les Dursley lui avaient offert un cintre et une paire de vieilles chaussettes qui avaient appartenu à l’oncle Vernon –, mais quand même : on n’avait pas onze ans tous les jours !
HPfrb1ch03-0306	précédent          	Oh, bien sûr, ses anniversaires n’avaient rien de bien réjouissant – l’année précédente, les Dursley lui avaient offert un cintre et une paire de vieilles chaussettes qui avaient appartenu à l’oncle Vernon –, mais quand même : on n’avait pas onze ans tous les jours !
HPfrb1ch03-0307	cintre             	Oh, bien sûr, ses anniversaires n’avaient rien de bien réjouissant – l’année précédente, les Dursley lui avaient offert un cintre et une paire de vieilles chaussettes qui avaient appartenu à l’oncle Vernon –, mais quand même : on n’avait pas onze ans tous les jours !
HPfrb1ch03-0308	appartenir         	Oh, bien sûr, ses anniversaires n’avaient rien de bien réjouissant – l’année précédente, les Dursley lui avaient offert un cintre et une paire de vieilles chaussettes qui avaient appartenu à l’oncle Vernon –, mais quand même : on n’avait pas onze ans tous les jours !
HPfrb1ch03-0309	idéal              	– J’ai trouvé l’endroit idéal, dit-il.
HPfrb1ch03-0310	rocher             	L’oncle Vernon montra du doigt un gros rocher qui émergeait à bonne distance de la côte.
HPfrb1ch03-0311	cabane             	Au sommet du rocher, on distinguait une cabane misérable, à moitié en ruine.
HPfrb1ch03-0312	misérable          	Au sommet du rocher, on distinguait une cabane misérable, à moitié en ruine.
HPfrb1ch03-0313	tempête            	– On prévoit une tempête pour cette nuit, dit l’oncle Vernon d’un ton joyeux, et en frappant des mains.
HPfrb1ch03-0314	bateau             	Et monsieur a été assez aimable pour nous prêter son bateau !
HPfrb1ch03-0315	édenté             	Un vieil homme édenté s’approcha d’eux d’un pas raide.
HPfrb1ch03-0316	barque             	Avec un sourire à faire froid dans le dos, il montra d’un geste de la main une vieille barque qui se balançait à la surface de la mer d’un gris métallique.
HPfrb1ch03-0317	balancer           	Avec un sourire à faire froid dans le dos, il montra d’un geste de la main une vieille barque qui se balançait à la surface de la mer d’un gris métallique.
HPfrb1ch03-0318	surface            	Avec un sourire à faire froid dans le dos, il montra d’un geste de la main une vieille barque qui se balançait à la surface de la mer d’un gris métallique.
HPfrb1ch03-0319	métallique         	Avec un sourire à faire froid dans le dos, il montra d’un geste de la main une vieille barque qui se balançait à la surface de la mer d’un gris métallique.
HPfrb1ch03-0320	provision          	– J’ai déjà acheté des provisions, dit l’oncle Vernon.
HPfrb1ch03-0321	embarquer          	Il ne reste plus qu’à embarquer.
HPfrb1ch03-0322	polaire            	Il faisait un froid polaire à bord de la barque.
HPfrb1ch03-0323	embruns            	La pluie et les embruns s’insinuaient dans leur cou et un vent glacé leur fouettait le visage.
HPfrb1ch03-0324	insinuer           	La pluie et les embruns s’insinuaient dans leur cou et un vent glacé leur fouettait le visage.
HPfrb1ch03-0325	glacer             	La pluie et les embruns s’insinuaient dans leur cou et un vent glacé leur fouettait le visage.
HPfrb1ch03-0326	fouetter           	La pluie et les embruns s’insinuaient dans leur cou et un vent glacé leur fouettait le visage.
HPfrb1ch03-0327	atteindre          	Il sembla s’écouler des heures avant qu’ils atteignent enfin le rocher.
HPfrb1ch03-0328	masure             	Glissant à chaque pas sur la pierre humide, l’oncle Vernon les conduisit à la masure.
HPfrb1ch03-0329	épouvantable       	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
HPfrb1ch03-0330	régner             	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
HPfrb1ch03-0331	terrible           	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
HPfrb1ch03-0332	algue              	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
HPfrb1ch03-0333	fissure            	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
HPfrb1ch03-0334	bûche              	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
HPfrb1ch03-0335	chips              	Les provisions de l’oncle Vernon étaient plutôt maigres : un paquet de chips pour chacun et quatre bananes.
HPfrb1ch03-0336	banane             	Les provisions de l’oncle Vernon étaient plutôt maigres : un paquet de chips pour chacun et quatre bananes.
HPfrb1ch03-0337	emballage          	Il essaya de faire un feu, mais les emballages de chips vides se consumèrent en ne parvenant à produire qu’un peu de fumée.
HPfrb1ch03-0338	vide               	Il essaya de faire un feu, mais les emballages de chips vides se consumèrent en ne parvenant à produire qu’un peu de fumée.
HPfrb1ch03-0339	consumer           	Il essaya de faire un feu, mais les emballages de chips vides se consumèrent en ne parvenant à produire qu’un peu de fumée.
HPfrb1ch03-0340	fumée              	Il essaya de faire un feu, mais les emballages de chips vides se consumèrent en ne parvenant à produire qu’un peu de fumée.
HPfrb1ch03-0341	joyeusement        	dit joyeusement l’oncle Vernon.
HPfrb1ch03-0342	braver             	De toute évidence, il était convaincu que personne ne parviendrait à braver la tempête pour leur apporter du courrier dans cet endroit.
HPfrb1ch03-0343	annoncer           	Lorsque la nuit tomba, la tempête annoncée se mit à souffler autour d’eux.
HPfrb1ch03-0344	souffler           	Lorsque la nuit tomba, la tempête annoncée se mit à souffler autour d’eux.
HPfrb1ch03-0345	écume              	L’écume des vagues qui se fracassaient contre le rocher inondait les murs de la cabane et un vent féroce faisait trembler les fenêtres crasseuses.
HPfrb1ch03-0346	vague              	L’écume des vagues qui se fracassaient contre le rocher inondait les murs de la cabane et un vent féroce faisait trembler les fenêtres crasseuses.
HPfrb1ch03-0347	fracasser          	L’écume des vagues qui se fracassaient contre le rocher inondait les murs de la cabane et un vent féroce faisait trembler les fenêtres crasseuses.
HPfrb1ch03-0348	inonder            	L’écume des vagues qui se fracassaient contre le rocher inondait les murs de la cabane et un vent féroce faisait trembler les fenêtres crasseuses.
HPfrb1ch03-0349	crasseux           	L’écume des vagues qui se fracassaient contre le rocher inondait les murs de la cabane et un vent féroce faisait trembler les fenêtres crasseuses.
HPfrb1ch03-0350	moisi             	La tante Pétunia dénicha quelques couvertures moisies dans l’autre pièce et fit un lit à Dudley sur le canapé rongé aux mites.
HPfrb1ch03-0351	canapé             	La tante Pétunia dénicha quelques couvertures moisies dans l’autre pièce et fit un lit à Dudley sur le canapé rongé aux mites.
HPfrb1ch03-0352	ronger             	La tante Pétunia dénicha quelques couvertures moisies dans l’autre pièce et fit un lit à Dudley sur le canapé rongé aux mites.
HPfrb1ch03-0353	mite               	La tante Pétunia dénicha quelques couvertures moisies dans l’autre pièce et fit un lit à Dudley sur le canapé rongé aux mites.
HPfrb1ch03-0354	défoncer           	Elle s’installa avec l’oncle Vernon dans un lit défoncé de la pièce voisine et Harry dut s’efforcer de trouver un endroit où le sol n’était pas trop dur.
HPfrb1ch03-0355	dur                	Elle s’installa avec l’oncle Vernon dans un lit défoncé de la pièce voisine et Harry dut s’efforcer de trouver un endroit où le sol n’était pas trop dur.
HPfrb1ch03-0356	violent            	La tempête devenait de plus en plus violente à mesure que la nuit avançait.
HPfrb1ch03-0357	mesure             	La tempête devenait de plus en plus violente à mesure que la nuit avançait.
HPfrb1ch03-0358	frissonner         	Il frissonnait en se tournant et se retournant pour essayer de trouver une position qui ne soit pas trop inconfortable.
HPfrb1ch03-0359	position           	Il frissonnait en se tournant et se retournant pour essayer de trouver une position qui ne soit pas trop inconfortable.
HPfrb1ch03-0360	inconfortable      	Il frissonnait en se tournant et se retournant pour essayer de trouver une position qui ne soit pas trop inconfortable.
HPfrb1ch03-0361	famine             	Son ventre vide criait famine.
