traverse        	LE CHEMIN DE TRAVERSE Harry se réveilla de bonne heure le lendemain matin.
ardent          	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
attentivement   	Le gobelin examina la clé et lut attentivement la lettre.
accompagner     	– Très bien, dit-il, je vais vous faire accompagner dans la salle des coffres.
vous            	– Qu’est-ce que c’est, le Vous-Savez-Quoi dans le coffre numéro 713 ?
concerner       	Une affaire qui concerne Poudlard.
étroit          	Il les avait menés dans un étroit passage en pierre éclairé par des torches.
torche          	Il les avait menés dans un étroit passage en pierre éclairé par des torches.
pente           	Le passage était en pente raide et une voie ferrée courait en son milieu.
voie            	Le passage était en pente raide et une voie ferrée courait en son milieu.
ferré           	Le passage était en pente raide et une voie ferrée courait en son milieu.
siffler         	Le gobelin siffla.
wagonnet        	Aussitôt, un wagonnet s’approcha dans un bruit de ferraille et vint s’arrêter devant eux.
grimper         	Lorsqu’ils y furent grimpés tous les trois – non sans difficulté pour Hagrid –, le wagonnet les emporta.
labyrinthe      	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
galerie         	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
tortueux        	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
cesse           	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
manœuvrer       	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
bref            	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
jet             	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
flamme          	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
bifurquer       	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
enfoncer        	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
profondeur      	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
longer          	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
lac             	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
stalactite      	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
stalagmite      	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
verdâtre        	Le teint verdâtre, Hagrid alla s’appuyer contre le mur, les genoux tremblants.
voyager         	Ça me rend malade de voyager là-dedans, dit-il d’une voix sourde.
panache         	Un panache de fumée verte s’échappa aussitôt.
dissiper        	Lorsqu’il fut dissipé, Harry découvrit avec stupéfaction des monceaux d’or, d’argent et de bronze qui s’entassaient dans une chambre forte.
entasser        	Lorsqu’il fut dissipé, Harry découvrit avec stupéfaction des monceaux d’or, d’argent et de bronze qui s’entassaient dans une chambre forte.
reprocher       	Dire que les Dursley n’avaient pas cessé de reprocher à Harry de leur coûter trop cher !
coûter          	Dire que les Dursley n’avaient pas cessé de reprocher à Harry de leur coûter trop cher !
fortune         	Alors que, pendant tout ce temps, une petite fortune l’attendait dans les sous-sols de Londres !
aider           	Hagrid aida Harry à remplir un sac de pièces.
celle           	– Celles en or sont des Gallions, lui expliqua-t-il.
scolaire        	Avec ça, tu auras de quoi couvrir tes frais pendant l’année scolaire.
plaire          	Et maintenant, au numéro 713, s’il vous plaît, ajouta-t-il en se tournant vers Gripsec.
désoler         	– Désolé, monsieur, répondit le gobelin, la vitesse des wagonnets n’est pas réglable.
vitesse         	– Désolé, monsieur, répondit le gobelin, la vitesse des wagonnets n’est pas réglable.
réglable        	– Désolé, monsieur, répondit le gobelin, la vitesse des wagonnets n’est pas réglable.
entrailles      	Ils repartirent dans le labyrinthe en s’enfonçant encore davantage dans les entrailles de Gringotts.
température     	La température devenait de plus en plus glaciale tandis que le wagonnet continuait sa course en prenant des virages à angle droit.
virage          	La température devenait de plus en plus glaciale tandis que le wagonnet continuait sa course en prenant des virages à angle droit.
ravin           	-dessus un ravin et Harry se pencha pour scruter ses profondeurs mais Hagrid le ramena en arrière par la peau du cou.
aspirer         	Si quiconque d’autre qu’un gobelin essayait d’ouvrir cette porte, il serait aspiré au travers et deviendrait prisonnier de la chambre forte.
vérifier        	– Et vous vérifiez de temps en temps s’il n’y a pas quelqu’un à l’intérieur ?
fabuleux        	Une chambre forte aussi bien protégée devait contenir un trésor fabuleux, pensa Harry, mais il fut déçu de constater qu’elle était vide.
décevoir        	Une chambre forte aussi bien protégée devait contenir un trésor fabuleux, pensa Harry, mais il fut déçu de constater qu’elle était vide.
constater       	Une chambre forte aussi bien protégée devait contenir un trésor fabuleux, pensa Harry, mais il fut déçu de constater qu’elle était vide.
grossièrement   	Seul un petit paquet grossièrement enveloppé dans du papier kraft était posé sur le sol.
fourrer         	Hagrid ramassa le paquet et le fourra dans une poche intérieure, tout au fond de son manteau.
curiosité       	Malgré sa curiosité, Harry renonça à poser des questions : Hagrid n’était certainement pas disposé à lui révéler ce qu’il y avait dans le paquet.
certainement    	Malgré sa curiosité, Harry renonça à poser des questions : Hagrid n’était certainement pas disposé à lui révéler ce qu’il y avait dans le paquet.
retourner       	– Allez, on retourne dans le wagonnet infernal, soupira le géant.
infernal        	– Allez, on retourne dans le wagonnet infernal, soupira le géant.
garder          	Évite de me parler pendant le voyage, il vaut mieux que je garde la bouche fermée.
fermé           	Évite de me parler pendant le voyage, il vaut mieux que je garde la bouche fermée.
endiablé        	Après une nouvelle course endiablée dans les profondeurs de Gringotts, ils se retrouvèrent au-dehors, sous un soleil éclatant qui les fit cligner des yeux.
dépenser        	Harry avait hâte de commencer à dépenser son argent.
combien         	Peu lui importait combien valaient les Gallions en livres sterling, tout ce dont il était sûr, c’est qu’il n’avait jamais été aussi riche.
riche           	Peu lui importait combien valaient les Gallions en livres sterling, tout ce dont il était sûr, c’est qu’il n’avait jamais été aussi riche.
disposition     	Même Dudley n’avait jamais eu autant d’argent à sa disposition.
remontant       	J’ai besoin de prendre un petit remontant au Chaudron Baveur.
intimider       	Un peu intimidé, Harry entra donc seul dans la boutique.
replet          	Madame Guipure était une petite sorcière replète et souriante, vêtue tout en mauve.
mauve           	Madame Guipure était une petite sorcière replète et souriante, vêtue tout en mauve.
ajuster         	Au fond du magasin, un garçon au teint pâle, le nez en pointe, se tenait debout sur un tabouret tandis qu’une autre sorcière ajustait la longue robe noire qu’il avait revêtue.
revêtir         	Au fond du magasin, un garçon au teint pâle, le nez en pointe, se tenait debout sur un tabouret tandis qu’une autre sorcière ajustait la longue robe noire qu’il avait revêtue.
épingler        	Madame Guipure installa Harry sur un deuxième tabouret et lui fit passer une autre robe de sorcier dont elle entreprit d’épingler l’ourlet pour le mettre à la bonne longueur.
ourlet          	Madame Guipure installa Harry sur un deuxième tabouret et lui fit passer une autre robe de sorcier dont elle entreprit d’épingler l’ourlet pour le mettre à la bonne longueur.
longueur        	Madame Guipure installa Harry sur un deuxième tabouret et lui fit passer une autre robe de sorcier dont elle entreprit d’épingler l’ourlet pour le mettre à la bonne longueur.
salut           	– Salut, dit le garçon.
traînant        	– Mon père est en train de m’acheter mes livres dans le magasin d’à côté et ma mère est allée me chercher une baguette magique à l’autre bout de la rue, dit le garçon d’une voix traînante.
doux            	J’arriverai bien à convaincre mon père de m’en acheter un et je m’arrangerai pour le faire passer en douce au collège.
sélectionner    	Mon père dit que ce serait un scandale si je n’étais pas sélectionné dans l’équipe.
équipe          	Mon père dit que ce serait un scandale si je n’étais pas sélectionné dans l’équipe.
pertinent       	– Mmm… marmonna Harry, incapable de trouver une réponse plus pertinente.
domestique      	C’est une sorte de domestique, non ?
préciser        	– Il est garde-chasse, précisa Harry qui éprouvait de plus en plus d’antipathie pour le garçon.
antipathie      	– Il est garde-chasse, précisa Harry qui éprouvait de plus en plus d’antipathie pour le garçon.
soûler          	Il habite dans une cabane, dans le parc de Poudlard, et il se soûle de temps en temps.
ivre            	Quand il est ivre, il essaye de faire des tours de magie et finit toujours par mettre le feu à son lit.
froideur        	– Moi,, je le trouve très intelligent, dit Harry avec froideur.
ricaner         	– Vraiment ? ricana le garçon.
exclusivement   	– À mon avis, Poudlard devrait leur être exclusivement réservé.
réserver        	– À mon avis, Poudlard devrait leur être exclusivement réservé.
éducation       	Ceux qui viennent d’autres familles ne sont pas comme nous, ils n’ont pas eu la même éducation.
accepter        	Je pense que l’école ne devrait accepter que les enfants issus des vieilles familles de sorciers.
issu            	Je pense que l’école ne devrait accepter que les enfants issus des vieilles familles de sorciers.
occasion        	Saisissant l’occasion pour mettre un terme à sa conversation avec le garçon, Harry sauta du tabouret.
terme           	Saisissant l’occasion pour mettre un terme à sa conversation avec le garçon, Harry sauta du tabouret.
fraise          	Harry ne dit pas grand-chose pendant qu’il mangeait la glace (chocolat-fraise aux noisettes) que Hagrid lui avait achetée.
noisette        	Harry ne dit pas grand-chose pendant qu’il mangeait la glace (chocolat-fraise aux noisettes) que Hagrid lui avait achetée.
mentir          	Rien, mentit Harry.
lignée          	D’ailleurs, qu’est-ce qu’il en sait, certains des meilleurs élèves que j’ai vus étaient les seuls sorciers d’une longue lignée de Moldus.
exemple         	Regarde ta mère, par exemple !
passionné       	Dans notre monde, on est tous passionnés de Quidditch, un peu comme les Moldus avec le football.
joueur          	Ça se joue avec quatre balles et les joueurs volent sur des balais.
cancre          	Tout le monde dit que les cancres sont nombreux à Poufsouffle,
pavé            	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
relier          	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
soie            	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
symbole         	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
ensorceler      	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
stupéfier       	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
ennemi          	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
sortilège       	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
crâne           	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
plomb           	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
utiliser        	– Ce ne serait pas une mauvaise idée, répondit Hagrid, mais il vaut mieux éviter d’utiliser la magie dans le monde des Moldus, sauf dans des cas exceptionnels.
permission      	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
acquisition     	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
joli            	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
ingrédient      	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
composition     	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
fasciner        	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
dépit           	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
mélange         	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
pourrir         	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
avarié          	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
tonneau         	Des tonneaux contenant des substances gluantes s’alignaient sur le sol.
substance       	Des tonneaux contenant des substances gluantes s’alignaient sur le sol.
gluant          	Des tonneaux contenant des substances gluantes s’alignaient sur le sol.
bocal           	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
racine          	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
sécher          	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
poudre          	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
crochet         	Des plumes d’oiseaux, des crochets de serpents, des serres de rapaces pendaient du plafond.
base            	Pendant que Hagrid demandait à l’apothicaire les ingrédients de base nécessaires à la fabrication de potions, Harry examina des cornes argentées de licornes à vingt et un Gallions pièce et de minuscules yeux de scarabées d’un noir brillant (cinq Noises la poignée).
fabrication     	Pendant que Hagrid demandait à l’apothicaire les ingrédients de base nécessaires à la fabrication de potions, Harry examina des cornes argentées de licornes à vingt et un Gallions pièce et de minuscules yeux de scarabées d’un noir brillant (cinq Noises la poignée).
licorne         	Pendant que Hagrid demandait à l’apothicaire les ingrédients de base nécessaires à la fabrication de potions, Harry examina des cornes argentées de licornes à vingt et un Gallions pièce et de minuscules yeux de scarabées d’un noir brillant (cinq Noises la poignée).
emplette        	Ils continuèrent leurs emplettes dans les boutiques qui s’alignaient le long de la rue et bientôt, il ne resta plus que la baguette magique à acheter.
éternuer        	Ni un chat, les poils de chat me font éternuer.
vingt           	Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l’intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l’aile.
magnifique      	Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l’intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l’aile.
paisiblement    	Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l’intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l’aile.
aile            	Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l’intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l’aile.
bégayer         	Harry en bégayait de reconnaissance.
reconnaissance  	Harry en bégayait de reconnaissance.
bourru          	– Ce n’est rien, répondit Hagrid d’un ton bourru.
étroit          	La dernière boutique dans laquelle ils pénétrèrent était étroite et délabrée.
délabrer        	La dernière boutique dans laquelle ils pénétrèrent était étroite et délabrée.
écailler        	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
fabricant       	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
poussiéreux     	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
coussin         	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
râpé            	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
clochette       	À leur entrée, une clochette retentit au fond de la boutique.
austère         	Harry éprouvait une étrange sensation, comme s’il venait d’entrer dans une bibliothèque particulièrement austère.
millier         	Il renonça à poser toutes les questions qui lui venaient à l’esprit et se contenta d’observer les milliers de boîtes étroites qui s’entassaient presque jusqu’au plafond.
nuque           	Il sentit un frisson dans la nuque.
poussière       	La poussière et le silence du lieu semblaient receler une magie secrète.
receler         	La poussière et le silence du lieu semblaient receler une magie secrète.
lune            	Ses grands yeux pâles brillaient comme deux lunes dans la pénombre de la boutique.
centimètre      	Je me souviens quand elle est venue acheter sa première baguette, j’ai l’impression que c’était hier, 25,6 centimètres, souple et rapide, bois de saule.
souple          	Je me souviens quand elle est venue acheter sa première baguette, j’ai l’impression que c’était hier, 25,6 centimètres, souple et rapide, bois de saule.
saule           	Je me souviens quand elle est venue acheter sa première baguette, j’ai l’impression que c’était hier, 25,6 centimètres, souple et rapide, bois de saule.
angoissant      	Les yeux argentés du vieil homme avaient quelque chose d’angoissant.
acajou          	– Votre père, en revanche, avait préféré une baguette d’acajou, 27,5 centimètres.
flexible        	Flexible.
remarquablement 	Un peu plus puissante et remarquablement efficace pour les métamorphoses.
efficace        	Un peu plus puissante et remarquablement efficace pour les métamorphoses.
if              	En bois d’if.
maléfique       	Une baguette puissante, très puissante, et entre des mains maléfiques…
chêne           	C’était du chêne, 40 centimètres, plutôt flexible, n’est-ce pas ?
exclure         	Mais ils ont dû la casser en deux quand vous avez été exclu du collège ? demanda Mr Ollivander d’un ton soudain grave.
grave           	Mais ils ont dû la casser en deux quand vous avez été exclu du collège ? demanda Mr Ollivander d’un ton soudain grave.
mètre           	Il sortit de sa poche un mètre ruban avec des marques en argent.
ruban           	Il sortit de sa poche un mètre ruban avec des marques en argent.
marque          	Il sortit de sa poche un mètre ruban avec des marques en argent.
droitier        	– Euh… je suis droitier, répondit Harry.
tendre          	– Tendez le bras.
mesurer         	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
coude           	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
hauteur         	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
aisselle        	Il mesura le bras de Harry, de l’épaule jusqu’au bout des doigts, puis du poignet jusqu’au coude, puis la hauteur de l’épaule jusqu’aux pieds, puis du genou à l’aisselle et enfin, il prit son tour de tête.
renfermer       	– Chaque baguette de chez Ollivander renferme des substances magiques très puissantes, Mr Potter.
phénix          	Nous utilisons du poil de licorne, des plumes de phénix ou des ventricules de cœur de dragon.
ventricule      	Nous utilisons du poil de licorne, des plumes de phénix ou des ventricules de cœur de dragon.
identique       	Et de même qu’on ne trouve pas deux licornes, deux dragons ou deux phénix exactement semblables, il n’existe pas deux baguettes de chez Ollivander qui soient identiques.
satisfaisant    	J’ajoute, bien entendu, qu’aucune autre baguette magique ne vous donnera des résultats aussi satisfaisants que les nôtres.
nôtre           	J’ajoute, bien entendu, qu’aucune autre baguette magique ne vous donnera des résultats aussi satisfaisants que les nôtres.
écartement      	Le vieil homme alla prendre des boîtes disposées sur des étagères tandis que le mètre ruban continuait tout seul de prendre les dernières mesures nécessaires – l’écartement des narines, notamment.
narine          	Le vieil homme alla prendre des boîtes disposées sur des étagères tandis que le mètre ruban continuait tout seul de prendre les dernières mesures nécessaires – l’écartement des narines, notamment.
notamment       	Le vieil homme alla prendre des boîtes disposées sur des étagères tandis que le mètre ruban continuait tout seul de prendre les dernières mesures nécessaires – l’écartement des narines, notamment.
essayer         	Essayez donc celle-ci, Mr Potter.
hêtre           	Elle est en bois de hêtre et contient du ventricule de dragon, 22,5 centimètres.
érable          	– Bois d’érable et plume de phénix, 17,5 centimètres, très flexible.
ébène           	Non, plutôt celle-ci, bois d’ébène et crin de licorne, 21,25 centimètres, très souple.
crin            	Non, plutôt celle-ci, bois d’ébène et crin de licorne, 21,25 centimètres, très souple.
convenir        	Bientôt, il y eut un monceau de baguettes magiques posées sur la chaise en bois mince, mais aucune ne convenait.
commenter       	– Un client difficile, commenta Mr Ollivander d’un air satisfait.
satisfait       	– Un client difficile, commenta Mr Ollivander d’un air satisfait.
convier         	Mais nous finirons bien par trouver celle qui vous convient.
combinaison     	Une combinaison originale : bois de houx et plume de phénix, 27,5 centimètres.
original        	Une combinaison originale : bois de houx et plume de phénix, 27,5 centimètres.
houx            	Une combinaison originale : bois de houx et plume de phénix, 27,5 centimètres.
manier          	Facile à manier, très souple.
abaisser        	Il la leva au-dessus de sa tête, puis l’abaissa en la faisant siffler dans l’air.
gerbe           	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
étincelle       	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
extrémité       	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
mouvant         	Une gerbe d’étincelles rouge et or jaillit alors de l’extrémité de la baguette, projetant sur les murs des lueurs mouvantes.
applaudir       	Hagrid applaudit en poussant une exclamation enthousiaste.
enthousiaste    	Hagrid applaudit en poussant une exclamation enthousiaste.
bravo           	– Bravo ! s’écria Mr Ollivander.
étrange         	Il reprit la baguette et la remit dans sa boîte qu’il enveloppa de papier kraft en continuant de marmonner : « Étrange… vraiment étrange… »
excuser         	– Excusez-moi, dit Harry, mais qu’est-ce qui est donc si étrange ?
prélever        	Or, le phénix sur lequel a été prélevée la plume qui se trouve dans votre baguette a également fourni une autre plume à une autre baguette.
fournir         	Or, le phénix sur lequel a été prélevée la plume qui se trouve dans votre baguette a également fourni une autre plume à une autre baguette.
précisément     	Il est très étrange que ce soit précisément cette baguette qui vous ait convenu, car sa sœur n’est autre que celle qui… qui vous a fait cette cicatrice au front.
curieux         	Curieux, vraiment, la façon dont les choses se produisent.
celui           	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
dont            	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
devoir            	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
certes          	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
envergure       	Je crois que vous avez un bel avenir, Mr Potter… Après tout, Celui-Dont-On-Ne-Doit-Pas-Prononcer-Le-Nom a fait de grandes choses, des choses terribles, certes, mais quelle envergure !
frissonner       	Harry frissonna.
sept            	Il paya les sept Gallions que coûtait la baguette et le vieil homme les raccompagna jusqu’à la porte de sa boutique.
raccompagner     	Il paya les sept Gallions que coûtait la baguette et le vieil homme les raccompagna jusqu’à la porte de sa boutique.
horizon         	Lorsque Hagrid et Harry reprirent le Chemin de Traverse dans l’autre sens, le soleil descendait déjà vers l’horizon.
inverse         	Ils franchirent le mur en sens inverse et traversèrent à nouveau Le Chaudron Baveur, vide à cette heure.
somnoler        	Dans le métro, il ne remarqua même pas les autres passagers qui les regardaient bouche bée en voyant tous leurs paquets aux formes bizarres et la chouette blanche qui somnolait sur ses genoux.
mécanique       	Ils montèrent un autre escalier mécanique et arrivèrent à la gare de Paddington.
réaliser        	Il fallut que Hagrid tapote l’épaule de Harry pour que celui-ci réalise enfin qu’ils étaient arrivés.
départ          	– On a le temps d’avaler quelque chose avant le départ du train, dit Hagrid.
plastique       	Il offrit à Harry un hamburger et ils allèrent s’asseoir sur des sièges en plastique pour manger.
mâchonner       	Il avait eu le plus bel anniversaire de sa vie, et pourtant… – Tout le monde pense que je suis quelqu’un d’exceptionnel, dit-il enfin en mâchonnant sa viande caoutchouteuse.
viande          	Il avait eu le plus bel anniversaire de sa vie, et pourtant… – Tout le monde pense que je suis quelqu’un d’exceptionnel, dit-il enfin en mâchonnant sa viande caoutchouteuse.
caoutchouteux   	Il avait eu le plus bel anniversaire de sa vie, et pourtant… – Tout le monde pense que je suis quelqu’un d’exceptionnel, dit-il enfin en mâchonnant sa viande caoutchouteuse.
bienveillant    	Ne t’inquiète pas, Harry, répondit Hagrid avec un sourire bienveillant, tu apprendras très vite.
content          	Moi aussi, j’étais content… Et je le suis toujours…
ébranler        	Le train s’ébranla.
coller           	Il se leva de son siège et colla le nez contre la vitre, mais le temps de cligner des yeux, Hagrid avait disparu.
