HPfrb1ch07-0001	contrarier      	Elle avait le visage sévère des gens qu’il vaut mieux éviter de contrarier, pensa aussitôt Harry.
HPfrb1ch07-0195	ensemble        	– Et maintenant, avant d’aller nous coucher, chantons tous ensemble l’hymne du collège !
HPfrb1ch07-0196	hymne           	– Et maintenant, avant d’aller nous coucher, chantons tous ensemble l’hymne du collège !
HPfrb1ch07-0197	mouche          	Dumbledore donna un petit coup de baguette magique, comme s’il avait voulu faire partir une mouche posée à son extrémité, et il s’en échappa un long ruban d’or qui s’éleva au-dessus des tables en se tortillant comme un serpent pour former les paroles de la chanson.
HPfrb1ch07-0198	tortiller       	Dumbledore donna un petit coup de baguette magique, comme s’il avait voulu faire partir une mouche posée à son extrémité, et il s’en échappa un long ruban d’or qui s’éleva au-dessus des tables en se tortillant comme un serpent pour former les paroles de la chanson.
HPfrb1ch07-0199	pou             	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
HPfrb1ch07-0200	lard            	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
HPfrb1ch07-0201	guimauve        	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
HPfrb1ch07-0202	migraine        	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
HPfrb1ch07-0203	jus             	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
HPfrb1ch07-0204	âne             	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
HPfrb1ch07-0205	mijoter         	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
HPfrb1ch07-0206	surpasser       	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
HPfrb1ch07-0207	cerveau         	Et toute l’école se mit à hurler : Poudlard, Poudlard, Pou du Lard du Poudlard, Apprends-nous ce qu’il faut savoir, Que l’on soit jeune ou vieux ou chauve Ou qu’on ait les jambes en guimauve, On veut avoir la tête bien pleine Jusqu’à en avoir la migraine Car pour l’instant c’est du jus d’âne, Qui mijote dans nos crânes, Oblige-nous à tout étudier, Répète-nous c’qu’on a oublié, Fais de ton mieux, qu’on se surpasse Jusqu’à c’que nos cerveaux crient grâce.
HPfrb1ch07-0208	rythme          	Les jumeaux Weasley furent les derniers à chanter, au rythme lent de la marche funèbre qu’ils avaient choisie.
HPfrb1ch07-0209	funèbre         	Les jumeaux Weasley furent les derniers à chanter, au rythme lent de la marche funèbre qu’ils avaient choisie.
HPfrb1ch07-0210	marquer         	Dumbledore marqua la cadence avec sa baguette magique et lorsqu’ils eurent terminé, il fut l’un de ceux qui applaudirent le plus fort.
HPfrb1ch07-0211	cadence         	Dumbledore marqua la cadence avec sa baguette magique et lorsqu’ils eurent terminé, il fut l’un de ceux qui applaudirent le plus fort.
HPfrb1ch07-0212	fatigue         	Harry eut à nouveau l’impression d’avoir des jambes de plomb, mais cette fois, seuls la fatigue et le plantureux repas en étaient la cause.
HPfrb1ch07-0213	plantureux      	Harry eut à nouveau l’impression d’avoir des jambes de plomb, mais cette fois, seuls la fatigue et le plantureux repas en étaient la cause.
HPfrb1ch07-0214	repas           	Harry eut à nouveau l’impression d’avoir des jambes de plomb, mais cette fois, seuls la fatigue et le plantureux repas en étaient la cause.
HPfrb1ch07-0215	tapisserie      	Il ne fut pas davantage étonné de voir que Percy les faisait passer par des portes cachées derrière des tapisseries ou des panneaux coulissants.
HPfrb1ch07-0216	coulissant      	Il ne fut pas davantage étonné de voir que Percy les faisait passer par des portes cachées derrière des tapisseries ou des panneaux coulissants.
HPfrb1ch07-0217	interminable    	Ils parcoururent ainsi une distance interminable, bâillant et traînant les pieds, et Harry se demandait s’ils étaient encore loin du but, quand ils s’arrêtèrent brusquement.
HPfrb1ch07-0218	but             	Ils parcoururent ainsi une distance interminable, bâillant et traînant les pieds, et Harry se demandait s’ils étaient encore loin du but, quand ils s’arrêtèrent brusquement.
HPfrb1ch07-0219	flotter         	Des cannes apparurent soudain devant eux, flottant dans les airs, et se ruèrent sur Percy qui dut faire un pas de côté pour les éviter.
HPfrb1ch07-0220	ruer            	Des cannes apparurent soudain devant eux, flottant dans les airs, et se ruèrent sur Percy qui dut faire un pas de côté pour les éviter.
HPfrb1ch07-0221	frappeur        	Un esprit frappeur.
HPfrb1ch07-0222	grossier        	Pour toute réponse, un bruit grossier, comme un ballon qui se dégonfle, résonna dans le couloir.
HPfrb1ch07-0223	dégonfler       	Pour toute réponse, un bruit grossier, comme un ballon qui se dégonfle, résonna dans le couloir.
HPfrb1ch07-0224	croiser         	Il avait les jambes croisées et se cramponnait aux cannes.
HPfrb1ch07-0225	cramponner      	Il avait les jambes croisées et se cramponnait aux cannes.
HPfrb1ch07-0226	caqueter        	– Ooooooooh ! lança-t-il en accompagnant son cri d’une sorte de caquètement mauvais.
HPfrb1ch07-0227	plaisanter        	Et je ne plaisante pas !
HPfrb1ch07-0228	armure          	Des armures cliquetèrent sur son passage.
HPfrb1ch07-0229	cliqueter       	Des armures cliquetèrent sur son passage.
HPfrb1ch07-0230	pivoter         	– Caput Draconis, dit Percy et le tableau pivota aussitôt, laissant voir un trou rond découpé dans le mur.
HPfrb1ch07-0231	découper        	– Caput Draconis, dit Percy et le tableau pivota aussitôt, laissant voir un trou rond découpé dans le mur.
HPfrb1ch07-0232	engouffrer      	Ils s’y engouffrèrent un par un et firent la courte échelle à Neville, puis ils se retrouvèrent dans la salle commune de Gryffondor, une salle ronde, confortable et accueillante, remplie de gros fauteuils moelleux.
HPfrb1ch07-0233	échelle         	Ils s’y engouffrèrent un par un et firent la courte échelle à Neville, puis ils se retrouvèrent dans la salle commune de Gryffondor, une salle ronde, confortable et accueillante, remplie de gros fauteuils moelleux.
HPfrb1ch07-0234	confortable     	Ils s’y engouffrèrent un par un et firent la courte échelle à Neville, puis ils se retrouvèrent dans la salle commune de Gryffondor, une salle ronde, confortable et accueillante, remplie de gros fauteuils moelleux.
HPfrb1ch07-0235	accueillant     	Ils s’y engouffrèrent un par un et firent la courte échelle à Neville, puis ils se retrouvèrent dans la salle commune de Gryffondor, une salle ronde, confortable et accueillante, remplie de gros fauteuils moelleux.
HPfrb1ch07-0236	moelleux         	Ils s’y engouffrèrent un par un et firent la courte échelle à Neville, puis ils se retrouvèrent dans la salle commune de Gryffondor, une salle ronde, confortable et accueillante, remplie de gros fauteuils moelleux.
HPfrb1ch07-0237	colimaçon       	Les garçons montèrent l’escalier en colimaçon qui menait au sommet d’une tour et trouvèrent des lits à baldaquin avec des rideaux de velours d’un rouge profond.
HPfrb1ch07-0238	baldaquin       	Les garçons montèrent l’escalier en colimaçon qui menait au sommet d’une tour et trouvèrent des lits à baldaquin avec des rideaux de velours d’un rouge profond.
HPfrb1ch07-0239	fatiguer        	Trop fatigués pour parler longtemps, ils enfilèrent leur pyjama et se mirent au lit.
HPfrb1ch07-0240	pyjama          	Trop fatigués pour parler longtemps, ils enfilèrent leur pyjama et se mirent au lit.
HPfrb1ch07-0241	hein            	– On mange bien ici, hein ?
HPfrb1ch07-0242	copieux         	Peut-être était-ce à cause de son trop copieux repas qu’il fit un rêve étrange.
HPfrb1ch07-0243	transférer      	Il portait le turban du professeur Quirrell et le turban ne cessait de lui répéter qu’il ferait mieux de se faire transférer à Serpentard, car telle était sa destinée.
HPfrb1ch07-0244	destinée        	Il portait le turban du professeur Quirrell et le turban ne cessait de lui répéter qu’il ferait mieux de se faire transférer à Serpentard, car telle était sa destinée.
HPfrb1ch07-0245	douloureusement 	Harry essayait de l’enlever mais il lui serrait douloureusement la tête et il voyait Malefoy qui riait en le regardant s’escrimer en vain, puis Malefoy prenait l’apparence de Rogue, le professeur au nez crochu, et son rire devenait de plus en plus sonore, de plus en plus glacé.
HPfrb1ch07-0246	escrimer        	Harry essayait de l’enlever mais il lui serrait douloureusement la tête et il voyait Malefoy qui riait en le regardant s’escrimer en vain, puis Malefoy prenait l’apparence de Rogue, le professeur au nez crochu, et son rire devenait de plus en plus sonore, de plus en plus glacé.
HPfrb1ch07-0247	vain            	Harry essayait de l’enlever mais il lui serrait douloureusement la tête et il voyait Malefoy qui riait en le regardant s’escrimer en vain, puis Malefoy prenait l’apparence de Rogue, le professeur au nez crochu, et son rire devenait de plus en plus sonore, de plus en plus glacé.
