nulle              	LES LETTRES DE NULLE PART
introduire         	Comme la boîte aux lettres était inutilisable, elles avaient été glissées tout autour de la porte et l’une d’elles avait même été introduite à travers un vasistas dans les toilettes du rez-de-chaussée.
vasistas           	Comme la boîte aux lettres était inutilisable, elles avaient été glissées tout autour de la porte et l’une d’elles avait même été introduite à travers un vasistas dans les toilettes du rez-de-chaussée.
marteau            	Après avoir brûlé toutes les lettres, il reprit son marteau et ses clous et boucha à l’aide de planches tous les interstices autour des portes de devant et de derrière, si bien que personne ne pouvait plus entrer ni sortir.
boucher            	Après avoir brûlé toutes les lettres, il reprit son marteau et ses clous et boucha à l’aide de planches tous les interstices autour des portes de devant et de derrière, si bien que personne ne pouvait plus entrer ni sortir.
aide               	Après avoir brûlé toutes les lettres, il reprit son marteau et ses clous et boucha à l’aide de planches tous les interstices autour des portes de devant et de derrière, si bien que personne ne pouvait plus entrer ni sortir.
incontrôlable      	Le samedi, la situation devint incontrôlable.
rouler             	Vingt-quatre lettres destinées à Harry furent introduites à l’intérieur de la maison : elles avaient été roulées et dissimulées à l’intérieur des deux douzaines d’œufs que le livreur, passablement déconcerté, leur avait passées par la fenêtre du salon.
dissimuler         	Vingt-quatre lettres destinées à Harry furent introduites à l’intérieur de la maison : elles avaient été roulées et dissimulées à l’intérieur des deux douzaines d’œufs que le livreur, passablement déconcerté, leur avait passées par la fenêtre du salon.
livreur            	Vingt-quatre lettres destinées à Harry furent introduites à l’intérieur de la maison : elles avaient été roulées et dissimulées à l’intérieur des deux douzaines d’œufs que le livreur, passablement déconcerté, leur avait passées par la fenêtre du salon.
déconcerter        	Vingt-quatre lettres destinées à Harry furent introduites à l’intérieur de la maison : elles avaient été roulées et dissimulées à l’intérieur des deux douzaines d’œufs que le livreur, passablement déconcerté, leur avait passées par la fenêtre du salon.
poste              	Pendant que l’oncle Vernon donnait des coups de téléphone furieux au bureau de poste et au crémier pour essayer de trouver un responsable auprès de qui protester, la tante Pétunia réduisit les lettres en bouillie dans son mixer.
crémier            	Pendant que l’oncle Vernon donnait des coups de téléphone furieux au bureau de poste et au crémier pour essayer de trouver un responsable auprès de qui protester, la tante Pétunia réduisit les lettres en bouillie dans son mixer.
auprès             	Pendant que l’oncle Vernon donnait des coups de téléphone furieux au bureau de poste et au crémier pour essayer de trouver un responsable auprès de qui protester, la tante Pétunia réduisit les lettres en bouillie dans son mixer.
bouillie           	Pendant que l’oncle Vernon donnait des coups de téléphone furieux au bureau de poste et au crémier pour essayer de trouver un responsable auprès de qui protester, la tante Pétunia réduisit les lettres en bouillie dans son mixer.
abasourdir         	– Mais qui peut bien avoir envie de t’écrire à ce point ? demanda Dudley abasourdi.
dimanche           	Le dimanche matin, l’oncle Vernon avait l’air fatigué et malade lorsqu’il s’assit à la table du petit déjeuner, mais il paraissait heureux malgré tout.
fatigué            	Le dimanche matin, l’oncle Vernon avait l’air fatigué et malade lorsqu’il s’assit à la table du petit déjeuner, mais il paraissait heureux malgré tout.
joyeux             	– La poste ne fonctionne pas le dimanche, dit-il d’un ton joyeux en étalant consciencieusement de la marmelade sur son journal.
consciencieusement 	– La poste ne fonctionne pas le dimanche, dit-il d’un ton joyeux en étalant consciencieusement de la marmelade sur son journal.
marmelade          	– La poste ne fonctionne pas le dimanche, dit-il d’un ton joyeux en étalant consciencieusement de la marmelade sur son journal.
fichu              	Aujourd’hui, pas de ces fichues lettres.
conduit            	Au même moment, quelque chose tomba dans le conduit de la cheminée avec un sifflement sonore et il sentit un coup derrière la tête.
sifflement         	Au même moment, quelque chose tomba dans le conduit de la cheminée avec un sifflement sonore et il sentit un coup derrière la tête.
sonore             	Au même moment, quelque chose tomba dans le conduit de la cheminée avec un sifflement sonore et il sentit un coup derrière la tête.
exploser           	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
foyer              	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
projeter           	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
quarantaine        	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
boulet             	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
canon              	Un paquet venait d’exploser dans le foyer de la cheminée en projetant une quarantaine de lettres qui volaient dans la cuisine comme des boulets de canon.
baisser            	Les Dursley se baissèrent pour éviter les projectiles tandis que Harry essayait d’en attraper un au vol.
projectile         	Les Dursley se baissèrent pour éviter les projectiles tandis que Harry essayait d’en attraper un au vol.
dehors             	– Dehors ! DEHORS !
projeter           	L’oncle Vernon saisit Harry par la taille et le projeta dans le hall d’entrée, puis, dès que Dudley et la tante Pétunia eurent pris la fuite en se protégeant le visage de leurs bras, il claqua la porte de la cuisine.
protéger           	L’oncle Vernon saisit Harry par la taille et le projeta dans le hall d’entrée, puis, dès que Dudley et la tante Pétunia eurent pris la fuite en se protégeant le visage de leurs bras, il claqua la porte de la cuisine.
panneau            	Derrière le panneau, on entendait les lettres qui continuaient de voler en rebondissant contre les murs et le carrelage.
rebondir           	Derrière le panneau, on entendait les lettres qui continuaient de voler en rebondissant contre les murs et le carrelage.
carrelage          	Derrière le panneau, on entendait les lettres qui continuaient de voler en rebondissant contre les murs et le carrelage.
calme              	– Cette fois-ci, ça suffit, déclara l’oncle Vernon qui s’efforçait de parler d’une voix calme tout en arrachant des touffes de poils de sa moustache.
poil               	– Cette fois-ci, ça suffit, déclara l’oncle Vernon qui s’efforçait de parler d’une voix calme tout en arrachant des touffes de poils de sa moustache.
discussion         	Emportez simplement quelques vêtements, et pas de discussion !
menaçant           	Il paraissait tellement menaçant, avec sa moustache dégarnie, que personne n’osa plus faire un geste.
dégarnir           	Il paraissait tellement menaçant, avec sa moustache dégarnie, que personne n’osa plus faire un geste.
geste              	Il paraissait tellement menaçant, avec sa moustache dégarnie, que personne n’osa plus faire un geste.
condamner          	Dix minutes plus tard, après avoir arraché les planches qui condamnaient la porte, ils montèrent dans la voiture qui fonça vers l’autoroute.
foncer             	Dix minutes plus tard, après avoir arraché les planches qui condamnaient la porte, ils montèrent dans la voiture qui fonça vers l’autoroute.
autoroute          	Dix minutes plus tard, après avoir arraché les planches qui condamnaient la porte, ils montèrent dans la voiture qui fonça vers l’autoroute.
pleurnicher        	Dudley pleurnichait à l’arrière, à cause du coup que son père lui avait donné sur la tête pour les avoir retardés en voulant à tout prix emporter sa télévision, son magnétoscope et son ordinateur dans son sac de sport.
retarder           	Dudley pleurnichait à l’arrière, à cause du coup que son père lui avait donné sur la tête pour les avoir retardés en voulant à tout prix emporter sa télévision, son magnétoscope et son ordinateur dans son sac de sport.
prix               	Dudley pleurnichait à l’arrière, à cause du coup que son père lui avait donné sur la tête pour les avoir retardés en voulant à tout prix emporter sa télévision, son magnétoscope et son ordinateur dans son sac de sport.
opposer            	De temps à autre, l’oncle Vernon faisait demi-tour et repartait dans la direction opposée.
semer              	– On va les semer, on va les semer, marmonnait-il.
tombée             	À la tombée du jour, Dudley poussa de longs hurlements.
faim               	Il avait faim, il avait raté cinq émissions de télévision qu’il tenait absolument à voir et il n’avait jamais passé autant de temps sans pulvériser un extraterrestre sur son ordinateur.
rater              	Il avait faim, il avait raté cinq émissions de télévision qu’il tenait absolument à voir et il n’avait jamais passé autant de temps sans pulvériser un extraterrestre sur son ordinateur.
pulvériser         	Il avait faim, il avait raté cinq émissions de télévision qu’il tenait absolument à voir et il n’avait jamais passé autant de temps sans pulvériser un extraterrestre sur son ordinateur.
extraterrestre     	Il avait faim, il avait raté cinq émissions de télévision qu’il tenait absolument à voir et il n’avait jamais passé autant de temps sans pulvériser un extraterrestre sur son ordinateur.
hôtel              	L’oncle Vernon arrêta enfin la voiture devant un hôtel sinistre, dans la banlieue d’une grande ville.
banlieue           	L’oncle Vernon arrêta enfin la voiture devant un hôtel sinistre, dans la banlieue d’une grande ville.
partager           	Dudley et Harry partagèrent une chambre avec des lits jumeaux et des draps humides qui sentaient le moisi.
jumeau             	Dudley et Harry partagèrent une chambre avec des lits jumeaux et des draps humides qui sentaient le moisi.
moisi              	Dudley et Harry partagèrent une chambre avec des lits jumeaux et des draps humides qui sentaient le moisi.
ronfler            	Dudley passa la nuit à ronfler, tandis que Harry, assis sur le rebord de la fenêtre, regardait les phares des voitures qui passaient dans la rue.
rebord             	Dudley passa la nuit à ronfler, tandis que Harry, assis sur le rebord de la fenêtre, regardait les phares des voitures qui passaient dans la rue.
servir             	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
rassir             	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
toast              	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
recouvrir          	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
tomate             	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
froid              	Au matin, on leur servit des corn flakes rassis et des toasts recouverts de tomates froides en boîte.
patron             	La patronne de l’hôtel s’approcha alors de leur table.
mander             	– ’Mande pardon, est-ce qu’il y aurait un Mr Potter parmi vous ?
pardon             	– ’Mande pardon, est-ce qu’il y aurait un Mr Potter parmi vous ?
parmi              	– ’Mande pardon, est-ce qu’il y aurait un Mr Potter parmi vous ?
réception          	Parce que j’en ai une centaine comme ça à la réception.
rail               	Hôtel du Rail Carbone-les-Mines
hôtelier           	– Je m’en occupe, dit l’oncle Vernon en se levant immédiatement et en suivant l’hôtelière hors de la salle à manger.
timidement         	– Et si nous rentrions à la maison ? suggéra timidement la tante Pétunia, quelques heures plus tard.
forêt              	Il les conduisit au milieu d’une forêt, sortit de la voiture, inspecta les alentours, hocha la tête, puis remonta dans la voiture et ils repartirent.
inspecter          	Il les conduisit au milieu d’une forêt, sortit de la voiture, inspecta les alentours, hocha la tête, puis remonta dans la voiture et ils repartirent.
alentours          	Il les conduisit au milieu d’une forêt, sortit de la voiture, inspecta les alentours, hocha la tête, puis remonta dans la voiture et ils repartirent.
recommencer        	Il recommença ensuite le même manège au beau milieu d’un champ labouré, à mi-chemin sur un pont suspendu, puis au sommet d’un parking à étages.
champ              	Il recommença ensuite le même manège au beau milieu d’un champ labouré, à mi-chemin sur un pont suspendu, puis au sommet d’un parking à étages.
labourer           	Il recommença ensuite le même manège au beau milieu d’un champ labouré, à mi-chemin sur un pont suspendu, puis au sommet d’un parking à étages.
pont               	Il recommença ensuite le même manège au beau milieu d’un champ labouré, à mi-chemin sur un pont suspendu, puis au sommet d’un parking à étages.
suspendre          	Il recommença ensuite le même manège au beau milieu d’un champ labouré, à mi-chemin sur un pont suspendu, puis au sommet d’un parking à étages.
village            	Vers la fin de l’après-midi, l’oncle Vernon s’arrêta dans un village du bord de mer, enferma tout le monde dans la voiture et s’en alla.
mer                	Vers la fin de l’après-midi, l’oncle Vernon s’arrêta dans un village du bord de mer, enferma tout le monde dans la voiture et s’en alla.
enfermer           	Vers la fin de l’après-midi, l’oncle Vernon s’arrêta dans un village du bord de mer, enferma tout le monde dans la voiture et s’en alla.
morne              	– Papa est devenu fou ? demanda Dudley, d’un ton morne, à la tante Pétunia.
goutte             	De grosses gouttes martelaient le toit de la voiture.
marteler           	De grosses gouttes martelaient le toit de la voiture.
lundi              	– C’est lundi, dit-il à sa mère.
confiance          	– on pouvait faire confiance à Dudley, il ne se trompait jamais dans les dates, à cause des programmes de télévision.
tromper            	– on pouvait faire confiance à Dudley, il ne se trompait jamais dans les dates, à cause des programmes de télévision.
programme          	– on pouvait faire confiance à Dudley, il ne se trompait jamais dans les dates, à cause des programmes de télévision.
souvenir           	Harry se souvint tout à coup que le mardi suivant, c’est-à-dire le lendemain, serait le jour de son onzième anniversaire !
onzième            	Harry se souvint tout à coup que le mardi suivant, c’est-à-dire le lendemain, serait le jour de son onzième anniversaire !
réjouissant        	Oh, bien sûr, ses anniversaires n’avaient rien de bien réjouissant – l’année précédente, les Dursley lui avaient offert un cintre et une paire de vieilles chaussettes qui avaient appartenu à l’oncle Vernon –, mais quand même : on n’avait pas onze ans tous les jours !
précédent          	Oh, bien sûr, ses anniversaires n’avaient rien de bien réjouissant – l’année précédente, les Dursley lui avaient offert un cintre et une paire de vieilles chaussettes qui avaient appartenu à l’oncle Vernon –, mais quand même : on n’avait pas onze ans tous les jours !
cintre             	Oh, bien sûr, ses anniversaires n’avaient rien de bien réjouissant – l’année précédente, les Dursley lui avaient offert un cintre et une paire de vieilles chaussettes qui avaient appartenu à l’oncle Vernon –, mais quand même : on n’avait pas onze ans tous les jours !
appartenir         	Oh, bien sûr, ses anniversaires n’avaient rien de bien réjouissant – l’année précédente, les Dursley lui avaient offert un cintre et une paire de vieilles chaussettes qui avaient appartenu à l’oncle Vernon –, mais quand même : on n’avait pas onze ans tous les jours !
idéal              	– J’ai trouvé l’endroit idéal, dit-il.
rocher             	L’oncle Vernon montra du doigt un gros rocher qui émergeait à bonne distance de la côte.
cabane             	Au sommet du rocher, on distinguait une cabane misérable, à moitié en ruine.
misérable          	Au sommet du rocher, on distinguait une cabane misérable, à moitié en ruine.
tempête            	– On prévoit une tempête pour cette nuit, dit l’oncle Vernon d’un ton joyeux, et en frappant des mains.
bateau             	Et monsieur a été assez aimable pour nous prêter son bateau !
édenté             	Un vieil homme édenté s’approcha d’eux d’un pas raide.
barque             	Avec un sourire à faire froid dans le dos, il montra d’un geste de la main une vieille barque qui se balançait à la surface de la mer d’un gris métallique.
balancer           	Avec un sourire à faire froid dans le dos, il montra d’un geste de la main une vieille barque qui se balançait à la surface de la mer d’un gris métallique.
surface            	Avec un sourire à faire froid dans le dos, il montra d’un geste de la main une vieille barque qui se balançait à la surface de la mer d’un gris métallique.
métallique         	Avec un sourire à faire froid dans le dos, il montra d’un geste de la main une vieille barque qui se balançait à la surface de la mer d’un gris métallique.
provision          	– J’ai déjà acheté des provisions, dit l’oncle Vernon.
embarquer          	Il ne reste plus qu’à embarquer.
polaire            	Il faisait un froid polaire à bord de la barque.
embruns            	La pluie et les embruns s’insinuaient dans leur cou et un vent glacé leur fouettait le visage.
insinuer           	La pluie et les embruns s’insinuaient dans leur cou et un vent glacé leur fouettait le visage.
glacer             	La pluie et les embruns s’insinuaient dans leur cou et un vent glacé leur fouettait le visage.
fouetter           	La pluie et les embruns s’insinuaient dans leur cou et un vent glacé leur fouettait le visage.
atteindre          	Il sembla s’écouler des heures avant qu’ils atteignent enfin le rocher.
masure             	Glissant à chaque pas sur la pierre humide, l’oncle Vernon les conduisit à la masure.
épouvantable       	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
régner             	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
terrible           	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
algue              	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
fissure            	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
bûche              	L’endroit était épouvantable : il régnait une terrible odeur d’algues, le vent sifflait à travers les fissures des murs en planches et la cheminée humide ne comportait pas la moindre bûche.
chips              	Les provisions de l’oncle Vernon étaient plutôt maigres : un paquet de chips pour chacun et quatre bananes.
banane             	Les provisions de l’oncle Vernon étaient plutôt maigres : un paquet de chips pour chacun et quatre bananes.
emballage          	Il essaya de faire un feu, mais les emballages de chips vides se consumèrent en ne parvenant à produire qu’un peu de fumée.
vide               	Il essaya de faire un feu, mais les emballages de chips vides se consumèrent en ne parvenant à produire qu’un peu de fumée.
consumer           	Il essaya de faire un feu, mais les emballages de chips vides se consumèrent en ne parvenant à produire qu’un peu de fumée.
fumée              	Il essaya de faire un feu, mais les emballages de chips vides se consumèrent en ne parvenant à produire qu’un peu de fumée.
joyeusement        	dit joyeusement l’oncle Vernon.
braver             	De toute évidence, il était convaincu que personne ne parviendrait à braver la tempête pour leur apporter du courrier dans cet endroit.
annoncer           	Lorsque la nuit tomba, la tempête annoncée se mit à souffler autour d’eux.
souffler           	Lorsque la nuit tomba, la tempête annoncée se mit à souffler autour d’eux.
écume              	L’écume des vagues qui se fracassaient contre le rocher inondait les murs de la cabane et un vent féroce faisait trembler les fenêtres crasseuses.
vague              	L’écume des vagues qui se fracassaient contre le rocher inondait les murs de la cabane et un vent féroce faisait trembler les fenêtres crasseuses.
fracasser          	L’écume des vagues qui se fracassaient contre le rocher inondait les murs de la cabane et un vent féroce faisait trembler les fenêtres crasseuses.
inonder            	L’écume des vagues qui se fracassaient contre le rocher inondait les murs de la cabane et un vent féroce faisait trembler les fenêtres crasseuses.
crasseux           	L’écume des vagues qui se fracassaient contre le rocher inondait les murs de la cabane et un vent féroce faisait trembler les fenêtres crasseuses.
moisi             	La tante Pétunia dénicha quelques couvertures moisies dans l’autre pièce et fit un lit à Dudley sur le canapé rongé aux mites.
canapé             	La tante Pétunia dénicha quelques couvertures moisies dans l’autre pièce et fit un lit à Dudley sur le canapé rongé aux mites.
ronger             	La tante Pétunia dénicha quelques couvertures moisies dans l’autre pièce et fit un lit à Dudley sur le canapé rongé aux mites.
mite               	La tante Pétunia dénicha quelques couvertures moisies dans l’autre pièce et fit un lit à Dudley sur le canapé rongé aux mites.
défoncer           	Elle s’installa avec l’oncle Vernon dans un lit défoncé de la pièce voisine et Harry dut s’efforcer de trouver un endroit où le sol n’était pas trop dur.
dur                	Elle s’installa avec l’oncle Vernon dans un lit défoncé de la pièce voisine et Harry dut s’efforcer de trouver un endroit où le sol n’était pas trop dur.
violent            	La tempête devenait de plus en plus violente à mesure que la nuit avançait.
mesure             	La tempête devenait de plus en plus violente à mesure que la nuit avançait.
frissonner         	Il frissonnait en se tournant et se retournant pour essayer de trouver une position qui ne soit pas trop inconfortable.
position           	Il frissonnait en se tournant et se retournant pour essayer de trouver une position qui ne soit pas trop inconfortable.
inconfortable      	Il frissonnait en se tournant et se retournant pour essayer de trouver une position qui ne soit pas trop inconfortable.
famine             	Son ventre vide criait famine.
profond            	Les profonds coups de tonnerre qui avaient commencé à retentir autour de minuit étouffaient les ronflements de Dudley qui dormait dans le canapé.
tonnerre           	Les profonds coups de tonnerre qui avaient commencé à retentir autour de minuit étouffaient les ronflements de Dudley qui dormait dans le canapé.
ronflement         	Les profonds coups de tonnerre qui avaient commencé à retentir autour de minuit étouffaient les ronflements de Dudley qui dormait dans le canapé.
pendre             	Son bras pendait par-dessus l’accoudoir et Harry apercevait le cadran phosphorescent de sa montre sur son poignet gras.
accoudoir          	Son bras pendait par-dessus l’accoudoir et Harry apercevait le cadran phosphorescent de sa montre sur son poignet gras.
phosphorescent     	Son bras pendait par-dessus l’accoudoir et Harry apercevait le cadran phosphorescent de sa montre sur son poignet gras.
poignet            	Son bras pendait par-dessus l’accoudoir et Harry apercevait le cadran phosphorescent de sa montre sur son poignet gras.
auteur             	Il se demandait également où se trouvait l’auteur des lettres en cet instant.
chaud              	Il espérait que le toit n’allait pas s’effondrer même s’il aurait alors plus chaud.
trois              	Trois minutes.
cogner             	Était-ce la mer qui cognait aussi violemment contre le rocher ?
violemment         	Était-ce la mer qui cognait aussi violemment contre le rocher ?
craquement         	Et ce drôle de craquement, qu’est-ce que c’était ?
menacer            	Le rocher menaçait-il de s’effondrer ?
trente             	Trente secondes… vingt… dix… neuf…
vingt              	Trente secondes… vingt… dix… neuf…
énerver            	Et s’il réveillait Dudley, rien que pour l’énerver ?
boum               	Trois… deux… un… BOUM !
