HPfr05.txt-0001	traverse        	LE CHEMIN DE TRAVERSE Harry se réveilla de bonne heure le lendemain matin.
HPfr05.txt-0212	cupidité        	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfr05.txt-0213	souterrain      	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfr05.txt-0214	trésor          	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfr05.txt-0215	convoiter       	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfr05.txt-0216	voleur          	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfr05.txt-0217	richesse        	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfr05.txt-0218	châtiment       	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfr05.txt-0219	hardiesse       	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfr05.txt-0220	vaste           	Deux autres gobelins s’inclinèrent devant eux et ils entrèrent dans un vaste hall tout en marbre.
HPfr05.txt-0221	marbre          	Deux autres gobelins s’inclinèrent devant eux et ils entrèrent dans un vaste hall tout en marbre.
HPfr05.txt-0222	tabouret        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfr05.txt-0223	registre        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfr05.txt-0224	pesant          	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfr05.txt-0225	examiner        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfr05.txt-0226	précieux        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfr05.txt-0227	loupe           	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfr05.txt-0228	aménager        	Il y avait tant de portes aménagées dans le hall qu’il était inutile d’essayer de les compter.
HPfr05.txt-0229	escorter        	Certaines d’entre elles s’ouvraient de temps en temps pour laisser passer des clients escortés par d’autres gobelins.
HPfr05.txt-0230	vider           	Hagrid commença à vider ses poches, répandant quelques biscuits pour chiens moisis sur le livre de comptes du gobelin.
HPfr05.txt-0231	biscuit         	Hagrid commença à vider ses poches, répandant quelques biscuits pour chiens moisis sur le livre de comptes du gobelin.
HPfr05.txt-0232	moisir          	Hagrid commença à vider ses poches, répandant quelques biscuits pour chiens moisis sur le livre de comptes du gobelin.
HPfr05.txt-0233	droite          	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
HPfr05.txt-0234	peser           	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
HPfr05.txt-0235	rubis           	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
HPfr05.txt-0236	charbon         	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
HPfr05.txt-0237	ardent          	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
HPfr05.txt-0238	attentivement   	Le gobelin examina la clé et lut attentivement la lettre.
HPfr05.txt-0239	accompagner     	– Très bien, dit-il, je vais vous faire accompagner dans la salle des coffres.
HPfr05.txt-0240	concerner       	Une affaire qui concerne Poudlard.
HPfr05.txt-0241	étroit          	Il les avait menés dans un étroit passage en pierre éclairé par des torches.
HPfr05.txt-0242	torche          	Il les avait menés dans un étroit passage en pierre éclairé par des torches.
HPfr05.txt-0243	pente           	Le passage était en pente raide et une voie ferrée courait en son milieu.
HPfr05.txt-0244	voie            	Le passage était en pente raide et une voie ferrée courait en son milieu.
HPfr05.txt-0245	ferré           	Le passage était en pente raide et une voie ferrée courait en son milieu.
HPfr05.txt-0246	wagonnet        	Aussitôt, un wagonnet s’approcha dans un bruit de ferraille et vint s’arrêter devant eux.
HPfr05.txt-0247	grimper         	Lorsqu’ils y furent grimpés tous les trois – non sans difficulté pour Hagrid –, le wagonnet les emporta.
HPfr05.txt-0248	labyrinthe      	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
HPfr05.txt-0249	galerie         	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
HPfr05.txt-0250	tortueux        	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
HPfr05.txt-0251	cesse           	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
HPfr05.txt-0252	manœuvrer       	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
HPfr05.txt-0253	bref            	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
HPfr05.txt-0254	jet             	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
HPfr05.txt-0255	flamme          	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
HPfr05.txt-0256	bifurquer       	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
HPfr05.txt-0257	enfoncer        	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfr05.txt-0258	profondeur      	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfr05.txt-0259	longer          	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfr05.txt-0260	lac             	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfr05.txt-0261	stalactite      	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfr05.txt-0262	stalagmite      	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfr05.txt-0263	verdâtre        	Le teint verdâtre, Hagrid alla s’appuyer contre le mur, les genoux tremblants.
HPfr05.txt-0264	voyager         	Ça me rend malade de voyager là-dedans, dit-il d’une voix sourde.
HPfr05.txt-0265	panache         	Un panache de fumée verte s’échappa aussitôt.
HPfr05.txt-0266	dissiper        	Lorsqu’il fut dissipé, Harry découvrit avec stupéfaction des monceaux d’or, d’argent et de bronze qui s’entassaient dans une chambre forte.
HPfr05.txt-0267	entasser        	Lorsqu’il fut dissipé, Harry découvrit avec stupéfaction des monceaux d’or, d’argent et de bronze qui s’entassaient dans une chambre forte.
HPfr05.txt-0268	reprocher       	Dire que les Dursley n’avaient pas cessé de reprocher à Harry de leur coûter trop cher !
HPfr05.txt-0269	coûter          	Dire que les Dursley n’avaient pas cessé de reprocher à Harry de leur coûter trop cher !
HPfr05.txt-0270	fortune         	Alors que, pendant tout ce temps, une petite fortune l’attendait dans les sous-sols de Londres !
HPfr05.txt-0271	aider           	Hagrid aida Harry à remplir un sac de pièces.
HPfr05.txt-0272	scolaire        	Avec ça, tu auras de quoi couvrir tes frais pendant l’année scolaire.
HPfr05.txt-0273	plaire          	Et maintenant, au numéro 713, s’il vous plaît, ajouta-t-il en se tournant vers Gripsec.
HPfr05.txt-0274	vitesse         	– Désolé, monsieur, répondit le gobelin, la vitesse des wagonnets n’est pas réglable.
HPfr05.txt-0275	réglable        	– Désolé, monsieur, répondit le gobelin, la vitesse des wagonnets n’est pas réglable.
HPfr05.txt-0276	entrailles      	Ils repartirent dans le labyrinthe en s’enfonçant encore davantage dans les entrailles de Gringotts.
HPfr05.txt-0277	température     	La température devenait de plus en plus glaciale tandis que le wagonnet continuait sa course en prenant des virages à angle droit.
HPfr05.txt-0278	virage          	La température devenait de plus en plus glaciale tandis que le wagonnet continuait sa course en prenant des virages à angle droit.
HPfr05.txt-0279	ravin           	-dessus un ravin et Harry se pencha pour scruter ses profondeurs mais Hagrid le ramena en arrière par la peau du cou.
HPfr05.txt-0280	aspirer         	Si quiconque d’autre qu’un gobelin essayait d’ouvrir cette porte, il serait aspiré au travers et deviendrait prisonnier de la chambre forte.
HPfr05.txt-0281	vérifier        	– Et vous vérifiez de temps en temps s’il n’y a pas quelqu’un à l’intérieur ?
HPfr05.txt-0282	fabuleux        	Une chambre forte aussi bien protégée devait contenir un trésor fabuleux, pensa Harry, mais il fut déçu de constater qu’elle était vide.
HPfr05.txt-0283	décevoir        	Une chambre forte aussi bien protégée devait contenir un trésor fabuleux, pensa Harry, mais il fut déçu de constater qu’elle était vide.
HPfr05.txt-0284	constater       	Une chambre forte aussi bien protégée devait contenir un trésor fabuleux, pensa Harry, mais il fut déçu de constater qu’elle était vide.
HPfr05.txt-0285	grossièrement   	Seul un petit paquet grossièrement enveloppé dans du papier kraft était posé sur le sol.
HPfr05.txt-0286	fourrer         	Hagrid ramassa le paquet et le fourra dans une poche intérieure, tout au fond de son manteau.
HPfr05.txt-0287	curiosité       	Malgré sa curiosité, Harry renonça à poser des questions : Hagrid n’était certainement pas disposé à lui révéler ce qu’il y avait dans le paquet.
HPfr05.txt-0288	certainement    	Malgré sa curiosité, Harry renonça à poser des questions : Hagrid n’était certainement pas disposé à lui révéler ce qu’il y avait dans le paquet.
HPfr05.txt-0289	infernal        	– Allez, on retourne dans le wagonnet infernal, soupira le géant.
HPfr05.txt-0290	fermé           	Évite de me parler pendant le voyage, il vaut mieux que je garde la bouche fermée.
HPfr05.txt-0291	endiablé        	Après une nouvelle course endiablée dans les profondeurs de Gringotts, ils se retrouvèrent au-dehors, sous un soleil éclatant qui les fit cligner des yeux.
HPfr05.txt-0292	dépenser        	Harry avait hâte de commencer à dépenser son argent.
HPfr05.txt-0293	combien         	Peu lui importait combien valaient les Gallions en livres sterling, tout ce dont il était sûr, c’est qu’il n’avait jamais été aussi riche.
HPfr05.txt-0294	riche           	Peu lui importait combien valaient les Gallions en livres sterling, tout ce dont il était sûr, c’est qu’il n’avait jamais été aussi riche.
HPfr05.txt-0295	disposition     	Même Dudley n’avait jamais eu autant d’argent à sa disposition.
HPfr05.txt-0296	remontant       	J’ai besoin de prendre un petit remontant au Chaudron Baveur.
HPfr05.txt-0297	intimider       	Un peu intimidé, Harry entra donc seul dans la boutique.
HPfr05.txt-0298	replet          	Madame Guipure était une petite sorcière replète et souriante, vêtue tout en mauve.
HPfr05.txt-0299	mauve           	Madame Guipure était une petite sorcière replète et souriante, vêtue tout en mauve.
HPfr05.txt-0300	ajuster         	Au fond du magasin, un garçon au teint pâle, le nez en pointe, se tenait debout sur un tabouret tandis qu’une autre sorcière ajustait la longue robe noire qu’il avait revêtue.
HPfr05.txt-0301	revêtir         	Au fond du magasin, un garçon au teint pâle, le nez en pointe, se tenait debout sur un tabouret tandis qu’une autre sorcière ajustait la longue robe noire qu’il avait revêtue.
HPfr05.txt-0302	épingler        	Madame Guipure installa Harry sur un deuxième tabouret et lui fit passer une autre robe de sorcier dont elle entreprit d’épingler l’ourlet pour le mettre à la bonne longueur.
HPfr05.txt-0303	ourlet          	Madame Guipure installa Harry sur un deuxième tabouret et lui fit passer une autre robe de sorcier dont elle entreprit d’épingler l’ourlet pour le mettre à la bonne longueur.
HPfr05.txt-0304	longueur        	Madame Guipure installa Harry sur un deuxième tabouret et lui fit passer une autre robe de sorcier dont elle entreprit d’épingler l’ourlet pour le mettre à la bonne longueur.
HPfr05.txt-0305	salut           	– Salut, dit le garçon.
HPfr05.txt-0306	traînant        	– Mon père est en train de m’acheter mes livres dans le magasin d’à côté et ma mère est allée me chercher une baguette magique à l’autre bout de la rue, dit le garçon d’une voix traînante.
HPfr05.txt-0307	doux            	J’arriverai bien à convaincre mon père de m’en acheter un et je m’arrangerai pour le faire passer en douce au collège.
HPfr05.txt-0308	sélectionner    	Mon père dit que ce serait un scandale si je n’étais pas sélectionné dans l’équipe.
HPfr05.txt-0309	équipe          	Mon père dit que ce serait un scandale si je n’étais pas sélectionné dans l’équipe.
HPfr05.txt-0310	pertinent       	– Mmm… marmonna Harry, incapable de trouver une réponse plus pertinente.
HPfr05.txt-0311	domestique      	C’est une sorte de domestique, non ?
HPfr05.txt-0312	préciser        	– Il est garde-chasse, précisa Harry qui éprouvait de plus en plus d’antipathie pour le garçon.
HPfr05.txt-0313	antipathie      	– Il est garde-chasse, précisa Harry qui éprouvait de plus en plus d’antipathie pour le garçon.
HPfr05.txt-0314	soûler          	Il habite dans une cabane, dans le parc de Poudlard, et il se soûle de temps en temps.
HPfr05.txt-0315	ivre            	Quand il est ivre, il essaye de faire des tours de magie et finit toujours par mettre le feu à son lit.
HPfr05.txt-0316	froideur        	– Moi,, je le trouve très intelligent, dit Harry avec froideur.
HPfr05.txt-0317	exclusivement   	– À mon avis, Poudlard devrait leur être exclusivement réservé.
HPfr05.txt-0318	réserver        	– À mon avis, Poudlard devrait leur être exclusivement réservé.
HPfr05.txt-0319	éducation       	Ceux qui viennent d’autres familles ne sont pas comme nous, ils n’ont pas eu la même éducation.
HPfr05.txt-0320	accepter        	Je pense que l’école ne devrait accepter que les enfants issus des vieilles familles de sorciers.
HPfr05.txt-0321	issu            	Je pense que l’école ne devrait accepter que les enfants issus des vieilles familles de sorciers.
HPfr05.txt-0322	occasion        	Saisissant l’occasion pour mettre un terme à sa conversation avec le garçon, Harry sauta du tabouret.
HPfr05.txt-0323	terme           	Saisissant l’occasion pour mettre un terme à sa conversation avec le garçon, Harry sauta du tabouret.
HPfr05.txt-0324	fraise          	Harry ne dit pas grand-chose pendant qu’il mangeait la glace (chocolat-fraise aux noisettes) que Hagrid lui avait achetée.
HPfr05.txt-0325	noisette        	Harry ne dit pas grand-chose pendant qu’il mangeait la glace (chocolat-fraise aux noisettes) que Hagrid lui avait achetée.
HPfr05.txt-0326	mentir          	Rien, mentit Harry.
HPfr05.txt-0327	lignée          	D’ailleurs, qu’est-ce qu’il en sait, certains des meilleurs élèves que j’ai vus étaient les seuls sorciers d’une longue lignée de Moldus.
HPfr05.txt-0328	exemple         	Regarde ta mère, par exemple !
HPfr05.txt-0329	passionné       	Dans notre monde, on est tous passionnés de Quidditch, un peu comme les Moldus avec le football.
HPfr05.txt-0330	joueur          	Ça se joue avec quatre balles et les joueurs volent sur des balais.
HPfr05.txt-0331	cancre          	Tout le monde dit que les cancres sont nombreux à Poufsouffle,
HPfr05.txt-0332	pavé            	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
HPfr05.txt-0333	relier          	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
HPfr05.txt-0334	soie            	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
HPfr05.txt-0335	symbole         	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
HPfr05.txt-0336	ensorceler      	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfr05.txt-0337	stupéfier       	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfr05.txt-0338	ennemi          	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfr05.txt-0339	sortilège       	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfr05.txt-0340	crâne           	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfr05.txt-0341	plomb           	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfr05.txt-0342	utiliser        	– Ce ne serait pas une mauvaise idée, répondit Hagrid, mais il vaut mieux éviter d’utiliser la magie dans le monde des Moldus, sauf dans des cas exceptionnels.
HPfr05.txt-0343	permission      	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
HPfr05.txt-0344	acquisition     	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
HPfr05.txt-0345	joli            	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
HPfr05.txt-0346	ingrédient      	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
HPfr05.txt-0347	composition     	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
HPfr05.txt-0348	fasciner        	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
HPfr05.txt-0349	dépit           	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
HPfr05.txt-0350	mélange         	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
HPfr05.txt-0351	pourrir         	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
HPfr05.txt-0352	avarié          	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
HPfr05.txt-0353	tonneau         	Des tonneaux contenant des substances gluantes s’alignaient sur le sol.
HPfr05.txt-0354	substance       	Des tonneaux contenant des substances gluantes s’alignaient sur le sol.
HPfr05.txt-0355	gluant          	Des tonneaux contenant des substances gluantes s’alignaient sur le sol.
HPfr05.txt-0356	bocal           	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
HPfr05.txt-0357	racine          	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
HPfr05.txt-0358	sécher          	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
HPfr05.txt-0359	poudre          	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
HPfr05.txt-0360	crochet         	Des plumes d’oiseaux, des crochets de serpents, des serres de rapaces pendaient du plafond.
HPfr05.txt-0361	base            	Pendant que Hagrid demandait à l’apothicaire les ingrédients de base nécessaires à la fabrication de potions, Harry examina des cornes argentées de licornes à vingt et un Gallions pièce et de minuscules yeux de scarabées d’un noir brillant (cinq Noises la poignée).
HPfr05.txt-0362	fabrication     	Pendant que Hagrid demandait à l’apothicaire les ingrédients de base nécessaires à la fabrication de potions, Harry examina des cornes argentées de licornes à vingt et un Gallions pièce et de minuscules yeux de scarabées d’un noir brillant (cinq Noises la poignée).
HPfr05.txt-0363	licorne         	Pendant que Hagrid demandait à l’apothicaire les ingrédients de base nécessaires à la fabrication de potions, Harry examina des cornes argentées de licornes à vingt et un Gallions pièce et de minuscules yeux de scarabées d’un noir brillant (cinq Noises la poignée).
HPfr05.txt-0364	emplette        	Ils continuèrent leurs emplettes dans les boutiques qui s’alignaient le long de la rue et bientôt, il ne resta plus que la baguette magique à acheter.
HPfr05.txt-0365	éternuer        	Ni un chat, les poils de chat me font éternuer.
HPfr05.txt-0366	magnifique      	Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l’intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l’aile.
HPfr05.txt-0367	paisiblement    	Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l’intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l’aile.
HPfr05.txt-0368	aile            	Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l’intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l’aile.
HPfr05.txt-0369	bégayer         	Harry en bégayait de reconnaissance.
HPfr05.txt-0370	reconnaissance  	Harry en bégayait de reconnaissance.
HPfr05.txt-0371	bourru          	– Ce n’est rien, répondit Hagrid d’un ton bourru.
HPfr05.txt-0372	écailler        	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
HPfr05.txt-0373	fabricant       	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
HPfr05.txt-0374	poussiéreux     	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
HPfr05.txt-0375	coussin         	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
HPfr05.txt-0376	râpé            	Au-dessus de la porte, des lettres d’or écaillées indiquaient : « Ollivander – Fabricants de baguettes magiques depuis 382 avant J.-C. » Dans la vitrine poussiéreuse, une simple baguette de bois était exposée sur un coussin pourpre un peu râpé.
HPfr05.txt-0377	clochette       	À leur entrée, une clochette retentit au fond de la boutique.
HPfr05.txt-0378	austère         	Harry éprouvait une étrange sensation, comme s’il venait d’entrer dans une bibliothèque particulièrement austère.
HPfr05.txt-0379	millier         	Il renonça à poser toutes les questions qui lui venaient à l’esprit et se contenta d’observer les milliers de boîtes étroites qui s’entassaient presque jusqu’au plafond.
HPfr05.txt-0380	nuque           	Il sentit un frisson dans la nuque.
HPfr05.txt-0381	poussière       	La poussière et le silence du lieu semblaient receler une magie secrète.
HPfr05.txt-0382	receler         	La poussière et le silence du lieu semblaient receler une magie secrète.
HPfr05.txt-0383	lune            	Ses grands yeux pâles brillaient comme deux lunes dans la pénombre de la boutique.
HPfr05.txt-0384	centimètre      	Je me souviens quand elle est venue acheter sa première baguette, j’ai l’impression que c’était hier, 25,6 centimètres, souple et rapide, bois de saule.
HPfr05.txt-0385	souple          	Je me souviens quand elle est venue acheter sa première baguette, j’ai l’impression que c’était hier, 25,6 centimètres, souple et rapide, bois de saule.
HPfr05.txt-0386	saule           	Je me souviens quand elle est venue acheter sa première baguette, j’ai l’impression que c’était hier, 25,6 centimètres, souple et rapide, bois de saule.
HPfr05.txt-0387	angoissant      	Les yeux argentés du vieil homme avaient quelque chose d’angoissant.
HPfr05.txt-0388	acajou          	– Votre père, en revanche, avait préféré une baguette d’acajou, 27,5 centimètres.
HPfr05.txt-0389	flexible        	Flexible.
HPfr05.txt-0390	remarquablement 	Un peu plus puissante et remarquablement efficace pour les métamorphoses.
HPfr05.txt-0391	efficace        	Un peu plus puissante et remarquablement efficace pour les métamorphoses.
HPfr05.txt-0392	if              	En bois d’if.
HPfr05.txt-0393	maléfique       	Une baguette puissante, très puissante, et entre des mains maléfiques…
HPfr05.txt-0394	chêne           	C’était du chêne, 40 centimètres, plutôt flexible, n’est-ce pas ?
HPfr05.txt-0395	exclure         	Mais ils ont dû la casser en deux quand vous avez été exclu du collège ? demanda Mr Ollivander d’un ton soudain grave.
HPfr05.txt-0396	grave           	Mais ils ont dû la casser en deux quand vous avez été exclu du collège ? demanda Mr Ollivander d’un ton soudain grave.
HPfr05.txt-0397	mètre           	Il sortit de sa poche un mètre ruban avec des marques en argent.
HPfr05.txt-0398	ruban           	Il sortit de sa poche un mètre ruban avec des marques en argent.
HPfr05.txt-0399	marque          	Il sortit de sa poche un mètre ruban avec des marques en argent.
