HPfrb1ch05-0001	traverse        	LE CHEMIN DE TRAVERSE Harry se réveilla de bonne heure le lendemain matin.
HPfrb1ch05-0214	eh              	Eh oui, c’est un gobelin, dit calmement Hagrid tandis qu’ils montaient les marches de pierre blanche qui menaient au portail.
HPfrb1ch05-0215	calmement       	Eh oui, c’est un gobelin, dit calmement Hagrid tandis qu’ils montaient les marches de pierre blanche qui menaient au portail.
HPfrb1ch05-0216	marche          	Eh oui, c’est un gobelin, dit calmement Hagrid tandis qu’ils montaient les marches de pierre blanche qui menaient au portail.
HPfrb1ch05-0217	blanc           	Eh oui, c’est un gobelin, dit calmement Hagrid tandis qu’ils montaient les marches de pierre blanche qui menaient au portail.
HPfrb1ch05-0218	intelligent     	Il avait le teint sombre, un visage intelligent, une barbe en pointe, des pieds et des doigts longs et fins.
HPfrb1ch05-0219	graver          	Ils se retrouvèrent devant une autre porte, en argent cette fois, sur laquelle étaient gravés ces mots :
HPfrb1ch05-0220	étranger        	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfrb1ch05-0221	désir           	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfrb1ch05-0222	appât           	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfrb1ch05-0223	gain            	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfrb1ch05-0224	renoncer        	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfrb1ch05-0225	obéir           	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfrb1ch05-0226	gagner          	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfrb1ch05-0227	cupidité        	Entre ici étranger si tel est ton désir Mais à l’appât du gain, renonce à obéir, Car celui qui veut prendre et ne veut pas gagner, De sa cupidité, le prix devra payer.
HPfrb1ch05-0228	souterrain      	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfrb1ch05-0229	trésor          	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfrb1ch05-0230	convoiter       	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfrb1ch05-0231	voleur          	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfrb1ch05-0232	richesse        	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfrb1ch05-0233	châtiment       	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfrb1ch05-0234	hardiesse       	Si tu veux t’emparer, en ce lieu souterrain, D’un trésor convoité qui jamais ne fut tien, Voleur, tu trouveras, en guise de richesse, Le juste châtiment de ta folle hardiesse.
HPfrb1ch05-0235	vaste           	Deux autres gobelins s’inclinèrent devant eux et ils entrèrent dans un vaste hall tout en marbre.
HPfrb1ch05-0236	marbre          	Deux autres gobelins s’inclinèrent devant eux et ils entrèrent dans un vaste hall tout en marbre.
HPfrb1ch05-0237	tabouret        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfrb1ch05-0238	registre        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfrb1ch05-0239	pesant          	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfrb1ch05-0240	examiner        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfrb1ch05-0241	précieux        	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfrb1ch05-0242	loupe           	Derrière un long comptoir, une centaine de gobelins étaient assis sur de hauts tabourets, écrivant dans des registres, pesant des pièces de monnaie sur des balances en cuivre, examinant des pierres précieuses à la loupe.
HPfrb1ch05-0243	aménager        	Il y avait tant de portes aménagées dans le hall qu’il était inutile d’essayer de les compter.
HPfrb1ch05-0244	certain         	Certaines d’entre elles s’ouvraient de temps en temps pour laisser passer des clients escortés par d’autres gobelins.
HPfrb1ch05-0245	escorter        	Certaines d’entre elles s’ouvraient de temps en temps pour laisser passer des clients escortés par d’autres gobelins.
HPfrb1ch05-0246	bonjour         	– Bonjour, dit Hagrid à un gobelin.
HPfrb1ch05-0247	vider           	Hagrid commença à vider ses poches, répandant quelques biscuits pour chiens moisis sur le livre de comptes du gobelin.
HPfrb1ch05-0248	biscuit         	Hagrid commença à vider ses poches, répandant quelques biscuits pour chiens moisis sur le livre de comptes du gobelin.
HPfrb1ch05-0249	moisir          	Hagrid commença à vider ses poches, répandant quelques biscuits pour chiens moisis sur le livre de comptes du gobelin.
HPfrb1ch05-0250	droite          	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
HPfrb1ch05-0251	peser           	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
HPfrb1ch05-0252	rubis           	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
HPfrb1ch05-0253	charbon         	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
HPfrb1ch05-0254	ardent          	Harry regarda à droite : un gobelin pesait une pile de rubis aussi gros que des morceaux de charbons ardents.
HPfrb1ch05-0255	attentivement   	Le gobelin examina la clé et lut attentivement la lettre.
HPfrb1ch05-0256	accompagner     	– Très bien, dit-il, je vais vous faire accompagner dans la salle des coffres.
HPfrb1ch05-0257	vous            	– Qu’est-ce que c’est, le Vous-Savez-Quoi dans le coffre numéro 713 ?
HPfrb1ch05-0258	concerner       	Une affaire qui concerne Poudlard.
HPfrb1ch05-0259	étroit          	Il les avait menés dans un étroit passage en pierre éclairé par des torches.
HPfrb1ch05-0260	torche          	Il les avait menés dans un étroit passage en pierre éclairé par des torches.
HPfrb1ch05-0261	pente           	Le passage était en pente raide et une voie ferrée courait en son milieu.
HPfrb1ch05-0262	voie            	Le passage était en pente raide et une voie ferrée courait en son milieu.
HPfrb1ch05-0263	ferré           	Le passage était en pente raide et une voie ferrée courait en son milieu.
HPfrb1ch05-0264	siffler         	Le gobelin siffla.
HPfrb1ch05-0265	wagonnet        	Aussitôt, un wagonnet s’approcha dans un bruit de ferraille et vint s’arrêter devant eux.
HPfrb1ch05-0266	grimper         	Lorsqu’ils y furent grimpés tous les trois – non sans difficulté pour Hagrid –, le wagonnet les emporta.
HPfrb1ch05-0267	labyrinthe      	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
HPfrb1ch05-0268	galerie         	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
HPfrb1ch05-0269	tortueux        	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
HPfrb1ch05-0270	cesse           	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
HPfrb1ch05-0271	manœuvrer       	Tout d’abord, ils parcoururent un labyrinthe de galeries tortueuses, tournant sans cesse, à droite, à gauche, sans que Gripsec ait besoin de manœuvrer le wagonnet qui semblait connaître son chemin.
HPfrb1ch05-0272	bref            	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
HPfrb1ch05-0273	jet             	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
HPfrb1ch05-0274	flamme          	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
HPfrb1ch05-0275	bifurquer       	Pendant un bref instant, il remarqua un jet de flammes au bout d’une galerie et il se demanda si c’était un dragon, mais le wagonnet avait déjà bifurqué dans une autre direction.
HPfrb1ch05-0276	enfoncer        	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfrb1ch05-0277	profondeur      	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfrb1ch05-0278	longer          	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfrb1ch05-0279	lac             	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfrb1ch05-0280	stalactite      	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfrb1ch05-0281	stalagmite      	Ils s’enfoncèrent de plus en plus loin dans les profondeurs et longèrent un lac souterrain bordé de stalactites et de stalagmites.
HPfrb1ch05-0282	verdâtre        	Le teint verdâtre, Hagrid alla s’appuyer contre le mur, les genoux tremblants.
HPfrb1ch05-0283	voyager         	Ça me rend malade de voyager là-dedans, dit-il d’une voix sourde.
HPfrb1ch05-0284	panache         	Un panache de fumée verte s’échappa aussitôt.
HPfrb1ch05-0285	dissiper        	Lorsqu’il fut dissipé, Harry découvrit avec stupéfaction des monceaux d’or, d’argent et de bronze qui s’entassaient dans une chambre forte.
HPfrb1ch05-0286	entasser        	Lorsqu’il fut dissipé, Harry découvrit avec stupéfaction des monceaux d’or, d’argent et de bronze qui s’entassaient dans une chambre forte.
HPfrb1ch05-0287	reprocher       	Dire que les Dursley n’avaient pas cessé de reprocher à Harry de leur coûter trop cher !
HPfrb1ch05-0288	coûter          	Dire que les Dursley n’avaient pas cessé de reprocher à Harry de leur coûter trop cher !
HPfrb1ch05-0289	fortune         	Alors que, pendant tout ce temps, une petite fortune l’attendait dans les sous-sols de Londres !
HPfrb1ch05-0290	aider           	Hagrid aida Harry à remplir un sac de pièces.
HPfrb1ch05-0291	celle           	– Celles en or sont des Gallions, lui expliqua-t-il.
HPfrb1ch05-0292	scolaire        	Avec ça, tu auras de quoi couvrir tes frais pendant l’année scolaire.
HPfrb1ch05-0293	plaire          	Et maintenant, au numéro 713, s’il vous plaît, ajouta-t-il en se tournant vers Gripsec.
HPfrb1ch05-0294	désoler         	– Désolé, monsieur, répondit le gobelin, la vitesse des wagonnets n’est pas réglable.
HPfrb1ch05-0295	vitesse         	– Désolé, monsieur, répondit le gobelin, la vitesse des wagonnets n’est pas réglable.
HPfrb1ch05-0296	réglable        	– Désolé, monsieur, répondit le gobelin, la vitesse des wagonnets n’est pas réglable.
HPfrb1ch05-0297	entrailles      	Ils repartirent dans le labyrinthe en s’enfonçant encore davantage dans les entrailles de Gringotts.
HPfrb1ch05-0298	température     	La température devenait de plus en plus glaciale tandis que le wagonnet continuait sa course en prenant des virages à angle droit.
HPfrb1ch05-0299	virage          	La température devenait de plus en plus glaciale tandis que le wagonnet continuait sa course en prenant des virages à angle droit.
HPfrb1ch05-0300	ravin           	-dessus un ravin et Harry se pencha pour scruter ses profondeurs mais Hagrid le ramena en arrière par la peau du cou.
HPfrb1ch05-0301	aspirer         	Si quiconque d’autre qu’un gobelin essayait d’ouvrir cette porte, il serait aspiré au travers et deviendrait prisonnier de la chambre forte.
HPfrb1ch05-0302	vérifier        	– Et vous vérifiez de temps en temps s’il n’y a pas quelqu’un à l’intérieur ?
HPfrb1ch05-0303	fabuleux        	Une chambre forte aussi bien protégée devait contenir un trésor fabuleux, pensa Harry, mais il fut déçu de constater qu’elle était vide.
HPfrb1ch05-0304	décevoir        	Une chambre forte aussi bien protégée devait contenir un trésor fabuleux, pensa Harry, mais il fut déçu de constater qu’elle était vide.
HPfrb1ch05-0305	constater       	Une chambre forte aussi bien protégée devait contenir un trésor fabuleux, pensa Harry, mais il fut déçu de constater qu’elle était vide.
HPfrb1ch05-0306	grossièrement   	Seul un petit paquet grossièrement enveloppé dans du papier kraft était posé sur le sol.
HPfrb1ch05-0307	fourrer         	Hagrid ramassa le paquet et le fourra dans une poche intérieure, tout au fond de son manteau.
HPfrb1ch05-0308	curiosité       	Malgré sa curiosité, Harry renonça à poser des questions : Hagrid n’était certainement pas disposé à lui révéler ce qu’il y avait dans le paquet.
HPfrb1ch05-0309	certainement    	Malgré sa curiosité, Harry renonça à poser des questions : Hagrid n’était certainement pas disposé à lui révéler ce qu’il y avait dans le paquet.
HPfrb1ch05-0310	retourner       	– Allez, on retourne dans le wagonnet infernal, soupira le géant.
HPfrb1ch05-0311	infernal        	– Allez, on retourne dans le wagonnet infernal, soupira le géant.
HPfrb1ch05-0312	garder          	Évite de me parler pendant le voyage, il vaut mieux que je garde la bouche fermée.
HPfrb1ch05-0313	fermé           	Évite de me parler pendant le voyage, il vaut mieux que je garde la bouche fermée.
HPfrb1ch05-0314	endiablé        	Après une nouvelle course endiablée dans les profondeurs de Gringotts, ils se retrouvèrent au-dehors, sous un soleil éclatant qui les fit cligner des yeux.
HPfrb1ch05-0315	dépenser        	Harry avait hâte de commencer à dépenser son argent.
HPfrb1ch05-0316	combien         	Peu lui importait combien valaient les Gallions en livres sterling, tout ce dont il était sûr, c’est qu’il n’avait jamais été aussi riche.
HPfrb1ch05-0317	riche           	Peu lui importait combien valaient les Gallions en livres sterling, tout ce dont il était sûr, c’est qu’il n’avait jamais été aussi riche.
HPfrb1ch05-0318	disposition     	Même Dudley n’avait jamais eu autant d’argent à sa disposition.
HPfrb1ch05-0319	remontant       	J’ai besoin de prendre un petit remontant au Chaudron Baveur.
HPfrb1ch05-0320	intimider       	Un peu intimidé, Harry entra donc seul dans la boutique.
HPfrb1ch05-0321	replet          	Madame Guipure était une petite sorcière replète et souriante, vêtue tout en mauve.
HPfrb1ch05-0322	mauve           	Madame Guipure était une petite sorcière replète et souriante, vêtue tout en mauve.
HPfrb1ch05-0323	ajuster         	Au fond du magasin, un garçon au teint pâle, le nez en pointe, se tenait debout sur un tabouret tandis qu’une autre sorcière ajustait la longue robe noire qu’il avait revêtue.
HPfrb1ch05-0324	revêtir         	Au fond du magasin, un garçon au teint pâle, le nez en pointe, se tenait debout sur un tabouret tandis qu’une autre sorcière ajustait la longue robe noire qu’il avait revêtue.
HPfrb1ch05-0325	épingler        	Madame Guipure installa Harry sur un deuxième tabouret et lui fit passer une autre robe de sorcier dont elle entreprit d’épingler l’ourlet pour le mettre à la bonne longueur.
HPfrb1ch05-0326	ourlet          	Madame Guipure installa Harry sur un deuxième tabouret et lui fit passer une autre robe de sorcier dont elle entreprit d’épingler l’ourlet pour le mettre à la bonne longueur.
HPfrb1ch05-0327	longueur        	Madame Guipure installa Harry sur un deuxième tabouret et lui fit passer une autre robe de sorcier dont elle entreprit d’épingler l’ourlet pour le mettre à la bonne longueur.
HPfrb1ch05-0328	salut           	– Salut, dit le garçon.
HPfrb1ch05-0329	traînant        	– Mon père est en train de m’acheter mes livres dans le magasin d’à côté et ma mère est allée me chercher une baguette magique à l’autre bout de la rue, dit le garçon d’une voix traînante.
HPfrb1ch05-0330	doux            	J’arriverai bien à convaincre mon père de m’en acheter un et je m’arrangerai pour le faire passer en douce au collège.
HPfrb1ch05-0331	sélectionner    	Mon père dit que ce serait un scandale si je n’étais pas sélectionné dans l’équipe.
HPfrb1ch05-0332	équipe          	Mon père dit que ce serait un scandale si je n’étais pas sélectionné dans l’équipe.
HPfrb1ch05-0333	pertinent       	– Mmm… marmonna Harry, incapable de trouver une réponse plus pertinente.
HPfrb1ch05-0334	domestique      	C’est une sorte de domestique, non ?
HPfrb1ch05-0335	préciser        	– Il est garde-chasse, précisa Harry qui éprouvait de plus en plus d’antipathie pour le garçon.
HPfrb1ch05-0336	antipathie      	– Il est garde-chasse, précisa Harry qui éprouvait de plus en plus d’antipathie pour le garçon.
HPfrb1ch05-0337	soûler          	Il habite dans une cabane, dans le parc de Poudlard, et il se soûle de temps en temps.
HPfrb1ch05-0338	ivre            	Quand il est ivre, il essaye de faire des tours de magie et finit toujours par mettre le feu à son lit.
HPfrb1ch05-0339	froideur        	– Moi,, je le trouve très intelligent, dit Harry avec froideur.
HPfrb1ch05-0340	ricaner         	– Vraiment ? ricana le garçon.
HPfrb1ch05-0341	exclusivement   	– À mon avis, Poudlard devrait leur être exclusivement réservé.
HPfrb1ch05-0342	réserver        	– À mon avis, Poudlard devrait leur être exclusivement réservé.
HPfrb1ch05-0343	éducation       	Ceux qui viennent d’autres familles ne sont pas comme nous, ils n’ont pas eu la même éducation.
HPfrb1ch05-0344	accepter        	Je pense que l’école ne devrait accepter que les enfants issus des vieilles familles de sorciers.
HPfrb1ch05-0345	issu            	Je pense que l’école ne devrait accepter que les enfants issus des vieilles familles de sorciers.
HPfrb1ch05-0346	occasion        	Saisissant l’occasion pour mettre un terme à sa conversation avec le garçon, Harry sauta du tabouret.
HPfrb1ch05-0347	terme           	Saisissant l’occasion pour mettre un terme à sa conversation avec le garçon, Harry sauta du tabouret.
HPfrb1ch05-0348	fraise          	Harry ne dit pas grand-chose pendant qu’il mangeait la glace (chocolat-fraise aux noisettes) que Hagrid lui avait achetée.
HPfrb1ch05-0349	noisette        	Harry ne dit pas grand-chose pendant qu’il mangeait la glace (chocolat-fraise aux noisettes) que Hagrid lui avait achetée.
HPfrb1ch05-0350	mentir          	Rien, mentit Harry.
HPfrb1ch05-0351	lignée          	D’ailleurs, qu’est-ce qu’il en sait, certains des meilleurs élèves que j’ai vus étaient les seuls sorciers d’une longue lignée de Moldus.
HPfrb1ch05-0352	exemple         	Regarde ta mère, par exemple !
HPfrb1ch05-0353	passionné       	Dans notre monde, on est tous passionnés de Quidditch, un peu comme les Moldus avec le football.
HPfrb1ch05-0354	joueur          	Ça se joue avec quatre balles et les joueurs volent sur des balais.
HPfrb1ch05-0355	cancre          	Tout le monde dit que les cancres sont nombreux à Poufsouffle,
HPfrb1ch05-0356	pavé            	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
HPfrb1ch05-0357	relier          	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
HPfrb1ch05-0358	soie            	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
HPfrb1ch05-0359	symbole         	Sur les étagères s’entassaient jusqu’au plafond des livres gros comme des pavés, reliés en cuir, d’autres pas plus gros qu’un timbre-poste et recouverts de soie, des livres remplis de symboles étranges et quelques autres encore dont les pages étaient blanches.
HPfrb1ch05-0360	ensorceler      	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfrb1ch05-0361	stupéfier       	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfrb1ch05-0362	ennemi          	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfrb1ch05-0363	sortilège       	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfrb1ch05-0364	crâne           	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfrb1ch05-0365	plomb           	Hagrid dut presque traîner Harry pour l’arracher à Sorts et contre-sorts (ensorcelez vos amis et stupéfiez vos ennemis avec les sortilèges de Crâne chauve, Jambencoton, Langue de plomb et bien d’autres encore) par le professeur Vindictus Viridian.
HPfrb1ch05-0366	utiliser        	– Ce ne serait pas une mauvaise idée, répondit Hagrid, mais il vaut mieux éviter d’utiliser la magie dans le monde des Moldus, sauf dans des cas exceptionnels.
HPfrb1ch05-0367	permission      	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
HPfrb1ch05-0368	acquisition     	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
HPfrb1ch05-0369	joli            	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
HPfrb1ch05-0370	ingrédient      	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
HPfrb1ch05-0371	composition     	Harry n’eut pas non plus la permission d’acheter un gros chaudron en or (« il faut qu’il soit en étain », assura Hagrid), mais il fit l’acquisition d’un télescope en cuivre pliable et d’une jolie balance pour peser les ingrédients entrant dans la composition des potions.
HPfrb1ch05-0372	fasciner        	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
HPfrb1ch05-0373	dépit           	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
HPfrb1ch05-0374	mélange         	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
HPfrb1ch05-0375	pourrir         	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
HPfrb1ch05-0376	avarié          	Puis ils allèrent faire un tour dans la boutique de l’apothicaire qui fascina Harry en dépit de l’odeur pestilentielle qui y régnait, un mélange d’œufs pourris et de choux avariés.
HPfrb1ch05-0377	tonneau         	Des tonneaux contenant des substances gluantes s’alignaient sur le sol.
HPfrb1ch05-0378	substance       	Des tonneaux contenant des substances gluantes s’alignaient sur le sol.
HPfrb1ch05-0379	gluant          	Des tonneaux contenant des substances gluantes s’alignaient sur le sol.
HPfrb1ch05-0380	bocal           	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
HPfrb1ch05-0381	racine          	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
HPfrb1ch05-0382	sécher          	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
HPfrb1ch05-0383	poudre          	Disposés sur des étagères, on voyait des bocaux remplis d’herbes, de racines séchées et de poudres brillantes.
HPfrb1ch05-0384	crochet         	Des plumes d’oiseaux, des crochets de serpents, des serres de rapaces pendaient du plafond.
HPfrb1ch05-0385	base            	Pendant que Hagrid demandait à l’apothicaire les ingrédients de base nécessaires à la fabrication de potions, Harry examina des cornes argentées de licornes à vingt et un Gallions pièce et de minuscules yeux de scarabées d’un noir brillant (cinq Noises la poignée).
HPfrb1ch05-0386	fabrication     	Pendant que Hagrid demandait à l’apothicaire les ingrédients de base nécessaires à la fabrication de potions, Harry examina des cornes argentées de licornes à vingt et un Gallions pièce et de minuscules yeux de scarabées d’un noir brillant (cinq Noises la poignée).
HPfrb1ch05-0387	licorne         	Pendant que Hagrid demandait à l’apothicaire les ingrédients de base nécessaires à la fabrication de potions, Harry examina des cornes argentées de licornes à vingt et un Gallions pièce et de minuscules yeux de scarabées d’un noir brillant (cinq Noises la poignée).
HPfrb1ch05-0388	emplette        	Ils continuèrent leurs emplettes dans les boutiques qui s’alignaient le long de la rue et bientôt, il ne resta plus que la baguette magique à acheter.
HPfrb1ch05-0389	éternuer        	Ni un chat, les poils de chat me font éternuer.
HPfrb1ch05-0390	vingt           	Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l’intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l’aile.
HPfrb1ch05-0391	magnifique      	Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l’intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l’aile.
HPfrb1ch05-0392	paisiblement    	Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l’intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l’aile.
HPfrb1ch05-0393	aile            	Vingt minutes plus tard, Harry sortit du magasin de hiboux avec une grande cage à l’intérieur de laquelle une magnifique chouette aux plumes blanches comme la neige dormait paisiblement, la tête sous l’aile.
HPfrb1ch05-0394	bégayer         	Harry en bégayait de reconnaissance.
HPfrb1ch05-0395	reconnaissance  	Harry en bégayait de reconnaissance.
HPfrb1ch05-0396	bourru          	– Ce n’est rien, répondit Hagrid d’un ton bourru.
HPfrb1ch05-0397	étroit          	La dernière boutique dans laquelle ils pénétrèrent était étroite et délabrée.
