HPfrb1ch04-0001	clé            	LE GARDIEN DES CLÉS
HPfrb1ch04-0200	épée           	J’étais sûr qu’ils finiraient mal… Hagrid bondit alors du canapé, tira de son manteau un vieux parapluie rose passablement délabré et le pointa sur l’oncle Vernon comme une épée.
HPfrb1ch04-0201	perspective    	– Je vous préviens, Dursley, rugit-il, je vous préviens… Un mot de plus et… La perspective de se retrouver embroché au bout d’un parapluie par un géant barbu fit perdre tout son courage à l’oncle Vernon.
HPfrb1ch04-0202	embrocher      	– Je vous préviens, Dursley, rugit-il, je vous préviens… Un mot de plus et… La perspective de se retrouver embroché au bout d’un parapluie par un géant barbu fit perdre tout son courage à l’oncle Vernon.
HPfrb1ch04-0203	barbu          	– Je vous préviens, Dursley, rugit-il, je vous préviens… Un mot de plus et… La perspective de se retrouver embroché au bout d’un parapluie par un géant barbu fit perdre tout son courage à l’oncle Vernon.
HPfrb1ch04-0204	foule          	Mais Harry avait encore une foule de questions à poser.
HPfrb1ch04-0205	volatiliser    	Il s’est volatilisé la nuit même où il a essayé de te tuer.
HPfrb1ch04-0206	ajouter        	Ce qui ajoute encore à ta réputation.
HPfrb1ch04-0207	réputation     	Ce qui ajoute encore à ta réputation.
HPfrb1ch04-0208	puissance      	Qu’est-il devenu, lui qui semblait au sommet de sa puissance ?
HPfrb1ch04-0209	calembredaine  	À mon avis, ce sont des calembredaines.
HPfrb1ch04-0210	suffisamment   	Je ne crois pas qu’il ait eu en lui quelque chose de suffisamment humain pour mourir.
HPfrb1ch04-0211	humain         	Je ne crois pas qu’il ait eu en lui quelque chose de suffisamment humain pour mourir.
HPfrb1ch04-0212	rallier        	Ceux qui s’étaient ralliés à lui sont revenus de notre côté.
HPfrb1ch04-0213	transe         	Certains avaient été plongés dans une sorte de transe.
HPfrb1ch04-0214	faible         	Il est trop faible pour continuer.
HPfrb1ch04-0215	phénomène      	Cette nuit-là, il s’est passé un phénomène auquel il ne s’attendait pas.
HPfrb1ch04-0216	respect        	Une lueur de respect et de sympathie brillait dans le regard de Hagrid, mais Harry, au lieu de ressentir de la fierté, avait la certitude que tout cela n’était qu’un terrible malentendu.
HPfrb1ch04-0217	sympathie      	Une lueur de respect et de sympathie brillait dans le regard de Hagrid, mais Harry, au lieu de ressentir de la fierté, avait la certitude que tout cela n’était qu’un terrible malentendu.
HPfrb1ch04-0218	ressentir      	Une lueur de respect et de sympathie brillait dans le regard de Hagrid, mais Harry, au lieu de ressentir de la fierté, avait la certitude que tout cela n’était qu’un terrible malentendu.
HPfrb1ch04-0219	certitude      	Une lueur de respect et de sympathie brillait dans le regard de Hagrid, mais Harry, au lieu de ressentir de la fierté, avait la certitude que tout cela n’était qu’un terrible malentendu.
HPfrb1ch04-0220	malentendu     	Une lueur de respect et de sympathie brillait dans le regard de Hagrid, mais Harry, au lieu de ressentir de la fierté, avait la certitude que tout cela n’était qu’un terrible malentendu.
HPfrb1ch04-0221	brutaliser     	Toute sa vie, il avait été brutalisé par Dudley et malmené par l’oncle Vernon et la tante Pétunia.
HPfrb1ch04-0222	malmener       	Toute sa vie, il avait été brutalisé par Dudley et malmené par l’oncle Vernon et la tante Pétunia.
HPfrb1ch04-0223	crapaud        	S’il était vraiment un sorcier, pourquoi ne les avait-il pas changés en crapauds couverts de verrues chaque fois qu’ils l’enfermaient dans son placard ?
HPfrb1ch04-0224	couvert        	S’il était vraiment un sorcier, pourquoi ne les avait-il pas changés en crapauds couverts de verrues chaque fois qu’ils l’enfermaient dans son placard ?
HPfrb1ch04-0225	verrue         	S’il était vraiment un sorcier, pourquoi ne les avait-il pas changés en crapauds couverts de verrues chaque fois qu’ils l’enfermaient dans son placard ?
HPfrb1ch04-0226	vaincre        	S’il avait été capable de vaincre le plus grand sorcier du monde, comment se faisait-il que Dudley ait pu le traiter comme un ballon de football ?
HPfrb1ch04-0227	football       	S’il avait été capable de vaincre le plus grand sorcier du monde, comment se faisait-il que Dudley ait pu le traiter comme un ballon de football ?
HPfrb1ch04-0228	rappeller      	Rappelle-toi : il ne s’est jamais rien passé quand tu avais peur ou que tu étais en colère ?
HPfrb1ch04-0229	émotion        	Toutes ces choses étranges qui rendaient furieux son oncle et sa tante s’étaient toujours produites lorsqu’il était furieux, ou sous le coup d’une émotion… Poursuivi par la bande de Dudley, il s’était soudain retrouvé hors de leur portée…
HPfrb1ch04-0230	paniquer       	Paniqué à l’idée d’aller à l’école avec sa coupe de cheveux ridicule, il avait réussi à faire repousser sa tignasse…
HPfrb1ch04-0231	ridicule       	Paniqué à l’idée d’aller à l’école avec sa coupe de cheveux ridicule, il avait réussi à faire repousser sa tignasse…
HPfrb1ch04-0232	tignasse       	Paniqué à l’idée d’aller à l’école avec sa coupe de cheveux ridicule, il avait réussi à faire repousser sa tignasse…
HPfrb1ch04-0233	venger         	Et la dernière fois que Dudley l’avait frappé, ne s’était-il pas vengé, sans même s’en rendre compte, en lâchant sur lui le boa constrictor ?
HPfrb1ch04-0234	lâcher         	Et la dernière fois que Dudley l’avait frappé, ne s’était-il pas vengé, sans même s’en rendre compte, en lâchant sur lui le boa constrictor ?
HPfrb1ch04-0235	rayonner       	Il lui sourit et vit que le géant rayonnait.
HPfrb1ch04-0236	abandonner     	Mais l’oncle Vernon ne voulait pas abandonner la partie.
HPfrb1ch04-0237	partie         	Mais l’oncle Vernon ne voulait pas abandonner la partie.
HPfrb1ch04-0238	sottise        	ces lettres et j’ai vu toutes les sottises qu’on l’obligeait à acheter, des grimoires, des baguettes magiques, des…
HPfrb1ch04-0239	grimoire       	ces lettres et j’ai vu toutes les sottises qu’on l’obligeait à acheter, des grimoires, des baguettes magiques, des…
HPfrb1ch04-0240	baguette       	ces lettres et j’ai vu toutes les sottises qu’on l’obligeait à acheter, des grimoires, des baguettes magiques, des…
HPfrb1ch04-0241	grogner        	– S’il a envie d’y aller, ce n’est pas un gros Moldu dans votre genre qui pourra s’y opposer, grogna Hagrid.
HPfrb1ch04-0242	naissance      	Il y est inscrit depuis sa naissance.
HPfrb1ch04-0243	étudier        	Il va étudier dans la meilleure école de sorcellerie du monde.
HPfrb1ch04-0244	sept           	Sept ans là-bas et il sera transformé.
HPfrb1ch04-0245	maître         	Pour changer, il aura des camarades qui appartiennent au même monde que lui, et il étudiera avec l’un des plus grands maîtres que le collège Poudlard ait jamais comptés, Albus Dumbled…
HPfrb1ch04-0246	payer          	– JE REFUSE DE PAYER UN SOU POUR QU’UN VIEUX CINGLÉ LUI APPRENNE DES TOURS DE MAGIE !
HPfrb1ch04-0247	cinglé         	– JE REFUSE DE PAYER UN SOU POUR QU’UN VIEUX CINGLÉ LUI APPRENNE DES TOURS DE MAGIE !
HPfrb1ch04-0248	magie          	– JE REFUSE DE PAYER UN SOU POUR QU’UN VIEUX CINGLÉ LUI APPRENNE DES TOURS DE MAGIE !
HPfrb1ch04-0249	empoigner      	Hagrid empoigna son parapluie et le fit tournoyer au-dessus de sa tête.
HPfrb1ch04-0250	tournoyer      	Hagrid empoigna son parapluie et le fit tournoyer au-dessus de sa tête.
HPfrb1ch04-0251	insulter       	– JAMAIS PLUS… INSULTER… ALBUS DUMBLEDORE… DEVANT… MOI… tonna-t-il.
HPfrb1ch04-0252	détonation     	Il y eut un éclair violet, une détonation comme un pétard qui explose et un petit cri aigu.
HPfrb1ch04-0253	pétard         	Il y eut un éclair violet, une détonation comme un pétard qui explose et un petit cri aigu.
HPfrb1ch04-0254	aigu           	Il y eut un éclair violet, une détonation comme un pétard qui explose et un petit cri aigu.
HPfrb1ch04-0255	danser         	Un instant plus tard, Dudley dansait sur place en hurlant de douleur, les mains plaquées sur son volumineux postérieur.
HPfrb1ch04-0256	douleur        	Un instant plus tard, Dudley dansait sur place en hurlant de douleur, les mains plaquées sur son volumineux postérieur.
HPfrb1ch04-0257	plaquer        	Un instant plus tard, Dudley dansait sur place en hurlant de douleur, les mains plaquées sur son volumineux postérieur.
HPfrb1ch04-0258	volumineux     	Un instant plus tard, Dudley dansait sur place en hurlant de douleur, les mains plaquées sur son volumineux postérieur.
HPfrb1ch04-0259	postérieur     	Un instant plus tard, Dudley dansait sur place en hurlant de douleur, les mains plaquées sur son volumineux postérieur.
HPfrb1ch04-0260	rugissement    	L’oncle Vernon laissa échapper un véritable rugissement.
HPfrb1ch04-0261	regret         	– Je n’aurais pas dû m’énerver comme ça, dit-il d’un ton de regret.
HPfrb1ch04-0262	sourcil        	Il lança un regard oblique à Harry sous ses sourcils broussailleux.
HPfrb1ch04-0263	censé          	Normalement, je ne suis pas censé faire de la magie.
HPfrb1ch04-0264	autorisation   	On m’a simplement donné l’autorisation de m’en servir un peu pour te retrouver et t’apporter tes lettres.
HPfrb1ch04-0265	renvoyer       	– Disons que… moi aussi, j’ai été élève à Poudlard, mais, euh… pour dire la vérité, on m’a renvoyé…
HPfrb1ch04-0266	troisième      	J’étais en troisième année.
HPfrb1ch04-0267	permettre      	Ils ont cassé ma baguette magique en deux et tout ça… Mais Dumbledore m’a permis de rester comme garde-chasse.
HPfrb1ch04-0268	ôter           	Il ôta son grand manteau noir et le jeta à Harry.
HPfrb1ch04-0269	remuer         	Ne t’inquiète pas s’il remue un peu.
HPfrb1ch04-0270	loir           	Il doit y avoir un ou deux loirs dans une des poches.
