HPfrb1ch02-0001	vitre          	UNE VITRE DISPARAÎT
HPfrb1ch02-0188	sorte          	Les Dursley parlaient souvent de Harry de cette façon, en faisant comme s’il n’était pas là – ou plutôt comme s’il était un être dégoûtant, une sorte de limace incapable de comprendre ce qu’ils disaient.
HPfrb1ch02-0189	limace         	Les Dursley parlaient souvent de Harry de cette façon, en faisant comme s’il n’était pas là – ou plutôt comme s’il était un être dégoûtant, une sorte de limace incapable de comprendre ce qu’ils disaient.
HPfrb1ch02-0190	ami            	– Et ton amie… comment s’appelle-t-elle déjà ?
HPfrb1ch02-0191	vacance        	Elle est en vacances à Majorque, répliqua sèchement la tante Pétunia.
HPfrb1ch02-0192	intervenir     	– Vous n’avez qu’à me laisser ici, intervint Harry plein d’espoir.
HPfrb1ch02-0193	espoir         	– Vous n’avez qu’à me laisser ici, intervint Harry plein d’espoir.
HPfrb1ch02-0194	grincer        	– C’est ça, grinça-t-elle, et quand nous reviendrons, la maison sera en ruine ?
HPfrb1ch02-0195	ruine          	– C’est ça, grinça-t-elle, et quand nous reviendrons, la maison sera en ruine ?
HPfrb1ch02-0196	sauter         	– Je ne ferai pas sauter la maison, assura Harry, mais ils ne l’écoutaient plus.
HPfrb1ch02-0197	écouter        	– Je ne ferai pas sauter la maison, assura Harry, mais ils ne l’écoutaient plus.
HPfrb1ch02-0198	zoo            	Nous pourrions peut-être l’emmener au zoo, dit la tante Pétunia, et le laisser dans la voiture en nous attendant.
HPfrb1ch02-0199	neuf           	– La voiture est toute neuve, pas question de le laisser tout seul dedans, trancha Mr Dursley.
HPfrb1ch02-0200	dedans         	– La voiture est toute neuve, pas question de le laisser tout seul dedans, trancha Mr Dursley.
HPfrb1ch02-0201	trancher       	– La voiture est toute neuve, pas question de le laisser tout seul dedans, trancha Mr Dursley.
HPfrb1ch02-0202	pleurer        	Dudley se mit à pleurer bruyamment.
HPfrb1ch02-0203	bruyamment     	Dudley se mit à pleurer bruyamment.
HPfrb1ch02-0204	verser         	Il y avait des années qu’il ne versait plus de vraies larmes, mais il savait que dès qu’il commençait à se tordre le visage en gémissant, sa mère était prête à lui accorder tout ce qu’il voulait.
HPfrb1ch02-0205	dès            	Il y avait des années qu’il ne versait plus de vraies larmes, mais il savait que dès qu’il commençait à se tordre le visage en gémissant, sa mère était prête à lui accorder tout ce qu’il voulait.
HPfrb1ch02-0206	tordre         	Il y avait des années qu’il ne versait plus de vraies larmes, mais il savait que dès qu’il commençait à se tordre le visage en gémissant, sa mère était prête à lui accorder tout ce qu’il voulait.
HPfrb1ch02-0207	gémir          	Il y avait des années qu’il ne versait plus de vraies larmes, mais il savait que dès qu’il commençait à se tordre le visage en gémissant, sa mère était prête à lui accorder tout ce qu’il voulait.
HPfrb1ch02-0208	gâcher         	Maman ne va pas le laisser gâcher ta plus belle journée, s’écria Mrs Dursley en le serrant dans ses bras.
HPfrb1ch02-0209	secouer        	– Je… veux… pas… qu’il… vienne ! hurla Dudley d’une voix secouée de faux sanglots.
HPfrb1ch02-0210	faux           	– Je… veux… pas… qu’il… vienne ! hurla Dudley d’une voix secouée de faux sanglots.
HPfrb1ch02-0211	sanglot        	– Je… veux… pas… qu’il… vienne ! hurla Dudley d’une voix secouée de faux sanglots.
HPfrb1ch02-0212	horrible       	Dudley adressa alors à Harry un horrible sourire entre les bras de sa mère.
HPfrb1ch02-0213	sonnette       	Au même moment, la sonnette de la porte d’entrée retentit.
HPfrb1ch02-0214	retentir       	Au même moment, la sonnette de la porte d’entrée retentit.
HPfrb1ch02-0215	dieu           	Oh, mon Dieu, les voilà ! dit précipitamment la tante Pétunia.
HPfrb1ch02-0216	efflanquer     	Piers était un garçon efflanqué avec une tête de rat.
HPfrb1ch02-0217	rat            	Piers était un garçon efflanqué avec une tête de rat.
HPfrb1ch02-0218	taper          	Quand Dudley tapait sur quelqu’un, c’était toujours lui qui tenait par-derrière les mains de la victime, pour l’empêcher de se défendre.
HPfrb1ch02-0219	défendre       	Quand Dudley tapait sur quelqu’un, c’était toujours lui qui tenait par-derrière les mains de la victime, pour l’empêcher de se défendre.
HPfrb1ch02-0220	cesser         	Dudley cessa aussitôt sa comédie.
HPfrb1ch02-0221	comédie        	Dudley cessa aussitôt sa comédie.
HPfrb1ch02-0222	arrière        	Une demi-heure plus tard, Harry, qui n’en croyait pas sa chance, était assis à l’arrière de la voiture des Dursley, en compagnie de Piers et Dudley.
HPfrb1ch02-0223	visiter        	Pour la première fois de sa vie, il allait visiter le zoo.
HPfrb1ch02-0224	solution       	Son oncle et sa tante n’avaient pas trouvé d’autre solution que de l’emmener avec eux, mais avant de partir, l’oncle Vernon avait pris Harry à part.
HPfrb1ch02-0225	prévenir       	– Je te préviens, avait-il dit, sa grosse figure rouge tout contre le visage de Harry, je te préviens que s’il se produit la moindre chose bizarre, tu ne sortiras pas de ce placard avant Noël.
HPfrb1ch02-0226	Noël           	– Je te préviens, avait-il dit, sa grosse figure rouge tout contre le visage de Harry, je te préviens que s’il se produit la moindre chose bizarre, tu ne sortiras pas de ce placard avant Noël.
HPfrb1ch02-0227	promettre      	– Je ne ferai rien, assura Harry, c’est promis.
HPfrb1ch02-0228	refuser        	Le problème, c’était qu’il se passait souvent des choses étranges autour de Harry et les Dursley refusaient de croire qu’il n’y était pour rien.
HPfrb1ch02-0229	fatigué        	Un jour, la tante Pétunia, fatiguée de voir Harry sortir de chez le coiffeur avec la même tête que s’il n’y était pas allé du tout, avait pris une paire de gros ciseaux et lui avait coupé les cheveux si court qu’il en était devenu presque chauve.
HPfrb1ch02-0230	coiffeur       	Un jour, la tante Pétunia, fatiguée de voir Harry sortir de chez le coiffeur avec la même tête que s’il n’y était pas allé du tout, avait pris une paire de gros ciseaux et lui avait coupé les cheveux si court qu’il en était devenu presque chauve.
HPfrb1ch02-0231	ciseau         	Un jour, la tante Pétunia, fatiguée de voir Harry sortir de chez le coiffeur avec la même tête que s’il n’y était pas allé du tout, avait pris une paire de gros ciseaux et lui avait coupé les cheveux si court qu’il en était devenu presque chauve.
HPfrb1ch02-0232	court          	Un jour, la tante Pétunia, fatiguée de voir Harry sortir de chez le coiffeur avec la même tête que s’il n’y était pas allé du tout, avait pris une paire de gros ciseaux et lui avait coupé les cheveux si court qu’il en était devenu presque chauve.
HPfrb1ch02-0233	chauve         	Un jour, la tante Pétunia, fatiguée de voir Harry sortir de chez le coiffeur avec la même tête que s’il n’y était pas allé du tout, avait pris une paire de gros ciseaux et lui avait coupé les cheveux si court qu’il en était devenu presque chauve.
HPfrb1ch02-0234	frange         	Elle n’avait laissé qu’une frange « pour cacher cette horrible cicatrice ».
HPfrb1ch02-0235	écrouler       	Dudley s’était écroulé de rire en voyant le résultat et Harry n’avait pas pu dormir de la nuit en imaginant ce qui allait se passer le lendemain à l’école, où déjà on se moquait de ses vêtements trop grands et de ses lunettes rafistolées au papier collant.
HPfrb1ch02-0236	résultat       	Dudley s’était écroulé de rire en voyant le résultat et Harry n’avait pas pu dormir de la nuit en imaginant ce qui allait se passer le lendemain à l’école, où déjà on se moquait de ses vêtements trop grands et de ses lunettes rafistolées au papier collant.
HPfrb1ch02-0237	lendemain      	Dudley s’était écroulé de rire en voyant le résultat et Harry n’avait pas pu dormir de la nuit en imaginant ce qui allait se passer le lendemain à l’école, où déjà on se moquait de ses vêtements trop grands et de ses lunettes rafistolées au papier collant.
HPfrb1ch02-0238	école          	Dudley s’était écroulé de rire en voyant le résultat et Harry n’avait pas pu dormir de la nuit en imaginant ce qui allait se passer le lendemain à l’école, où déjà on se moquait de ses vêtements trop grands et de ses lunettes rafistolées au papier collant.
HPfrb1ch02-0239	moquer         	Dudley s’était écroulé de rire en voyant le résultat et Harry n’avait pas pu dormir de la nuit en imaginant ce qui allait se passer le lendemain à l’école, où déjà on se moquait de ses vêtements trop grands et de ses lunettes rafistolées au papier collant.
HPfrb1ch02-0240	repousser      	Au matin, cependant, il s’était aperçu que ses cheveux avaient repoussé tels qu’ils étaient avant que la tante Pétunia ne les coupe.
HPfrb1ch02-0241	coupe          	Au matin, cependant, il s’était aperçu que ses cheveux avaient repoussé tels qu’ils étaient avant que la tante Pétunia ne les coupe.
HPfrb1ch02-0242	punir          	Il avait été puni d’une semaine de placard sans sortir, malgré tous ses efforts pour essayer de leur faire admettre qu’il ne comprenait pas ce qui avait bien pu se passer.
HPfrb1ch02-0243	malgré         	Il avait été puni d’une semaine de placard sans sortir, malgré tous ses efforts pour essayer de leur faire admettre qu’il ne comprenait pas ce qui avait bien pu se passer.
HPfrb1ch02-0244	effort         	Il avait été puni d’une semaine de placard sans sortir, malgré tous ses efforts pour essayer de leur faire admettre qu’il ne comprenait pas ce qui avait bien pu se passer.
HPfrb1ch02-0245	pull           	Une autre fois, la tante Pétunia avait voulu le forcer à mettre un vieux pull de Dudley (une horreur marron avec des pompons orange), mais plus elle essayait de lui faire passer la tête à l’intérieur du pull, plus celui-ci rapetissait.
HPfrb1ch02-0246	horreur        	Une autre fois, la tante Pétunia avait voulu le forcer à mettre un vieux pull de Dudley (une horreur marron avec des pompons orange), mais plus elle essayait de lui faire passer la tête à l’intérieur du pull, plus celui-ci rapetissait.
HPfrb1ch02-0247	marron         	Une autre fois, la tante Pétunia avait voulu le forcer à mettre un vieux pull de Dudley (une horreur marron avec des pompons orange), mais plus elle essayait de lui faire passer la tête à l’intérieur du pull, plus celui-ci rapetissait.
HPfrb1ch02-0248	orange         	Une autre fois, la tante Pétunia avait voulu le forcer à mettre un vieux pull de Dudley (une horreur marron avec des pompons orange), mais plus elle essayait de lui faire passer la tête à l’intérieur du pull, plus celui-ci rapetissait.
HPfrb1ch02-0249	rapetisser     	Une autre fois, la tante Pétunia avait voulu le forcer à mettre un vieux pull de Dudley (une horreur marron avec des pompons orange), mais plus elle essayait de lui faire passer la tête à l’intérieur du pull, plus celui-ci rapetissait.
HPfrb1ch02-0250	finalement     	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
HPfrb1ch02-0251	réduit         	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
HPfrb1ch02-0252	gant           	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
HPfrb1ch02-0253	marionnette    	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
HPfrb1ch02-0254	rétrécir       	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
HPfrb1ch02-0255	lavage         	Finalement, il s’était trouvé réduit à la taille d’un gant de marionnette et la tante Pétunia en avait conclu qu’il avait rétréci au lavage.
HPfrb1ch02-0256	recevoir       	À son grand soulagement, Harry, cette fois-là, n’avait reçu aucune punition.
HPfrb1ch02-0257	punition       	À son grand soulagement, Harry, cette fois-là, n’avait reçu aucune punition.
HPfrb1ch02-0258	ennui          	En revanche, il avait eu de sérieux ennuis à l’école, le jour où on l’avait retrouvé sur le toit de la cantine.
HPfrb1ch02-0259	retrouver      	En revanche, il avait eu de sérieux ennuis à l’école, le jour où on l’avait retrouvé sur le toit de la cantine.
HPfrb1ch02-0260	toit           	En revanche, il avait eu de sérieux ennuis à l’école, le jour où on l’avait retrouvé sur le toit de la cantine.
HPfrb1ch02-0261	cantine        	En revanche, il avait eu de sérieux ennuis à l’école, le jour où on l’avait retrouvé sur le toit de la cantine.
HPfrb1ch02-0262	cour           	La bande de Dudley l’avait poursuivi dans la cour comme à l’accoutumée lorsque, à la grande surprise de tout le monde, y compris de Harry lui-même, il s’était retrouvé assis au sommet de la cheminée.
HPfrb1ch02-0263	accoutumé      	La bande de Dudley l’avait poursuivi dans la cour comme à l’accoutumée lorsque, à la grande surprise de tout le monde, y compris de Harry lui-même, il s’était retrouvé assis au sommet de la cheminée.
HPfrb1ch02-0264	surprise       	La bande de Dudley l’avait poursuivi dans la cour comme à l’accoutumée lorsque, à la grande surprise de tout le monde, y compris de Harry lui-même, il s’était retrouvé assis au sommet de la cheminée.
HPfrb1ch02-0265	compris        	La bande de Dudley l’avait poursuivi dans la cour comme à l’accoutumée lorsque, à la grande surprise de tout le monde, y compris de Harry lui-même, il s’était retrouvé assis au sommet de la cheminée.
HPfrb1ch02-0266	directeur      	Les Dursley avaient reçu une lettre furieuse de la directrice dans laquelle elle affirmait que Harry s’amusait à escalader les bâtiments de l’école.
HPfrb1ch02-0267	escalader      	Les Dursley avaient reçu une lettre furieuse de la directrice dans laquelle elle affirmait que Harry s’amusait à escalader les bâtiments de l’école.
HPfrb1ch02-0268	bâtiment       	Les Dursley avaient reçu une lettre furieuse de la directrice dans laquelle elle affirmait que Harry s’amusait à escalader les bâtiments de l’école.
HPfrb1ch02-0269	travers        	Pourtant, comme il l’avait expliqué à l’oncle Vernon à travers la porte verrouillée de son placard, il s’était contenté de sauter derrière les poubelles qui se trouvaient à côté de la porte de la cuisine.
HPfrb1ch02-0270	verrouiller    	Pourtant, comme il l’avait expliqué à l’oncle Vernon à travers la porte verrouillée de son placard, il s’était contenté de sauter derrière les poubelles qui se trouvaient à côté de la porte de la cuisine.
HPfrb1ch02-0271	vent           	Harry pensait que c’était le vent qui avait dû l’emporter jusqu’au toit au moment où il sautait.
HPfrb1ch02-0272	odeur          	Cela valait même la peine de supporter Dudley et Piers du moment qu’il pouvait passer la journée dans un endroit qui ne serait ni l’école, ni le placard, ni le salon à l’odeur de chou de Mrs Figg.
HPfrb1ch02-0273	plaindre       	Tandis qu’il conduisait la voiture, l’oncle Vernon se plaignait à la tante Pétunia.
HPfrb1ch02-0274	municipalité   	Les gens qui travaillaient avec lui, Harry, la municipalité, Harry, son banquier et Harry constituaient quelques-uns de ses sujets préférés.
HPfrb1ch02-0275	banquier       	Les gens qui travaillaient avec lui, Harry, la municipalité, Harry, son banquier et Harry constituaient quelques-uns de ses sujets préférés.
HPfrb1ch02-0276	malade         	Ce matin-là, c’était aux motos qu’il en avait. – … conduisent comme des malades, ces petits voyous !
HPfrb1ch02-0277	voyou          	Ce matin-là, c’était aux motos qu’il en avait. – … conduisent comme des malades, ces petits voyous !
HPfrb1ch02-0278	dépasser       	Ce matin-là, c’était aux motos qu’il en avait. – … conduisent comme des malades, ces petits voyous ! dit-il alors qu’une moto les dépassait.
HPfrb1ch02-0279	rêver          	– J’ai rêvé d’une moto, cette nuit, dit Harry qui se souvenait soudain de son rêve.
HPfrb1ch02-0280	faillir        	L’oncle de Harry faillit percuter la voiture qui le précédait.
HPfrb1ch02-0281	percuter       	L’oncle de Harry faillit percuter la voiture qui le précédait.
HPfrb1ch02-0282	précéder       	L’oncle de Harry faillit percuter la voiture qui le précédait.
HPfrb1ch02-0283	betterave      	Il se retourna brusquement, son visage si rouge qu’il ressemblait à une énorme betterave à moustache.
HPfrb1ch02-0284	voler          	LES MOTOS NE VOLENT PAS !
HPfrb1ch02-0285	ricaner        	Dudley et Piers ricanèrent.
HPfrb1ch02-0286	regretter      	Mais il regretta d’en avoir trop dit.
HPfrb1ch02-0287	objet          	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
HPfrb1ch02-0288	rôle           	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
HPfrb1ch02-0289	animer         	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
HPfrb1ch02-0290	redouter       	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
HPfrb1ch02-0291	tire           	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
HPfrb1ch02-0292	dangereux      	Plus encore que les questions qu’il posait, les Dursley détestaient l’entendre parler d’objets qui sortaient de leur rôle habituel, que ce soit dans un rêve ou un dessin animé, comme s’ils redoutaient qu’il n’en tire des idées dangereuses.
HPfrb1ch02-0293	samedi         	C’était un samedi ensoleillé et le zoo était bondé de familles en promenade.
HPfrb1ch02-0294	ensoleiller    	C’était un samedi ensoleillé et le zoo était bondé de familles en promenade.
HPfrb1ch02-0295	bonder         	C’était un samedi ensoleillé et le zoo était bondé de familles en promenade.
HPfrb1ch02-0296	promenade      	C’était un samedi ensoleillé et le zoo était bondé de familles en promenade.
HPfrb1ch02-0297	chocolat       	Les Dursley achetèrent à Dudley et à Piers de grosses glaces au chocolat.
HPfrb1ch02-0298	repartir       	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
HPfrb1ch02-0299	souriant       	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
HPfrb1ch02-0300	vendre         	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
HPfrb1ch02-0301	sucette        	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
HPfrb1ch02-0302	glacé          	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
HPfrb1ch02-0303	marché         	Mais, avant qu’ils aient eu le temps de repartir, la jeune femme souriante qui vendait les glaces avait demandé à Harry ce qu’il voulait et ils avaient fini par lui acheter une sucette glacée au citron à bon marché.
HPfrb1ch02-0304	ailleurs       	Elle n’était d’ailleurs pas si mauvaise que ça, pensa Harry tandis qu’il la léchait devant la cage d’un gorille occupé à se gratter la tête.
HPfrb1ch02-0305	lécher         	Elle n’était d’ailleurs pas si mauvaise que ça, pensa Harry tandis qu’il la léchait devant la cage d’un gorille occupé à se gratter la tête.
HPfrb1ch02-0306	cage           	Elle n’était d’ailleurs pas si mauvaise que ça, pensa Harry tandis qu’il la léchait devant la cage d’un gorille occupé à se gratter la tête.
HPfrb1ch02-0307	gorille        	Elle n’était d’ailleurs pas si mauvaise que ça, pensa Harry tandis qu’il la léchait devant la cage d’un gorille occupé à se gratter la tête.
HPfrb1ch02-0308	gratter        	Elle n’était d’ailleurs pas si mauvaise que ça, pensa Harry tandis qu’il la léchait devant la cage d’un gorille occupé à se gratter la tête.
HPfrb1ch02-0309	étrangement    	L’animal ressemblait étrangement à Dudley, sauf qu’il n’était pas blond.
HPfrb1ch02-0310	éviter         	Il prenait la précaution de se tenir un peu à l’écart des Dursley pour éviter que Dudley et Piers, qui commençaient à se lasser des animaux, ne se consacrent une fois de plus à leur passe-temps favori : lui taper dessus.
HPfrb1ch02-0311	lasser         	Il prenait la précaution de se tenir un peu à l’écart des Dursley pour éviter que Dudley et Piers, qui commençaient à se lasser des animaux, ne se consacrent une fois de plus à leur passe-temps favori : lui taper dessus.
HPfrb1ch02-0312	consacrer      	Il prenait la précaution de se tenir un peu à l’écart des Dursley pour éviter que Dudley et Piers, qui commençaient à se lasser des animaux, ne se consacrent une fois de plus à leur passe-temps favori : lui taper dessus.
HPfrb1ch02-0313	favori         	Il prenait la précaution de se tenir un peu à l’écart des Dursley pour éviter que Dudley et Piers, qui commençaient à se lasser des animaux, ne se consacrent une fois de plus à leur passe-temps favori : lui taper dessus.
HPfrb1ch02-0314	déjeuner       	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
HPfrb1ch02-0315	restaurant     	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
HPfrb1ch02-0316	crème          	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
HPfrb1ch02-0317	fruit          	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
HPfrb1ch02-0318	assez          	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
HPfrb1ch02-0319	goût           	Ils déjeunèrent au restaurant du zoo où Dudley fit une grosse colère parce que sa crème glacée aux fruits géante n’était pas assez grande à son goût.
HPfrb1ch02-0320	commander      	L’oncle Vernon lui en commanda une autre et Harry
HPfrb1ch02-0321	reptile        	Après déjeuner, ils allèrent voir les reptiles au vivarium.
HPfrb1ch02-0322	vivarium       	Après déjeuner, ils allèrent voir les reptiles au vivarium.
HPfrb1ch02-0323	frais          	L’endroit était sombre et frais, avec des cages de verre éclairées qui s’alignaient le long des murs.
HPfrb1ch02-0324	éclairer       	L’endroit était sombre et frais, avec des cages de verre éclairées qui s’alignaient le long des murs.
HPfrb1ch02-0325	aligner        	L’endroit était sombre et frais, avec des cages de verre éclairées qui s’alignaient le long des murs.
HPfrb1ch02-0326	lézard         	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
HPfrb1ch02-0327	serpent        	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
HPfrb1ch02-0328	ramper         	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
HPfrb1ch02-0329	onduler        	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
HPfrb1ch02-0330	morceau        	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
HPfrb1ch02-0331	pierre         	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
HPfrb1ch02-0332	bois           	Derrière les vitres, on voyait toutes sortes de lézards et de serpents qui rampaient et ondulaient sur des morceaux de pierre ou de bois.
HPfrb1ch02-0333	cobra          	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
HPfrb1ch02-0334	venin          	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
HPfrb1ch02-0335	mortel         	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
HPfrb1ch02-0336	python         	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
HPfrb1ch02-0337	broyer         	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
HPfrb1ch02-0338	étreinte       	Dudley et Piers voulaient voir d’énormes cobras au venin mortel et de gros pythons capables de broyer un homme dans leur étreinte.
HPfrb1ch02-0339	enrouler       	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
HPfrb1ch02-0340	réduire        	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
HPfrb1ch02-0341	ferraille      	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
HPfrb1ch02-0342	tenter         	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
HPfrb1ch02-0343	genre          	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
HPfrb1ch02-0344	exploit        	Il était si long qu’il aurait pu s’enrouler deux fois autour de la voiture de l’oncle Vernon et la réduire en un petit tas de ferraille, mais pour l’instant, il ne semblait pas d’humeur à tenter ce genre d’exploit.
HPfrb1ch02-0345	coller         	Le nez collé contre la vitre, Dudley contemplait les anneaux luisants du reptile.
HPfrb1ch02-0346	anneau         	Le nez collé contre la vitre, Dudley contemplait les anneaux luisants du reptile.
HPfrb1ch02-0347	luisant        	Le nez collé contre la vitre, Dudley contemplait les anneaux luisants du reptile.
HPfrb1ch02-0348	fare           	– Fais-le bouger, dit-il à son père d’une voix geignarde.
HPfrb1ch02-0349	geignard       	– Fais-le bouger, dit-il à son père d’une voix geignarde.
HPfrb1ch02-0350	recommencer    	– Recommence, ordonna Dudley.
HPfrb1ch02-0351	ennuyer        	– On s’ennuie, ici, marmonna Dudley en s’éloignant d’un pas traînant.
HPfrb1ch02-0352	traîner        	– On s’ennuie, ici, marmonna Dudley en s’éloignant d’un pas traînant.
HPfrb1ch02-0353	approcher      	Harry s’approcha alors de la cage de verre et contempla le serpent.
HPfrb1ch02-0354	contempler     	Harry s’approcha alors de la cage de verre et contempla le serpent.
HPfrb1ch02-0355	surprendre     	Il n’aurait pas été surpris que le reptile soit lui-même mort d’ennui à force de rester seul dans cette cage sans autre compagnie que tous ces imbéciles qui passaient la journée à taper contre la vitre.
HPfrb1ch02-0356	imbécile       	Il n’aurait pas été surpris que le reptile soit lui-même mort d’ennui à force de rester seul dans cette cage sans autre compagnie que tous ces imbéciles qui passaient la journée à taper contre la vitre.
HPfrb1ch02-0357	pire           	C’était pire que de coucher dans un placard avec pour toute visite celle de la tante Pétunia qui tambourinait à la porte pour le réveiller.
HPfrb1ch02-0358	visite         	C’était pire que de coucher dans un placard avec pour toute visite celle de la tante Pétunia qui tambourinait à la porte pour le réveiller.
HPfrb1ch02-0359	celle          	C’était pire que de coucher dans un placard avec pour toute visite celle de la tante Pétunia qui tambourinait à la porte pour le réveiller.
HPfrb1ch02-0360	déplacer       	Lui, au moins, pouvait se déplacer dans la maison.
HPfrb1ch02-0361	niveau         	Lentement, très lentement, il leva la tête jusqu’à ce qu’elle soit au même niveau que celle de Harry.
HPfrb1ch02-0362	clin           	Et il lui fit un clin d’œil.
HPfrb1ch02-0363	plafond        	Le reptile fit un signe de tête en direction de l’oncle Vernon et de Dudley, puis il leva les yeux au plafond.
HPfrb1ch02-0364	droit          	Il semblait dire à Harry : « J’ai droit à ça sans arrêt. »
HPfrb1ch02-0365	arrêt          	Il semblait dire à Harry : « J’ai droit à ça sans arrêt. »
HPfrb1ch02-0366	approuver      	Le serpent approuva d’un hochement de tête vigoureux.
HPfrb1ch02-0367	hochement      	Le serpent approuva d’un hochement de tête vigoureux.
HPfrb1ch02-0368	vigoureux      	Le serpent approuva d’un hochement de tête vigoureux.
HPfrb1ch02-0369	apposer        	Le serpent pointa le bout de la queue vers le petit écriteau apposé à côté de la vitre.
