le               	LE SURVIVANT
prendre          	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
attaché-case     	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
déposer          	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
baiser           	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
joue             	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
essayer          	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
embrasser        	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
sans             	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
succès           	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
proie            	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
crise            	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
colère           	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
appliquer        	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
jeter            	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
contre           	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
mur              	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
pièce            	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
contenu          	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
assiette         	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
céréale          	À huit heures et demie, Mr Dursley prit son attaché-case, déposa un baiser sur la joue de Mrs Dursley et essaya d’embrasser Dudley, mais sans succès, car celui-ci était en proie à une petite crise de colère et s’appliquait à jeter contre les murs de la pièce le contenu de son assiette de céréales.
sacré            	Sacré petit bonhomme, gloussa Mr Dursley en quittant la maison.
bonhomme         	Sacré petit bonhomme, gloussa Mr Dursley en quittant la maison.
glousser         	Sacré petit bonhomme, gloussa Mr Dursley en quittant la maison.
quitter          	Sacré petit bonhomme, gloussa Mr Dursley en quittant la maison.
maison           	Sacré petit bonhomme, gloussa Mr Dursley en quittant la maison.
monter           	Il monta dans sa voiture et recula le long de l’allée qui menait à sa maison.
voiture          	Il monta dans sa voiture et recula le long de l’allée qui menait à sa maison.
reculer          	Il monta dans sa voiture et recula le long de l’allée qui menait à sa maison.
allée            	Il monta dans sa voiture et recula le long de l’allée qui menait à sa maison.
mener            	Il monta dans sa voiture et recula le long de l’allée qui menait à sa maison.
coin             	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
premier          	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
détail           	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
insolite         	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
chat             	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
lire             	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
carte            	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
routier          	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
pendant          	Pendant un instant, Mr Dursley ne comprit pas très bien ce qu’il venait de voir.
instant          	Pendant un instant, Mr Dursley ne comprit pas très bien ce qu’il venait de voir.
comprendre       	Pendant un instant, Mr Dursley ne comprit pas très bien ce qu’il venait de voir.
très             	Pendant un instant, Mr Dursley ne comprit pas très bien ce qu’il venait de voir.
bien             	Pendant un instant, Mr Dursley ne comprit pas très bien ce qu’il venait de voir.
tourner          	Il tourna alors la tête pour regarder une deuxième fois.
alors            	Il tourna alors la tête pour regarder une deuxième fois.
tête             	Il tourna alors la tête pour regarder une deuxième fois.
deuxième         	Il tourna alors la tête pour regarder une deuxième fois.
y                	Il y avait bien un chat tigré, assis au coin de Privet Drive, mais pas la moindre trace de carte routière.
tigré            	Il y avait bien un chat tigré, assis au coin de Privet Drive, mais pas la moindre trace de carte routière.
asseoir          	Il y avait bien un chat tigré, assis au coin de Privet Drive, mais pas la moindre trace de carte routière.
moindre          	Il y avait bien un chat tigré, assis au coin de Privet Drive, mais pas la moindre trace de carte routière.
trace            	Il y avait bien un chat tigré, assis au coin de Privet Drive, mais pas la moindre trace de carte routière.
passer           	Qu’est-ce qui avait bien pu lui passer par la tête ?
devoir           	Il avait dû se laisser abuser par un reflet du soleil sur le trottoir.
abuser           	Il avait dû se laisser abuser par un reflet du soleil sur le trottoir.
reflet           	Il avait dû se laisser abuser par un reflet du soleil sur le trottoir.
soleil           	Il avait dû se laisser abuser par un reflet du soleil sur le trottoir.
trottoir         	Il avait dû se laisser abuser par un reflet du soleil sur le trottoir.
cligner          	Mr Dursley cligna des yeux et regarda fixement le chat.
fixement         	Mr Dursley cligna des yeux et regarda fixement le chat.
celui-ci         	Celui-ci soutint son regard.
soutenir         	Celui-ci soutint son regard.
regard           	Celui-ci soutint son regard.
tandis           	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
engager          	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
route            	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
continuer        	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
observer         	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
rétroviseur      	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
animal           	L’animal était en train de lire la plaque qui indiquait « Privet Drive »
train            	L’animal était en train de lire la plaque qui indiquait « Privet Drive »
plaque           	L’animal était en train de lire la plaque qui indiquait « Privet Drive »
indiquer         	L’animal était en train de lire la plaque qui indiquait « Privet Drive »
non              	– mais non, voyons, il ne lisait pas, il regardait la plaque.
incapable        	Les chats sont incapables de lire des cartes ou des écriteaux.
écriteau         	Les chats sont incapables de lire des cartes ou des écriteaux.
ressaisir        	Mr Dursley se ressaisit et chassa le chat tigré de son esprit.
chasser          	Mr Dursley se ressaisit et chassa le chat tigré de son esprit.
esprit           	Mr Dursley se ressaisit et chassa le chat tigré de son esprit.
durer            	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
trajet           	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
vers             	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
ville            	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
concentrer       	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
commande         	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
espérer          	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
obtenir          	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
parvenir         	Mais lorsqu’il parvint aux abords de la ville quelque chose d’autre chassa les perceuses de sa tête.
abord            	Mais lorsqu’il parvint aux abords de la ville quelque chose d’autre chassa les perceuses de sa tête.
quelque          	Mais lorsqu’il parvint aux abords de la ville quelque chose d’autre chassa les perceuses de sa tête.
autre            	Mais lorsqu’il parvint aux abords de la ville quelque chose d’autre chassa les perceuses de sa tête.
milieu           	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
habituel         	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
embouteillage    	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
forcer           	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
présence         	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
plusieurs        	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
passant          	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
vêtir            	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
façon            	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
porter           	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
cape             	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
supporter        	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
gens             	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
habiller         	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
manière          	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
extravagant      	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
parfois          	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
accoutrement     	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
penser           	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
agir             	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
nouveau          	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
mode             	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
particulièrement 	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
stupide          	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
pianoter         	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
volant           	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
rencontrer       	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
groupe           	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
olibrius         	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
chuchoter        	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
oreille          	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
surexciter       	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
irriter          	Mr Dursley s’irrita en voyant que deux d’entre eux n’étaient pas jeunes du tout.
entrer           	Mr Dursley s’irrita en voyant que deux d’entre eux n’étaient pas jeunes du tout.
là-bas           	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
sûrement         	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
âgé              	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
empêcher         	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
vert             	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
émeraude         	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
quel             	Quelle impudence !
impudence        	Quelle impudence !
animation        	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
probablement     	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
collecter        	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
argent           	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
profit           	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
œuvre            	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
quelconque       	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
cela             	Ce ne pouvait être que ça.
file             	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
mouvement        	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
minute           	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
tard             	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
ranger           	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
parking          	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
reprendre        	Les perceuses avaient repris leur place dans ses pensées.
place            	Les perceuses avaient repris leur place dans ses pensées.
bureau           	Dans son bureau du neuvième étage, Mr Dursley s’asseyait toujours dos à la fenêtre.
neuvième         	Dans son bureau du neuvième étage, Mr Dursley s’asseyait toujours dos à la fenêtre.
étage            	Dans son bureau du neuvième étage, Mr Dursley s’asseyait toujours dos à la fenêtre.
dos              	Dans son bureau du neuvième étage, Mr Dursley s’asseyait toujours dos à la fenêtre.
autrement        	S’il en avait été autrement, il aurait sans doute eu un peu plus de mal que d’habitude à se concentrer sur ses perceuses, ce matin-là.
doute            	S’il en avait été autrement, il aurait sans doute eu un peu plus de mal que d’habitude à se concentrer sur ses perceuses, ce matin-là.
peu              	S’il en avait été autrement, il aurait sans doute eu un peu plus de mal que d’habitude à se concentrer sur ses perceuses, ce matin-là.
mal              	S’il en avait été autrement, il aurait sans doute eu un peu plus de mal que d’habitude à se concentrer sur ses perceuses, ce matin-là.
habitude         	S’il en avait été autrement, il aurait sans doute eu un peu plus de mal que d’habitude à se concentrer sur ses perceuses, ce matin-là.
hibou            	Il ne vit pas les hiboux qui volaient à tire-d’aile en plein jour.
voler            	Il ne vit pas les hiboux qui volaient à tire-d’aile en plein jour.
plein            	Il ne vit pas les hiboux qui volaient à tire-d’aile en plein jour.
bouche           	Bouche
bée              	bée, ils pointaient le doigt vers le ciel, tandis que les rapaces filaient au-dessus de leur tête.
pointer          	bée, ils pointaient le doigt vers le ciel, tandis que les rapaces filaient au-dessus de leur tête.
doigt            	bée, ils pointaient le doigt vers le ciel, tandis que les rapaces filaient au-dessus de leur tête.
rapace           	bée, ils pointaient le doigt vers le ciel, tandis que les rapaces filaient au-dessus de leur tête.
filer            	bée, ils pointaient le doigt vers le ciel, tandis que les rapaces filaient au-dessus de leur tête.
plupart          	La plupart d’entre eux n’avaient jamais vu de hibou, même la nuit.
même             	La plupart d’entre eux n’avaient jamais vu de hibou, même la nuit.
nuit             	La plupart d’entre eux n’avaient jamais vu de hibou, même la nuit.
cependant        	Mr Dursley, cependant, ne remarqua rien d’anormal et aucun hibou ne vint troubler sa matinée.
anormal          	Mr Dursley, cependant, ne remarqua rien d’anormal et aucun hibou ne vint troubler sa matinée.
troubler         	Mr Dursley, cependant, ne remarqua rien d’anormal et aucun hibou ne vint troubler sa matinée.
matinée          	Mr Dursley, cependant, ne remarqua rien d’anormal et aucun hibou ne vint troubler sa matinée.
réprimander      	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
vertement        	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
employé          	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
coup             	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
fil              	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
important        	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
pousser          	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
hurlement        	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
sentir           	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
excellent        	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
humeur           	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
déjeuner         	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
songer           	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
dégourdir        	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
jambe            	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
traverser        	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
acheter          	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
manger           	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
chez             	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
boulanger        	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
face             	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
complètement     	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
sortir           	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
proximité        	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
boulangerie      	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
lancer           	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
courroucer       	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
ignorer          	Il ignorait pourquoi, mais ils le mettaient mal à l’aise.
pourquoi         	Il ignorait pourquoi, mais ils le mettaient mal à l’aise.
aise             	Il ignorait pourquoi, mais ils le mettaient mal à l’aise.
boîte            	Ceux-là aussi chuchotaient d’un air surexcité et il ne vit pas la moindre boîte destinée à récolter de l’argent.
destiner         	Ceux-là aussi chuchotaient d’un air surexcité et il ne vit pas la moindre boîte destinée à récolter de l’argent.
récolter         	Ceux-là aussi chuchotaient d’un air surexcité et il ne vit pas la moindre boîte destinée à récolter de l’argent.
quand            	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
boutique         	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
beignet          	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
envelopper       	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
sac              	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
mot              	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
conversation     	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
oui              	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
fils             	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
immobiliser      	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
envahir          	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
peur             	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
soudain          	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
apprêter         	Il tourna la tête vers les gens qui chuchotaient comme s’il s’apprêtait à leur dire quelque chose, mais il se ravisa.
raviser          	Il tourna la tête vers les gens qui chuchotaient comme s’il s’apprêtait à leur dire quelque chose, mais il se ravisa.
hâte             	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
dépêcher         	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
remonter         	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
ordonner         	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
sec              	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
secrétaire       	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
déranger         	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
saisir           	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
téléphone        	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
