HPfrb1ch06-0001	rendez-vous      	RENDEZ-VOUS SUR LA VOIE 9 3/4
HPfrb1ch06-0216	nourrir          	Mon père m’a dit que tous les Weasley ont les cheveux roux, des taches de rousseur et beaucoup trop d’enfants pour pouvoir les nourrir.
HPfrb1ch06-0217	fréquent         	– Fais bien attention à qui tu fréquentes, Potter.
HPfrb1ch06-0218	douteux          	Si tu veux éviter les gens douteux, je peux te donner des conseils.
HPfrb1ch06-0219	rosir            	Les joues pâles du garçon rosirent légèrement.
HPfrb1ch06-0220	prudence         	Eux aussi ont manqué de prudence.
HPfrb1ch06-0221	racaille         	Si tu traînes avec de la racaille comme les Weasley ou ce Hagrid, ils finiront par déteindre sur toi.
HPfrb1ch06-0222	déteindre        	Si tu traînes avec de la racaille comme les Weasley ou ce Hagrid, ils finiront par déteindre sur toi.
HPfrb1ch06-0223	gars             	Oh, mais on n’a pas du tout l’intention de s’en aller, pas vrai, les gars ?
HPfrb1ch06-0224	adversaire       	Ron se jeta aussitôt sur lui, mais avant qu’il ait pu toucher son adversaire, celui-ci poussa un hurlement épouvantable.
HPfrb1ch06-0225	phalange         	Croûtard le rat était suspendu à un doigt de Goyle, ses dents pointues profondément plantées dans une phalange.
HPfrb1ch06-0226	prise            	Le rat finit par lâcher prise et fut projeté contre la fenêtre.
HPfrb1ch06-0227	éclipser         	Les trois garçons s’éclipsèrent aussitôt, craignant sans doute que d’autres rats se soient cachés parmi les friandises.
HPfrb1ch06-0228	assommer         	– Je crois bien qu’il est assommé, dit Ron.
HPfrb1ch06-0229	prétendre        	Ils ont prétendu qu’ils avaient été victimes d’un mauvais sort, mais mon père n’y croit pas.
HPfrb1ch06-0230	machiniste       	Je suis allée voir le machiniste dans la locomotive et il m’a dit que nous étions presque arrivés.
HPfrb1ch06-0231	hautain          	– D’accord, je m’en vais, dit Hermione d’un air hautain.
HPfrb1ch06-0232	saleté           	J’étais venue vous voir parce que les autres ne font que des bêtises, ils courent dans le couloir comme des idiots et toi, tu as une saleté sur le nez, si tu veux savoir.
HPfrb1ch06-0233	basket           	Celle de Ron était un peu trop courte pour lui, on voyait ses baskets et le bas de son pantalon.
HPfrb1ch06-0234	bagage           	Veuillez laisser vos bagages dans les compartiments, ils seront acheminés séparément dans les locaux scolaires.
HPfrb1ch06-0235	acheminer        	Veuillez laisser vos bagages dans les compartiments, ils seront acheminés séparément dans les locaux scolaires.
HPfrb1ch06-0236	séparément       	Veuillez laisser vos bagages dans les compartiments, ils seront acheminés séparément dans les locaux scolaires.
HPfrb1ch06-0237	local            	Veuillez laisser vos bagages dans les compartiments, ils seront acheminés séparément dans les locaux scolaires.
HPfrb1ch06-0238	estomac          	Harry sentit son estomac se contracter et il vit Ron pâlir sous ses taches de rousseur.
HPfrb1ch06-0239	contracter       	Harry sentit son estomac se contracter et il vit Ron pâlir sous ses taches de rousseur.
HPfrb1ch06-0240	pâlir            	Harry sentit son estomac se contracter et il vit Ron pâlir sous ses taches de rousseur.
HPfrb1ch06-0241	lampe            	Une lampe se balança alors au-dessus de leur tête et Harry entendit une voix familière :
HPfrb1ch06-0242	familier         	Une lampe se balança alors au-dessus de leur tête et Harry entendit une voix familière :
HPfrb1ch06-0243	rayonnant        	La grosse tête hirsute de Hagrid, le regard rayonnant, dominait la foule des élèves.
HPfrb1ch06-0244	glissant         	Glissant et trébuchant, la file des élèves suivit Hagrid le long d’un chemin étroit et escarpé qui s’enfonçait dans l’obscurité.
HPfrb1ch06-0245	escarpé          	Glissant et trébuchant, la file des élèves suivit Hagrid le long d’un chemin étroit et escarpé qui s’enfonçait dans l’obscurité.
HPfrb1ch06-0246	tournant         	Après le prochain tournant.
HPfrb1ch06-0247	déboucher        	L’étroit chemin avait soudain débouché sur la rive d’un grand lac noir.
HPfrb1ch06-0248	rive             	L’étroit chemin avait soudain débouché sur la rive d’un grand lac noir.
HPfrb1ch06-0249	percher          	De l’autre côté du lac, perché au sommet d’une montagne, un immense château hérissé de tours pointues étincelait de toutes ses fenêtres dans le ciel étoilé.
HPfrb1ch06-0250	château          	De l’autre côté du lac, perché au sommet d’une montagne, un immense château hérissé de tours pointues étincelait de toutes ses fenêtres dans le ciel étoilé.
HPfrb1ch06-0251	hérisser         	De l’autre côté du lac, perché au sommet d’une montagne, un immense château hérissé de tours pointues étincelait de toutes ses fenêtres dans le ciel étoilé.
HPfrb1ch06-0252	étoilé           	De l’autre côté du lac, perché au sommet d’une montagne, un immense château hérissé de tours pointues étincelait de toutes ses fenêtres dans le ciel étoilé.
HPfrb1ch06-0253	flotte           	– Pas plus de quatre par barque, lança Hagrid en montrant une flotte de petits canots alignés le long de la rive.
HPfrb1ch06-0254	canot            	– Pas plus de quatre par barque, lança Hagrid en montrant une flotte de petits canots alignés le long de la rive.
HPfrb1ch06-0255	caser            	– Tout le monde est casé ?
HPfrb1ch06-0256	lisse            	D’un même mouvement, les barques glissèrent sur l’eau du lac dont la surface était aussi lisse que du verre.
HPfrb1ch06-0257	dresser          	Tout le monde restait silencieux, les yeux fixés sur la haute silhouette du château, dressé au sommet d’une falaise.
HPfrb1ch06-0258	falaise          	Tout le monde restait silencieux, les yeux fixés sur la haute silhouette du château, dressé au sommet d’une falaise.
HPfrb1ch06-0259	paroi            	– Baissez la tête, dit Hagrid lorsqu’ils atteignirent la paroi abrupte.
HPfrb1ch06-0260	abrupt           	– Baissez la tête, dit Hagrid lorsqu’ils atteignirent la paroi abrupte.
HPfrb1ch06-0261	exécuter         	Tout le monde s’exécuta tandis que les barques franchissaient un rideau de lierre qui cachait une large ouverture taillée dans le roc.
HPfrb1ch06-0262	rideau           	Tout le monde s’exécuta tandis que les barques franchissaient un rideau de lierre qui cachait une large ouverture taillée dans le roc.
HPfrb1ch06-0263	lierre           	Tout le monde s’exécuta tandis que les barques franchissaient un rideau de lierre qui cachait une large ouverture taillée dans le roc.
HPfrb1ch06-0264	ouverture        	Tout le monde s’exécuta tandis que les barques franchissaient un rideau de lierre qui cachait une large ouverture taillée dans le roc.
HPfrb1ch06-0265	roc              	Tout le monde s’exécuta tandis que les barques franchissaient un rideau de lierre qui cachait une large ouverture taillée dans le roc.
HPfrb1ch06-0266	tunnel           	Les bateaux les emportèrent le long d’un tunnel sombre qui semblait les mener sous le château.
HPfrb1ch06-0267	crique           	Ils arrivèrent alors dans une sorte de crique souterraine et débarquèrent sur le sol rocheux couvert de galets.
HPfrb1ch06-0268	débarquer        	Ils arrivèrent alors dans une sorte de crique souterraine et débarquèrent sur le sol rocheux couvert de galets.
HPfrb1ch06-0269	rocheux          	Ils arrivèrent alors dans une sorte de crique souterraine et débarquèrent sur le sol rocheux couvert de galets.
HPfrb1ch06-0270	galet            	Ils arrivèrent alors dans une sorte de crique souterraine et débarquèrent sur le sol rocheux couvert de galets.
HPfrb1ch06-0271	guider           	Guidés par la lampe de Hagrid, ils grimpèrent le long d’un passage creusé dans la montagne et arrivèrent enfin sur une vaste pelouse humide qui s’étendait à l’ombre du château.
HPfrb1ch06-0272	creuser          	Guidés par la lampe de Hagrid, ils grimpèrent le long d’un passage creusé dans la montagne et arrivèrent enfin sur une vaste pelouse humide qui s’étendait à l’ombre du château.
HPfrb1ch06-0273	pelouse          	Guidés par la lampe de Hagrid, ils grimpèrent le long d’un passage creusé dans la montagne et arrivèrent enfin sur une vaste pelouse humide qui s’étendait à l’ombre du château.
HPfrb1ch06-0274	ombre            	Guidés par la lampe de Hagrid, ils grimpèrent le long d’un passage creusé dans la montagne et arrivèrent enfin sur une vaste pelouse humide qui s’étendait à l’ombre du château.
HPfrb1ch06-0275	volée            	Ils montèrent une volée de marches en pierre et se pressèrent devant l’immense porte d’entrée en chêne massif.
