HPfrb1ch02-0001	le               	LE SURVIVANT
HPfrb1ch02-0207	bonhomme         	Sacré petit bonhomme, gloussa Mr Dursley en quittant la maison.
HPfrb1ch02-0208	glousser         	Sacré petit bonhomme, gloussa Mr Dursley en quittant la maison.
HPfrb1ch02-0209	quitter          	Sacré petit bonhomme, gloussa Mr Dursley en quittant la maison.
HPfrb1ch02-0210	maison           	Sacré petit bonhomme, gloussa Mr Dursley en quittant la maison.
HPfrb1ch02-0211	monter           	Il monta dans sa voiture et recula le long de l’allée qui menait à sa maison.
HPfrb1ch02-0212	voiture          	Il monta dans sa voiture et recula le long de l’allée qui menait à sa maison.
HPfrb1ch02-0213	reculer          	Il monta dans sa voiture et recula le long de l’allée qui menait à sa maison.
HPfrb1ch02-0214	allée            	Il monta dans sa voiture et recula le long de l’allée qui menait à sa maison.
HPfrb1ch02-0215	mener            	Il monta dans sa voiture et recula le long de l’allée qui menait à sa maison.
HPfrb1ch02-0216	coin             	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
HPfrb1ch02-0217	premier          	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
HPfrb1ch02-0218	détail           	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
HPfrb1ch02-0219	insolite         	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
HPfrb1ch02-0220	chat             	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
HPfrb1ch02-0221	lire             	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
HPfrb1ch02-0222	carte            	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
HPfrb1ch02-0223	routier          	Ce fut au coin de la rue qu’il remarqua pour la première fois un détail insolite : un chat qui lisait une carte routière.
HPfrb1ch02-0224	pendant          	Pendant un instant, Mr Dursley ne comprit pas très bien ce qu’il venait de voir.
HPfrb1ch02-0225	instant          	Pendant un instant, Mr Dursley ne comprit pas très bien ce qu’il venait de voir.
HPfrb1ch02-0226	comprendre       	Pendant un instant, Mr Dursley ne comprit pas très bien ce qu’il venait de voir.
HPfrb1ch02-0227	très             	Pendant un instant, Mr Dursley ne comprit pas très bien ce qu’il venait de voir.
HPfrb1ch02-0228	bien             	Pendant un instant, Mr Dursley ne comprit pas très bien ce qu’il venait de voir.
HPfrb1ch02-0229	tourner          	Il tourna alors la tête pour regarder une deuxième fois.
HPfrb1ch02-0230	alors            	Il tourna alors la tête pour regarder une deuxième fois.
HPfrb1ch02-0231	tête             	Il tourna alors la tête pour regarder une deuxième fois.
HPfrb1ch02-0232	deuxième         	Il tourna alors la tête pour regarder une deuxième fois.
HPfrb1ch02-0233	y                	Il y avait bien un chat tigré, assis au coin de Privet Drive, mais pas la moindre trace de carte routière.
HPfrb1ch02-0234	tigré            	Il y avait bien un chat tigré, assis au coin de Privet Drive, mais pas la moindre trace de carte routière.
HPfrb1ch02-0235	asseoir          	Il y avait bien un chat tigré, assis au coin de Privet Drive, mais pas la moindre trace de carte routière.
HPfrb1ch02-0236	moindre          	Il y avait bien un chat tigré, assis au coin de Privet Drive, mais pas la moindre trace de carte routière.
HPfrb1ch02-0237	trace            	Il y avait bien un chat tigré, assis au coin de Privet Drive, mais pas la moindre trace de carte routière.
HPfrb1ch02-0238	passer           	Qu’est-ce qui avait bien pu lui passer par la tête ?
HPfrb1ch02-0239	devoir           	Il avait dû se laisser abuser par un reflet du soleil sur le trottoir.
HPfrb1ch02-0240	abuser           	Il avait dû se laisser abuser par un reflet du soleil sur le trottoir.
HPfrb1ch02-0241	reflet           	Il avait dû se laisser abuser par un reflet du soleil sur le trottoir.
HPfrb1ch02-0242	soleil           	Il avait dû se laisser abuser par un reflet du soleil sur le trottoir.
HPfrb1ch02-0243	trottoir         	Il avait dû se laisser abuser par un reflet du soleil sur le trottoir.
HPfrb1ch02-0244	cligner          	Mr Dursley cligna des yeux et regarda fixement le chat.
HPfrb1ch02-0245	fixement         	Mr Dursley cligna des yeux et regarda fixement le chat.
HPfrb1ch02-0246	celui-ci         	Celui-ci soutint son regard.
HPfrb1ch02-0247	soutenir         	Celui-ci soutint son regard.
HPfrb1ch02-0248	regard           	Celui-ci soutint son regard.
HPfrb1ch02-0249	tandis           	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
HPfrb1ch02-0250	engager          	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
HPfrb1ch02-0251	route            	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
HPfrb1ch02-0252	continuer        	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
HPfrb1ch02-0253	observer         	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
HPfrb1ch02-0254	rétroviseur      	Tandis qu’il tournait le coin de la rue et s’engageait sur la route, Mr Dursley continua d’observer le chat dans son rétroviseur.
HPfrb1ch02-0255	animal           	L’animal était en train de lire la plaque qui indiquait « Privet Drive »
HPfrb1ch02-0256	train            	L’animal était en train de lire la plaque qui indiquait « Privet Drive »
HPfrb1ch02-0257	plaque           	L’animal était en train de lire la plaque qui indiquait « Privet Drive »
HPfrb1ch02-0258	indiquer         	L’animal était en train de lire la plaque qui indiquait « Privet Drive »
HPfrb1ch02-0259	non              	– mais non, voyons, il ne lisait pas, il regardait la plaque.
HPfrb1ch02-0260	incapable        	Les chats sont incapables de lire des cartes ou des écriteaux.
HPfrb1ch02-0261	écriteau         	Les chats sont incapables de lire des cartes ou des écriteaux.
HPfrb1ch02-0262	ressaisir        	Mr Dursley se ressaisit et chassa le chat tigré de son esprit.
HPfrb1ch02-0263	chasser          	Mr Dursley se ressaisit et chassa le chat tigré de son esprit.
HPfrb1ch02-0264	tigré            	Mr Dursley se ressaisit et chassa le chat tigré de son esprit.
HPfrb1ch02-0265	esprit           	Mr Dursley se ressaisit et chassa le chat tigré de son esprit.
HPfrb1ch02-0266	durer            	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
HPfrb1ch02-0267	trajet           	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
HPfrb1ch02-0268	vers             	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
HPfrb1ch02-0269	ville            	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
HPfrb1ch02-0270	concentrer       	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
HPfrb1ch02-0271	commande         	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
HPfrb1ch02-0272	espérer          	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
HPfrb1ch02-0273	obtenir          	Durant le trajet qui le menait vers la ville, il concentra ses pensées sur la grosse commande de perceuses qu’il espérait obtenir ce jour-là.
HPfrb1ch02-0274	parvenir         	Mais lorsqu’il parvint aux abords de la ville quelque chose d’autre chassa les perceuses de sa tête.
HPfrb1ch02-0275	abord            	Mais lorsqu’il parvint aux abords de la ville quelque chose d’autre chassa les perceuses de sa tête.
HPfrb1ch02-0276	quelque          	Mais lorsqu’il parvint aux abords de la ville quelque chose d’autre chassa les perceuses de sa tête.
HPfrb1ch02-0277	autre            	Mais lorsqu’il parvint aux abords de la ville quelque chose d’autre chassa les perceuses de sa tête.
HPfrb1ch02-0278	asseoir          	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0279	milieu           	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0280	habituel         	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0281	embouteillage    	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0282	forcer           	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0283	présence         	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0284	plusieurs        	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0285	passant          	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0286	vêtir            	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0287	façon            	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0288	porter           	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0289	cape             	Assis au milieu des habituels embouteillages du matin, il fut bien forcé de remarquer la présence de plusieurs passants vêtus d’une étrange façon : ils portaient des capes.
HPfrb1ch02-0290	supporter        	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
HPfrb1ch02-0291	gens             	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
HPfrb1ch02-0292	habiller         	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
HPfrb1ch02-0293	manière          	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
HPfrb1ch02-0294	extravagant      	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
HPfrb1ch02-0295	parfois          	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
HPfrb1ch02-0296	accoutrement     	Mr Dursley ne supportait pas les gens qui s’habillaient d’une manière extravagante – les jeunes avaient parfois de ces accoutrements !
HPfrb1ch02-0297	penser           	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
HPfrb1ch02-0298	agir             	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
HPfrb1ch02-0299	nouveau          	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
HPfrb1ch02-0300	mode             	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
HPfrb1ch02-0301	particulièrement 	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
HPfrb1ch02-0302	stupide          	Il pensa qu’il s’agissait d’une nouvelle mode particulièrement stupide.
HPfrb1ch02-0303	pianoter         	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
HPfrb1ch02-0304	volant           	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
HPfrb1ch02-0305	rencontrer       	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
HPfrb1ch02-0306	groupe           	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
HPfrb1ch02-0307	olibrius         	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
HPfrb1ch02-0308	chuchoter        	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
HPfrb1ch02-0309	oreille          	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
HPfrb1ch02-0310	surexciter       	Il pianota sur le volant de sa voiture et son regard rencontra un groupe de ces olibrius qui se chuchotaient des choses à l’oreille d’un air surexcité.
HPfrb1ch02-0311	irriter          	Mr Dursley s’irrita en voyant que deux d’entre eux n’étaient pas jeunes du tout.
HPfrb1ch02-0312	entrer           	Mr Dursley s’irrita en voyant que deux d’entre eux n’étaient pas jeunes du tout.
HPfrb1ch02-0313	là-bas           	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
HPfrb1ch02-0314	sûrement         	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
HPfrb1ch02-0315	âgé              	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
HPfrb1ch02-0316	empêcher         	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
HPfrb1ch02-0317	vert             	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
HPfrb1ch02-0318	émeraude         	Cet homme, là-bas, était sûrement plus âgé que lui, ce qui ne l’empêchait pas de porter une cape vert émeraude !
HPfrb1ch02-0319	quel             	Quelle impudence !
HPfrb1ch02-0320	impudence        	Quelle impudence !
HPfrb1ch02-0321	animation        	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
HPfrb1ch02-0322	probablement     	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
HPfrb1ch02-0323	collecter        	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
HPfrb1ch02-0324	argent           	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
HPfrb1ch02-0325	profit           	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
HPfrb1ch02-0326	œuvre            	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
HPfrb1ch02-0327	quelconque       	Mr Dursley pensa alors qu’il devait y avoir une animation de rue – ces gens étaient probablement là pour collecter de l’argent au profit d’une œuvre quelconque.
HPfrb1ch02-0328	cela             	Ce ne pouvait être que ça.
HPfrb1ch02-0329	file             	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
HPfrb1ch02-0330	mouvement        	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
HPfrb1ch02-0331	minute           	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
HPfrb1ch02-0332	tard             	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
HPfrb1ch02-0333	ranger           	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
HPfrb1ch02-0334	parking          	La file des voitures se remit en mouvement et quelques minutes plus tard, Mr Dursley se rangea dans le parking de la Grunnings.
HPfrb1ch02-0335	reprendre        	Les perceuses avaient repris leur place dans ses pensées.
HPfrb1ch02-0336	place            	Les perceuses avaient repris leur place dans ses pensées.
HPfrb1ch02-0337	bureau           	Dans son bureau du neuvième étage, Mr Dursley s’asseyait toujours dos à la fenêtre.
HPfrb1ch02-0338	neuvième         	Dans son bureau du neuvième étage, Mr Dursley s’asseyait toujours dos à la fenêtre.
HPfrb1ch02-0339	étage            	Dans son bureau du neuvième étage, Mr Dursley s’asseyait toujours dos à la fenêtre.
HPfrb1ch02-0340	dos              	Dans son bureau du neuvième étage, Mr Dursley s’asseyait toujours dos à la fenêtre.
HPfrb1ch02-0341	autrement        	S’il en avait été autrement, il aurait sans doute eu un peu plus de mal que d’habitude à se concentrer sur ses perceuses, ce matin-là.
HPfrb1ch02-0342	doute            	S’il en avait été autrement, il aurait sans doute eu un peu plus de mal que d’habitude à se concentrer sur ses perceuses, ce matin-là.
HPfrb1ch02-0343	peu              	S’il en avait été autrement, il aurait sans doute eu un peu plus de mal que d’habitude à se concentrer sur ses perceuses, ce matin-là.
HPfrb1ch02-0344	mal              	S’il en avait été autrement, il aurait sans doute eu un peu plus de mal que d’habitude à se concentrer sur ses perceuses, ce matin-là.
HPfrb1ch02-0345	habitude         	S’il en avait été autrement, il aurait sans doute eu un peu plus de mal que d’habitude à se concentrer sur ses perceuses, ce matin-là.
HPfrb1ch02-0346	hibou            	Il ne vit pas les hiboux qui volaient à tire-d’aile en plein jour.
HPfrb1ch02-0347	voler            	Il ne vit pas les hiboux qui volaient à tire-d’aile en plein jour.
HPfrb1ch02-0348	plein            	Il ne vit pas les hiboux qui volaient à tire-d’aile en plein jour.
HPfrb1ch02-0349	bouche           	Bouche
HPfrb1ch02-0350	bée              	bée, ils pointaient le doigt vers le ciel, tandis que les rapaces filaient au-dessus de leur tête.
HPfrb1ch02-0351	pointer          	bée, ils pointaient le doigt vers le ciel, tandis que les rapaces filaient au-dessus de leur tête.
HPfrb1ch02-0352	doigt            	bée, ils pointaient le doigt vers le ciel, tandis que les rapaces filaient au-dessus de leur tête.
HPfrb1ch02-0353	rapace           	bée, ils pointaient le doigt vers le ciel, tandis que les rapaces filaient au-dessus de leur tête.
HPfrb1ch02-0354	filer            	bée, ils pointaient le doigt vers le ciel, tandis que les rapaces filaient au-dessus de leur tête.
HPfrb1ch02-0355	plupart          	La plupart d’entre eux n’avaient jamais vu de hibou, même la nuit.
HPfrb1ch02-0356	même             	La plupart d’entre eux n’avaient jamais vu de hibou, même la nuit.
HPfrb1ch02-0357	nuit             	La plupart d’entre eux n’avaient jamais vu de hibou, même la nuit.
HPfrb1ch02-0358	cependant        	Mr Dursley, cependant, ne remarqua rien d’anormal et aucun hibou ne vint troubler sa matinée.
HPfrb1ch02-0359	anormal          	Mr Dursley, cependant, ne remarqua rien d’anormal et aucun hibou ne vint troubler sa matinée.
HPfrb1ch02-0360	troubler         	Mr Dursley, cependant, ne remarqua rien d’anormal et aucun hibou ne vint troubler sa matinée.
HPfrb1ch02-0361	matinée          	Mr Dursley, cependant, ne remarqua rien d’anormal et aucun hibou ne vint troubler sa matinée.
HPfrb1ch02-0362	réprimander      	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
HPfrb1ch02-0363	vertement        	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
HPfrb1ch02-0364	employé          	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
HPfrb1ch02-0365	coup             	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
HPfrb1ch02-0366	fil              	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
HPfrb1ch02-0367	important        	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
HPfrb1ch02-0368	pousser          	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
HPfrb1ch02-0369	hurlement        	Il réprimanda vertement une demi-douzaine de ses employés, passa plusieurs coups de fil importants et poussa quelques hurlements supplémentaires.
HPfrb1ch02-0370	sentir           	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
HPfrb1ch02-0371	excellent        	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
HPfrb1ch02-0372	humeur           	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
HPfrb1ch02-0373	déjeuner         	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
HPfrb1ch02-0374	songer           	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
HPfrb1ch02-0375	dégourdir        	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
HPfrb1ch02-0376	jambe            	Il se sentit d’excellente humeur jusqu’à l’heure du déjeuner où il songea qu’il serait bon de se dégourdir un peu les jambes.
HPfrb1ch02-0377	traverser        	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
HPfrb1ch02-0378	acheter          	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
HPfrb1ch02-0379	manger           	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
HPfrb1ch02-0380	chez             	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
HPfrb1ch02-0381	boulanger        	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
HPfrb1ch02-0382	face             	Il traversa alors la rue pour aller s’acheter quelque chose à manger chez le boulanger d’en face.
HPfrb1ch02-0383	complètement     	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
HPfrb1ch02-0384	sortir           	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
HPfrb1ch02-0385	proximité        	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
HPfrb1ch02-0386	boulangerie      	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
HPfrb1ch02-0387	lancer           	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
HPfrb1ch02-0388	courroucer       	Les passants vêtus de capes lui étaient complètement sortis de la tête, mais lorsqu’il en vit à nouveau quelques-uns à proximité de la boulangerie, il passa devant eux en leur lançant un regard courroucé.
HPfrb1ch02-0389	ignorer          	Il ignorait pourquoi, mais ils le mettaient mal à l’aise.
HPfrb1ch02-0390	pourquoi         	Il ignorait pourquoi, mais ils le mettaient mal à l’aise.
HPfrb1ch02-0391	aise             	Il ignorait pourquoi, mais ils le mettaient mal à l’aise.
HPfrb1ch02-0392	boîte            	Ceux-là aussi chuchotaient d’un air surexcité et il ne vit pas la moindre boîte destinée à récolter de l’argent.
HPfrb1ch02-0393	destiner         	Ceux-là aussi chuchotaient d’un air surexcité et il ne vit pas la moindre boîte destinée à récolter de l’argent.
HPfrb1ch02-0394	récolter         	Ceux-là aussi chuchotaient d’un air surexcité et il ne vit pas la moindre boîte destinée à récolter de l’argent.
HPfrb1ch02-0395	quand            	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
HPfrb1ch02-0396	boutique         	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
HPfrb1ch02-0397	beignet          	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
HPfrb1ch02-0398	envelopper       	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
HPfrb1ch02-0399	sac              	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
HPfrb1ch02-0400	mot              	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
HPfrb1ch02-0401	conversation     	Quand il sortit de la boutique avec un gros beignet enveloppé dans un sac, il entendit quelques mots de leur conversation.
HPfrb1ch02-0402	oui              	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
HPfrb1ch02-0403	fils             	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
HPfrb1ch02-0404	immobiliser      	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
HPfrb1ch02-0405	envahir          	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
HPfrb1ch02-0406	peur             	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
HPfrb1ch02-0407	soudain          	– Oui, leur fils, Harry… Mr Dursley s’immobilisa, envahi par une peur soudaine.
HPfrb1ch02-0408	apprêter         	Il tourna la tête vers les gens qui chuchotaient comme s’il s’apprêtait à leur dire quelque chose, mais il se ravisa.
HPfrb1ch02-0409	raviser          	Il tourna la tête vers les gens qui chuchotaient comme s’il s’apprêtait à leur dire quelque chose, mais il se ravisa.
HPfrb1ch02-0410	hâte             	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
HPfrb1ch02-0411	dépêcher         	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
HPfrb1ch02-0412	remonter         	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
HPfrb1ch02-0413	ordonner         	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
HPfrb1ch02-0414	sec              	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
HPfrb1ch02-0415	secrétaire       	Il traversa la rue en toute hâte, se dépêcha de remonter dans son bureau, ordonna d’un ton sec à sa secrétaire de ne pas le déranger, saisit son téléphone et avait presque fini de composer le numéro de sa maison lorsqu’il changea d’avis.
